frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.2698,0.2935,-0.501,0,172,908
3,1,0.2698,0.2935,-0.501,0,171,909
3,4,-1.9076,6.7759,0.212,0,171,821
3,5,0.1474,0.2536,0.3351,6.7524,232,586
4,1,0.2698,0.2935,-0.501,0,171,910
12,1,0.2698,0.2935,-0.501,0,169,911
12,4,-1.9076,6.7759,0.212,0,167,824
10,1,0.2698,0.2935,-0.501,0,171,909
10,5,-1.9076,6.7759,0.212,0,167,825
14,1,0.2698,0.2935,-0.501,0,168,912
14,5,-1.9076,6.7759,0.212,0,169,822
15,1,0.2698,0.2935,-0.501,0,172,908
15,5,-1.9076,6.7759,0.212,0,168,823
16,1,0.2698,0.2935,-0.501,0,168,912
16,4,-1.9076,6.7759,0.212,0,169,822
17,1,0.2698,0.2935,-0.501,0,169,911
17,4,-1.9076,6.7759,0.212,0,168,823
18,1,0.2698,0.2935,-0.501,0,169,911
18,4,-1.9076,6.7759,0.212,0,170,821
19,1,0.2698,0.2935,-0.501,0,170,910
19,4,-1.9076,6.7759,0.212,0,169,822
20,1,0.2698,0.2935,-0.501,0,173,907
20,5,-1.9076,6.7759,0.212,0,171,821
21,1,0.2698,0.2935,-0.501,0,168,912
21,4,-1.9076,6.7759,0.212,0,170,821
22,1,0.2698,0.2935,-0.501,0,164,916
22,4,-1.9076,6.7759,0.212,0,168,822
23,1,0.2698,0.2935,-0.501,0,161,919
23,4,-1.9076,6.7759,0.212,0,169,821
24,1,0.2698,0.2935,-0.501,0,170,910
24,4,-1.9076,6.7759,0.212,0,171,819
25,1,0.2698,0.2935,-0.501,0,171,909
25,4,-1.9076,6.7759,0.212,0,167,824
26,1,0.2698,0.2935,-0.501,0,171,910
26,4,-1.9076,6.7759,0.212,0,168,823
27,1,0.2698,0.2935,-0.501,0,170,910
27,5,-1.9076,6.7759,0.212,0,169,821
28,1,0.2698,0.2935,-0.501,0,173,907
28,5,-1.9076,6.7759,0.212,0,169,822
