frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.2492,0.4305,-0.0312,0,122,722
1,2,-0.2217,0.5935,0.1209,0,132,735
3,1,0.0586,0.4645,-0.0293,0,138,734
4,1,-0.1796,0.6546,0.4618,0,150,678
5,1,0.044,0.4661,-0.0293,0,145,734
5,2,-0.1796,0.6546,0.4618,0,143,674
6,1,-0.1796,0.6546,0.4618,0,165,675
9,1,-0.0293,0.468,-0.0147,0,114,733
9,2,-0.1796,0.6546,0.4618,0,191,674
10,1,-0.1796,0.672,0.4361,0,125,676
11,1,0,0.4689,-0.0147,0,115,733
11,2,-0.1796,0.672,0.4361,0,118,669
12,1,0,0.4689,-0.0147,0,115,733
12,2,-0.1796,0.672,0.4361,0,146,664
16,1,-0.1796,0.6879,0.4105,0,125,678
18,1,-0.1796,0.672,0.4361,0,163,669
19,1,0.0147,0.468,-0.0293,0,126,721
20,1,-0.0147,0.4668,-0.044,0,119,734
20,2,-0.2052,0.6646,0.4361,0,133,675
21,1,-0.0293,0.468,-0.0147,0,125,734
21,2,-0.2126,0.6503,0.5049,0,153,670
22,1,0,0.4689,-0.0147,0,143,733
22,2,-0.2309,0.6724,0.4105,0,151,674
23,1,0,0.4689,-0.0147,0,142,734
23,2,-0.2052,0.6646,0.4361,0,161,670
24,1,-0.0147,0.4687,-0.0147,0,147,733
24,2,-0.2052,0.647,0.4618,0,114,677
25,1,-0.0147,0.468,-0.0293,0,142,733
25,2,-0.2126,0.6701,0.4783,0,149,667
26,1,-0.0293,0.468,-0.0147,0,140,734
27,1,-0.0293,0.4673,-0.0293,0,143,731
27,2,-0.2391,0.6611,0.4783,0,154,681
28,1,0,0.4671,-0.044,0,138,729
28,2,-0.2391,0.6611,0.4783,0,170,675
30,1,0,0.4689,-0.0147,0,115,729
30,2,-0.2126,0.6503,0.5049,0,130,671
31,1,-0.0147,0.4687,-0.0147,0,134,729
32,1,-0.044,0.4661,-0.0293,0,124,731
33,1,0.0586,0.4652,-0.0147,0,152,732
33,2,-0.2199,0.6728,0.5223,0,133,664
34,1,0.1869,0.4618,0.0156,0,128,718
34,2,-0.2474,0.6839,0.4948,0,141,670
34,3,0.1319,0.4492,0.0293,0.4511,143,702
34,4,-0.2199,0.712,0.4673,0.4511,164,647
35,1,0.2474,0.4659,0.0165,0.4511,141,687
35,2,-0.1154,0.5139,-0.033,0.4511,141,687
35,3,-0.2272,0.7163,0.5113,0.4511,162,639
35,4,0.2089,0.5161,0.0174,0.9022,252,573
35,5,-0.1393,0.5391,-0.0174,0.9022,252,573
36,1,-0.2346,0.7595,0.4984,0.4511,130,635
37,1,0.2639,0.4568,-0.0165,0,113,702
37,2,-0.2804,0.8165,0.4984,0.4511,164,621
38,1,-0.3299,0.8525,0.5278,0.4511,215,618
38,2,-0.252,0.688,0.0229,0.9022,145,641
38,3,-0.2859,0.7063,0.0238,0.9022,146,640
38,4,-0.2621,0.7155,0.0238,0.9022,146,640
39,1,0.2639,0.4568,-0.0165,0,114,703
39,2,-0.339,0.8963,0.5085,0.4511,155,634
40,1,0.2639,0.4568,-0.0165,0,118,699
41,1,0.2639,0.4568,-0.0165,0,128,688
41,2,-0.3738,0.922,0.0623,0.4511,143,658
41,3,-0.2272,0.8801,0,0.9022,169,573
42,1,0.2639,0.4568,-0.0165,0,127,689
42,2,-0.2804,0.9521,0.0935,0.4511,183,658
43,1,0.2639,0.4568,-0.0165,0,128,689
43,2,-0.4068,0.9773,-0.2373,0.4511,131,667
43,3,-0.339,0.9315,0.4407,0.4511,131,667
44,1,0.2639,0.4568,-0.0165,0,127,689
44,2,-0.3482,1.0578,0.0348,0.4511,168,663
