frame_id,point_id,x,y,z,doppler,snr,noise
3941,8,0.2413,0.2482,-0.2413,-6.7524,198,480
3941,9,0.1524,0.2893,0.2667,-6.7524,198,480
3941,10,-0.1778,0.3243,-0.2032,-6.7524,198,480
8,1,0.1407,0.1192,-0.163,0,112,633
14,4,-2.5377,2.8629,0.2307,0,117,629
16,1,0.0349,0.349,-0.163,0,113,594
16,2,-0.1397,0.3218,-0.163,0,113,594
17,1,-0.0529,0.3093,-0.1587,0,128,588
18,1,0.1587,0.282,-0.1376,0,138,594
22,3,-2.4911,2.8172,0.1132,0,122,640
27,1,0.0095,0.2772,-0.1524,0,122,603
31,1,0.0423,0.3161,-0.1482,0,112,582
31,2,0.0106,0.1261,0.3281,0,112,582
37,1,0.0952,0.0971,0.2857,0,124,598
37,2,0.1048,0.2568,-0.1524,0,124,598
39,1,0.2857,0.1296,-0.1587,0,157,584
40,1,0.2751,0.1612,-0.1482,0,145,595
42,1,0.0741,0.1821,-0.1482,0,134,621
42,2,0.0519,0.1621,0.1778,0,134,621
42,3,-0.0148,0.2064,-0.1333,0,134,621
42,5,-2.3282,2.635,0,0,135,600
49,1,0.2794,0.2837,-0.1397,-0.9646,161,627
49,2,0.0212,0.6914,-0.127,-0.9646,138,560
61,2,-0.0254,0.3875,-0.1651,-0.9646,140,602
61,3,0.2667,0.2822,-0.1651,-0.9646,140,602
62,1,0.2011,0.2535,-0.1376,-0.9646,175,608
63,1,0.1693,0.1792,-0.1355,0,132,626
63,2,-0.1545,0.9108,-2.3948,0,120,603
65,1,0.0095,0.2717,-0.1619,-0.9646,141,613
75,1,-0.0476,0.2617,-0.1714,-0.9646,116,615
76,2,-0.0296,0.1594,-0.1852,-0.9646,118,629
79,1,-0.0667,0.2509,-0.181,-0.9646,127,612
83,1,-0.0127,0.3933,-0.1524,-0.9646,144,575
84,1,-0.0508,0.3949,-0.1397,-0.9646,153,563
86,2,-0.0212,0.313,-0.1587,-0.9646,132,605
87,2,0.019,0.2817,-0.1429,-0.9646,124,618
88,1,0.0889,0.1538,-0.1704,0,135,602
89,2,-0.0339,0.2393,-0.1439,-0.9646,171,610
90,2,-0.0677,0.2265,-0.1524,-0.9646,125,603
92,2,0.0952,0.2605,-0.1524,-0.9646,143,597
98,2,-0.0466,0.3358,-0.1863,-0.9646,118,599
98,4,-1.0583,0.6321,0.6773,-0.9646,128,529
99,1,-1.2064,0.5212,0.2413,0,119,555
100,1,-1.0858,0.6409,0.4424,0,153,529
100,3,0.0857,0.2377,-0.1905,-0.9646,125,613
102,2,0.0106,0.3019,-0.1799,-0.9646,115,618
106,2,0.019,0.2767,-0.1524,-0.9646,121,592
106,6,4.4531,8.0857,0.5566,-0.9646,117,622
107,5,4.4362,8.0549,0.5428,-0.9646,127,605
110,6,4.6775,7.8501,0.2751,-0.9646,120,588
113,6,4.3515,7.9199,0,-0.9646,119,596
115,4,4.6055,7.7341,0,-0.9646,161,586
