frame_id,point_id,x,y,z,doppler,snr,noise
1470,1,0.0116,0.3449,-0.1746,0,133,589
1,1,0.0116,0.3449,-0.1746,0,129,592
1,12,0.2921,0.1858,-0.2413,5.7878,249,473
1,13,0.1524,0.2893,0.2667,5.7878,249,473
1,14,-0.2159,0.1497,0.3302,5.7878,249,473
7,1,-0.0116,0.3605,-0.1397,0,138,582
9,1,-0.0815,0.3514,-0.1397,0,126,586
10,1,-0.0116,0.3506,-0.163,0,127,588
12,1,-0.0698,0.349,-0.1513,0,118,600
15,1,-0.0106,0.3136,-0.1587,0,113,607
16,1,-0.0233,0.3443,-0.1746,0,130,594
17,1,0,0.339,-0.1863,0,132,592
18,1,0,0.3451,-0.1746,0,126,597
19,1,-0.0116,0.3449,-0.1746,0,131,592
20,1,0.0116,0.3388,-0.1863,0,139,586
21,1,0,0.3451,-0.1746,0,128,591
22,1,-0.0233,0.35,-0.163,0,130,588
24,1,0.1556,0.0691,-0.1778,0,121,620
24,2,-0.0116,0.3449,-0.1746,0,127,589
28,7,0.2921,0.1858,-0.2413,6.7524,235,483
28,8,0.1524,0.2893,0.2667,6.7524,235,483
28,9,-0.2159,0.1497,0.3302,6.7524,235,483
29,1,0.0296,0.1676,-0.1778,0,136,629
29,2,0.1556,0.0991,-0.163,0,136,629
29,9,0.2794,0.2044,-0.2413,5.7878,221,481
29,10,0.1524,0.2893,0.2667,5.7878,221,481
30,1,0.1704,0.0707,-0.163,0,152,609
30,2,-0.1259,0.1253,-0.1704,0,152,609
33,4,-2.6044,2.7129,0.1132,0,119,622
35,1,0.0476,0.2406,-0.2,0,116,597
36,1,0.1556,0.0991,-0.163,0,124,615
36,2,-0.1407,0.0957,-0.1778,0,124,615
36,7,-2.6922,2.5776,0,0,115,626
37,1,0.1482,0.1201,-0.1556,0,135,620
37,2,0.0074,0.1775,-0.1704,0,135,620
37,4,2.9906,4.6402,0,0,115,657
40,2,2.9716,4.6106,0,0,134,647
40,3,2.9906,4.6402,0,0,136,644
41,1,0.1693,0.165,-0.1524,0,114,620
41,2,0.0423,0.2326,-0.1524,0,114,620
41,4,3.1166,4.4711,0,0,119,649
42,2,-2.834,2.2444,0.218,0,112,607
43,4,-2.3747,2.6681,0.3238,0,120,604
43,5,2.3747,2.6856,0.1079,0,120,604
45,2,2.7525,4.6223,0,0,120,648
47,4,2.7345,4.5893,-0.1609,0,120,645
48,5,3.1959,4.2399,0,0,130,641
49,2,2.8763,4.4629,0,0,125,644
52,7,0.2921,0.1858,-0.2413,6.7524,244,475
52,8,0.1524,0.2893,0.2667,6.7524,244,475
52,9,-0.2159,0.1497,0.3302,6.7524,244,475
53,8,0.2921,0.1858,-0.2413,6.7524,209,497
53,9,0.1651,0.2937,0.254,6.7524,209,497
54,1,0.0667,0.1975,-0.2381,0,121,607
54,2,0.2191,0.126,-0.1905,0,121,607
54,3,-0.2095,0.1733,-0.1619,0,121,607
58,1,0.2857,0.1416,-0.1482,0,130,603
59,9,0.2794,0.2044,-0.2413,6.7524,225,489
59,10,0.1524,0.2893,0.2667,6.7524,225,489
63,2,-3.2848,0.9181,0,0,116,610
67,3,0.2794,0.2044,-0.2413,6.7524,240,479
67,4,0.1524,0.2893,0.2667,6.7524,240,479
67,5,-0.2159,0.1497,0.3302,6.7524,240,479
79,9,-6.413,12.6755,0,-0.9646,165,584
85,1,0.0635,0.3931,-0.1397,-0.9646,120,608
85,8,-5.9262,12.7553,0,-0.9646,134,585
86,2,0.2032,0.3243,-0.1778,-0.9646,124,602
86,3,-0.3302,0.23,-0.127,-0.9646,124,602
87,2,0.1164,0.3414,-0.1397,-0.9646,210,612
88,1,0.0698,0.349,-0.1513,-0.9646,207,610
89,14,-5.8966,12.6846,0.4212,-0.9646,132,573
93,8,-5.8521,12.589,0.418,-0.9646,118,577
94,1,0.2794,0.2044,-0.2413,6.7524,243,477
94,2,0.1524,0.2893,0.2667,6.7524,243,477
