frame_id,point_id,x,y,z,doppler,snr,noise
1,6,0.2882,9.5669,-0.2882,0,200,825
2,6,0,9.5712,-0.2882,0,200,826
3,6,0,9.5712,-0.2882,0,199,826
4,7,0,9.5712,-0.2882,0,200,826
7,6,0,9.5712,-0.2882,0,202,824
8,6,0,9.5712,-0.2882,0,199,827
9,6,0,9.5756,0,0,200,825
9,7,0.2882,9.5669,-0.2882,0,200,825
10,6,0,9.5756,0,0,199,826
11,6,0,9.5712,-0.2882,0,200,825
12,6,0,9.5712,-0.2882,0,199,826
10,6,0.2882,9.5669,-0.2882,0,201,824
14,7,0,9.5712,-0.2882,0,200,825
15,6,0.2882,9.5669,-0.2882,0,199,826
16,6,0,9.5712,-0.2882,0,201,825
17,6,0,9.5756,0,0,202,823
18,7,0,9.5712,-0.2882,0,201,825
19,6,0,9.5712,-0.2882,0,200,826
20,6,0,9.5756,0,0,201,825
21,6,0,9.5712,-0.2882,0,198,828
22,7,0,9.5712,-0.2882,0,200,825
23,6,0,9.5712,-0.2882,0,201,824
24,5,0,9.5712,-0.2882,0,199,826
25,6,0,9.5712,-0.2882,0,200,825
26,6,0,9.5712,-0.2882,0,200,825
27,6,0,9.5712,-0.2882,0,200,825
28,6,0,9.5756,0,0,200,825
29,6,0,9.5712,-0.2882,0,201,825
30,6,0,9.5712,-0.2882,0,199,826
31,6,0,9.5712,-0.2882,0,199,826
32,6,0,9.5712,-0.2882,0,202,824
33,5,0.2882,9.5669,-0.2882,0,202,823
34,7,0,9.5756,0,0,200,825
35,6,0,9.5712,-0.2882,0,200,825
36,6,0,9.5756,0,0,200,825
37,7,0,9.5712,-0.2882,0,199,826
38,6,0,9.5756,0,0,199,827
38,7,0,9.5712,-0.2882,0,199,827
39,6,0,9.5712,-0.2882,0,200,825
40,6,0,9.5712,-0.2882,0,197,828
41,6,0,9.5712,-0.2882,0,202,823
42,5,0,9.5712,-0.2882,0,201,824
43,6,0.2882,9.5669,-0.2882,0,201,825
44,6,0,9.5756,0,0,201,824
44,7,0.2882,9.5669,-0.2882,0,201,824
45,6,0,9.5712,-0.2882,0,199,826
46,6,0,9.5712,-0.2882,0,198,828
47,6,0,9.5712,-0.2882,0,200,825
48,7,0,9.5712,-0.2882,0,198,827
49,6,0,9.5712,-0.2882,0,201,825
50,7,0,9.5712,-0.2882,0,200,825
51,6,0,9.5712,-0.2882,0,199,826
52,6,0,9.5712,-0.2882,0,200,826
53,6,0,9.5712,-0.2882,0,200,826
54,6,0,9.5712,-0.2882,0,199,826
55,7,0,9.5712,-0.2882,0,200,826
56,6,0,9.5712,-0.2882,0,198,828
57,6,0,9.5756,0,0,196,829
58,7,0,9.5712,-0.2882,0,199,826
59,6,0,9.5712,-0.2882,0,202,824
60,6,0,9.5712,-0.2882,0,199,826
61,6,0,9.5712,-0.2882,0,199,826
62,6,0,9.5712,-0.2882,0,197,828
63,7,0,9.5756,0,0,198,827
63,8,0,9.5712,-0.2882,0,198,827
64,6,0,9.5712,-0.2882,0,200,825
65,6,0,9.5712,-0.2882,0,201,824
66,6,0,9.5712,-0.2882,0,201,824
67,7,0.2882,9.5669,-0.2882,0,199,826
68,6,0,9.5756,0,0,199,826
69,6,0,9.5712,-0.2882,0,198,827
70,6,0,9.5712,-0.2882,0,199,826
71,6,0.2882,9.5669,-0.2882,0,201,824
72,6,0,9.5712,-0.2882,0,198,827
73,5,0.2882,9.5669,-0.2882,0,200,825
74,6,0,9.5712,-0.2882,0,202,824
75,6,0,9.5712,-0.2882,0,200,825
76,6,0,9.5756,0,0,201,825
77,7,0,9.5756,0,0,198,827
78,6,0.2882,9.5669,-0.2882,0,199,826
79,6,0,9.5712,-0.2882,0,201,824
80,6,0,9.5712,-0.2882,0,201,824
81,5,0,9.5712,-0.2882,0,198,827
82,6,0,9.5712,-0.2882,0,199,825
83,6,0,9.5712,-0.2882,0,198,828
84,6,0.2882,9.5669,-0.2882,0,199,826
85,5,0,9.5712,-0.2882,0,198,826
86,6,0,9.5712,-0.2882,0,202,824
87,5,0,9.5712,-0.2882,0,201,824
88,6,0,9.5712,-0.2882,0,200,825
89,6,0,9.5712,-0.2882,0,198,827
90,6,0.2882,9.5669,-0.2882,0,198,827
91,6,0.2882,9.5669,-0.2882,0,199,826
92,6,0,9.5712,-0.2882,0,199,826
93,6,0,9.5712,-0.2882,0,199,826
94,6,0,9.5712,-0.2882,0,200,825
95,6,0,9.5712,-0.2882,0,200,825
96,5,0,9.5712,-0.2882,0,198,827
97,7,0,9.5712,-0.2882,0,201,824
98,6,0,9.5712,-0.2882,0,199,826
99,6,0.2882,9.5669,-0.2882,0,202,823
100,6,0,9.5756,0,0,200,825
101,6,0,9.5712,-0.2882,0,202,823
102,5,0,9.5712,-0.2882,0,200,825
103,7,0,9.5712,-0.2882,0,199,826
104,6,0,9.5712,-0.2882,0,200,825
105,6,0,9.5756,0,0,200,826
106,6,0,9.5712,-0.2882,0,199,826
107,6,0,9.5712,-0.2882,0,201,824
108,6,0,9.5712,-0.2882,0,200,825
109,5,0,9.5712,-0.2882,0,199,826
110,6,0,9.5712,-0.2882,0,198,828
111,6,0,9.5712,-0.2882,0,198,828
112,6,0,9.5712,-0.2882,0,198,827
113,7,0,9.5756,0,0,198,827
114,6,0,9.5712,-0.2882,0,201,825
114,7,4.4217,10.3949,0.3401,-0.9646,232,581
115,6,0,9.5756,0,0,199,826
115,7,4.0715,10.5127,0,-0.9646,200,588
116,6,0,9.5712,-0.2882,0,199,826
116,7,3.723,10.59,0.6769,-0.9646,218,586
117,7,0,9.5712,-0.2882,0,198,827
117,8,3.723,10.6062,0.3385,-0.9646,156,602
118,6,0,9.5712,-0.2882,0,198,827
118,7,4.0514,10.4607,0,-0.9646,245,583
119,6,0,9.5712,-0.2882,0,198,827
119,7,3.9811,10.2576,-0.6635,-1.9293,328,567
120,6,0,9.5712,-0.2882,0,200,825
120,7,4.3455,10.1719,-1.0028,-0.9646,167,583
121,6,0,9.5712,-0.2882,0,201,824
121,7,3.6677,10.454,0,-0.9646,206,610
122,7,0,9.5712,-0.2882,0,197,828
122,8,3.3259,10.5175,0.6652,-0.9646,211,578
123,7,0,9.5756,0,0,199,826
123,8,2.9707,10.5108,0.9902,-1.4469,174,605
123,9,7.9219,5.1029,5.6114,-1.4469,174,605
124,7,0,9.5712,-0.2882,0,199,826
124,8,2.6406,10.6242,0.6602,-1.4469,239,576
124,9,7.2617,6.0052,5.6114,-1.4469,239,576
125,6,0,9.5712,-0.2882,0,199,825
126,6,0,9.5712,-0.2882,0,198,827
127,6,0,9.5712,-0.2882,0,200,825
128,5,0,9.5712,-0.2882,0,200,825
129,6,0,9.5712,-0.2882,0,200,825
130,6,0,9.5712,-0.2882,0,200,826
131,8,0,9.5712,-0.2882,0,200,825
132,6,0,9.5712,-0.2882,0,199,826
133,6,0,9.5712,-0.2882,0,199,825
133,7,3.78,9.7548,-0.315,-1.9293,166,568
134,6,0,9.5712,-0.2882,0,198,827
135,6,0,9.5712,-0.2882,0,200,825
135,7,3.4742,9.9024,0,-0.9646,239,576
136,6,0,9.5712,-0.2882,0,196,828
137,6,0.2882,9.5669,-0.2882,0,196,829
137,7,3.7699,9.7339,0,-0.9646,214,559
138,5,0,9.5712,-0.2882,0,198,828
138,6,3.997,9.3561,-0.9224,-2.4116,190,578
138,7,3.7599,9.7029,-0.3133,-0.9646,163,630
139,6,0,9.5712,-0.2882,0,201,825
140,6,0.2882,9.5669,-0.2882,0,201,825
140,7,3.7197,9.5992,0.31,-1.4469,203,593
141,7,0.2882,9.5669,-0.2882,0,200,825
141,8,4.3279,9.31,-0.3091,-1.4469,165,633
142,6,0.2882,9.5669,-0.2882,0,199,825
143,7,0,9.5712,-0.2882,0,198,828
144,5,0,9.5712,-0.2882,0,201,824
145,5,0,9.5712,-0.2882,0,201,825
146,5,0,9.5712,-0.2882,0,198,828
146,6,3.6191,9.3446,0,-1.4469,202,592
147,6,0,9.5712,-0.2882,0,201,825
147,7,3.599,9.2878,-0.2999,-1.4469,248,579
148,6,0,9.5712,-0.2882,0,203,822
148,7,3.8663,9.0892,-0.2974,-1.9293,227,579
149,6,0,9.5712,-0.2882,0,199,826
149,7,3.5788,9.2408,0,-0.9646,236,633
150,6,0,9.5756,0,0,202,823
