frame_id,point_id,x,y,z,doppler,snr,noise
2064,1,0.2698,0.2935,-0.501,0,166,894
2064,5,3.4315,6.2306,-0.4289,0,191,816
1,1,0.2698,0.2935,-0.501,0,173,888
1,7,3.4315,6.2306,-0.4289,0,191,816
2,1,0.2698,0.2935,-0.501,0,170,891
2,5,3.4315,6.2306,-0.4289,0,190,817
3,1,0.2698,0.2935,-0.501,0,178,882
12,1,0.2698,0.2935,-0.501,0,171,889
12,7,3.4315,6.2306,-0.4289,0,190,817
10,1,0.2698,0.2935,-0.501,0,172,889
10,5,3.4315,6.2306,-0.4289,0,190,817
14,1,0.2698,0.2935,-0.501,0,170,891
14,4,3.4315,6.2306,-0.4289,0,189,818
15,1,0.2698,0.2935,-0.501,0,170,890
15,4,3.4315,6.2306,-0.4289,0,191,816
16,1,0.2698,0.2935,-0.501,0,171,890
16,5,3.4315,6.2306,-0.4289,0,190,817
17,1,0.2698,0.2935,-0.501,0,171,889
17,4,3.4315,6.2306,-0.4289,0,187,820
18,1,0.2698,0.2935,-0.501,0,170,890
18,4,3.4315,6.2306,-0.4289,0,191,817
19,1,0.2698,0.2935,-0.501,0,170,890
19,4,3.4315,6.2306,-0.4289,0,193,814
20,1,0.2698,0.2935,-0.501,0,170,891
20,4,3.4315,6.2306,-0.4289,0,189,818
21,1,0.2698,0.2935,-0.501,0,174,887
21,5,3.4315,6.2306,-0.4289,0,191,816
22,1,0.2698,0.2935,-0.501,0,171,889
22,6,3.4315,6.2306,-0.4289,0,189,818
23,1,0.2698,0.2935,-0.501,0,173,888
23,6,3.4315,6.2306,-0.4289,0,189,817
24,1,0.2698,0.2935,-0.501,0,173,887
24,7,3.4315,6.2306,-0.4289,0,190,817
25,1,0.2698,0.2935,-0.501,0,170,890
25,5,3.4315,6.2306,-0.4289,0,190,817
26,1,0.2698,0.2935,-0.501,0,169,891
26,4,3.4315,6.2306,-0.4289,0,190,817
27,1,0.2698,0.2935,-0.501,0,171,889
27,6,3.4315,6.2306,-0.4289,0,191,817
28,1,0.2698,0.2935,-0.501,0,172,889
28,5,3.4315,6.2306,-0.4289,0,190,818
29,1,0.2698,0.2935,-0.501,0,175,885
29,4,3.4315,6.2306,-0.4289,0,190,817
30,1,0.2698,0.2935,-0.501,0,170,891
30,5,3.4315,6.2306,-0.4289,0,188,818
31,1,0.2698,0.2935,-0.501,0,172,888
31,5,3.4315,6.2306,-0.4289,0,191,816
32,1,0.2698,0.2935,-0.501,0,168,892
32,4,3.4315,6.2306,-0.4289,0,189,818
33,1,0.2698,0.2935,-0.501,0,172,888
33,5,3.4315,6.2306,-0.4289,0,190,817
34,1,0.2698,0.2935,-0.501,0,168,892
34,4,3.4315,6.2306,-0.4289,0,189,818
35,1,0.2698,0.2935,-0.501,0,168,892
35,6,3.4315,6.2306,-0.4289,0,189,818
36,1,0.2698,0.2935,-0.501,0,171,889
36,4,3.4315,6.2306,-0.4289,0,191,816
37,1,0.2698,0.2935,-0.501,0,169,891
37,4,3.4315,6.2306,-0.4289,0,191,816
38,1,0.2698,0.2935,-0.501,0,171,889
38,4,3.4315,6.2306,-0.4289,0,190,817
39,1,0.2698,0.2935,-0.501,0,173,888
39,5,3.4315,6.2306,-0.4289,0,190,818
40,1,0.2698,0.2935,-0.501,0,174,887
40,5,3.4315,6.2306,-0.4289,0,188,819
41,1,0.2698,0.2935,-0.501,0,172,888
41,4,3.4315,6.2306,-0.4289,0,190,817
42,1,0.2698,0.2935,-0.501,0,170,890
42,4,3.4315,6.2306,-0.4289,0,189,818
43,1,0.2698,0.2935,-0.501,0,172,888
43,4,3.4315,6.2306,-0.4289,0,192,815
44,1,0.2698,0.2935,-0.501,0,170,890
44,4,3.4315,6.2306,-0.4289,0,187,820
45,1,0.2698,0.2935,-0.501,0,173,888
45,4,3.4315,6.2306,-0.4289,0,190,817
46,1,0.2698,0.2935,-0.501,0,175,885
46,4,3.4315,6.2306,-0.4289,0,191,817
47,1,0.2698,0.2935,-0.501,0,172,889
47,4,3.4315,6.2306,-0.4289,0,191,817
48,1,0.2698,0.2935,-0.501,0,172,888
48,4,3.4315,6.2306,-0.4289,0,188,819
49,1,0.2698,0.2935,-0.501,0,173,887
49,6,3.4315,6.2306,-0.4289,0,191,816
50,1,0.2698,0.2935,-0.501,0,170,891
50,4,3.4315,6.2306,-0.4289,0,189,818
51,1,0.2698,0.2935,-0.501,0,173,888
51,4,3.4315,6.2306,-0.4289,0,191,816
52,1,0.2698,0.2935,-0.501,0,172,888
52,4,3.4315,6.2306,-0.4289,0,188,819
53,1,0.2698,0.2935,-0.501,0,171,889
53,4,3.4315,6.2306,-0.4289,0,190,817
54,1,0.2698,0.2935,-0.501,0,174,886
54,7,3.4315,6.2306,-0.4289,0,191,815
55,1,0.2698,0.2935,-0.501,0,175,886
55,4,3.4315,6.2306,-0.4289,0,193,814
56,1,0.2698,0.2935,-0.501,0,170,890
56,5,3.4315,6.2306,-0.4289,0,188,819
57,1,0.2698,0.2935,-0.501,0,169,891
57,4,3.4315,6.2306,-0.4289,0,191,816
58,1,0.2698,0.2935,-0.501,0,172,888
58,4,3.4315,6.2306,-0.4289,0,188,818
59,1,0.2698,0.2935,-0.501,0,173,888
59,5,3.4315,6.2306,-0.4289,0,190,817
60,1,0.2698,0.2935,-0.501,0,173,889
60,5,3.4315,6.2306,-0.4289,0,191,815
61,1,0.2698,0.2935,-0.501,0,172,889
61,4,3.4315,6.2306,-0.4289,0,188,819
62,1,0.2698,0.2935,-0.501,0,172,891
62,4,3.4315,6.2306,-0.4289,0,193,813
63,1,0.2698,0.2935,-0.501,0,173,890
63,4,3.4315,6.2306,-0.4289,0,193,813
64,1,0.2505,0.3101,-0.501,0,177,887
64,4,3.4315,6.2306,-0.4289,0,188,818
65,1,0.2505,0.3101,-0.501,0,188,878
65,4,3.4315,6.2306,-0.4289,0,191,813
66,1,0.2505,0.3101,-0.501,0,200,862
66,6,3.4315,6.2306,-0.4289,0,193,812
67,1,0.2312,0.3247,-0.501,0,185,877
67,7,3.4315,6.2306,-0.4289,0,186,818
68,1,0.212,0.3646,-0.4817,0,171,898
68,2,0,1.681,-0.5898,0,159,710
68,5,3.646,6.1076,-0.4289,0,202,806
69,1,0.212,0.3887,-0.4624,0,187,888
69,3,3.4315,6.2306,-0.4289,0,197,808
70,1,0.212,0.3646,-0.4817,0,204,874
70,5,3.4315,6.2417,-0.2145,0,185,822
70,7,4.3983,8.6735,0.5864,0,153,742
71,1,0.1927,0.3986,-0.4624,0,223,858
71,6,3.4315,6.2417,-0.2145,0,217,792
72,1,0.212,0.3646,-0.4817,0,200,877
72,6,3.217,6.3549,-0.2145,0,198,807
73,1,0.1927,0.3986,-0.4624,0,181,898
73,3,3.2045,6.3301,-0.2136,0,207,794
74,1,0.1734,0.4074,-0.4624,0,204,874
74,4,3.4181,6.2063,-0.4273,0,204,798
75,1,0.1927,0.3986,-0.4624,0,208,870
75,3,3.8453,5.9318,-0.6409,-0.4823,207,805
75,4,-4.2349,8.3513,0.5647,-0.4823,156,792
75,5,6.0018,9.3062,-0.3334,-0.4823,157,738
76,1,0.212,0.3646,-0.4817,0,196,892
76,3,-2.1841,6.2219,-0.1986,-0.4823,152,804
76,4,3.4181,6.2173,-0.2136,-0.4823,212,800
76,6,6.0018,9.3062,-0.3334,-0.4823,153,751
77,1,0.2312,0.3527,-0.4817,0,204,875
77,4,-2.3575,2.8884,0.1123,-0.4823,155,754
77,6,3.4047,6.1929,-0.2128,-0.4823,216,801
77,8,1.4033,8.5817,3.3678,-0.4823,162,790
78,1,0.212,0.3646,-0.4817,0,205,874
78,6,3.4047,6.1929,-0.2128,-0.4823,219,803
79,1,0.212,0.3887,-0.4624,0,221,860
79,2,-0.0511,1.5826,-0.6132,-0.4823,175,678
79,4,3.3913,6.1686,-0.212,-0.4823,170,851
79,5,-3.9291,8.4522,0.2807,-0.4823,171,790
80,1,0.212,0.3887,-0.4624,0,206,875
80,3,3.1793,6.284,0,-0.4823,185,842
80,5,6.3033,9.0186,-0.6635,-0.4823,152,765
81,1,0.1927,0.3986,-0.4624,0,194,883
81,3,3.1668,6.2592,0,-0.4823,187,837
81,5,5.2947,9.6364,0,-0.4823,168,761
82,1,0.1927,0.3986,-0.4624,0,206,873
82,2,3.589,6.0122,-0.4222,-0.4823,223,804
