frame_id,point_id,x,y,z,doppler,snr,noise
1,5,1.1494,9.4783,0,0,295,753
3,1,0.0369,0.2344,-0.1935,0,157,806
3,5,1.4368,9.4346,-0.2874,0,297,752
4,1,0.0369,0.2344,-0.1935,0,158,806
4,7,1.4368,9.4346,-0.2874,0,297,752
7,4,1.4368,9.4346,-0.2874,0,301,748
8,7,1.1494,9.4783,0,0,300,749
9,4,1.4368,9.4346,-0.2874,0,300,750
10,1,0.0369,0.2344,-0.1935,0,156,805
10,7,1.4368,9.4346,-0.2874,0,294,755
11,1,0.0369,0.2344,-0.1935,0,153,809
11,5,1.1494,9.4783,0,0,299,750
12,5,1.1494,9.4783,0,0,296,753
10,7,1.1494,9.4783,0,0,296,753
14,1,0.0369,0.2344,-0.1935,0,161,800
14,8,1.1494,9.4783,0,0,297,752
15,1,0.0369,0.2417,-0.1843,0,156,806
15,7,1.4368,9.4346,-0.2874,0,298,751
16,7,1.4368,9.4346,-0.2874,0,294,755
17,1,0.0369,0.2344,-0.1935,0,153,809
17,8,1.4368,9.4346,-0.2874,0,301,748
18,1,0.0369,0.2344,-0.1935,0,155,807
18,7,1.4368,9.4346,-0.2874,0,304,745
19,5,1.4368,9.4346,-0.2874,0,295,753
20,5,1.1494,9.4783,0,0,296,753
21,1,0.0369,0.2344,-0.1935,0,151,810
21,5,1.4368,9.4346,-0.2874,0,296,753
22,1,0.0369,0.2344,-0.1935,0,151,808
22,6,1.4368,9.4346,-0.2874,0,295,754
23,5,1.4368,9.4346,-0.2874,0,295,754
24,1,0.0369,0.2344,-0.1935,0,150,812
24,6,1.4368,9.4346,-0.2874,0,300,748
25,1,0.0369,0.2344,-0.1935,0,151,809
25,7,1.1494,9.4783,0,0,296,753
26,6,1.4368,9.4346,-0.2874,0,298,751
27,7,1.4368,9.4346,-0.2874,0,298,751
28,1,0.0369,0.2344,-0.1935,0,153,808
28,5,1.1494,9.4783,0,0,299,750
29,6,1.1494,9.4783,0,0,298,751
30,1,0.0369,0.2344,-0.1935,0,154,806
30,5,1.1494,9.4783,0,0,295,754
31,1,0.0369,0.2417,-0.1843,0,156,805
31,5,1.1494,9.4783,0,0,293,756
32,6,1.1494,9.4783,0,0,295,754
33,1,0.0369,0.2417,-0.1843,0,157,803
33,5,1.1494,9.4783,0,0,295,754
34,1,0.0369,0.2344,-0.1935,0,150,812
34,8,1.4368,9.4346,-0.2874,0,295,754
35,1,0.0369,0.2344,-0.1935,0,150,808
35,5,1.4368,9.4346,-0.2874,0,299,750
36,1,0.0369,0.2344,-0.1935,0,152,810
36,8,1.1494,9.4783,0,0,295,754
37,1,0.0369,0.2344,-0.1935,0,156,805
37,6,1.4368,9.4346,-0.2874,0,297,752
38,6,1.4368,9.4346,-0.2874,0,298,751
39,1,0.0369,0.2344,-0.1935,0,153,808
39,6,1.4368,9.4346,-0.2874,0,299,750
40,4,1.1494,9.4783,0,0,297,752
41,1,0.0369,0.2344,-0.1935,0,150,809
41,6,1.4368,9.4346,-0.2874,0,297,751
42,1,0.0369,0.2344,-0.1935,0,153,806
42,6,1.4368,9.4346,-0.2874,0,295,754
43,1,0.0369,0.2344,-0.1935,0,152,809
43,7,1.1494,9.4783,0,0,296,753
44,1,0.0369,0.2344,-0.1935,0,151,809
44,5,1.4368,9.4346,-0.2874,0,300,749
45,1,0.0369,0.2417,-0.1843,0,150,811
45,7,1.4368,9.4346,-0.2874,0,297,752
46,4,1.4368,9.4346,-0.2874,0,295,754
47,4,1.1494,9.4783,0,0,295,754
48,4,1.4368,9.4346,-0.2874,0,297,752
49,1,0.0369,0.2417,-0.1843,0,154,808
49,5,1.1494,9.4783,0,0,291,758
50,1,0.0369,0.2344,-0.1935,0,153,807
50,6,1.4368,9.4346,-0.2874,0,292,757
51,5,1.1494,9.4783,0,0,298,752
52,1,0.0369,0.2417,-0.1843,0,150,810
52,6,1.4368,9.4346,-0.2874,0,299,750
53,4,1.4368,9.4346,-0.2874,0,294,755
54,1,0.0369,0.2417,-0.1843,0,153,808
54,8,1.4368,9.4346,-0.2874,0,293,756
55,1,0.0369,0.2344,-0.1935,0,156,805
55,5,1.1494,9.4783,0,0,295,753
56,1,0.0369,0.2344,-0.1935,0,153,806
56,7,1.1494,9.4783,0,0,294,755
57,1,0.0369,0.2344,-0.1935,0,155,806
57,7,1.4368,9.4346,-0.2874,0,296,752
58,1,0.0369,0.2344,-0.1935,0,155,806
58,5,1.4368,9.4346,-0.2874,0,295,754
59,1,0.0369,0.2417,-0.1843,0,152,810
59,5,1.4368,9.4346,-0.2874,0,295,753
60,4,1.1494,9.4783,0,0,298,751
