frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.0754,0.2156,-0.1592,0,194,821
1,3,2.262,7.0775,-1.131,0,169,841
1,4,-5.1573,7.9194,1.1461,0,179,714
1,5,-0.8595,8.1342,4.8708,0,179,714
2,1,-0.0754,0.2156,-0.1592,0,195,822
2,3,2.262,7.0775,-1.131,0,167,842
2,4,2.3122,7.2679,-0.9249,0,150,822
2,5,-5.1573,7.9194,1.1461,0,178,713
2,6,-0.8595,8.1342,4.8708,0,178,713
3,1,-0.0754,0.2156,-0.1592,0,194,822
3,3,2.262,7.0775,-1.131,0,170,840
3,4,-5.1573,7.9194,1.1461,0,173,717
3,5,-1.1461,8.0988,4.8708,0,173,717
4,1,-0.0754,0.2156,-0.1592,0,191,825
4,3,2.262,7.0775,-1.131,0,167,842
4,4,-5.1573,7.9194,1.1461,0,173,716
4,5,-0.8595,8.1342,4.8708,0,173,716
5,1,-0.0754,0.2156,-0.1592,0,197,818
5,3,2.262,7.0775,-1.131,0,171,839
5,4,2.5435,7.1567,-1.1561,0,152,821
5,5,-5.1573,7.9194,1.1461,0,176,715
5,6,-0.8595,8.1342,4.8708,0,176,715
6,1,-0.0754,0.2156,-0.1592,0,191,823
6,3,2.262,7.0775,-1.131,0,168,841
6,4,2.3122,7.2679,-0.9249,0,152,823
6,5,-4.8708,8.1342,0.8595,0,181,709
6,6,-0.8595,8.1342,4.8708,0,181,709
7,1,-0.0754,0.2156,-0.1592,0,197,819
7,3,2.262,7.0775,-1.131,0,168,841
7,4,2.5435,7.1567,-1.1561,0,154,821
7,5,-5.1573,7.9194,1.1461,0,179,712
7,6,-0.8595,8.1342,4.8708,0,179,712
8,1,-0.0754,0.2156,-0.1592,0,189,825
8,3,2.262,7.0775,-1.131,0,168,841
8,4,2.5435,7.1567,-1.1561,0,152,823
8,5,2.3122,7.2679,-0.9249,0,152,823
8,6,-5.1573,7.9194,1.1461,0,180,711
8,7,-1.1461,7.9194,5.1573,0,180,711
9,1,-0.0754,0.2156,-0.1592,0,191,825
