frame_id,point_id,x,y,z,doppler,snr,noise
1,4,3.9626,4.4813,0.1801,0,184,780
1,5,-1.1461,9.4463,-0.2865,0,233,797
2,4,3.9626,4.4813,0.1801,0,179,785
2,5,-1.1461,9.4463,-0.2865,0,236,794
2,8,4.7736,9.9934,2.3868,0,168,760
3,4,3.9626,4.4813,0.1801,0,183,780
3,5,-1.1461,9.4463,-0.2865,0,233,796
3,8,4.7736,9.9934,2.3868,0,167,762
4,4,3.9626,4.4813,0.1801,0,178,785
4,5,-1.1461,9.4463,-0.2865,0,233,797
4,8,5.1146,9.8999,2.0458,0,161,768
7,4,3.9626,4.4849,0,0,180,783
7,5,-1.1461,9.4463,-0.2865,0,235,795
7,8,4.7736,9.9934,2.3868,0,157,770
8,4,3.9626,4.4849,0,0,181,782
8,5,-1.1461,9.4463,-0.2865,0,231,798
8,8,4.7736,9.9934,2.3868,0,159,770
9,4,3.9626,4.4813,0.1801,0,181,783
9,5,-1.1461,9.4463,-0.2865,0,235,795
10,4,3.9626,4.4813,0.1801,0,182,783
10,5,-1.1461,9.4463,-0.2865,0,233,797
10,8,4.7736,9.9934,2.3868,0,161,768
11,4,3.9626,4.4813,0.1801,0,178,785
11,5,-1.1461,9.4463,-0.2865,0,232,798
11,8,5.1146,9.8999,2.0458,0,158,771
12,4,3.9626,4.4813,0.1801,0,180,783
12,5,-1.1461,9.4463,-0.2865,0,232,798
12,8,4.7736,9.9934,2.3868,0,164,766
10,4,3.9626,4.4813,0.1801,0,181,783
10,5,-1.1461,9.4463,-0.2865,0,231,799
10,8,5.1146,9.8999,2.0458,0,167,762
14,4,3.9626,4.4813,0.1801,0,178,785
14,5,-1.1461,9.4463,-0.2865,0,233,797
14,8,5.1146,9.8999,2.0458,0,157,771
15,4,3.9626,4.4813,0.1801,0,183,780
15,5,-1.1461,9.4463,-0.2865,0,232,798
15,8,5.1146,9.8999,2.0458,0,157,773
16,4,3.9626,4.4813,0.1801,0,181,782
16,5,-1.1461,9.4463,-0.2865,0,228,802
17,4,3.9626,4.4813,0.1801,0,183,780
17,5,-1.1461,9.4463,-0.2865,0,230,800
18,4,3.9626,4.4813,0.1801,0,183,780
18,5,-1.1461,9.4463,-0.2865,0,233,796
18,8,4.7736,10.0687,2.0458,0,164,766
19,4,3.9626,4.4813,0.1801,0,182,778
19,5,-1.1461,9.4463,-0.2865,0,233,797
19,8,4.7736,10.0687,2.0458,0,162,768
19,9,5.1146,9.8999,2.0458,0,162,768
20,4,3.9626,4.4849,0,0,181,782
20,5,-1.1461,9.4463,-0.2865,0,231,799
20,8,4.7736,10.0687,2.0458,0,159,771
21,4,3.9626,4.4813,0.1801,0,182,778
21,5,-1.1461,9.4463,-0.2865,0,234,796
21,8,4.7736,9.9934,2.3868,0,160,771
22,4,3.9626,4.4813,0.1801,0,183,780
22,5,-1.1461,9.4463,-0.2865,0,228,802
22,8,4.7736,9.9934,2.3868,0,158,772
23,4,3.9626,4.4813,0.1801,0,181,782
23,5,-1.1461,9.4463,-0.2865,0,232,798
23,8,5.1146,9.8999,2.0458,0,158,772
24,4,3.9626,4.4813,0.1801,0,181,782
24,5,-1.1461,9.4463,-0.2865,0,230,799
24,8,4.7736,9.9934,2.3868,0,156,773
25,4,3.9626,4.4813,0.1801,0,181,782
25,5,-1.1461,9.4463,-0.2865,0,234,796
25,8,4.7736,9.9934,2.3868,0,156,774
26,4,3.9626,4.4813,0.1801,0,181,782
26,5,-1.1461,9.4463,-0.2865,0,230,799
26,8,5.1146,9.8999,2.0458,0,154,776
27,4,3.9626,4.4849,0,0,181,778
27,5,-1.1461,9.4463,-0.2865,0,231,798
27,8,4.7736,9.9934,2.3868,0,156,775
28,4,3.9626,4.4813,0.1801,0,180,783
28,5,-1.1461,9.4463,-0.2865,0,228,802
28,8,4.7736,9.9934,2.3868,0,155,774
29,4,3.9626,4.4849,0,0,180,783
29,5,-1.1461,9.4463,-0.2865,0,230,799
29,8,4.7736,9.9934,2.3868,0,153,777
30,4,3.9626,4.4849,0,0,179,784
30,5,-1.1461,9.4463,-0.2865,0,232,797
30,8,4.7736,9.9934,2.3868,0,156,773
31,4,3.9626,4.4813,0.1801,0,188,775
31,5,-1.1461,9.4463,-0.2865,0,233,796
31,8,4.7736,9.9934,2.3868,0,164,766
32,4,3.9626,4.4813,0.1801,0,177,786
32,5,-1.1461,9.4463,-0.2865,0,234,796
32,8,4.7736,9.9934,2.3868,0,162,768
33,4,3.9626,4.4849,0,0,181,782
33,5,-1.1461,9.4463,-0.2865,0,233,797
33,8,4.7736,9.9934,2.3868,0,158,773
34,4,3.9626,4.4813,0.1801,0,180,783
34,5,-1.1461,9.4463,-0.2865,0,233,796
34,8,4.7736,10.0687,2.0458,0,153,779
35,4,3.9626,4.4813,0.1801,0,179,784
35,5,-1.1461,9.4463,-0.2865,0,233,797
35,8,4.7736,9.9934,2.3868,0,158,775
36,4,3.9626,4.4813,0.1801,0,180,783
36,5,-1.1461,9.4463,-0.2865,0,234,796
36,8,4.7736,10.0687,2.0458,0,160,772
36,9,5.1146,9.8999,2.0458,0,160,772
37,4,3.9626,4.4813,0.1801,0,180,783
37,5,-1.1461,9.4463,-0.2865,0,236,794
37,8,4.7736,10.0687,2.0458,0,156,776
38,4,3.9626,4.4813,0.1801,0,180,782
38,5,-1.1461,9.4463,-0.2865,0,235,795
38,8,4.7736,10.0687,2.0458,0,161,772
39,4,3.9626,4.4813,0.1801,0,184,779
39,5,-1.1461,9.4463,-0.2865,0,234,795
40,4,3.9626,4.4813,0.1801,0,178,785
40,5,-1.1461,9.4463,-0.2865,0,233,796
41,4,3.9626,4.4849,0,0,183,779
41,5,-1.1461,9.4463,-0.2865,0,234,795
42,4,3.9626,4.4813,0.1801,0,187,776
42,5,-1.1461,9.4463,-0.2865,0,232,797
43,4,3.9626,4.4849,0,0,184,779
43,5,-1.1461,9.4463,-0.2865,0,234,796
44,4,3.9626,4.4849,0,0,183,780
44,5,-1.1461,9.4463,-0.2865,0,232,797
45,4,3.9626,4.4849,0,0,183,780
45,5,-1.1461,9.4463,-0.2865,0,236,794
46,4,3.9626,4.4849,0,0,181,783
46,5,-1.1461,9.4463,-0.2865,0,232,797
47,4,3.9626,4.4813,0.1801,0,181,782
47,5,-1.1461,9.4463,-0.2865,0,233,797
48,4,3.9626,4.4813,0.1801,0,180,783
48,5,-1.1461,9.4463,-0.2865,0,234,796
49,4,3.9626,4.4813,0.1801,0,177,785
49,5,-1.1461,9.4463,-0.2865,0,234,796
50,4,3.9626,4.4813,0.1801,0,180,783
50,5,-1.1461,9.4463,-0.2865,0,232,798
50,8,4.7736,10.0687,2.0458,0,168,762
50,9,3.0537,10.8468,0.3393,-0.9646,232,577
51,4,3.9626,4.4849,0,0,181,778
51,5,-1.1461,9.4463,-0.2865,0,233,797
51,8,5.1146,9.8999,2.0458,0,161,771
51,9,3.3511,10.597,-0.6702,-1.9293,189,561
51,10,3.7322,10.6324,-0.3393,-0.9646,242,593
52,4,3.9626,4.4813,0.1801,0,182,778
52,5,-1.1461,9.4463,-0.2865,0,232,797
52,8,5.1146,9.8999,2.0458,0,163,766
52,9,3.6862,10.4851,-0.6702,-1.4469,228,571
53,4,3.9626,4.4813,0.1801,0,177,786
53,5,-1.1461,9.4463,-0.2865,0,231,798
53,8,3.031,10.7717,0,-0.9646,241,601
54,4,3.9626,4.4849,0,0,180,783
54,5,-1.1461,9.4463,-0.2865,0,235,795
