frame_id,point_id,x,y,z,doppler,snr,noise
1,3,-2.6414,2.5289,0,0,113,622
2,4,-2.6414,2.5289,0,0,121,615
3,4,-2.6414,2.5289,0,0,124,613
4,4,-2.6414,2.5289,0,0,129,609
7,4,-2.6414,2.5289,0,0,135,606
8,4,-2.6414,2.5289,0,0,136,605
9,3,-2.616,2.5046,0,0,123,615
9,8,0.2921,0.1858,-0.2413,5.7878,220,496
9,9,0.1651,0.2937,0.254,5.7878,220,496
10,3,-2.616,2.5023,-0.109,0,118,619
11,4,-2.616,2.5046,0,0,123,617
11,8,0.2921,0.1858,-0.2413,6.7524,225,489
11,9,0.1524,0.3005,0.254,6.7524,225,489
11,10,-0.2159,0.1497,0.3302,6.7524,225,489
12,4,-2.507,2.6137,0,0,125,618
12,8,0.2413,0.2352,-0.254,-1.9293,125,542
12,9,0.1397,0.2956,0.2667,-1.9293,125,542
12,10,-0.1778,0.3159,-0.2159,-1.9293,125,542
10,4,-2.616,2.5046,0,0,116,629
14,3,-2.507,2.6137,0,0,131,612
15,3,-2.507,2.6137,0,0,123,620
16,3,-2.616,2.5046,0,0,120,620
20,7,0.2413,0.2482,-0.2413,-2.8939,150,521
20,8,0.1397,0.2956,0.2667,-2.8939,150,521
20,9,-0.1905,0.317,-0.2032,-2.8939,150,521
21,1,0.0741,0.2929,-0.1799,0,144,588
21,7,0.2413,0.2482,-0.2413,-1.9293,130,542
21,8,0.1524,0.2893,0.2667,-1.9293,130,542
21,9,-0.1778,0.3243,-0.2032,-1.9293,130,542
22,4,3.197,4.5834,0.1683,0,121,644
23,1,-0.0349,0.3372,-0.1863,0,131,582
23,2,0.2445,0.271,-0.128,0,131,582
24,4,-2.834,2.2444,-0.218,0,119,616
25,5,-2.725,2.3831,-0.109,0,136,609
26,5,-2.725,2.3856,0,0,139,607
26,7,2.9525,4.5811,0,0,120,647
27,6,2.9525,4.5811,0,0,119,655
27,11,0.2667,0.2059,-0.254,-1.9293,123,540
27,12,0.1524,0.3005,0.254,-1.9293,123,540
28,4,-2.507,2.6114,0.109,0,116,616
28,6,2.9525,4.5781,-0.164,0,119,656
29,3,-2.5906,2.478,0.1079,0,114,611
29,4,2.9525,4.5811,0,0,115,662
30,3,-2.779,2.1643,0,0,131,597
30,4,2.9335,4.5486,-0.163,0,113,658
31,2,2.9144,4.5191,-0.1619,0,117,647
33,1,0.381,0.0984,-0.1524,0,139,572
33,2,-0.1524,0.3678,-0.1397,0,139,572
34,1,0.3143,0.193,-0.1164,0,127,589
34,2,0.0698,0.349,-0.1513,0,127,589
34,4,2.2223,2.7249,0,0,120,592
34,5,-2.2223,2.7063,0.3175,0,120,592
35,4,-2.3049,2.5748,0.4191,0,116,600
36,1,0.3302,0.2225,-0.1397,0,150,588
37,1,0.291,0.2131,-0.1397,0,162,593
38,1,0.2677,0.2417,-0.1397,0,161,610
39,1,0.2328,0.2693,-0.1513,0,140,606
41,1,0.2011,0.2409,-0.1587,0,117,625
