frame_id	accel_x	accel_y	accel_z	free_accel_x	free_accel_y	free_accel_z	delta_v_x	delta_v_y	delta_v_z	delta_q_w	delta_q_x	delta_q_y	delta_q_z	rate_x	rate_y	rate_z	quat_w	quat_x	quat_y	quat_z	mag_x	mag_y	mag_z	temperature	status_byte	packet_counter	time_fine
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	-0.704518	-0.0718411	9.7958	0.977622	-0.716887	0.881371	-0.00704866	-0.000726283	0.0979577	1	3.8119e-05	-1.7952e-05	2.86328e-05	0.0076238	-0.00359039	0.00572656	0	0	0	0	0.0646161	0.51539	-0.980746	33.9375	3	44877	4537777
7	-0.704518	-0.0718411	9.7958	0.977622	-0.716887	0.881371	-0.00704866	-0.000726283	0.0979577	1	3.8119e-05	-1.7952e-05	2.86328e-05	0.0076238	-0.00359039	0.00572656	0	0	0	0	0.0646161	0.51539	-0.980746	33.9375	3	44877	4537777
8	-0.704518	-0.0718411	9.7958	0.977622	-0.716887	0.881371	-0.00704866	-0.000726283	0.0979577	1	3.8119e-05	-1.7952e-05	2.86328e-05	0.0076238	-0.00359039	0.00572656	0	0	0	0	0.0646161	0.51539	-0.980746	33.9375	3	44877	4537777
9	-0.704518	-0.0718411	9.7958	0.977622	-0.716887	0.881371	-0.00704866	-0.000726283	0.0979577	1	3.8119e-05	-1.7952e-05	2.86328e-05	0.0076238	-0.00359039	0.00572656	0	0	0	0	0.0646161	0.51539	-0.980746	33.9375	3	44877	4537777
10	-0.704518	-0.0718411	9.7958	0.977622	-0.716887	0.881371	-0.00704866	-0.000726283	0.0979577	1	3.8119e-05	-1.7952e-05	2.86328e-05	0.0076238	-0.00359039	0.00572656	0	0	0	0	0.0646161	0.51539	-0.980746	33.9375	3	44877	4537777
11	-0.772982	-0.0878817	9.76383	0.0386845	-0.508329	0.961946	-0.00773172	-0.000889718	0.097638	1	5.43744e-05	-9.87403e-06	1.83376e-05	0.0108749	-0.00197481	0.00366751	0	0	0	0	0.0674387	0.520713	-0.979631	34	1	47925	4844064
12	-0.737455	-0.0957304	9.78625	0.0786837	-0.519037	0.988999	-0.00737495	-0.000968143	0.0978624	1	5.4069e-05	-2.2037e-06	1.73204e-05	0.0108138	-0.000440741	0.00346409	0	0	0	0	0.0604336	0.513872	-0.97571	34	1	47928	4844364
10	-0.714622	-0.0802121	9.77503	0.0884559	-0.506102	0.971913	-0.00714563	-0.000806672	0.0977503	1	2.2091e-05	2.91503e-06	1.62999e-05	0.00441821	0.000583007	0.00325998	0	0	0	0	0.0625853	0.517411	-0.983722	34	1	47932	4844764
