frame_id	accel_x	accel_y	accel_z	free_accel_x	free_accel_y	free_accel_z	delta_v_x	delta_v_y	delta_v_z	delta_q_w	delta_q_x	delta_q_y	delta_q_z	rate_x	rate_y	rate_z	quat_w	quat_x	quat_y	quat_z	mag_x	mag_y	mag_z	temperature	status_byte	packet_counter	time_fine
2134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	-0.741165	-0.0746414	9.78181	-0.130902	-0.586645	0.983349	-0.00741496	-0.000756619	0.0978178	1	4.98033e-05	-1.71399e-05	3.11082e-05	0.00996067	-0.00342799	0.00622164	0	0	0	0	0.00723702	0.507284	-0.991773	33.625	3	34203	3467432
7	-0.741165	-0.0746414	9.78181	-0.130902	-0.586645	0.983349	-0.00741496	-0.000756619	0.0978178	1	4.98033e-05	-1.71399e-05	3.11082e-05	0.00996067	-0.00342799	0.00622164	0	0	0	0	0.00723702	0.507284	-0.991773	33.625	3	34203	3467432
8	-0.741165	-0.0746414	9.78181	-0.130902	-0.586645	0.983349	-0.00741496	-0.000756619	0.0978178	1	4.98033e-05	-1.71399e-05	3.11082e-05	0.00996067	-0.00342799	0.00622164	0	0	0	0	0.00723702	0.507284	-0.991773	33.625	3	34203	3467432
9	-0.741165	-0.0746414	9.78181	-0.130902	-0.586645	0.983349	-0.00741496	-0.000756619	0.0978178	1	4.98033e-05	-1.71399e-05	3.11082e-05	0.00996067	-0.00342799	0.00622164	0	0	0	0	0.00723702	0.507284	-0.991773	33.625	3	34203	3467432
10	-0.741165	-0.0746414	9.78181	-0.130902	-0.586645	0.983349	-0.00741496	-0.000756619	0.0978178	1	4.98033e-05	-1.71399e-05	3.11082e-05	0.00996067	-0.00342799	0.00622164	0	0	0	0	0.00723702	0.507284	-0.991773	33.625	3	34203	3467432
11	-0.754019	-0.0809248	9.78421	0.143337	-0.499638	0.989489	-0.00754238	-0.000820101	0.0978419	1	5.3933e-05	-1.13675e-05	1.98594e-05	0.0107866	-0.0022735	0.00397187	0	0	0	0	0.00480722	0.508767	-0.991729	33.625	1	34205	3469102
12	-0.748849	-0.0740353	9.79646	0.148195	-0.494143	1.00058	-0.00749167	-0.000751532	0.0979642	1	5.61961e-05	-1.63277e-05	1.12262e-05	0.0112392	-0.00326555	0.00224524	0	0	0	0	0.00909266	0.510692	-0.992211	33.625	1	34208	3469402
10	-0.758717	-0.0605033	9.78373	0.134713	-0.482499	0.988228	-0.00758726	-0.000614474	0.0978373	1	4.63464e-05	-6.1654e-07	2.45309e-05	0.00926928	-0.000123308	0.00490618	0	0	0	0	0.0067891	0.508228	-0.98973	33.625	1	34212	3469802
14	-0.775123	-0.0677101	9.77394	0.11826	-0.499764	0.978133	-0.00775185	-0.000687403	0.0977393	1	5.13362e-05	-3.29514e-06	1.72204e-05	0.0102672	-0.000659029	0.00344409	0	0	0	0	0.00771387	0.506801	-0.992291	33.625	1	34215	3470102
15	-0.748049	-0.0634274	9.78162	0.143119	-0.493821	0.986042	-0.00748243	-0.000646088	0.0978159	1	5.85077e-05	-1.00733e-05	2.4581e-05	0.0117015	-0.00201466	0.0049162	0	0	0	0	0.00722514	0.508738	-0.991235	33.625	1	34219	3470502
16	-0.78211	-0.0579545	9.77816	0.110623	-0.492982	0.987386	-0.00782365	-0.000586829	0.0977813	1	3.58187e-05	-1.31706e-05	1.78534e-05	0.00716375	-0.00263413	0.00357068	0	0	0	0	0.00622971	0.507807	-0.993272	33.625	1	34222	3470802
17	-0.759975	-0.0671581	9.79522	0.1325	-0.507912	0.998163	-0.00759866	-0.000680941	0.0979522	1	4.58473e-05	5.4371e-06	2.4894e-05	0.00916945	0.00108742	0.0049788	0	0	0	0	0.00816271	0.508748	-0.99225	33.625	1	34225	3471102
18	-0.750011	-0.0512383	9.78581	0.143485	-0.493302	0.989213	-0.00750594	-0.000521428	0.0978576	1	4.57167e-05	-2.97931e-05	6.48935e-06	0.00914334	-0.00595862	0.00129787	0	0	0	0	0.00572818	0.508308	-0.993763	33.625	1	34228	3471402
19	-0.716991	-0.070406	9.7905	0.17299	-0.517015	0.988681	-0.00717211	-0.000714381	0.0979048	1	5.07461e-05	-1.14418e-05	2.67997e-05	0.0101492	-0.00228837	0.00535993	0	0	0	0	0.00859494	0.510226	-0.993229	33.625	1	34232	3471802
20	-0.713334	-0.0626699	9.78545	0.175525	-0.508695	0.986356	-0.00713664	-0.00063347	0.0978542	1	3.19445e-05	-1.71083e-05	3.63793e-05	0.00638889	-0.00342166	0.00727586	0	0	0	0	0.0082486	0.50724	-0.989758	33.625	1	34235	3472102
21	-0.739319	-0.0613717	9.78123	0.142933	-0.516413	0.983648	-0.00739505	-0.000623601	0.0978121	1	5.00697e-05	-9.54803e-06	6.04436e-06	0.0100139	-0.00190961	0.00120887	0	0	0	0	0.00664107	0.508336	-0.995787	33.625	1	34239	3472502
22	-0.706489	-0.0593411	9.78033	0.180249	-0.521942	0.979882	-0.00706496	-0.000603758	0.0978033	1	5.14312e-05	-4.91925e-07	2.02436e-05	0.0102862	-9.8385e-05	0.00404871	0	0	0	0	0.00676443	0.508246	-0.990739	33.625	1	34242	3472802
23	-0.734884	-0.054353	9.78973	0.145665	-0.519375	0.98813	-0.0073517	-0.000551293	0.0978971	1	3.83257e-05	-1.47036e-05	1.76469e-05	0.00766514	-0.00294073	0.00352938	0	0	0	0	0.00862296	0.507796	-0.993788	33.625	1	34245	3473102
24	-0.771059	-0.0449642	9.77717	0.112371	-0.502591	0.973791	-0.00771443	-0.000457234	0.0977714	1	3.64834e-05	-1.97702e-05	2.96647e-05	0.00729669	-0.00395403	0.00593293	0	0	0	0	0.00816697	0.509227	-0.991734	33.625	1	34249	3473502
25	-0.755436	-0.0744259	9.77411	0.120756	-0.540129	0.977576	-0.00755993	-0.000753436	0.0977406	1	4.65959e-05	-2.8573e-05	4.55077e-06	0.00931918	-0.00571459	0.000910154	0	0	0	0	0.00627052	0.506813	-0.992284	33.625	1	34252	3473802
26	-0.749094	-0.0637913	9.78263	0.133197	-0.538079	0.977432	-0.0074937	-0.000649378	0.097826	1	5.79432e-05	-1.41224e-05	8.53288e-06	0.0115886	-0.00282448	0.00170658	0	0	0	0	0.0067687	0.508724	-0.990223	33.625	1	34255	3474102
27	-0.752771	-0.0643877	9.78672	0.131224	-0.542355	0.987971	-0.00753062	-0.000651161	0.0978669	1	3.55673e-05	-1.49867e-05	2.14204e-05	0.00711346	-0.00299735	0.00428407	0	0	0	0	0.00626625	0.506335	-0.9928	33.625	1	34258	3474402
