frame_id	accel_x	accel_y	accel_z	free_accel_x	free_accel_y	free_accel_z	delta_v_x	delta_v_y	delta_v_z	delta_q_w	delta_q_x	delta_q_y	delta_q_z	rate_x	rate_y	rate_z	quat_w	quat_x	quat_y	quat_z	mag_x	mag_y	mag_z	temperature	status_byte	packet_counter	time_fine
2199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	-0.682102	0.0309764	9.79103	-0.44304	-1.17052	0.918051	-0.00682153	0.000303209	0.0979103	1	3.25682e-05	-2.58933e-06	1.30108e-05	0.00651365	-0.000517867	0.00260215	0	0	0	0	0.0556899	0.506501	-0.998075	33.125	3	22850	2330682
7	-0.682102	0.0309764	9.79103	-0.44304	-1.17052	0.918051	-0.00682153	0.000303209	0.0979103	1	3.25682e-05	-2.58933e-06	1.30108e-05	0.00651365	-0.000517867	0.00260215	0	0	0	0	0.0556899	0.506501	-0.998075	33.125	3	22850	2330682
8	-0.682102	0.0309764	9.79103	-0.44304	-1.17052	0.918051	-0.00682153	0.000303209	0.0979103	1	3.25682e-05	-2.58933e-06	1.30108e-05	0.00651365	-0.000517867	0.00260215	0	0	0	0	0.0556899	0.506501	-0.998075	33.125	3	22850	2330682
9	-0.682102	0.0309764	9.79103	-0.44304	-1.17052	0.918051	-0.00682153	0.000303209	0.0979103	1	3.25682e-05	-2.58933e-06	1.30108e-05	0.00651365	-0.000517867	0.00260215	0	0	0	0	0.0556899	0.506501	-0.998075	33.125	3	22850	2330682
10	-0.682102	0.0309764	9.79103	-0.44304	-1.17052	0.918051	-0.00682153	0.000303209	0.0979103	1	3.25682e-05	-2.58933e-06	1.30108e-05	0.00651365	-0.000517867	0.00260215	0	0	0	0	0.0556899	0.506501	-0.998075	33.125	3	22850	2330682
11	-0.73288	-0.118472	9.7613	0.0655909	-0.495007	0.984199	-0.00732927	-0.00119653	0.0976128	1	5.99697e-05	-2.50696e-06	7.03744e-06	0.0119939	-0.000501392	0.00140749	0	0	0	0	0.0545283	0.5134	-1.00145	33.375	1	27080	2755132
12	-0.661298	-0.0610927	9.79083	0.122452	-0.445921	1.03031	-0.00661606	-0.000625354	0.097908	1	7.26038e-05	-1.58162e-05	1.59374e-05	0.0145208	-0.00316324	0.00318747	0	0	0	0	0.0531946	0.508995	-1.00003	33.375	1	27083	2755432
10	-0.867606	-0.115603	9.7835	-0.153868	-0.485932	1.02764	-0.00871444	-0.00115889	0.0978315	1	1.40038e-05	-0.00019625	6.9929e-06	0.00280076	-0.03925	0.00139858	0	0	0	0	0.0556011	0.511866	-0.997955	33.375	1	27086	2755732
14	-0.8354	0.0405484	9.71242	-0.08202	-0.34213	0.910527	-0.00835018	0.000398491	0.0971246	1	3.43187e-05	1.97696e-05	1.95241e-05	0.00686375	0.00395392	0.00390482	0	0	0	0	0.0536881	0.508982	-0.999525	33.375	1	27090	2756132
15	-0.89623	-0.067691	9.81442	-0.0643019	-0.455313	1.09216	-0.00896287	-0.000684117	0.0981441	1	3.58468e-05	-2.95418e-06	9.50231e-06	0.00716936	-0.000590835	0.00190046	0	0	0	0	0.0540021	0.513919	-1.00295	33.375	1	27093	2756432
