frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.649425,-0.0829434,9.7931,0.00774827,-0.887496,0.954407,-0.00649495,-0.000839668,0.0979309,1,5.11E-05,-3.72E-06,1.73E-05,0.0102215,-0.000743194,0.0034563,0,0,0,0,0.0580579,0.517591,-0.991778,30.875,3,6242,668407
7,-0.649425,-0.0829434,9.7931,0.00774827,-0.887496,0.954407,-0.00649495,-0.000839668,0.0979309,1,5.11E-05,-3.72E-06,1.73E-05,0.0102215,-0.000743194,0.0034563,0,0,0,0,0.0580579,0.517591,-0.991778,30.875,3,6242,668407
8,-0.649425,-0.0829434,9.7931,0.00774827,-0.887496,0.954407,-0.00649495,-0.000839668,0.0979309,1,5.11E-05,-3.72E-06,1.73E-05,0.0102215,-0.000743194,0.0034563,0,0,0,0,0.0580579,0.517591,-0.991778,30.875,3,6242,668407
9,-0.649425,-0.0829434,9.7931,0.00774827,-0.887496,0.954407,-0.00649495,-0.000839668,0.0979309,1,5.11E-05,-3.72E-06,1.73E-05,0.0102215,-0.000743194,0.0034563,0,0,0,0,0.0580579,0.517591,-0.991778,30.875,3,6242,668407
10,-0.649425,-0.0829434,9.7931,0.00774827,-0.887496,0.954407,-0.00649495,-0.000839668,0.0979309,1,5.11E-05,-3.72E-06,1.73E-05,0.0102215,-0.000743194,0.0034563,0,0,0,0,0.0580579,0.517591,-0.991778,30.875,3,6242,668407
11,-0.78956,0.0354464,9.78057,0.0661047,-0.411851,0.993095,-0.00790107,0.00034981,0.0978053,1,2.23E-05,-2.79E-05,1.80E-05,0.00446697,-0.00557791,0.00360496,0,0,0,0,0.0678397,0.514503,-0.987347,32.875,1,19738,2019482
12,-0.873378,-0.0385395,9.78931,-0.0197036,-0.506491,1.00519,-0.0087353,-0.00039744,0.0978929,1,5.92E-05,-7.86E-06,2.64E-05,0.0118338,-0.00157215,0.00527643,0,0,0,0,0.0673216,0.514534,-0.988859,32.875,1,19741,2019782
10,-0.864901,0.00940641,9.76525,-0.0178589,-0.450427,0.988811,-0.00865634,8.00E-05,0.0976519,1,7.06E-05,-3.76E-05,1.75E-05,0.0141177,-0.00751021,0.0035078,0,0,0,0,0.067305,0.514065,-0.989879,32.875,1,19744,2020082
