frame_id	point_id	x	y	z	doppler	snr	noise
2134	1	-1.3031	2.6934	-0.4654	0	56976	52818
2134	2	-0.887	9.5592	-0.5913	0	56976	52818
1	1	-1.3031	2.6934	-0.4654	0	56976	52818
1	2	-0.887	9.5592	-0.5913	0	56976	52818
2	1	-1.3031	2.6934	-0.4654	0	56976	52818
2	2	-0.887	9.5592	-0.5913	0	56976	52818
3	1	-1.3031	2.6934	-0.4654	0	57104	52818
3	2	-0.887	9.5592	-0.5913	0	57104	52818
4	1	-1.3031	2.6934	-0.4654	0	56976	52818
4	2	-0.887	9.5592	-0.5913	0	56976	52818
5	1	-1.3031	2.6934	-0.4654	0	57104	52818
5	2	-0.887	9.5592	-0.5913	0	57104	52818
6	1	-1.3031	2.6934	-0.4654	0	57104	52818
6	2	-0.887	9.5592	-0.5913	0	57104	52818
7	1	-1.3031	2.6934	-0.4654	0	57104	52818
7	2	-0.887	9.5592	-0.5913	0	57104	52818
8	1	-1.3031	2.6934	-0.4654	0	57104	52818
8	2	-0.887	9.5592	-0.5913	0	57104	52818
9	1	-1.3031	2.6934	-0.4654	0	57104	52818
9	2	-0.887	9.5592	-0.5913	0	57104	52818
10	1	-1.3031	2.6934	-0.4654	0	57104	52818
10	2	-0.887	9.5592	-0.5913	0	57104	52818
11	1	-1.3031	2.6934	-0.4654	0	57104	52818
11	2	-0.887	9.5592	-0.5913	0	57104	52818
12	1	-1.3031	2.6934	-0.4654	0	57104	52818
12	2	-0.887	9.5592	-0.5913	0	57104	52818
10	1	-1.3031	2.6934	-0.4654	0	57104	52818
10	2	-0.887	9.5592	-0.5913	0	57104	52818
14	1	-1.3031	2.6934	-0.4654	0	57104	52818
14	2	-0.887	9.5592	-0.5913	0	57104	52818
15	1	-1.3031	2.6934	-0.4654	0	57104	52818
15	2	-0.887	9.5592	-0.5913	0	57104	52818
16	1	-1.3031	2.6934	-0.4654	0	57104	52818
16	2	-0.887	9.5592	-0.5913	0	57104	52818
17	1	-1.3031	2.6934	-0.4654	0	57104	52818
17	2	-0.887	9.5592	-0.5913	0	57104	52818
18	1	-1.3031	2.6934	-0.4654	0	57104	52818
18	2	-0.5913	9.5592	-0.887	0	57104	52818
18	3	-0.887	9.5592	-0.5913	0	57104	52818
19	1	-1.3031	2.6934	-0.4654	0	57104	52818
19	2	-0.887	9.5592	-0.5913	0	57104	52818
20	1	-1.3031	2.6934	-0.4654	0	57104	52818
20	2	-0.5913	9.5592	-0.887	0	57104	52818
21	1	-1.3031	2.6934	-0.4654	0	57104	52818
21	2	-0.5913	9.5592	-0.887	0	57104	52818
22	1	-1.3031	2.6934	-0.4654	0	57104	52818
22	2	-0.887	9.5592	-0.5913	0	57104	52818
23	1	-1.3031	2.6934	-0.4654	0	57104	52818
23	2	-0.887	9.5592	-0.5913	0	57104	52818
24	1	-1.3031	2.6934	-0.4654	0	57104	52818
24	2	-0.887	9.5592	-0.5913	0	57104	52818
25	1	-1.3031	2.6934	-0.4654	0	57104	52818
25	2	-0.887	9.5592	-0.5913	0	57104	52818
26	1	-1.3031	2.6934	-0.4654	0	57104	52818
26	2	-0.887	9.5592	-0.5913	0	57104	52818
27	1	-1.3031	2.6934	-0.4654	0	57104	52818
27	2	-0.887	9.5592	-0.5913	0	57104	52818
28	1	-1.3031	2.6934	-0.4654	0	57104	52818
28	2	-0.887	9.5592	-0.5913	0	57104	52818
29	1	-1.3031	2.6934	-0.4654	0	57104	52818
29	2	-0.887	9.5592	-0.5913	0	57104	52818
30	1	-1.3031	2.6934	-0.4654	0	57104	52818
30	2	-0.887	9.5592	-0.5913	0	57104	52818
31	1	-1.3031	2.6934	-0.4654	0	57104	52818
31	2	-0.887	9.5592	-0.5913	0	57104	52818
32	1	-1.3031	2.6934	-0.4654	0	57104	52818
32	2	-0.887	9.5592	-0.5913	0	57104	52818
33	1	-1.3031	2.6934	-0.4654	0	57104	52818
33	2	-0.887	9.5592	-0.5913	0	57104	52818
34	1	-1.3031	2.6934	-0.4654	0	57104	52818
34	2	-0.887	9.5592	-0.5913	0	57104	52818
35	1	-1.3031	2.6934	-0.4654	0	57104	52818
35	2	-0.887	9.5592	-0.5913	0	57104	52818
36	1	-1.3031	2.6934	-0.4654	0	57104	52818
36	2	2.5186	2.4978	-0.3285	0	57104	52818
36	3	-0.5913	9.5592	-0.887	0	57104	52818
37	1	-1.3031	2.6934	-0.4654	0	57104	52818
37	2	2.5186	2.4978	-0.3285	0	57104	52818
37	3	-0.887	9.5592	-0.5913	0	57104	52818
38	1	-1.3031	2.6934	-0.4654	0	57104	52818
38	2	2.5186	2.4978	-0.3285	0	57104	52818
38	3	-0.887	9.5592	-0.5913	0	57104	52818
39	1	-1.3031	2.6934	-0.4654	0	57104	52818
39	2	2.5186	2.4978	-0.3285	0	57104	52818
39	3	-0.5913	9.5592	-0.887	0	57104	52818
40	1	-1.3031	2.6934	-0.4654	0	57104	52818
