frame_id	point_id	x	y	z	doppler	snr	noise
2199	1	-1.3962	2.2407	-0.4106	0	56976	10874
2199	2	0	9.4225	-0.5804	0	56976	10874
2199	3	5.9133	14.6952	-2.4639	0	56976	10874
1	1	-1.3962	2.2407	-0.4106	0	56976	10874
1	2	0.2902	9.3957	-0.8706	0	56976	10874
1	3	5.9133	14.6952	-2.4639	0	56976	10874
2	1	-1.3962	2.2407	-0.4106	0	56976	10874
2	2	0	9.4225	-0.5804	0	56976	10874
2	3	5.9133	14.6952	-2.4639	0	56976	10874
3	1	-1.3962	2.2407	-0.4106	0	57104	10874
3	2	0.2902	9.3957	-0.8706	0	57104	10874
3	3	0	9.4225	-0.5804	0	57104	10874
3	4	5.9133	14.6952	-2.4639	0	57104	10874
4	1	-1.3962	2.2407	-0.4106	0	56976	10874
4	2	0	9.4225	-0.5804	0	56976	10874
4	3	5.9133	14.6952	-2.4639	0	56976	10874
5	1	-1.4783	2.2012	-0.3285	0	57104	10874
5	2	0	9.4225	-0.5804	0	57104	10874
5	3	5.9133	14.6952	-2.4639	0	57104	10874
6	1	-1.4783	2.2012	-0.3285	0	57104	10874
6	2	0	9.4225	-0.5804	0	57104	10874
6	3	5.9133	14.6952	-2.4639	0	57104	10874
7	1	-1.4783	2.2012	-0.3285	0	57104	10874
7	2	0	9.4225	-0.5804	0	57104	10874
7	3	5.9133	14.6952	-2.4639	0	57104	10874
8	1	-1.3962	2.2542	-0.3285	0	57104	10874
8	2	0	9.4225	-0.5804	0	57104	10874
8	3	5.9133	14.6952	-2.4639	0	57104	10874
9	1	-1.3962	2.2542	-0.3285	0	57104	10874
9	2	0	9.4225	-0.5804	0	57104	10874
9	3	5.9133	14.6952	-2.4639	0	57104	10874
10	1	-1.3962	2.2542	-0.3285	0	57104	10874
10	2	0	9.4225	-0.5804	0	57104	10874
10	3	5.9133	14.6952	-2.4639	0	57104	10874
11	1	-1.3962	2.2542	-0.3285	0	57104	10874
11	2	-2.8745	2.1628	0.9199	0	57104	10874
11	3	2.8745	2.3234	-0.5749	0	57104	10874
11	4	0	9.4225	-0.5804	0	57104	10874
11	5	5.9133	14.6952	-2.4639	0	57104	10874
12	1	-1.3962	2.2542	-0.3285	0	57104	10874
12	2	0	9.4225	-0.5804	0	57104	10874
12	3	5.9133	14.6952	-2.4639	0	57104	10874
10	1	-1.3962	2.2542	-0.3285	0	57104	10874
10	2	0	9.4225	-0.5804	0	57104	10874
10	3	5.9133	14.6952	-2.4639	0	57104	10874
14	1	-1.3962	2.2542	-0.3285	0	57104	10874
14	2	-2.8745	2.1628	0.9199	0	57104	10874
14	3	2.8745	2.3234	-0.5749	0	57104	10874
14	4	0	9.4225	-0.5804	0	57104	10874
14	5	5.9133	14.6952	-2.4639	0	57104	10874
15	1	-1.3962	2.2542	-0.3285	0	57104	10874
15	2	0	9.4225	-0.5804	0	57104	10874
15	3	5.9133	14.6952	-2.4639	0	57104	10874
16	1	-1.3962	2.2542	-0.3285	0	57104	10874
16	2	0	9.4225	-0.5804	0	57104	10874
16	3	5.9133	14.6952	-2.4639	0	57104	10874
17	1	-1.3962	2.2407	-0.4106	0	57104	10874
17	2	0	9.4225	-0.5804	0	57104	10874
17	3	5.9133	14.6952	-2.4639	0	57104	10874
18	1	-1.3962	2.2407	-0.4106	0	57104	10874
18	2	0.2902	9.3957	-0.8706	0	57104	10874
18	3	5.9133	14.6952	-2.4639	0	57104	10874
19	1	-1.3962	2.2407	-0.4106	0	57104	10874
19	2	0.2902	9.3957	-0.8706	0	57104	10874
19	3	5.9133	14.6952	-2.4639	0	57104	10874
20	1	-1.3962	2.2407	-0.4106	0	57104	10874
20	2	0.2902	9.3957	-0.8706	0	57104	10874
20	3	5.9133	14.6952	-2.4639	0	57104	10874
21	1	-1.3962	2.2407	-0.4106	0	57104	10874
21	2	0.2902	9.3957	-0.8706	0	57104	10874
21	3	5.9133	14.6952	-2.4639	0	57104	10874
22	1	-1.4783	2.1873	-0.4106	0	57104	10874
22	2	0.2902	9.418	-0.5804	0	57104	10874
22	3	5.9133	14.6952	-2.4639	0	57104	10874
23	1	-1.4783	2.1873	-0.4106	0	57104	10874
23	2	0.2902	9.418	-0.5804	0	57104	10874
23	3	5.4205	14.9572	-1.9711	0	57104	10874
24	1	-1.4783	2.1873	-0.4106	0	57104	10874
24	2	0.2902	9.418	-0.5804	0	57104	10874
24	3	5.4205	14.9572	-1.9711	0	57104	10874
25	1	-1.4783	2.1873	-0.4106	0	57104	10874
25	2	0.2902	9.418	-0.5804	0	57104	10874
25	3	5.4205	14.9572	-1.9711	0	57104	10874
26	1	-1.4783	2.1873	-0.4106	0	57104	10874
26	2	0.2902	9.418	-0.5804	0	57104	10874
26	3	5.4205	14.9572	-1.9711	0	57104	10874
27	1	-1.4783	2.1873	-0.4106	0	57104	10874
27	2	0.2902	9.418	-0.5804	0	57104	10874
27	3	5.4205	14.9572	-1.9711	0	57104	10874
28	1	-1.5605	2.1295	-0.4106	0	57104	10874
28	2	0.5804	9.3822	-0.8706	0	57104	10874
28	3	5.9133	14.6952	-2.4639	0	57104	10874
29	1	-1.5605	2.1295	-0.4106	0	57104	10874
29	2	0.5804	9.3822	-0.8706	0	57104	10874
