frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
15,-0.90045,-0.0217202,9.75208,-0.135727,-0.454285,0.990525,-0.0090075,-0.000226397,0.0975205,1,4.6529e-05,-1.5428e-05,6.64594e-06,0.0093058,-0.0030856,0.00132919,0,0,0,0,0.0808169,0.486456,-1.00773,34.8125,1,64665,6525467
16,-0.846282,-0.0690482,9.76657,-0.078409,-0.504286,1.00693,-0.00846518,-0.000695932,0.0976655,1,2.5574e-05,-1.22767e-05,2.68632e-05,0.0051148,-0.00245535,0.00537264,0,0,0,0,0.0822829,0.493174,-1.00203,34.8125,1,64668,6525767
17,-0.826015,-0.0442122,9.77005,-0.0623668,-0.479501,1.00508,-0.00826324,-0.000449761,0.0977002,1,3.76775e-05,-1.58829e-05,1.6708e-05,0.0075355,-0.00317657,0.0033416,0,0,0,0,0.0779591,0.486941,-1.00619,34.8125,1,64671,6526067
18,-0.853862,-0.0451813,9.77023,-0.0848975,-0.486725,0.998719,-0.00854188,-0.000458972,0.097702,1,3.56603e-05,-1.67527e-05,1.11517e-05,0.00713206,-0.00335054,0.00223033,0,0,0,0,0.0817354,0.491299,-1.00611,34.8125,1,64675,6526467
19,-0.832312,-0.0193538,9.75743,-0.0701661,-0.45276,0.986194,-0.00832758,-0.000205295,0.0975738,1,5.73175e-05,-2.29383e-05,3.43526e-05,0.0114635,-0.00458767,0.00687052,0,0,0,0,0.079987,0.488777,-1.0006,34.8125,1,64678,6526767
20,-0.718819,-0.011526,9.78693,0.0420515,-0.472071,1.01061,-0.00719469,-0.000124389,0.0978688,1,4.40629e-05,-3.32592e-05,3.50083e-05,0.00881259,-0.00665184,0.00700166,0,0,0,0,0.083146,0.491793,-1.00711,34.8125,1,64681,6527067
21,-0.798319,-0.0966975,9.71618,-0.0852462,-0.508239,0.93523,-0.007986,-0.000977671,0.0971614,1,5.35157e-05,-1.46574e-05,1.8572e-05,0.0107031,-0.00293149,0.0037144,0,0,0,0,0.0809165,0.489275,-1.0016,34.8125,1,64685,6527467
22,-0.667589,0.00359804,9.80265,0.102148,-0.478684,1.02209,-0.00668238,2.96693e-05,0.098026,1,2.93195e-05,-3.30925e-05,4.21434e-05,0.00586391,-0.0066185,0.00842869,0,0,0,0,0.0792558,0.491373,-1.00913,34.8125,1,64688,6527767
23,-0.750886,-0.0728053,9.78389,0.0233289,-0.531332,1.01489,-0.00751231,-0.000735856,0.0978385,1,3.76774e-05,-1.78911e-05,2.86271e-05,0.00753548,-0.00357823,0.00572543,0,0,0,0,0.0809288,0.489266,-1.0011,34.8125,1,64691,6528067
24,-0.705938,-0.0180122,9.81457,0.0500165,-0.464152,1.04414,-0.00706201,-0.000186605,0.0981455,1,3.12811e-05,-1.34094e-05,2.42946e-05,0.00625622,-0.00268188,0.00485891,0,0,0,0,0.0779425,0.486471,-1.00721,34.8125,1,64695,6528467
25,-0.732155,-0.0657839,9.83131,0.0290359,-0.534097,1.04886,-0.00732654,-0.000666002,0.0983127,1,4.03244e-05,-2.55125e-05,1.60227e-05,0.00806488,-0.0051025,0.00320454,0,0,0,0,0.0794162,0.491256,-1.00256,34.8125,1,64698,6528767
26,-0.800939,-0.045816,9.82788,-0.0495349,-0.517128,1.05835,-0.00801689,-0.000467227,0.0982782,1,4.46717e-05,-3.82513e-05,1.78276e-05,0.00893434,-0.00765026,0.00356553,0,0,0,0,0.0788971,0.488396,-1.00616,34.8125,1,64701,6529067
27,-0.806096,-0.00367096,9.80113,-0.0362827,-0.483556,1.02695,-0.00806417,-4.11396e-05,0.098011,1,1.99376e-05,-1.6404e-05,3.236e-05,0.00398752,-0.0032808,0.006472,0,0,0,0,0.082673,0.491309,-1.00712,34.8125,1,64705,6529467
28,-0.863159,-0.0675127,9.79251,-0.106522,-0.527939,1.02462,-0.00863897,-0.000679462,0.0979244,1,2.08021e-05,-3.77447e-05,1.50649e-05,0.00416042,-0.00754894,0.00301297,0,0,0,0,0.0779932,0.490771,-1.00206,34.8125,1,64708,6529767
29,-0.843512,-0.0664381,9.76731,-0.0860858,-0.496679,0.999972,-0.00844269,-0.000671886,0.0976724,1,3.67144e-05,-3.8882e-05,1.96775e-05,0.00734287,-0.00777639,0.00393549,0,0,0,0,0.0807485,0.491325,-1.00711,34.8125,1,64711,6530067
30,-0.720076,-0.0440614,9.78868,0.0331992,-0.522361,1.00581,-0.00720441,-0.000446034,0.0978865,1,2.6053e-05,-1.87656e-05,2.21696e-05,0.0052106,-0.00375312,0.00443392,0,0,0,0,0.0813857,0.490725,-1.00107,34.8125,1,64715,6530467
31,-0.764898,-0.0541988,9.78686,-0.0159872,-0.531891,1.00941,-0.00765387,-0.000548083,0.0978682,1,2.89825e-05,-2.51367e-05,2.76138e-05,0.0057965,-0.00502734,0.00552277,0,0,0,0,0.0816937,0.489402,-1.00918,34.8125,1,64718,6530767
32,-0.784269,-0.0458173,9.7796,-0.0303153,-0.525073,1.00498,-0.00784945,-0.000468691,0.0977954,1,5.28302e-05,-3.46154e-05,1.17721e-05,0.010566,-0.00692308,0.00235441,0,0,0,0,0.0813003,0.493679,-1.00252,34.8125,1,64722,6531167
33,-0.808758,-0.0498483,9.77465,-0.072552,-0.527736,1.00162,-0.00809329,-0.000507918,0.097746,1,4.61676e-05,-2.9374e-05,2.53411e-05,0.00923351,-0.0058748,0.00506822,0,0,0,0,0.078017,0.487862,-1.00314,34.8125,1,64725,6531467
34,-0.787534,-0.0499235,9.77211,-0.0386211,-0.538236,0.991401,-0.00787797,-0.000508915,0.0977209,1,4.73875e-05,-1.3603e-05,2.65949e-05,0.00947751,-0.0027206,0.00531897,0,0,0,0,0.0794043,0.49271,-1.00203,34.8125,1,64728,6531767
35,-1.05147,-0.0895919,9.71081,-0.267554,-0.556875,0.965394,-0.0105168,-0.000906834,0.0971078,1,5.23814e-05,-1.12728e-05,3.52951e-05,0.0104763,-0.00225456,0.00705902,0,0,0,0,0.0779719,0.488377,-1.00464,34.8125,1,64731,6532067
36,-0.227722,-0.00171616,9.83392,0.464568,-0.472451,1.02353,-0.00229492,-2.48903e-05,0.0983388,1,3.87927e-05,-9.00108e-05,2.16615e-05,0.00775854,-0.0180022,0.00433231,0,0,0,0,0.0802797,0.49132,-1.00661,34.8125,1,64735,6532467
37,-1.15043,0.0253118,9.49649,-0.508542,-0.451502,0.729867,-0.0115153,0.000239964,0.0949636,1,6.63036e-05,-5.83459e-05,2.43881e-05,0.0132607,-0.0116692,0.00487762,0,0,0,0,0.0771046,0.48928,-1.00007,34.8125,1,64738,6532767
38,-0.0676095,-0.103002,9.85263,0.790004,-0.529865,1.04289,-0.000694177,-0.00104127,0.0985261,1,5.69843e-05,-9.19291e-05,1.58405e-05,0.0113969,-0.0183858,0.00316809,0,0,0,0,0.0755298,0.48987,-1.0051,34.8125,1,64742,6533167
39,0.233602,-0.073502,9.879,0.967327,-0.637421,1.059,0.00232494,-0.00073564,0.0987903,1,4.08485e-06,-5.63894e-05,4.01054e-05,0.000816971,-0.0112779,0.00802109,0,0,0,0,0.0752261,0.491671,-0.996474,34.8125,1,64745,6533467
40,0.521142,0.0778905,9.92412,1.23803,-0.417752,1.03066,0.00519903,0.000767144,0.0992419,1,5.87681e-05,-6.25125e-05,-9.27961e-06,0.0117536,-0.0125025,-0.00185592,0,0,0,0,0.0760564,0.490796,-1.00256,34.8125,1,64748,6533767
41,-1.27736,-0.121751,9.35278,-0.468376,-0.8563,0.648229,-0.0127719,-0.0012289,0.0935279,1,4.11982e-05,7.26448e-06,0.000144169,0.00823965,0.0014529,0.0288338,0,0,0,0,0.078471,0.493179,-1.0005,34.8125,1,64752,6534167
42,0.296701,-0.0373101,9.62688,0.877147,-0.654797,0.705051,0.00294584,-0.000369732,0.0962694,1,-1.59828e-05,-0.000110134,4.9269e-05,-0.00319655,-0.0220268,0.0098538,0,0,0,0,0.0756489,0.489301,-1.00057,34.8125,1,64755,6534467
43,0.51867,0.396085,9.93742,1.21464,-0.136094,0.993375,0.00516738,0.003944,0.0993759,1,8.80079e-05,-9.4765e-05,6.17423e-05,0.0176016,-0.018953,0.0123485,0,0,0,0,0.075608,0.490294,-1.00156,34.8125,1,64758,6534767
44,0.236851,-0.154947,9.93087,1.07122,-0.613772,1.0765,0.00237087,-0.00155239,0.0993086,1,1.68832e-05,1.04613e-05,9.12823e-05,0.00337664,0.00209226,0.0182565,0,0,0,0,0.0738444,0.491638,-0.993943,34.8125,1,64762,6535167
45,0.164832,-0.00862936,9.94957,0.897982,-0.585273,1.09726,0.00165153,-9.23576e-05,0.0994956,1,3.21382e-05,1.60439e-05,0.000100351,0.00642763,0.00320878,0.0200703,0,0,0,0,0.0756256,0.493655,-0.998452,34.8125,1,64765,6535467
46,-0.149138,-0.0731606,9.9105,0.731639,-0.408803,1.11333,-0.00149697,-0.000740529,0.0991049,1,4.36512e-05,-2.89128e-05,9.08053e-05,0.00873024,-0.00578255,0.0181611,0,0,0,0,0.0766163,0.492662,-0.997974,34.8125,1,64768,6535767
47,0.252529,-0.142371,10.0174,1.14901,-0.574571,1.17974,0.0025244,-0.00142685,0.100174,1,1.90381e-05,-6.32137e-06,0.000133468,0.00380762,-0.00126428,0.0266936,0,0,0,0,0.0755592,0.491776,-1.00253,34.8125,1,64772,6536167
48,-0.172198,0.222912,9.74318,0.321124,-0.298829,0.933224,-0.00172013,0.00222156,0.097432,1,3.72208e-05,1.14584e-05,8.63877e-05,0.00744415,0.00229169,0.0172775,0,0,0,0,0.0751938,0.493622,-0.996431,34.8125,1,64775,6536467
49,-0.148464,-0.197463,9.68856,0.67474,-0.838875,0.864944,-0.00148185,-0.00198433,0.0968854,1,4.82741e-05,1.20404e-05,0.000116275,0.00965483,0.00240807,0.023255,0,0,0,0,0.0756417,0.492679,-0.998474,34.8125,1,64778,6536767
50,-0.250026,0.239588,9.73097,0.519932,-0.199164,0.915126,-0.00250616,0.00238613,0.0973098,1,4.73386e-05,-2.76269e-05,0.000108996,0.00946772,-0.00552538,0.0217992,0,0,0,0,0.079418,0.497037,-0.998394,34.8125,1,64782,6537167
51,-0.167776,-0.203712,9.68864,0.463205,-0.732214,0.959362,-0.00167869,-0.00203873,0.0968864,1,6.40519e-06,-7.13646e-06,0.000109712,0.00128104,-0.00142729,0.0219424,0,0,0,0,0.0752019,0.493135,-0.996442,34.8125,1,64785,6537467
52,0.302954,0.137581,9.99575,0.968444,-0.469098,1.21046,0.00302402,0.00138102,0.0999576,1,-2.38185e-05,-2.65926e-05,7.43059e-05,-0.00476369,-0.00531852,0.0148612,0,0,0,0,0.0760392,0.50141,-0.995756,34.8125,1,64788,6537767
53,0.146134,0.0264173,9.90225,0.596778,-0.557529,1.13416,0.0014635,0.000269791,0.0990224,1,-2.68099e-05,1.11725e-05,0.000105575,-0.00536199,0.00223451,0.021115,0,0,0,0,0.0790973,0.496924,-0.99183,34.8125,1,64792,6538167
54,0.0758642,-0.0871044,9.93429,0.912026,-0.572408,1.0479,0.000741791,-0.000876506,0.099343,1,2.80823e-05,-8.55002e-05,7.86665e-05,0.00561646,-0.0171,0.0157333,0,0,0,0,0.0760107,0.502394,-0.996239,34.8125,1,64795,6538467
55,0.0125134,-0.168493,9.61038,0.565609,-0.737826,0.793647,0.00011993,-0.00169931,0.0961036,1,7.48524e-05,-2.81962e-05,6.34754e-05,0.0149705,-0.00563925,0.0126951,0,0,0,0,0.0767709,0.500259,-0.986189,34.8125,1,64798,6538767
56,-0.320983,-0.311168,9.62459,0.324405,-0.833661,0.915039,-0.00319772,-0.00312168,0.096246,1,5.09211e-05,6.19472e-05,3.05593e-05,0.0101842,0.0123894,0.00611185,0,0,0,0,0.0756691,0.501333,-0.991211,34.8125,1,64802,6539167
57,0.312685,0.208197,9.98541,0.756396,-0.353918,1.06496,0.00310906,0.00208594,0.0998546,1,-1.9824e-05,-8.90866e-05,7.66493e-07,-0.00396479,-0.0178173,0.000153299,0,0,0,0,0.0781586,0.506552,-0.984035,34.8125,1,64805,6539467
58,-0.0808989,-0.215125,9.95187,0.200578,-0.756608,1.04806,-0.000819604,-0.00216124,0.0995184,1,5.025e-05,-5.31974e-05,-6.17323e-06,0.01005,-0.0106395,-0.00123465,0,0,0,0,0.0756577,0.504232,-0.989631,34.8125,1,64808,6539767
59,0.312624,0.540444,10.2548,0.916733,-0.0351532,1.36494,0.00311555,0.00539615,0.102549,1,3.85006e-05,-5.53479e-05,-6.16581e-05,0.00770012,-0.0110696,-0.0123316,0,0,0,0,0.0762104,0.509476,-0.982951,34.8125,1,64812,6540167
60,-0.736645,-0.321138,9.10808,-0.44833,-0.931124,0.396403,-0.00737594,-0.00322253,0.0910797,1,7.06472e-05,-4.79794e-05,-0.000116546,0.0141294,-0.00959588,-0.0233092,0,0,0,0,0.0733275,0.508534,-0.983464,34.8125,1,64815,6540467
61,-0.422987,0.439601,9.10981,-0.364543,-0.0705084,0.293664,-0.00423949,0.00437983,0.0910984,1,9.47157e-05,-5.89285e-05,-0.000127638,0.0189431,-0.0117857,-0.0255275,0,0,0,0,0.0752581,0.514778,-0.978789,34.8125,1,64818,6540767
62,0.725897,-0.181238,9.87823,0.991861,-0.693939,0.973909,0.00724846,-0.0018155,0.098783,1,4.20829e-06,-5.02819e-05,-0.000157867,0.000841658,-0.0100564,-0.0315733,0,0,0,0,0.0710642,0.51616,-0.972173,34.8125,1,64822,6541167
63,0.13307,-0.121328,9.82372,0.604365,-0.769626,1.00617,0.00134429,-0.00122717,0.0982369,1,6.77201e-05,7.18951e-05,-0.00022038,0.013544,0.014379,-0.044076,0,0,0,0,0.0732325,0.520168,-0.979165,34.8125,1,64825,6541467
64,-0.27389,-0.362798,9.398,0.339836,-0.749101,0.541864,-0.00272993,-0.00364586,0.0939795,1,0.00010253,5.75434e-05,-0.000254832,0.020506,0.0115087,-0.0509665,0,0,0,0,0.0720078,0.52243,-0.968502,34.8125,1,64828,6541767
65,0.138909,0.0369801,10.5793,0.57301,-0.562746,1.64441,0.00137801,0.000327648,0.105794,1,0.000195635,-5.32875e-05,-0.000274566,0.0391269,-0.0106575,-0.0549132,0,0,0,0,0.0685205,0.521581,-0.974061,34.8125,1,64832,6542167
66,-0.069571,0.134361,9.71633,0.420531,-0.474984,0.966252,-0.000718936,0.00132235,0.0971634,1,0.000111758,-0.000123926,-0.000321231,0.0223517,-0.0247852,-0.0642463,0,0,0,0,0.0680953,0.529255,-0.966312,34.8125,1,64835,6542467
67,-0.646102,-0.542662,9.58182,0.0273867,-1.29683,0.893431,-0.00645698,-0.00544161,0.0958176,1,0.000101977,4.10526e-05,-0.000352235,0.0203953,0.00821052,-0.070447,0,0,0,0,0.0614664,0.528751,-0.962252,34.8125,1,64839,6542867
68,-0.00331001,-0.653683,10.0314,0.278911,-1.00862,1.35923,-1.03116e-05,-0.00653431,0.100314,1,-1.24997e-05,0.00013533,-0.000333753,-0.00249995,0.0270661,-0.0667505,0,0,0,0,0.0612699,0.531785,-0.968245,34.8125,1,64842,6543167
69,0.0638053,0.530263,9.56453,-0.360534,-0.195242,0.383683,0.000626658,0.00529602,0.0956458,1,3.21527e-05,-7.9425e-05,-0.000358345,0.00643054,-0.015885,-0.0716691,0,0,0,0,0.0609245,0.53169,-0.96269,34.8125,1,64845,6543467
70,-0.813582,-0.355809,8.9986,-0.335045,-0.739876,-0.134996,-0.00816091,-0.00358434,0.0899827,1,0.00018085,-0.000124026,-0.000386712,0.0361699,-0.0248052,-0.0773424,0,0,0,0,0.0588733,0.534208,-0.96616,34.8125,1,64848,6543767
71,-0.28061,0.204598,10.1247,0.0849353,-0.487003,1.45485,-0.002815,0.00200699,0.101248,1,0.000202796,-5.13104e-05,-0.00036829,0.0405592,-0.0102621,-0.073658,0,0,0,0,0.0561921,0.5336,-0.95808,34.8125,3,64852,6544167
72,-0.772537,0.0315548,9.6771,-0.335435,-0.609033,1.01469,-0.00772629,0.00030114,0.096771,1,0.00010519,-5.97055e-06,-0.000385148,0.021038,-0.00119411,-0.0770296,0,0,0,0,0.0536019,0.535201,-0.964598,34.8125,3,64855,6544467
73,-0.691946,-0.469273,10.2116,0.3482,-0.697201,1.44175,-0.00693229,-0.00468081,0.102116,1,-3.50551e-05,-4.69942e-05,-0.000344117,-0.00701103,-0.00939885,-0.0688233,0,0,0,0,0.0503166,0.536132,-0.960522,34.8125,3,64859,6544867
74,-1.55191,-0.339242,9.35886,-0.69803,-0.760553,0.466157,-0.0155044,-0.00341055,0.0935904,1,0.000144446,8.88944e-05,-0.000287321,0.0288892,0.0177789,-0.0574642,0,0,0,0,0.0460341,0.530351,-0.962651,34.8125,3,64862,6545167
75,-1.76113,0.79138,9.32794,-0.989006,0.575492,0.479545,-0.0176157,0.00790442,0.0932794,1,0.00011856,-5.40255e-05,-0.000361741,0.0237119,-0.0108051,-0.0723482,0,0,0,0,0.0490042,0.534121,-0.95652,34.8125,3,64865,6545467
76,-1.33657,0.164628,9.97567,-0.824324,-0.359106,0.998432,-0.0133803,0.00164098,0.0997549,1,8.32752e-05,-8.03502e-05,-0.000423027,0.016655,-0.01607,-0.0846054,0,0,0,0,0.0437353,0.529811,-0.958612,34.8125,3,64868,6545767
77,-0.359607,-0.443701,10.4782,0.171018,-0.81003,1.51631,-0.00360207,-0.00442012,0.104783,1,-6.68938e-05,-1.17525e-05,-0.00039883,-0.0133788,-0.00235049,-0.0797659,0,0,0,0,0.0442296,0.532689,-0.956025,34.8125,3,64872,6546167
78,-1.14031,-0.550796,9.17717,-0.733123,-1.13806,0.165275,-0.011451,-0.00553103,0.0917643,1,0.000173189,-0.000238232,-0.000381113,0.0346377,-0.0476465,-0.0762226,0,0,0,0,0.040133,0.529663,-0.948497,34.8125,3,64875,6546467
79,0.690509,0.0532029,9.51848,0.678497,-0.623962,0.594676,0.0068596,0.000550367,0.095188,1,-0.000126614,-0.000241327,-0.000418914,-0.0253228,-0.0482653,-0.0837828,0,0,0,0,0.0400718,0.531153,-0.949979,34.8125,3,64878,6546767
80,-1.82951,-0.442288,9.24496,-1.10347,-0.921042,0.300422,-0.0183152,-0.00443109,0.0924452,1,0.000117386,-9.10593e-05,-0.000368807,0.0234771,-0.0182119,-0.0737615,0,0,0,0,0.0406241,0.534952,-0.944341,34.8125,3,64882,6547167
81,0.791948,-0.594353,10.6176,0.921115,-1.21906,1.71874,0.00790203,-0.00598056,0.106176,1,0.000147874,-6.22273e-05,-0.000355436,0.0295749,-0.0124455,-0.0710873,0,0,0,0,0.0362931,0.532098,-0.946405,34.8125,3,64885,6547467
82,-0.632812,-0.0106058,9.27336,-0.915306,-0.817612,0.282568,-0.00632955,-0.000121411,0.0927335,1,0.000108864,-7.27391e-06,-0.000382149,0.0217727,-0.00145478,-0.0764299,0,0,0,0,0.0398625,0.532404,-0.937829,34.8125,3,64888,6547767
83,-0.776985,-0.63222,9.3812,-0.479502,-1.35252,0.492313,-0.00777726,-0.00633609,0.0938104,1,0.00010482,-1.43882e-05,-0.000371762,0.0209641,-0.00287764,-0.0743525,0,0,0,0,0.0345537,0.531978,-0.938824,34.8125,3,64892,6548167
