frame_id,point_id,x,y,z,doppler,snr,noise
15,1,-1.3031,2.727,-0.1862,0,57104,17659
15,2,1.4783,9.4303,-1.1827,0,57104,17659
15,3,1.3305,14.3388,0.887,0,57104,17659
15,4,6.4773,14.825,-0.9965,0,57104,17659
16,1,-1.3031,2.727,-0.1862,0,57104,17659
16,2,1.1827,9.5042,-0.887,0,57104,17659
16,3,0.887,14.3388,1.3305,0,57104,17659
16,4,6.4773,14.825,-0.9965,0,57104,17659
17,1,-1.3031,2.727,-0.1862,0,57104,17659
17,2,1.4783,9.4627,-0.887,0,57104,17659
17,3,0.887,14.3388,1.3305,0,57104,17659
17,4,6.4773,14.825,-0.9965,0,57104,17659
18,1,-1.1389,2.5992,-0.2628,0,57104,17659
18,2,1.4783,9.4303,-1.1827,0,57104,17659
18,3,0.887,14.3388,1.3305,0,57104,17659
18,4,6.4773,14.825,-0.9965,0,57104,17659
19,1,-1.3031,2.727,-0.1862,0,57104,17659
19,2,1.4783,9.4627,-0.887,0,57104,17659
19,3,1.3305,14.3388,0.887,0,57104,17659
19,4,6.4773,14.825,-0.9965,0,57104,17659
20,1,-1.2265,2.5591,-0.2628,0,57104,17659
20,2,1.4783,9.4303,-1.1827,0,57104,17659
20,3,0.887,14.3388,1.3305,0,57104,17659
20,4,6.4773,14.825,-0.9965,0,57104,17659
21,1,-1.2265,2.5591,-0.2628,0,57104,17659
21,2,1.4783,9.4303,-1.1827,0,57104,17659
21,3,0.887,14.3388,1.3305,0,57104,17659
21,4,6.4773,14.825,-0.9965,0,57104,17659
22,1,-1.2265,2.5591,-0.2628,0,57104,17659
22,2,1.4783,9.4303,-1.1827,0,57104,17659
22,3,0.887,14.3388,1.3305,0,57104,17659
22,4,6.4773,14.825,-0.9965,0,57104,17659
23,1,-1.2265,2.5591,-0.2628,0,57104,17659
23,2,1.4783,9.4303,-1.1827,0,57104,17659
23,3,0.887,14.3388,1.3305,0,57104,17659
23,4,6.4773,14.825,-0.9965,0,57104,17659
24,1,-1.2265,2.5591,-0.2628,0,57104,17659
24,2,1.4783,9.4303,-1.1827,0,57104,17659
24,3,0.887,14.3388,1.3305,0,57104,17659
24,4,6.4773,14.825,-0.9965,0,57104,17659
25,1,-1.2265,2.5591,-0.2628,0,57104,17659
25,2,1.1827,9.5042,-0.887,0,57104,17659
25,3,0.887,14.3388,1.3305,0,57104,17659
25,4,6.4773,14.825,-0.9965,0,57104,17659
26,1,-1.2265,2.5591,-0.2628,0,57104,17659
26,2,1.4783,9.4303,-1.1827,0,57104,17659
26,3,0.887,14.3388,1.3305,0,57104,17659
26,4,6.4773,14.825,-0.9965,0,57104,17659
27,1,-1.2265,2.5591,-0.2628,0,57104,17659
27,2,1.4783,9.4303,-1.1827,0,57104,17659
27,3,1.3305,14.3388,0.887,0,57104,17659
27,4,0.887,14.3388,1.3305,0,57104,17659
27,5,6.4773,14.825,-0.9965,0,57104,17659
28,1,-1.2265,2.5591,-0.2628,0,57104,17659
28,2,1.4783,9.4303,-1.1827,0,57104,17659
28,3,0.887,14.3388,1.3305,0,57104,17659
28,4,6.4773,14.825,-0.9965,0,57104,17659
29,1,-1.2265,2.5591,-0.2628,0,57104,17659
29,2,1.4783,9.4303,-1.1827,0,57104,17659
29,3,1.3305,14.3388,0.887,0,57104,17659
29,4,6.4773,14.825,-0.9965,0,57104,17659
30,1,-1.2265,2.5591,-0.2628,0,57104,17659
30,2,1.4783,9.4303,-1.1827,0,57104,17659
30,3,0.887,14.3388,1.3305,0,57104,17659
30,4,6.4773,14.825,-0.9965,0,57104,17659
31,1,-1.2265,2.5591,-0.2628,0,57104,17659
31,2,1.4783,9.4303,-1.1827,0,57104,17659
31,3,0.887,14.3388,1.3305,0,57104,17659
31,4,6.4773,14.825,-0.9965,0,57104,17659
32,1,-1.2265,2.5591,-0.2628,0,57104,17659
32,2,1.4783,9.4303,-1.1827,0,57104,17659
32,3,2.2449,14.4043,0.8979,0,57104,17659
32,4,6.4773,14.825,-0.9965,0,57104,17659
33,1,-1.1389,2.5992,-0.2628,0,57104,17659
33,2,1.4783,9.4627,-0.887,0,57104,17659
33,3,2.2449,14.4043,0.8979,0,57104,17659
33,4,6.4773,14.825,-0.9965,0,57104,17659
34,1,-1.2265,2.5725,0,0,57104,17659
34,2,1.774,9.3792,-1.1827,0,57104,17659
34,3,2.2449,14.4043,0.8979,0,57104,17659
34,4,6.4773,14.825,-0.9965,0,57104,17659
34,5,6.3733,16.0241,-1.0622,0,57104,17659
34,6,12.7465,9.4007,6.9044,0,57104,17659
35,1,6.4773,14.825,-0.9965,0,57104,17659
35,2,-1.0513,2.6359,-0.2628,-0.1495,57104,17659
35,3,1.4783,9.4303,-1.1827,-0.1495,57104,17659
35,4,1.3305,14.3388,0.887,-0.1495,57104,17659
36,1,3.8546,4.1064,-0.876,0,57104,17659
36,2,-4.7307,3.0007,1.0513,0,57104,17659
36,3,-1.2265,2.5591,-0.2628,-0.1495,57104,17659
36,4,1.4783,9.4627,-0.887,-0.1495,57104,17659
36,5,1.3305,14.3388,0.887,-0.1495,57104,17659
36,6,6.9755,14.5546,-1.4948,-0.1495,57104,17659
36,7,7.8844,15.1369,1.0513,-0.1495,57104,17659
37,1,-1.2265,2.5485,-0.3504,-0.1495,57104,17659
37,2,1.4783,9.4627,-0.887,-0.1495,57104,17659
37,3,1.3305,14.3388,0.887,-0.1495,57104,17659
37,4,6.9755,14.5546,-1.4948,-0.1495,57104,17659
37,5,7.3588,15.3992,1.0513,-0.1495,57104,17659
38,1,-1.2265,2.5349,-0.438,-0.1495,57104,17659
38,2,1.774,9.3792,-1.1827,-0.1495,57104,17659
38,3,1.7959,14.4672,0.8979,-0.1495,57104,17659
38,4,6.9755,14.5546,-1.4948,-0.1495,57104,17659
38,5,6.2418,15.7195,0.5202,-0.1495,57104,17659
39,1,-1.4893,2.6101,-0.3723,-0.1495,57104,17659
39,2,1.774,9.3792,-1.1827,-0.1495,57104,17659
39,3,1.7959,14.4672,0.8979,-0.1495,57104,17659
39,4,6.4773,14.825,-0.9965,-0.1495,57104,17659
39,5,6.2418,15.6937,-1.0403,-0.1495,57104,17659
40,1,-0.0767,0.9614,2.2996,0,57104,17659
40,2,-1.117,2.7898,-0.3723,-0.1495,57104,17659
40,3,1.774,9.3792,-1.1827,-0.1495,57104,17659
40,4,1.3469,14.5159,0.8979,-0.1495,57104,17659
40,5,6.9755,14.5546,-1.4948,-0.1495,57104,17659
40,6,6.762,15.5029,-0.5202,-0.1495,57104,17659
41,1,-0.1533,0.7404,2.3763,0,57104,17659
41,2,-0.6516,2.9336,-0.3723,-0.2991,57104,17659
41,3,1.774,9.3792,-1.1827,-0.2991,57104,17659
41,4,6.9755,14.5546,-1.4948,-0.1495,57104,17659
42,1,-0.0767,0.9614,2.2996,0,57104,17659
42,2,-0.7446,2.9336,-0.0931,-0.2991,57104,17659
42,3,1.774,9.3792,-1.1827,-0.2991,57104,17659
42,4,3.1045,14.0268,1.3305,-0.2991,57104,17659
42,5,6.4773,14.825,-0.9965,-0.2991,57104,17659
42,6,6.1761,15.4858,-1.544,-0.2991,57104,17659
42,7,6.9755,14.5546,-1.4948,-0.1495,57104,17659
43,1,0.0767,0.9614,2.2996,0,57104,17659
43,2,-0.7884,2.726,-0.2628,-0.2991,57104,17659
43,3,1.774,9.3792,-1.1827,-0.2991,57104,17659
43,4,7.972,13.5384,-3.986,-0.2991,57104,17659
43,5,4.0736,16.0241,-1.0184,-0.2991,57104,17659
44,1,-0.5585,2.9527,-0.3723,-0.2991,57104,17659
44,2,1.774,9.3792,-1.1827,-0.2991,57104,17659
44,3,6.4773,14.6481,-2.4913,-0.2991,57104,17659
44,4,4.205,3.8319,-0.3504,-0.1495,57104,17659
45,1,-0.7008,2.7499,-0.2628,-0.2991,57104,17659
45,2,1.774,9.3792,-1.1827,-0.2991,57104,17659
45,3,6.4773,14.7242,-1.993,-0.2991,57104,17659
45,4,5.2015,16.0937,0.5202,-0.2991,57104,17659
45,5,11.4434,8.2293,9.3628,-0.2991,57104,17659
