frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
15,-0.759084,-0.0635769,9.79114,0.0553751,-0.566229,0.997344,-0.00759463,-0.000645982,0.097911,1,5.04402e-05,-1.94834e-05,2.21062e-05,0.010088,-0.00389668,0.00442123,0,0,0,0,0.0725921,0.510651,-0.992505,34.8125,1,59421,5999594
16,-0.838917,-0.0312796,9.79301,-0.116285,-0.507538,0.97634,-0.0083955,-0.000319984,0.0979295,1,3.567e-05,-3.23765e-05,1.20171e-05,0.00713399,-0.00647529,0.00240343,0,0,0,0,0.0752292,0.514317,-0.980314,34.8125,1,59425,5999994
17,-0.859594,-0.0819269,9.772,-0.0242921,-0.611844,0.998977,-0.00860033,-0.000829105,0.0977195,1,4.82817e-05,-2.26291e-05,2.32814e-05,0.00965633,-0.00452581,0.00465627,0,0,0,0,0.0708797,0.505212,-0.987567,34.8125,1,59428,6000294
18,-0.776899,0.00628561,9.7593,0.0462411,-0.449914,0.95498,-0.00776986,5.02036e-05,0.0975929,1,6.36001e-05,-4.45234e-06,1.53591e-05,0.01272,-0.000890468,0.00307182,0,0,0,0,0.0757307,0.513816,-0.979822,34.8125,1,59431,6000594
19,-0.878292,-0.127951,9.78257,-0.0672247,-0.633087,0.994018,-0.00878523,-0.00129144,0.0978254,1,5.88875e-05,-1.21187e-05,2.27802e-05,0.0117775,-0.00242373,0.00455604,0,0,0,0,0.0705429,0.506074,-0.980981,34.8125,1,59435,6000994
20,-0.767533,-0.0454726,9.77744,0.027586,-0.558418,0.985293,-0.00767722,-0.000463376,0.0977742,1,4.26806e-05,-9.80507e-06,1.97516e-05,0.00853612,-0.00196101,0.00395031,0,0,0,0,0.0750365,0.516385,-0.986833,34.8125,1,59438,6001294
21,-0.665998,-0.117505,9.79381,0.113912,-0.69551,0.947816,-0.00666384,-0.00118487,0.0979377,1,4.85666e-05,-2.00136e-05,2.27491e-05,0.00971333,-0.00400271,0.00454981,0,0,0,0,0.0705263,0.505604,-0.982001,34.8125,1,59441,6001594
22,-0.940726,-0.0861595,9.73858,-0.0782136,-0.673454,0.976651,-0.00940587,-0.000869723,0.0973859,1,3.85714e-05,6.81604e-06,3.27233e-05,0.00771429,0.00136321,0.00654466,0,0,0,0,0.0725845,0.512584,-0.991452,34.8125,1,59445,6001994
23,-0.700953,-0.0806314,9.78823,0.140778,-0.541854,0.986669,-0.00700937,-0.00081924,0.0978822,1,6.40916e-05,5.70452e-07,2.70099e-05,0.0128183,0.00011409,0.00540198,0,0,0,0,0.0739325,0.509885,-0.977376,34.8125,1,59448,6002294
24,-0.736634,-0.0588243,9.79409,0.0702811,-0.608278,0.988935,-0.00736865,-0.000597887,0.0979407,1,4.75739e-05,-1.19112e-05,2.20707e-05,0.00951478,-0.00238224,0.00441415,0,0,0,0,0.0735258,0.511628,-0.992992,34.8125,1,59451,6002594
25,-0.690447,-0.0246598,9.78864,0.129138,-0.555313,0.980113,-0.00690572,-0.000256606,0.0978862,1,5.06266e-05,-6.40422e-06,7.01298e-06,0.0101253,-0.00128084,0.0014026,0,0,0,0,0.0742133,0.513882,-0.982844,34.8125,1,59455,6002994
26,-0.715693,-0.0531184,9.78619,0.0851469,-0.589972,0.987194,-0.0071581,-0.000541784,0.0978617,1,5.12601e-05,-6.21739e-06,3.96127e-05,0.010252,-0.00124348,0.00792255,0,0,0,0,0.0717238,0.508663,-0.99002,34.8125,1,59458,6003294
27,-0.740394,-0.0471924,9.77825,0.0806943,-0.584123,0.970698,-0.00740434,-0.000481881,0.0977824,1,4.94252e-05,-2.15339e-06,1.96828e-05,0.00988504,-0.000430677,0.00393656,0,0,0,0,0.0732876,0.512418,-0.982367,34.8125,1,59461,6003594
28,-0.932119,-0.000913202,9.66463,-0.0442697,-0.537501,0.907145,-0.00932428,-1.47742e-05,0.096646,1,2.64273e-05,-1.59816e-05,2.86381e-05,0.00528546,-0.00319632,0.00572761,0,0,0,0,0.0719701,0.507038,-0.980966,34.8125,1,59465,6003994
29,-0.118506,-0.0922252,9.94296,0.718701,-0.64055,1.08582,-0.0012016,-0.00092934,0.0994293,1,3.5202e-05,-8.35076e-05,3.65998e-05,0.0070404,-0.0167015,0.00731996,0,0,0,0,0.0754925,0.514954,-0.988887,34.8125,1,59468,6004294
30,-0.252576,-0.078476,9.86801,0.56082,-0.622781,1.01433,-0.00253889,-0.000792254,0.0986797,1,3.70164e-05,-6.68673e-05,3.71704e-05,0.00740328,-0.0133735,0.00743409,0,0,0,0,0.0690302,0.508064,-0.982445,34.8125,1,59471,6004594
31,0.356964,-0.102511,10.0217,1.14896,-0.643335,1.06631,0.00355428,-0.00102405,0.100218,1,-2.35158e-06,-7.74703e-05,8.33744e-05,-0.000470317,-0.0154941,0.0166749,0,0,0,0,0.0725883,0.511618,-0.991978,34.8125,1,59475,6004994
32,-0.559891,0.156477,9.85032,0.4703,-0.360142,1.09737,-0.00557558,0.00155331,0.0985047,1,5.53597e-05,0.000119225,5.01739e-05,0.0110719,0.0238449,0.0100348,0,0,0,0,0.0705689,0.510392,-0.976844,34.8125,1,59478,6005294
33,-0.755558,-0.160881,9.87537,0.0150228,-0.759882,1.09145,-0.00754159,-0.00161559,0.0987546,1,2.85706e-05,6.96232e-05,7.50357e-05,0.00571413,0.0139246,0.0150071,0,0,0,0,0.0720663,0.512615,-0.992964,34.8125,1,59481,6005594
34,-0.575328,-0.164511,9.88401,0.336115,-0.647509,1.11158,-0.00575212,-0.00165213,0.0988401,1,3.06595e-05,4.48698e-06,8.40627e-05,0.0061319,0.000897396,0.0168125,0,0,0,0,0.0737659,0.516271,-0.979759,34.8125,1,59485,6005994
35,0.0298224,0.11513,10.1493,0.74891,-0.559647,1.23422,0.000281717,0.0011447,0.101493,1,3.27339e-05,-8.04467e-05,7.72223e-05,0.00654678,-0.0160893,0.0154445,0,0,0,0,0.0698644,0.506222,-0.989055,34.8125,1,59488,6006294
36,-0.966751,-0.122723,9.73845,-0.204007,-0.671623,0.973863,-0.0096675,-0.00124289,0.0973843,1,7.47616e-05,-6.42711e-07,5.69725e-05,0.0149523,-0.000128542,0.0113945,0,0,0,0,0.0737891,0.511917,-0.981876,34.8125,1,59491,6006594
37,-1.04633,0.0873333,9.49587,-0.367153,-0.526601,0.725855,-0.0104614,0.000858852,0.0949591,1,6.71756e-05,1.09601e-05,8.23423e-05,0.0134351,0.00219202,0.0164685,0,0,0,0,0.0676353,0.50515,-0.982503,34.8125,1,59495,6006994
