frame_id,point_id,x,y,z,doppler,snr,noise
15,1,-1.3141,2.303,-0.3285,0,57104,30154
15,2,3.3345,1.6595,-0.3449,0,57104,30154
15,3,-2.5296,2.3851,1.3798,0,57104,30154
15,4,0.887,14.3388,1.3305,0,57104,30154
15,5,6.8989,14.3947,-1.4783,0,57104,30154
16,1,-1.3141,2.303,-0.3285,0,57104,30154
16,2,3.3345,1.6595,-0.3449,0,57104,30154
16,3,-2.5296,2.3851,1.3798,0,57104,30154
16,4,0.887,14.3388,1.3305,0,57104,30154
16,5,6.8989,14.3947,-1.4783,0,57104,30154
17,1,-1.3141,2.303,-0.3285,0,57104,30154
17,2,3.3345,1.6595,-0.3449,0,57104,30154
17,3,-2.6446,2.257,1.3798,0,57104,30154
17,4,0.887,14.3388,1.3305,0,57104,30154
17,5,6.8989,14.3947,-1.4783,0,57104,30154
18,1,-1.3141,2.303,-0.3285,0,57104,30154
18,2,3.3345,1.6595,-0.3449,0,57104,30154
18,3,-2.6446,2.257,1.3798,0,57104,30154
18,4,3.9039,3.8717,-0.5092,0,57104,30154
18,5,0.887,14.3388,1.3305,0,57104,30154
18,6,6.8989,14.3947,-1.4783,0,57104,30154
19,1,-1.3141,2.303,-0.3285,0,57104,30154
19,2,3.3345,1.6595,-0.3449,0,57104,30154
19,3,-2.6446,2.257,1.3798,0,57104,30154
19,4,0.887,14.3388,1.3305,0,57104,30154
19,5,6.8989,14.3947,-1.4783,0,57104,30154
20,1,-1.3141,2.303,-0.3285,0,57104,30154
20,2,3.3345,1.6595,-0.3449,0,57104,30154
20,3,-2.6446,2.257,1.3798,0,57104,30154
20,4,3.9039,3.8717,-0.5092,0,57104,30154
20,5,0.887,14.3388,1.3305,0,57104,30154
20,6,6.8989,14.3947,-1.4783,0,57104,30154
21,1,-1.3141,2.303,-0.3285,0,57104,30154
21,2,3.3345,1.6595,-0.3449,0,57104,30154
21,3,-2.5296,2.3851,1.3798,0,57104,30154
21,4,0.887,14.3388,1.3305,0,57104,30154
21,5,6.8989,14.3947,-1.4783,0,57104,30154
22,1,-1.3141,2.303,-0.3285,0,57104,30154
22,2,3.4494,1.405,-0.3449,0,57104,30154
22,3,-2.6446,2.1825,1.4948,0,57104,30154
22,4,0.887,14.3388,1.3305,0,57104,30154
22,5,7.3917,14.0878,-1.9711,0,57104,30154
23,1,-1.3141,2.3132,-0.2464,0,57104,30154
23,2,3.4494,1.405,-0.3449,0,57104,30154
23,3,-2.6446,2.1825,1.4948,0,57104,30154
23,4,0.4435,14.3594,1.3305,0,57104,30154
23,5,7.3917,14.0878,-1.9711,0,57104,30154
23,6,6.8989,14.3947,-1.4783,0,57104,30154
24,1,-1.3141,2.3132,-0.2464,0,57104,30154
24,2,3.4494,1.405,-0.3449,0,57104,30154
24,3,-2.6446,2.1825,1.4948,0,57104,30154
24,4,0.887,14.3388,1.3305,0,57104,30154
24,5,6.8989,14.3947,-1.4783,0,57104,30154
25,1,-1.3141,2.3132,-0.2464,0,57104,30154
25,2,3.5644,1.0805,-0.3449,0,57104,30154
25,3,0.4435,14.3594,1.3305,0,57104,30154
25,4,7.3917,14.0878,-1.9711,0,57104,30154
25,5,6.8989,14.3947,-1.4783,0,57104,30154
