frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
3941,1,-0.746702,-0.0289561,9.78433,0.33977,-0.315013,0.896321,-0.00746865,-0.000301499,0.0978431,1,5.94593e-05,-8.38762e-06,2.02451e-05,0.0118919,-0.00167752,0.00404903,0,0,0,0,-0.268978,0.0638956,-0.949342,34.4375,3,3178,354973
3941,2,-0.512292,0.00411533,7.3335,0.33977,-0.315013,0.896321,-0.00512189,3.55761e-05,0.0733351,1,3.66794e-05,6.99446e-06,1.92668e-05,0.00733588,0.00139889,0.00385336,0,0,0,0,0.0344335,0.503501,-0.983901,35.5625,1,15867,1625389
3941,3,-0.512292,0.00411533,7.3335,0.33977,-0.315013,0.896321,-0.00512189,3.55761e-05,0.0733351,1,3.66794e-05,6.99446e-06,1.92668e-05,0.00733588,0.00139889,0.00385336,0,0,0,0,0.0344335,0.503501,-0.983901,35.5625,1,15867,1625389
3941,4,-0.739048,0.0119551,9.77583,0.046569,-0.498969,0.969481,-0.00739007,0.000106578,0.0977584,1,6.66026e-05,2.0959e-06,-3.28451e-06,0.0133205,0.00041918,-0.000656902,0,0,0,0,0.0343969,0.504974,-0.984374,35.5625,1,15868,1625489
3941,5,-0.739048,0.0119551,9.77583,0.046569,-0.498969,0.969481,-0.00739007,0.000106578,0.0977584,1,6.66026e-05,2.0959e-06,-3.28451e-06,0.0133205,0.00041918,-0.000656902,0,0,0,0,0.0343969,0.504974,-0.984374,35.5625,1,15868,1625489
3941,6,-0.712286,0.0223367,9.76659,0.0629155,-0.507532,0.932805,-0.00712599,0.000214869,0.0976657,1,4.36194e-05,-1.60581e-05,-1.56811e-06,0.00872388,-0.00321162,-0.000313623,0,0,0,0,0.0363541,0.504452,-0.983384,35.5625,1,15869,1625589
8,1,-0.712286,0.0223367,9.76659,0.0629155,-0.507532,0.932805,-0.00712599,0.000214869,0.0976657,1,4.36194e-05,-1.60581e-05,-1.56811e-06,0.00872388,-0.00321162,-0.000313623,0,0,0,0,0.0363541,0.504452,-0.983384,35.5625,1,15869,1625589
8,2,-0.618814,0.0174918,9.89719,0.167491,-0.460913,1.05277,-0.00619126,0.000169915,0.0989718,1,2.5509e-05,-1.57204e-05,-3.67338e-06,0.00510181,-0.00314409,-0.000734676,0,0,0,0,0.0348733,0.503046,-0.985934,35.5625,1,15870,1625689
14,1,-0.618814,0.0174918,9.89719,0.167491,-0.460913,1.05277,-0.00619126,0.000169915,0.0989718,1,2.5509e-05,-1.57204e-05,-3.67338e-06,0.00510181,-0.00314409,-0.000734676,0,0,0,0,0.0348733,0.503046,-0.985934,35.5625,1,15870,1625689
14,2,-0.691189,-0.0794996,9.92023,0.119748,-0.554039,1.08645,-0.00691042,-0.000804729,0.0992023,1,5.01665e-05,7.52542e-06,-1.59742e-05,0.0100333,0.00150508,-0.00319484,0,0,0,0,0.033903,0.503542,-0.985918,35.5625,1,15871,1625789
