frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,-0.740964,-0.0956421,9.80289,0.0341269,-0.504253,1.0178,-0.00741186,-0.000965522,0.0980287,1,4.49029e-05,-1.152e-05,2.00737e-05,0.00898058,-0.00230401,0.00401474,0,0,0,0,0.00190785,0.494826,-1.00213,35.4375,3,27980,2838186
1,2,-0.518718,-0.167682,7.31456,0.0341269,-0.504253,1.0178,-0.00518821,-0.00167331,0.0731456,1,-2.51475e-05,-7.44653e-06,1.68442e-05,-0.00502949,-0.00148931,0.00336885,0,0,0,0,0.00148415,0.494307,-1.00012,35.4375,1,27981,2839723
2,1,-0.518718,-0.167682,7.31456,0.0341269,-0.504253,1.0178,-0.00518821,-0.00167331,0.0731456,1,-2.51475e-05,-7.44653e-06,1.68442e-05,-0.00502949,-0.00148931,0.00336885,0,0,0,0,0.00148415,0.494307,-1.00012,35.4375,1,27981,2839723
2,2,-0.653786,-0.0307489,9.74215,0.17722,-0.258722,0.961239,-0.00654073,-0.000324425,0.0974213,1,8.72091e-05,-1.47109e-05,-4.26007e-06,0.0174418,-0.00294219,-0.000852014,0,0,0,0,0.0014438,0.496745,-1.00006,35.4375,1,27982,2839823
3,1,-0.653786,-0.0307489,9.74215,0.17722,-0.258722,0.961239,-0.00654073,-0.000324425,0.0974213,1,8.72091e-05,-1.47109e-05,-4.26007e-06,0.0174418,-0.00294219,-0.000852014,0,0,0,0,0.0014438,0.496745,-1.00006,35.4375,1,27982,2839823
3,2,-0.46201,0.188658,9.82509,0.348987,-0.050972,1.03275,-0.00462146,0.00187953,0.098251,1,3.48705e-05,-6.50045e-06,2.14971e-05,0.00697409,-0.00130009,0.00429942,0,0,0,0,0.00192065,0.496263,-1.00058,35.5,1,27983,2839923
4,1,-0.46201,0.188658,9.82509,0.348987,-0.050972,1.03275,-0.00462146,0.00187953,0.098251,1,3.48705e-05,-6.50045e-06,2.14971e-05,0.00697409,-0.00130009,0.00429942,0,0,0,0,0.00192065,0.496263,-1.00058,35.5,1,27983,2839923
4,2,-0.582323,-0.207508,9.78283,0.264825,-0.561757,1.00184,-0.00582152,-0.00208371,0.0978282,1,4.12445e-05,7.72089e-06,4.76337e-05,0.0082489,0.00154418,0.00952674,0,0,0,0,0.00144714,0.494334,-1.00163,35.5,1,27984,2840023
7,1,-0.582323,-0.207508,9.78283,0.264825,-0.561757,1.00184,-0.00582152,-0.00208371,0.0978282,1,4.12445e-05,7.72089e-06,4.76337e-05,0.0082489,0.00154418,0.00952674,0,0,0,0,0.00144714,0.494334,-1.00163,35.5,1,27984,2840023
7,2,-0.615466,-0.0625802,9.80769,0.207373,-0.308554,1.01735,-0.00615568,-0.000629285,0.0980769,1,1.54601e-05,-5.44272e-06,3.66046e-05,0.00309201,-0.00108854,0.00732092,0,0,0,0,0.00050151,0.494811,-1.0006,35.5,1,27985,2840123
8,1,-0.615466,-0.0625802,9.80769,0.207373,-0.308554,1.01735,-0.00615568,-0.000629285,0.0980769,1,1.54601e-05,-5.44272e-06,3.66046e-05,0.00309201,-0.00108854,0.00732092,0,0,0,0,0.00050151,0.494811,-1.0006,35.5,1,27985,2840123
8,2,-0.489712,-0.220425,9.86483,0.370147,-0.417466,1.08068,-0.0048984,-0.0022085,0.0986482,1,2.04183e-05,-6.9797e-06,2.23312e-05,0.00408366,-0.00139594,0.00446623,0,0,0,0,3.6994e-05,0.495285,-0.999582,35.5,1,27986,2840223
9,1,-0.489712,-0.220425,9.86483,0.370147,-0.417466,1.08068,-0.0048984,-0.0022085,0.0986482,1,2.04183e-05,-6.9797e-06,2.23312e-05,0.00408366,-0.00139594,0.00446623,0,0,0,0,3.6994e-05,0.495285,-0.999582,35.5,1,27986,2840223
9,2,-0.68162,-0.306446,9.76432,0.151549,-0.537088,1.0041,-0.00681339,-0.00307774,0.097643,1,6.82064e-05,1.44836e-05,-2.67321e-06,0.0136413,0.00289673,-0.000534641,0,0,0,0,0.00055466,0.493809,-0.999112,35.5,1,27987,2840323
9,3,-0.68162,-0.306446,9.76432,0.151549,-0.537088,1.0041,-0.00681339,-0.00307774,0.097643,1,6.82064e-05,1.44836e-05,-2.67321e-06,0.0136413,0.00289673,-0.000534641,0,0,0,0,0.00055466,0.493809,-0.999112,35.5,1,27987,2840323
