frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
11,1,-0.751032,-0.030199,9.78115,0.56563,-0.752631,0.883538,-0.00751523,-0.000310955,0.0978111,1,4.45303e-05,-2.5168e-05,1.68421e-05,0.00890605,-0.00503359,0.00336843,0,0,0,0,0.309133,0.283457,-0.920867,35.4375,3,29046,2946223
11,2,-0.350604,0.0761536,7.39081,0.56563,-0.752631,0.883538,-0.00350608,0.000764632,0.0739081,1,-2.14782e-05,-1.8054e-07,1.12299e-05,-0.00429563,-3.61079e-05,0.00224598,0,0,0,0,0.0433336,0.50842,-0.990399,35.4375,1,32126,3255737
11,3,-0.350604,0.0761536,7.39081,0.56563,-0.752631,0.883538,-0.00350608,0.000764632,0.0739081,1,-2.14782e-05,-1.8054e-07,1.12299e-05,-0.00429563,-3.61079e-05,0.00224598,0,0,0,0,0.0433336,0.50842,-0.990399,35.4375,1,32126,3255737
11,4,-0.25065,-0.232841,9.85235,0.266683,-0.864696,1.01681,-0.00250775,-0.00233806,0.0985232,1,4.88572e-05,-6.42769e-06,4.39054e-06,0.00977143,-0.00128554,0.000878108,0,0,0,0,0.0419149,0.508414,-0.989382,35.4375,1,32127,3255837
12,1,-0.25065,-0.232841,9.85235,0.266683,-0.864696,1.01681,-0.00250775,-0.00233806,0.0985232,1,4.88572e-05,-6.42769e-06,4.39054e-06,0.00977143,-0.00128554,0.000878108,0,0,0,0,0.0419149,0.508414,-0.989382,35.4375,1,32127,3255837
12,2,-0.162314,-0.0334254,9.74525,0.30038,-0.669316,0.922291,-0.00162137,-0.000343302,0.0974525,1,4.61601e-05,9.02072e-06,1.56349e-05,0.00923202,0.00180414,0.00312698,0,0,0,0,0.0424819,0.506902,-0.986893,35.4375,1,32128,3255937
12,3,-0.162314,-0.0334254,9.74525,0.30038,-0.669316,0.922291,-0.00162137,-0.000343302,0.0974525,1,4.61601e-05,9.02072e-06,1.56349e-05,0.00923202,0.00180414,0.00312698,0,0,0,0,0.0424819,0.506902,-0.986893,35.4375,1,32128,3255937
12,4,-0.114666,-0.124082,9.81369,0.436083,-0.720002,0.968274,-0.0011373,-0.00124783,0.0981369,1,3.55018e-05,4.74675e-05,1.74929e-05,0.00710036,0.0094935,0.00349859,0,0,0,0,0.0429597,0.50931,-0.985327,35.4375,1,32129,3256037
12,5,-0.114666,-0.124082,9.81369,0.436083,-0.720002,0.968274,-0.0011373,-0.00124783,0.0981369,1,3.55018e-05,4.74675e-05,1.74929e-05,0.00710036,0.0094935,0.00349859,0,0,0,0,0.0429597,0.50931,-0.985327,35.4375,1,32129,3256037
12,6,-0.51715,-0.341271,9.83421,0.0253767,-1.00224,0.998289,-0.0051643,-0.00342716,0.098342,1,7.30157e-05,3.63031e-05,8.27864e-06,0.0146031,0.00726062,0.00165573,0,0,0,0,0.0439347,0.510738,-0.983784,35.4375,1,32130,3256137
21,1,-0.51715,-0.341271,9.83421,0.0253767,-1.00224,0.998289,-0.0051643,-0.00342716,0.098342,1,7.30157e-05,3.63031e-05,8.27864e-06,0.0146031,0.00726062,0.00165573,0,0,0,0,0.0439347,0.510738,-0.983784,35.4375,1,32130,3256137
21,2,-0.582831,-0.223213,9.81125,-0.103635,-0.872896,1.00684,-0.00582802,-0.00224203,0.0981123,1,4.87774e-05,8.4438e-07,2.77401e-05,0.00975548,0.000168876,0.00554802,0,0,0,0,0.0453368,0.510274,-0.985821,35.4375,1,32131,3256237
22,1,-0.582831,-0.223213,9.81125,-0.103635,-0.872896,1.00684,-0.00582802,-0.00224203,0.0981123,1,4.87774e-05,8.4438e-07,2.77401e-05,0.00975548,0.000168876,0.00554802,0,0,0,0,0.0453368,0.510274,-0.985821,35.4375,1,32131,3256237
22,2,-0.459818,-0.0501278,9.83192,0.0397427,-0.686491,0.985163,-0.00460311,-0.000510454,0.0983189,1,4.49826e-05,-2.52432e-05,3.58726e-05,0.00899652,-0.00504864,0.00717452,0,0,0,0,0.0453155,0.507881,-0.9884,35.4375,1,32132,3256337
23,1,-0.459818,-0.0501278,9.83192,0.0397427,-0.686491,0.985163,-0.00460311,-0.000510454,0.0983189,1,4.49826e-05,-2.52432e-05,3.58726e-05,0.00899652,-0.00504864,0.00717452,0,0,0,0,0.0453155,0.507881,-0.9884,35.4375,1,32132,3256337
23,2,-0.18642,0.0212419,9.87715,0.310784,-0.657492,1.0211,-0.00186876,0.000200579,0.0987715,1,5.93177e-05,-2.30255e-05,3.27849e-05,0.0118635,-0.00460511,0.00655698,0,0,0,0,0.0433986,0.505964,-0.989444,35.4375,1,32133,3256437
27,1,-0.18642,0.0212419,9.87715,0.310784,-0.657492,1.0211,-0.00186876,0.000200579,0.0987715,1,5.93177e-05,-2.30255e-05,3.27849e-05,0.0118635,-0.00460511,0.00655698,0,0,0,0,0.0433986,0.505964,-0.989444,35.4375,1,32133,3256437
27,2,-0.144367,0.0652806,9.82602,0.4147,-0.59599,0.996451,-0.00144112,0.000647834,0.0982603,1,2.47392e-05,1.32256e-05,3.85046e-05,0.00494785,0.00264512,0.00770093,0,0,0,0,0.0420374,0.505434,-0.986419,35.4375,1,32134,3256537
28,1,-0.144367,0.0652806,9.82602,0.4147,-0.59599,0.996451,-0.00144112,0.000647834,0.0982603,1,2.47392e-05,1.32256e-05,3.85046e-05,0.00494785,0.00264512,0.00770093,0,0,0,0,0.0420374,0.505434,-0.986419,35.4375,1,32134,3256537
28,2,-0.292709,-0.0533066,9.7507,0.263834,-0.743465,0.935228,-0.00291901,-0.000538994,0.0975072,1,3.00199e-05,4.13568e-05,1.26891e-05,0.00600399,0.00827136,0.00253783,0,0,0,0,0.0411045,0.507348,-0.983847,35.4375,1,32135,3256637
30,1,-0.292709,-0.0533066,9.7507,0.263834,-0.743465,0.935228,-0.00291901,-0.000538994,0.0975072,1,3.00199e-05,4.13568e-05,1.26891e-05,0.00600399,0.00827136,0.00253783,0,0,0,0,0.0411045,0.507348,-0.983847,35.4375,1,32135,3256637
30,2,-0.533396,-0.134388,9.78624,0.000883042,-0.840185,0.951898,-0.00532858,-0.00135229,0.0978625,1,4.33103e-05,2.75839e-05,-6.40571e-06,0.00866205,0.00551679,-0.00128114,0,0,0,0,0.0439262,0.509781,-0.984816,35.4375,1,32136,3256737
31,1,-0.533396,-0.134388,9.78624,0.000883042,-0.840185,0.951898,-0.00532858,-0.00135229,0.0978625,1,4.33103e-05,2.75839e-05,-6.40571e-06,0.00866205,0.00551679,-0.00128114,0,0,0,0,0.0439262,0.509781,-0.984816,35.4375,1,32136,3256737
31,2,-0.314838,-0.061622,9.9204,0.192532,-0.675315,1.06374,-0.00314864,-0.000623357,0.0992039,1,3.60497e-05,-1.28943e-06,-2.4472e-06,0.00720994,-0.000257887,-0.00048944,0,0,0,0,0.0448064,0.510314,-0.987838,35.4375,1,32137,3256837
31,3,-0.314838,-0.061622,9.9204,0.192532,-0.675315,1.06374,-0.00314864,-0.000623357,0.0992039,1,3.60497e-05,-1.28943e-06,-2.4472e-06,0.00720994,-0.000257887,-0.00048944,0,0,0,0,0.0448064,0.510314,-0.987838,35.4375,1,32137,3256837
31,4,-0.246295,-0.0596418,9.86703,0.278401,-0.604536,1.0474,-0.00245432,-0.000602615,0.0986705,1,3.19446e-05,4.38528e-05,-2.17894e-05,0.00638893,0.00877057,-0.00435787,0,0,0,0,0.0442878,0.5089,-0.990393,35.4375,1,32138,3256937
31,5,-0.246295,-0.0596418,9.86703,0.278401,-0.604536,1.0474,-0.00245432,-0.000602615,0.0986705,1,3.19446e-05,4.38528e-05,-2.17894e-05,0.00638893,0.00877057,-0.00435787,0,0,0,0,0.0442878,0.5089,-0.990393,35.4375,1,32138,3256937
31,6,-0.441396,-0.212431,9.72456,0.0845186,-0.848104,0.899699,-0.00440829,-0.00213385,0.0972457,1,5.02708e-05,2.97333e-05,-2.7124e-05,0.0100542,0.00594667,-0.00542479,0,0,0,0,0.0433336,0.50842,-0.990399,35.4375,1,32139,3257037
32,1,-0.441396,-0.212431,9.72456,0.0845186,-0.848104,0.899699,-0.00440829,-0.00213385,0.0972457,1,5.02708e-05,2.97333e-05,-2.7124e-05,0.0100542,0.00594667,-0.00542479,0,0,0,0,0.0433336,0.50842,-0.990399,35.4375,1,32139,3257037
32,2,-0.256822,-0.178722,9.75652,0.23303,-0.865605,0.90605,-0.00256892,-0.0017972,0.097565,1,5.16064e-05,-3.30636e-06,-1.57543e-05,0.0103213,-0.000661273,-0.00315086,0,0,0,0,0.0425028,0.50785,-0.985357,35.4375,1,32140,3257137
36,1,-0.256822,-0.178722,9.75652,0.23303,-0.865605,0.90605,-0.00256892,-0.0017972,0.097565,1,5.16064e-05,-3.30636e-06,-1.57543e-05,0.0103213,-0.000661273,-0.00315086,0,0,0,0,0.0425028,0.50785,-0.985357,35.4375,1,32140,3257137
36,2,-0.082919,-0.0111694,9.91519,0.471408,-0.679414,1.07471,-0.000820203,-0.000119284,0.0991519,1,3.83224e-05,4.53235e-05,-5.41525e-06,0.00766449,0.0090647,-0.00108305,0,0,0,0,0.0430295,0.508777,-0.982814,35.4375,1,32141,3257237
36,3,-0.082919,-0.0111694,9.91519,0.471408,-0.679414,1.07471,-0.000820203,-0.000119284,0.0991519,1,3.83224e-05,4.53235e-05,-5.41525e-06,0.00766449,0.0090647,-0.00108305,0,0,0,0,0.0430295,0.508777,-0.982814,35.4375,1,32141,3257237
36,4,-0.529317,-0.101926,9.82651,0.0156868,-0.666255,1.01115,-0.00528635,-0.00102516,0.0982654,1,3.06967e-05,3.48166e-05,-1.2479e-05,0.00613935,0.00696332,-0.00249581,0,0,0,0,0.0449421,0.510215,-0.982286,35.4375,1,32142,3257337
36,5,-0.529317,-0.101926,9.82651,0.0156868,-0.666255,1.01115,-0.00528635,-0.00102516,0.0982654,1,3.06967e-05,3.48166e-05,-1.2479e-05,0.00613935,0.00696332,-0.00249581,0,0,0,0,0.0449421,0.510215,-0.982286,35.4375,1,32142,3257337
36,6,-0.534123,-0.113599,9.82646,-0.0658618,-0.737866,0.96346,-0.00534503,-0.00114627,0.0982643,1,5.38153e-05,-1.90418e-05,-2.69082e-05,0.0107631,-0.00380836,-0.00538164,0,0,0,0,0.0448685,0.511715,-0.984272,35.4375,1,32143,3257437
36,7,-0.534123,-0.113599,9.82646,-0.0658618,-0.737866,0.96346,-0.00534503,-0.00114627,0.0982643,1,5.38153e-05,-1.90418e-05,-2.69082e-05,0.0107631,-0.00380836,-0.00538164,0,0,0,0,0.0448685,0.511715,-0.984272,35.4375,1,32143,3257437
36,8,0.0126031,-0.0341385,9.90044,0.525649,-0.74416,1.05126,0.000122556,-0.000350806,0.0990043,1,4.75499e-05,-1.74662e-05,-2.29453e-05,0.00950998,-0.00349324,-0.00458906,0,0,0,0,0.0433469,0.511302,-0.98781,35.4375,1,32144,3257537
37,1,0.0126031,-0.0341385,9.90044,0.525649,-0.74416,1.05126,0.000122556,-0.000350806,0.0990043,1,4.75499e-05,-1.74662e-05,-2.29453e-05,0.00950998,-0.00349324,-0.00458906,0,0,0,0,0.0433469,0.511302,-0.98781,35.4375,1,32144,3257537
