frame_id,point_id,x,y,z,doppler,snr,noise
1,9,0.2794,0.2044,-0.2413,6.7524,218,493
1,10,0.1524,0.2893,0.2667,6.7524,218,493
1,11,-0.2159,0.1497,0.3302,6.7524,218,493
3,9,0.2921,0.1858,-0.2413,6.7524,220,490
3,10,0.1524,0.2893,0.2667,6.7524,220,490
3,11,-0.1905,0.317,-0.2032,6.7524,220,490
9,12,0.2921,0.1858,-0.2413,6.7524,251,467
9,13,0.1524,0.2893,0.2667,6.7524,251,467
9,14,-0.1778,0.3159,-0.2159,6.7524,251,467
10,9,0.2921,0.2012,-0.2286,6.7524,229,472
10,10,0.1524,0.2893,0.2667,6.7524,229,472
10,11,-0.2159,0.1497,0.3302,6.7524,229,472
11,10,0.2794,0.2044,-0.2413,6.7524,228,488
11,11,0.1524,0.2893,0.2667,6.7524,228,488
11,12,-0.2159,0.1497,0.3302,6.7524,228,488
10,9,0.2794,0.2044,-0.2413,6.7524,230,484
10,10,0.1524,0.2893,0.2667,6.7524,230,484
10,11,-0.2159,0.1497,0.3302,6.7524,230,484
14,9,0.2794,0.2044,-0.2413,6.7524,227,484
14,10,0.1524,0.2893,0.2667,6.7524,227,484
21,6,0.2794,0.2044,-0.2413,6.7524,227,483
21,7,0.1524,0.2893,0.2667,6.7524,227,483
21,8,-0.2159,0.1497,0.3302,6.7524,227,483
23,6,0.2794,0.2044,-0.2413,6.7524,243,474
23,7,0.1524,0.2893,0.2667,6.7524,243,474
23,8,-0.2159,0.1497,0.3302,6.7524,243,474
25,9,0.2794,0.2044,-0.2413,6.7524,228,486
25,10,0.1524,0.2893,0.2667,6.7524,228,486
25,11,-0.2159,0.1497,0.3302,6.7524,228,486
27,8,0.2794,0.2044,-0.2413,6.7524,220,489
27,9,0.1524,0.2893,0.2667,6.7524,220,489
27,10,-0.1905,0.317,-0.2032,6.7524,220,489
28,6,0.2794,0.2044,-0.2413,6.7524,240,476
28,7,0.1524,0.2893,0.2667,6.7524,240,476
28,8,-0.1905,0.3085,-0.2159,6.7524,240,476
29,8,0.2794,0.2044,-0.2413,6.7524,232,484
29,9,0.1524,0.2893,0.2667,6.7524,232,484
29,10,-0.2159,0.1497,0.3302,6.7524,232,484
