frame_id,point_id,x,y,z,doppler,snr,noise
2,9,0.2921,0.1858,-0.2413,2.8939,182,516
2,10,0.1524,0.2893,0.2667,2.8939,182,516
3,9,0.2794,0.2044,-0.2413,2.8939,187,516
3,10,0.1524,0.2893,0.2667,2.8939,187,516
3,11,-0.2159,0.1497,0.3302,2.8939,187,516
4,9,0.2794,0.2044,-0.2413,2.8939,246,473
4,10,0.1524,0.2893,0.2667,2.8939,246,473
4,11,-0.2159,0.1497,0.3302,2.8939,246,473
16,9,0.254,0.2352,-0.2413,-1.9293,158,515
16,10,0.1524,0.2893,0.2667,-1.9293,158,515
16,11,-0.1778,0.3243,-0.2032,-1.9293,158,515
32,9,0.2413,0.2482,-0.2413,-1.9293,135,528
32,10,0.1524,0.2893,0.2667,-1.9293,135,528
32,11,-0.1905,0.317,-0.2032,-1.9293,135,528
40,10,0.254,0.2475,-0.2286,-0.9646,127,564
40,11,-0.1905,0.3248,-0.1905,-0.9646,127,564
40,12,0.1524,0.2893,0.2667,-0.9646,127,564
45,9,0.2413,0.2482,-0.2413,-1.9293,146,526
45,10,0.1524,0.2893,0.2667,-1.9293,146,526
45,11,-0.1905,0.317,-0.2032,-1.9293,146,526
70,10,0.2286,0.2599,-0.2413,-0.9646,112,563
70,11,0.1651,0.2937,0.254,-0.9646,112,563
70,12,-0.2032,0.317,-0.1905,-0.9646,112,563
77,9,0.2413,0.2482,-0.2413,-1.9293,138,526
77,10,0.1524,0.2893,0.2667,-1.9293,138,526
77,11,-0.1778,0.3243,-0.2032,-1.9293,138,526
82,9,0.2413,0.2482,-0.2413,-1.9293,161,503
82,10,0.1397,0.2956,0.2667,-1.9293,161,503
82,11,-0.1778,0.3243,-0.2032,-1.9293,161,503
84,9,0.2413,0.2352,-0.254,-1.9293,142,522
84,10,0.1524,0.3005,0.254,-1.9293,142,522
84,11,-0.1905,0.317,-0.2032,-1.9293,142,522
106,9,0.2413,0.2482,-0.2413,-1.9293,168,503
106,10,0.1397,0.2956,0.2667,-1.9293,168,503
111,9,0.254,0.2352,-0.2413,-1.9293,145,528
111,10,0.1524,0.2893,0.2667,-1.9293,145,528
111,11,-0.1778,0.3243,-0.2032,-1.9293,145,528
112,9,0.254,0.2352,-0.2413,-1.9293,171,498
112,10,0.1524,0.2893,0.2667,-1.9293,171,498
112,11,-0.1778,0.3243,-0.2032,-1.9293,171,498
115,9,0.2286,0.2599,-0.2413,-1.9293,136,535
115,10,0.1524,0.2893,0.2667,-1.9293,136,535
115,11,-0.1778,0.3243,-0.2032,-1.9293,136,535
122,12,0.2413,0.2482,-0.2413,-1.9293,140,530
122,13,0.1524,0.2893,0.2667,-1.9293,140,530
122,14,-0.1778,0.3243,-0.2032,-1.9293,140,530
135,8,2.1588,3.6231,0.127,-1.9293,128,485
136,10,0.2667,0.2456,-0.2159,-0.9646,116,573
136,11,-0.1905,0.3248,-0.1905,-0.9646,116,573
136,12,0.1397,0.2837,0.2794,-0.9646,116,573
137,10,2.1588,3.6253,0,-3.8585,180,472
139,12,2.0509,3.4356,0.2413,-1.9293,200,476
144,8,2.0149,3.2481,0.9482,-1.9293,195,505
146,8,1.943,3.1899,0.6857,-1.9293,230,476
147,8,1.907,3.1046,0.7852,-1.9293,182,478
147,9,2.0149,3.665,-0.1259,-1.9293,122,478
148,8,1.871,3.0718,0.6604,-2.8939,177,468
149,9,2.1525,3.3204,0.3587,-2.8939,138,488
149,10,1.853,3.0637,0.545,-1.9293,244,465
151,9,2.1514,3.0531,0.4529,-2.8939,142,496
151,10,0.2413,0.2482,-0.2413,-1.9293,150,522
151,11,0.1524,0.2893,0.2667,-1.9293,150,522
151,12,-0.1905,0.317,-0.2032,-1.9293,150,522
152,9,0.254,0.2352,-0.2413,-1.9293,147,522
152,10,0.1524,0.2893,0.2667,-1.9293,147,522
152,11,-0.1778,0.3243,-0.2032,-1.9293,147,522
152,12,1.9811,3.0241,0.5503,-0.9646,148,609
172,12,0.2413,0.2482,-0.2413,-1.9293,148,521
172,13,0.1524,0.2893,0.2667,-1.9293,148,521
172,14,-0.1905,0.317,-0.2032,-1.9293,148,521
174,8,0.2413,0.2482,-0.2413,-1.9293,151,520
