frame_id,point_id,x,y,z,doppler,snr,noise
11,1,-0.0381,0.2747,-0.1524,0,112,607
11,2,-0.0762,0.1817,0.2476,0,112,607
12,7,0.2794,0.2044,-0.2413,5.7878,208,509
12,8,0.1524,0.2893,0.2667,5.7878,208,509
12,9,-0.2159,0.1497,0.3302,5.7878,208,509
21,3,-2.3334,2.859,0.1111,0,115,636
22,3,-2.3334,2.8611,0,0,129,620
23,3,-2.2223,2.9399,0.2222,0,117,625
27,4,-2.4213,2.7404,0,0,119,633
28,5,-2.4213,2.7382,0.1101,0,156,607
30,4,-2.5313,2.6184,0.3302,0,135,614
31,7,0.2794,0.2044,-0.2413,5.7878,214,496
31,8,0.1524,0.3005,0.254,5.7878,214,496
31,9,-0.1905,0.3085,-0.2159,5.7878,214,496
32,4,-2.2446,2.7438,0.2138,0,127,607
36,3,-2.2223,2.6918,0.4233,0,124,611
36,8,0.2921,0.1858,-0.2413,5.7878,214,504
36,9,0.1397,0.2956,0.2667,5.7878,214,504
36,10,-0.2159,0.1497,0.3302,5.7878,214,504
37,1,-0.0847,0.2963,-0.1693,0,120,594
37,3,-2.6721,2.3393,0,0,121,607
39,1,0.3027,0.1873,-0.1513,0,126,614
40,1,0.3143,0.1769,-0.1397,0,154,606
40,5,-2.2816,2.5062,0.6223,0,120,596
40,6,-2.2446,2.7438,0.2138,0,117,618
41,3,-2.489,2.3626,0.3111,0,121,607
42,1,0.1979,0.3067,-0.128,0,128,610
43,1,0.2794,0.2206,-0.1513,0,115,619
44,1,0.2445,0.2587,-0.1513,0,178,603
45,1,0.2011,0.2475,-0.1482,0,133,610
45,5,-2.235,2.5214,0.2032,0,118,594
49,1,0.2878,0.4587,-0.1524,0,188,595
53,5,0.2889,0.6663,-0.1333,-0.9646,112,547
54,1,-2.5398,2.186,0.4064,0,125,602
54,2,0.1651,0.3985,-0.1513,-0.9646,157,620
54,3,0.2328,0.6468,-0.1482,-0.9646,114,555
55,3,0.2815,0.5841,-0.1609,-0.9646,120,551
56,1,0.1376,0.4088,-0.1513,-0.9646,161,629
57,3,0.1397,0.3678,-0.1524,-0.9646,121,642
58,1,0.2794,0.2044,-0.2413,6.7524,231,476
58,2,0.1524,0.2893,0.2667,6.7524,231,476
58,3,-0.2159,0.1497,0.3302,6.7524,231,476
59,1,0.127,0.361,-0.1778,-0.9646,124,632
60,1,0.163,0.3106,-0.163,-0.9646,125,601
62,2,0.1048,0.3496,-0.128,-0.9646,117,600
62,3,-0.1397,0.3274,-0.1513,-0.9646,117,600
63,1,0.1101,0.4171,-0.1513,-0.9646,143,579
66,1,0.0381,0.3916,-0.1524,-0.9646,153,585
68,1,-0.1164,0.2639,-0.2011,0,124,600
68,2,0.1164,0.2969,-0.1482,0,124,600
70,1,-0.0212,0.3182,-0.1482,-0.9646,130,627
71,1,0,0.3508,-0.163,-0.9646,148,632
72,1,0.0106,0.3187,-0.1482,-0.9646,169,625
73,2,0.2794,0.2044,-0.2413,6.7524,224,485
73,3,0.1524,0.2893,0.2667,6.7524,224,485
73,4,-0.0106,0.308,-0.1693,-0.9646,148,637
73,5,0.1926,0.3859,-0.1513,-0.9646,126,611
74,2,0.0106,0.308,-0.1693,-0.9646,134,623
74,3,0.237,0.4052,-0.1482,-0.9646,124,587
75,1,0.019,0.2767,-0.1524,-0.9646,134,631
78,1,0,0.2308,-0.1609,-0.9646,163,635
79,1,0,0.2417,-0.1439,-0.9646,157,634
