frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,-1.48884,-0.263318,9.88266,1.47392,0.158236,1.10905,-0.0148778,-0.00263162,0.0988283,1,-1.67151e-05,5.21618e-05,5.8419e-05,-0.00334303,0.0104323,0.0116838,0,0,0,0,0.441716,0.11508,-1.00856,34.3125,3,25153,55554102
1,2,-0.559478,-0.0506235,7.33565,1.47392,0.158236,1.10905,-0.00559379,-0.000514075,0.0733565,1,5.07963e-05,6.49327e-06,3.4632e-05,0.0101593,0.00129865,0.00692639,0,0,0,0,0.0991009,0.516795,-0.966227,34.5,1,44348,57475114
1,3,-0.559478,-0.0506235,7.33565,1.47392,0.158236,1.10905,-0.00559379,-0.000514075,0.0733565,1,5.07963e-05,6.49327e-06,3.4632e-05,0.0101593,0.00129865,0.00692639,0,0,0,0,0.0991009,0.516795,-0.966227,34.5,1,44348,57475114
1,4,-0.736232,-0.0710345,9.78111,0.0581894,-0.507384,0.973484,-0.00736411,-0.000723075,0.0978108,1,6.37359e-05,-9.24804e-06,1.78294e-05,0.0127472,-0.00184961,0.00356589,0,0,0,0,0.10008,0.518702,-0.964169,34.5,1,44349,57475214
1,5,-0.736232,-0.0710345,9.78111,0.0581894,-0.507384,0.973484,-0.00736411,-0.000723075,0.0978108,1,6.37359e-05,-9.24804e-06,1.78294e-05,0.0127472,-0.00184961,0.00356589,0,0,0,0,0.10008,0.518702,-0.964169,34.5,1,44349,57475214
1,6,-0.728748,-0.0648163,9.77535,0.064277,-0.50196,0.961532,-0.00729019,-0.000658541,0.0977532,1,5.08055e-05,-1.40909e-05,3.05976e-05,0.0101611,-0.00281819,0.00611953,0,0,0,0,0.101425,0.520208,-0.967172,34.5,1,44350,57475314
2,1,-0.728748,-0.0648163,9.77535,0.064277,-0.50196,0.961532,-0.00729019,-0.000658541,0.0977532,1,5.08055e-05,-1.40909e-05,3.05976e-05,0.0101611,-0.00281819,0.00611953,0,0,0,0,0.101425,0.520208,-0.967172,34.5,1,44350,57475314
2,2,-0.742248,-0.0723518,9.78962,0.0521212,-0.512318,0.982658,-0.00742489,-0.000736248,0.0978959,1,6.34081e-05,-1.2498e-05,2.12606e-05,0.0126816,-0.00249959,0.00425211,0,0,0,0,0.103206,0.520779,-0.972724,34.5,1,44351,57475414
2,3,-0.742248,-0.0723518,9.78962,0.0521212,-0.512318,0.982658,-0.00742489,-0.000736248,0.0978959,1,6.34081e-05,-1.2498e-05,2.12606e-05,0.0126816,-0.00249959,0.00425211,0,0,0,0,0.103206,0.520779,-0.972724,34.5,1,44351,57475414
2,4,-0.757734,-0.0780653,9.78256,0.0334326,-0.523373,0.982591,-0.0075814,-0.000791765,0.0978252,1,5.49834e-05,-2.09755e-05,2.3432e-05,0.0109967,-0.0041951,0.0046864,0,0,0,0,0.10217,0.520841,-0.975748,34.5,1,44352,57475514
2,5,-0.757734,-0.0780653,9.78256,0.0334326,-0.523373,0.982591,-0.0075814,-0.000791765,0.0978252,1,5.49834e-05,-2.09755e-05,2.3432e-05,0.0109967,-0.0041951,0.0046864,0,0,0,0,0.10217,0.520841,-0.975748,34.5,1,44352,57475514
2,6,-0.760949,-0.0791605,9.77476,0.0335999,-0.524925,0.977654,-0.00761179,-0.000801413,0.0977474,1,4.89559e-05,-1.19227e-05,1.55865e-05,0.00979119,-0.00238455,0.00311731,0,0,0,0,0.0998662,0.518377,-0.973267,34.5,1,44353,57475614
3,1,-0.760949,-0.0791605,9.77476,0.0335999,-0.524925,0.977654,-0.00761179,-0.000801413,0.0977474,1,4.89559e-05,-1.19227e-05,1.55865e-05,0.00979119,-0.00238455,0.00311731,0,0,0,0,0.0998662,0.518377,-0.973267,34.5,1,44353,57475614
