frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,-0.691809,-0.0305887,9.79177,0.369523,-1.17329,1.03034,-0.00691928,-0.000316218,0.0979176,1,5.16642e-05,-6.09237e-06,1.53744e-05,0.0103328,-0.00121847,0.00307489,0,0,0,0,0.0472364,0.315119,-1.12502,34.125,3,19239,48398776
1,2,-0.499304,-0.0609367,7.34606,0.369523,-1.17329,1.03034,-0.00499422,-0.00061395,0.0734605,1,2.9981e-05,-8.20672e-06,1.7889e-05,0.00599621,-0.00164134,0.00357781,0,0,0,0,0.0479464,0.518163,-0.991719,34.0625,1,24541,48930444
2,1,-0.499304,-0.0609367,7.34606,0.369523,-1.17329,1.03034,-0.00499422,-0.00061395,0.0734605,1,2.9981e-05,-8.20672e-06,1.7889e-05,0.00599621,-0.00164134,0.00357781,0,0,0,0,0.0479464,0.518163,-0.991719,34.0625,1,24541,48930444
2,2,-0.677541,-0.0793013,9.78759,0.0747599,-0.500122,0.99619,-0.00677651,-0.000800998,0.0978758,1,3.97338e-05,-5.74995e-06,1.52424e-05,0.00794676,-0.00114999,0.00304849,0,0,0,0,0.0464655,0.516757,-0.994269,34.0625,1,24542,48930544
3,1,-0.677541,-0.0793013,9.78759,0.0747599,-0.500122,0.99619,-0.00677651,-0.000800998,0.0978758,1,3.97338e-05,-5.74995e-06,1.52424e-05,0.00794676,-0.00114999,0.00304849,0,0,0,0,0.0464655,0.516757,-0.994269,34.0625,1,24542,48930544
3,2,-0.672393,-0.0758564,9.79065,0.0805449,-0.497484,1.00216,-0.00672432,-0.000768431,0.0979064,1,4.87044e-05,-2.17724e-06,2.44845e-05,0.00974089,-0.000435447,0.0048969,0,0,0,0,0.0465054,0.512872,-0.995365,34.0625,1,24543,48930644
4,1,-0.672393,-0.0758564,9.79065,0.0805449,-0.497484,1.00216,-0.00672432,-0.000768431,0.0979064,1,4.87044e-05,-2.17724e-06,2.44845e-05,0.00974089,-0.000435447,0.0048969,0,0,0,0,0.0465054,0.512872,-0.995365,34.0625,1,24543,48930644
4,2,-0.66846,-0.0766478,9.80148,0.0861103,-0.499047,1.01492,-0.00668666,-0.000776131,0.0980146,1,4.82613e-05,-1.06261e-05,1.43553e-05,0.00965225,-0.00212522,0.00287106,0,0,0,0,0.0451845,0.509904,-0.992395,34.0625,1,24544,48930744
7,1,-0.66846,-0.0766478,9.80148,0.0861103,-0.499047,1.01492,-0.00668666,-0.000776131,0.0980146,1,4.82613e-05,-1.06261e-05,1.43553e-05,0.00965225,-0.00212522,0.00287106,0,0,0,0,0.0451845,0.509904,-0.992395,34.0625,1,24544,48930744
7,2,-0.677512,-0.0709745,9.79378,0.080434,-0.487735,1.00445,-0.00677604,-0.000716942,0.0979377,1,3.56007e-05,-4.82437e-06,1.6572e-05,0.00712014,-0.000964874,0.00331441,0,0,0,0,0.0462986,0.508821,-0.986868,34.0625,1,24545,48930844
8,1,-0.677512,-0.0709745,9.79378,0.080434,-0.487735,1.00445,-0.00677604,-0.000716942,0.0979377,1,3.56007e-05,-4.82437e-06,1.6572e-05,0.00712014,-0.000964874,0.00331441,0,0,0,0,0.0462986,0.508821,-0.986868,34.0625,1,24545,48930844
8,2,-0.666272,-0.0723731,9.78759,0.0891267,-0.488163,0.988963,-0.00666325,-0.000731965,0.0978758,1,4.08981e-05,-2.84039e-06,1.71288e-05,0.00817963,-0.000568079,0.00342576,0,0,0,0,0.0486932,0.513146,-0.984258,34.0625,1,24546,48930944
9,1,-0.666272,-0.0723731,9.78759,0.0891267,-0.488163,0.988963,-0.00666325,-0.000731965,0.0978758,1,4.08981e-05,-2.84039e-06,1.71288e-05,0.00817963,-0.000568079,0.00342576,0,0,0,0,0.0486932,0.513146,-0.984258,34.0625,1,24546,48930944
9,2,-0.664272,-0.0647281,9.78493,0.0877625,-0.48163,0.983924,-0.00664571,-0.000657354,0.097849,1,5.01478e-05,-1.54078e-05,1.94761e-05,0.0100296,-0.00308157,0.00389522,0,0,0,0,0.0494595,0.517618,-0.989213,34.0625,1,24547,48931044
9,3,-0.664272,-0.0647281,9.78493,0.0877625,-0.48163,0.983924,-0.00664571,-0.000657354,0.097849,1,5.01478e-05,-1.54078e-05,1.94761e-05,0.0100296,-0.00308157,0.00389522,0,0,0,0,0.0494595,0.517618,-0.989213,34.0625,1,24547,48931044
9,4,-0.676167,-0.0793498,9.7981,0.0740166,-0.502962,1.00089,-0.00676048,-0.000803726,0.097981,1,4.97977e-05,5.79636e-06,3.46826e-05,0.00995954,0.00115927,0.00693652,0,0,0,0,0.0483407,0.516777,-0.996297,34.0625,1,24548,48931144
10,1,-0.676167,-0.0793498,9.7981,0.0740166,-0.502962,1.00089,-0.00676048,-0.000803726,0.097981,1,4.97977e-05,5.79636e-06,3.46826e-05,0.00995954,0.00115927,0.00693652,0,0,0,0,0.0483407,0.516777,-0.996297,34.0625,1,24548,48931144
10,2,-0.663179,-0.0785999,9.77903,0.0863284,-0.508812,0.985357,-0.00663354,-0.000793157,0.0977902,1,3.59304e-05,-8.99114e-06,9.90169e-06,0.00718608,-0.00179823,0.00198034,0,0,0,0,0.0469984,0.511414,-0.995905,34.0625,1,24549,48931244
