frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,-0.670464,-0.0804688,9.78649,0.5417,-0.104911,0.959912,-0.00670645,-0.000812309,0.0978647,1,3.66402e-05,-9.48837e-06,3.35517e-05,0.00732804,-0.00189768,0.00671034,0,0,0,0,0.0757083,0.521061,-0.975621,33.8125,3,51616,18412405
1,2,-0.504927,-0.0674479,7.34626,0.5417,-0.104911,0.959912,-0.00505143,-0.000678653,0.0734624,1,2.79453e-05,-1.47334e-05,6.73925e-06,0.00558906,-0.00294669,0.00134785,0,0,0,0,0.0810982,0.53093,-0.984517,33.8125,1,51617,18413948
3,1,-0.504927,-0.0674479,7.34626,0.5417,-0.104911,0.959912,-0.00505143,-0.000678653,0.0734624,1,2.79453e-05,-1.47334e-05,6.73925e-06,0.00558906,-0.00294669,0.00134785,0,0,0,0,0.0810982,0.53093,-0.984517,33.8125,1,51617,18413948
3,2,-0.667619,-0.0878927,9.79082,0.0600439,-0.511311,0.997178,-0.00667873,-0.000888068,0.0979079,1,4.45042e-05,-1.32863e-05,3.19462e-05,0.00890084,-0.00265725,0.00638925,0,0,0,0,0.0797199,0.528485,-0.983555,33.8125,1,51618,18414048
3,3,-0.667619,-0.0878927,9.79082,0.0600439,-0.511311,0.997178,-0.00667873,-0.000888068,0.0979079,1,4.45042e-05,-1.32863e-05,3.19462e-05,0.00890084,-0.00265725,0.00638925,0,0,0,0,0.0797199,0.528485,-0.983555,33.8125,1,51618,18414048
3,4,-0.670875,-0.0779526,9.78752,0.0578533,-0.49926,0.98907,-0.00671024,-0.000788045,0.0978751,1,4.27775e-05,-7.70596e-06,1.0891e-05,0.00855549,-0.00154119,0.00217819,0,0,0,0,0.075993,0.524091,-0.981615,33.8125,1,51619,18414148
4,1,-0.670875,-0.0779526,9.78752,0.0578533,-0.49926,0.98907,-0.00671024,-0.000788045,0.0978751,1,4.27775e-05,-7.70596e-06,1.0891e-05,0.00855549,-0.00154119,0.00217819,0,0,0,0,0.075993,0.524091,-0.981615,33.8125,1,51619,18414148
4,2,-0.665646,-0.0892569,9.78706,0.0659715,-0.509583,0.988225,-0.00665991,-0.000900846,0.0978703,1,4.03503e-05,-1.79054e-05,2.84094e-05,0.00807006,-0.00358108,0.00568188,0,0,0,0,0.0762549,0.520045,-0.973626,33.8125,1,51620,18414248
4,3,-0.665646,-0.0892569,9.78706,0.0659715,-0.509583,0.988225,-0.00665991,-0.000900846,0.0978703,1,4.03503e-05,-1.79054e-05,2.84094e-05,0.00807006,-0.00358108,0.00568188,0,0,0,0,0.0762549,0.520045,-0.973626,33.8125,1,51620,18414248
4,4,-0.677017,-0.0945484,9.79456,0.0507492,-0.515487,0.994891,-0.00677477,-0.00095501,0.0979452,1,4.68362e-05,-2.37449e-05,2.59859e-05,0.00936724,-0.00474899,0.00519718,0,0,0,0,0.0772631,0.522413,-0.970042,33.8125,1,51621,18414348
