frame_id,point_id,x,y,z,doppler,snr,noise
2884,1,0.1508,0.1633,-0.1676,0,177,864
2884,7,1.4284,9.3796,-0.2857,0,194,761
1,1,0.1592,0.1552,-0.1676,0,187,854
1,7,1.4284,9.3796,-0.2857,0,194,761
2,1,0.1508,0.1633,-0.1676,0,184,856
2,8,1.4284,9.3796,-0.2857,0,191,763
3,1,0.1508,0.1633,-0.1676,0,186,855
3,7,1.4284,9.3796,-0.2857,0,197,756
7,1,0.1592,0.1552,-0.1676,0,186,856
7,7,1.4284,9.3796,-0.2857,0,193,761
8,1,0.1508,0.1633,-0.1676,0,189,852
8,7,1.4284,9.3796,-0.2857,0,192,763
9,1,0.1592,0.1552,-0.1676,0,186,856
9,7,1.4284,9.3796,-0.2857,0,195,760
10,1,0.1508,0.1633,-0.1676,0,183,859
10,7,1.4284,9.3796,-0.2857,0,188,767
11,1,0.1508,0.1633,-0.1676,0,183,858
11,7,1.4284,9.3796,-0.2857,0,196,758
12,1,0.1508,0.1633,-0.1676,0,185,857
12,7,1.4284,9.3796,-0.2857,0,189,765
10,1,0.1592,0.1552,-0.1676,0,190,851
10,7,1.4284,9.3796,-0.2857,0,191,763
14,1,0.1592,0.1552,-0.1676,0,195,846
14,7,1.4284,9.384,0,0,192,762
15,1,0.1508,0.1633,-0.1676,0,195,846
15,2,0.1592,0.1552,-0.1676,0,195,846
15,8,1.4284,9.3796,-0.2857,0,191,763
16,1,0.1592,0.1552,-0.1676,0,181,860
16,7,1.4284,9.3796,-0.2857,0,192,763
17,1,0.1508,0.1633,-0.1676,0,187,854
17,7,1.4284,9.3796,-0.2857,0,194,761
18,1,0.1592,0.1552,-0.1676,0,178,862
18,7,1.4284,9.3796,-0.2857,0,191,763
19,1,0.1592,0.1552,-0.1676,0,185,856
19,7,1.4284,9.3796,-0.2857,0,190,765
20,1,0.1592,0.1552,-0.1676,0,192,848
20,7,1.4284,9.3796,-0.2857,0,192,763
21,1,0.1592,0.1552,-0.1676,0,190,851
21,7,1.4284,9.3796,-0.2857,0,192,762
22,1,0.1592,0.1552,-0.1676,0,190,851
22,7,1.4284,9.3796,-0.2857,0,190,764
23,1,0.1592,0.1552,-0.1676,0,179,862
23,7,1.4284,9.3796,-0.2857,0,194,761
24,1,0.1508,0.1633,-0.1676,0,172,869
24,7,1.4284,9.3796,-0.2857,0,194,761
25,1,0.1508,0.1633,-0.1676,0,196,845
25,7,1.4284,9.3796,-0.2857,0,190,764
26,1,0.1508,0.1633,-0.1676,0,184,857
26,7,1.4242,9.3391,-0.5697,0,194,760
26,8,1.4284,9.3796,-0.2857,0,192,762
27,1,0.1508,0.1633,-0.1676,0,185,855
27,7,1.4284,9.3796,-0.2857,0,196,757
28,1,0.1592,0.1552,-0.1676,0,200,841
28,7,1.4284,9.384,0,0,195,759
29,1,0.1508,0.1633,-0.1676,0,184,857
29,7,1.4284,9.3796,-0.2857,0,190,764
30,1,0.1592,0.1552,-0.1676,0,187,852
30,7,1.4284,9.3796,-0.2857,0,195,759
31,1,0.1592,0.1552,-0.1676,0,182,858
31,7,1.4284,9.3796,-0.2857,0,191,763
32,1,0.1592,0.1552,-0.1676,0,187,853
32,7,1.4284,9.3796,-0.2857,0,194,760
33,1,0.1508,0.1633,-0.1676,0,189,851
33,8,1.4284,9.3796,-0.2857,0,197,757
34,1,0.1592,0.1552,-0.1676,0,187,854
34,7,1.4284,9.3796,-0.2857,0,191,763
35,1,0.1592,0.1552,-0.1676,0,191,849
35,7,1.4284,9.3796,-0.2857,0,196,757
36,1,0.1508,0.1633,-0.1676,0,186,855
36,7,1.4284,9.3796,-0.2857,0,194,760
37,1,0.1592,0.1552,-0.1676,0,187,854
37,7,1.4284,9.3796,-0.2857,0,198,756
38,1,0.1508,0.1633,-0.1676,0,183,858
38,7,1.4284,9.3796,-0.2857,0,189,765
39,1,0.1592,0.1552,-0.1676,0,180,860
39,7,1.4284,9.3796,-0.2857,0,194,761
40,1,0.1592,0.1552,-0.1676,0,189,851
40,7,1.4284,9.3796,-0.2857,0,198,755
41,1,0.1508,0.1633,-0.1676,0,191,849
41,7,1.4284,9.3796,-0.2857,0,204,751
42,1,0.1592,0.1552,-0.1676,0,188,853
42,7,1.4284,9.3796,-0.2857,0,197,757
43,1,0.1508,0.1633,-0.1676,0,184,856
43,7,1.4284,9.3796,-0.2857,0,200,754
44,1,0.1592,0.1552,-0.1676,0,187,854
44,7,1.4284,9.3796,-0.2857,0,194,761
45,1,0.1508,0.1633,-0.1676,0,179,862
45,7,1.4284,9.3796,-0.2857,0,193,761
46,1,0.1508,0.1633,-0.1676,0,178,863
46,7,1.4284,9.3796,-0.2857,0,188,766
47,1,0.1508,0.1633,-0.1676,0,182,859
47,7,1.4284,9.3796,-0.2857,0,194,761
48,1,0.1508,0.1633,-0.1676,0,176,864
48,7,1.4284,9.3796,-0.2857,0,195,759
49,1,0.1592,0.1552,-0.1676,0,181,859
49,7,1.4284,9.3796,-0.2857,0,197,757
50,1,0.1508,0.1633,-0.1676,0,183,858
50,7,1.4284,9.3796,-0.2857,0,192,762
51,1,0.1592,0.1552,-0.1676,0,192,848
51,7,1.4284,9.3796,-0.2857,0,194,759
52,1,0.1592,0.1552,-0.1676,0,184,857
52,7,1.4284,9.3796,-0.2857,0,196,757
53,1,0.1508,0.1633,-0.1676,0,195,846
53,7,1.4284,9.3796,-0.2857,0,197,758
54,1,0.1508,0.1633,-0.1676,0,189,852
54,7,1.4284,9.3796,-0.2857,0,191,764
55,1,0.1508,0.1633,-0.1676,0,187,853
55,7,1.4284,9.3796,-0.2857,0,193,761
56,1,0.1508,0.1633,-0.1676,0,184,857
56,7,1.4284,9.3796,-0.2857,0,195,759
57,1,0.1592,0.1552,-0.1676,0,184,856
57,7,1.4284,9.3796,-0.2857,0,191,763
58,1,0.1508,0.1633,-0.1676,0,188,852
58,7,1.4284,9.3796,-0.2857,0,189,766
59,1,0.1592,0.1552,-0.1676,0,183,857
59,8,1.4284,9.3796,-0.2857,0,192,762
60,1,0.1592,0.1552,-0.1676,0,181,860
60,7,1.4284,9.3796,-0.2857,0,190,763
61,1,0.1508,0.1633,-0.1676,0,178,862
61,7,1.4284,9.3796,-0.2857,0,193,761
62,1,0.1592,0.1552,-0.1676,0,184,856
62,7,1.4284,9.3796,-0.2857,0,193,761
63,1,0.1508,0.1633,-0.1676,0,192,848
63,8,1.4284,9.3796,-0.2857,0,193,761
64,1,0.1592,0.1552,-0.1676,0,195,846
64,7,1.4284,9.3796,-0.2857,0,198,757
65,1,0.1508,0.1633,-0.1676,0,186,855
65,7,1.4284,9.3796,-0.2857,0,194,760
66,1,0.1508,0.1633,-0.1676,0,171,870
66,7,1.4284,9.3796,-0.2857,0,192,761
67,1,0.1508,0.1633,-0.1676,0,196,846
67,7,1.4284,9.3796,-0.2857,0,192,761
68,1,0.1508,0.1633,-0.1676,0,186,855
68,7,1.4284,9.3796,-0.2857,0,190,765
69,1,0.1508,0.1633,-0.1676,0,191,849
69,7,1.4284,9.3796,-0.2857,0,195,759
70,1,0.1508,0.1633,-0.1676,0,188,853
70,7,1.4284,9.3796,-0.2857,0,192,762
71,1,0.1508,0.1633,-0.1676,0,192,848
71,8,1.4284,9.3796,-0.2857,0,188,765
72,1,0.1508,0.1633,-0.1676,0,193,847
72,7,1.4284,9.3796,-0.2857,0,193,761
73,1,0.1508,0.1633,-0.1676,0,183,858
73,8,1.4284,9.3796,-0.2857,0,194,760
74,1,0.1508,0.1633,-0.1676,0,189,851
74,7,1.4284,9.3796,-0.2857,0,192,762
75,1,0.1592,0.1552,-0.1676,0,192,849
75,7,1.4284,9.3796,-0.2857,0,196,758
76,1,0.1592,0.1552,-0.1676,0,184,856
76,7,1.4284,9.3796,-0.2857,0,191,763
77,1,0.1508,0.1633,-0.1676,0,182,858
77,7,1.4284,9.3796,-0.2857,0,192,761
78,1,0.1508,0.1633,-0.1676,0,190,851
78,7,1.4284,9.3796,-0.2857,0,191,763
79,1,0.1508,0.1633,-0.1676,0,186,855
79,7,1.4284,9.3796,-0.2857,0,193,762
80,1,0.1508,0.1633,-0.1676,0,181,859
80,7,1.4284,9.3796,-0.2857,0,188,766
81,1,0.1508,0.1633,-0.1676,0,182,858
81,7,1.4284,9.3796,-0.2857,0,194,761
82,1,0.1508,0.1633,-0.1676,0,192,848
82,7,1.4284,9.3796,-0.2857,0,190,764
83,1,0.1592,0.1552,-0.1676,0,183,857
83,7,1.4284,9.3796,-0.2857,0,197,756
84,1,0.1508,0.1633,-0.1676,0,192,849
84,7,1.4284,9.3796,-0.2857,0,189,765
85,1,0.1508,0.1633,-0.1676,0,191,850
85,7,1.4284,9.3796,-0.2857,0,191,764
86,1,0.1508,0.1633,-0.1676,0,182,858
86,7,1.4284,9.3796,-0.2857,0,190,764
87,1,0.1508,0.1633,-0.1676,0,193,847
87,7,1.4284,9.3796,-0.2857,0,189,765
88,1,0.1508,0.1633,-0.1676,0,192,848
