frame_id,point_id,x,y,z,doppler,snr,noise
5167,1,-1.7493,1.6346,-0.3644,0,202,577
5167,2,-0.6166,1.3592,-2.081,0,204,639
5167,3,-0.8847,2.5216,0,0,190,758
5167,4,3.7415,4.2346,0,0,150,853
1,5,0.2865,9.5156,0,0,252,778
2,5,0.2865,9.5156,0,0,252,782
3,5,0.2865,9.5156,0,0,255,779
7,5,0.2865,9.5156,0,0,256,778
8,5,0.2865,9.5156,0,0,254,780
9,5,0.2865,9.5156,0,0,254,780
10,5,0.2865,9.5156,0,0,250,784
10,6,0.573,9.4983,-0.2865,0,250,784
11,5,0.2865,9.5156,0,0,256,778
12,4,0.2865,9.5156,0,0,255,779
10,4,0.2865,9.5156,0,0,254,780
14,5,0.2865,9.5156,0,0,255,779
15,5,0.2865,9.5156,0,0,254,780
16,5,0.2865,9.5156,0,0,256,778
17,4,0.2865,9.5156,0,0,257,777
18,5,0.2865,9.5156,0,0,252,782
19,5,0.2865,9.5156,0,0,253,778
20,5,0.2865,9.5156,0,0,254,780
21,5,0.2865,9.5156,0,0,251,783
22,8,0.2865,9.5156,0,0,254,780
22,9,0.1131,0.2341,0.3267,-6.7524,311,542
23,5,0.2865,9.5156,0,0,252,782
24,5,0.2865,9.5156,0,0,253,778
25,5,0.2865,9.5156,0,0,252,778
26,5,0.2865,9.5156,0,0,254,779
27,5,0.2865,9.5156,0,0,251,782
28,4,0.2865,9.5156,0,0,256,778
29,5,0.2865,9.5156,0,0,255,779
30,5,0.2865,9.5156,0,0,251,782
31,5,0.2865,9.5156,0,0,251,783
32,5,0.2865,9.5156,0,0,255,779
33,5,0.2865,9.5156,0,0,256,778
34,4,0.2865,9.5156,0,0,256,778
35,5,0.2865,9.5156,0,0,257,777
36,4,0.2865,9.5156,0,0,252,782
37,4,0.2865,9.5156,0,0,255,779
38,4,0.573,9.4983,-0.2865,0,254,780
39,5,0.2865,9.5156,0,0,257,777
40,5,0.2865,9.5156,0,0,253,780
41,5,0.2865,9.5156,0,0,257,777
42,5,0.2865,9.5156,0,0,255,779
43,5,0.2865,9.5156,0,0,255,779
44,5,0.2865,9.5156,0,0,257,777
45,4,0.2865,9.5156,0,0,254,780
46,5,0.2865,9.5156,0,0,253,780
46,6,0.573,9.4983,-0.2865,0,253,780
47,4,0.2865,9.5156,0,0,255,779
48,5,0.2865,9.5156,0,0,253,780
49,5,0.2865,9.5156,0,0,252,778
50,5,0.2865,9.5156,0,0,256,778
51,5,0.2865,9.5156,0,0,253,778
52,5,0.2865,9.5156,0,0,251,783
53,5,0.2865,9.5156,0,0,255,778
54,5,0.2865,9.5156,0,0,255,779
55,5,0.573,9.4983,-0.2865,0,255,779
