frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
2632,1,0.99544,0.0371106,0.0338918,0.0810732,-0.708989,-0.0306744,9.79395,0.258973,-1.26673,1.06035,-0.00709096,-0.000319017,0.0979394,1,6.10127e-05,-5.55295e-06,2.26517e-05,0.0122026,-0.00111059,0.00453035,0.99544,0.0371106,0.0338918,0.0810732,0.0543331,0.313085,-1.15136,33.8125,3,10911,7760980
2632,2,0.99544,0.0371106,0.0338918,0.0810732,-0.504369,-0.0655646,7.33779,0.258973,-1.26673,1.06035,-0.00504305,-0.000662284,0.0733778,1,4.3856e-05,4.19854e-06,2.00587e-05,0.0087712,0.000839707,0.00401174,0.99544,0.0371106,0.0338918,0.0810732,0.088548,0.526363,-0.978087,33.8125,1,17301,8401479
1,1,0.99544,0.0371106,0.0338918,0.0810732,-0.504369,-0.0655646,7.33779,0.258973,-1.26673,1.06035,-0.00504305,-0.000662284,0.0733778,1,4.3856e-05,4.19854e-06,2.00587e-05,0.0087712,0.000839707,0.00401174,0.99544,0.0371106,0.0338918,0.0810732,0.088548,0.526363,-0.978087,33.8125,1,17301,8401479
1,2,0.99544,0.0371106,0.0338918,0.0810732,-0.504369,-0.0655646,7.33779,0.258973,-1.26673,1.06035,-0.00504305,-0.000662284,0.0733778,1,4.3856e-05,4.19854e-06,2.00587e-05,0.0087712,0.000839707,0.00401174,0.99544,0.0371106,0.0338918,0.0810732,0.088548,0.526363,-0.978087,33.8125,1,17301,8401479
2,1,0.999402,-0.00446558,0.0342948,-0.000136009,-0.668104,-0.0804919,9.78986,0.0509445,-0.50164,0.990556,-0.00668254,-0.000811682,0.0978984,1,3.32054e-05,-7.83236e-06,1.9541e-05,0.00664108,-0.00156647,0.0039082,0.999402,-0.00446558,0.0342948,-0.000136009,0.0865585,0.528836,-0.979033,33.8125,1,17302,8401579
2,2,0.999402,-0.00446558,0.0342948,-0.000136009,-0.668104,-0.0804919,9.78986,0.0509445,-0.50164,0.990556,-0.00668254,-0.000811682,0.0978984,1,3.32054e-05,-7.83236e-06,1.9541e-05,0.00664108,-0.00156647,0.0039082,0.999402,-0.00446558,0.0342948,-0.000136009,0.0865585,0.528836,-0.979033,33.8125,1,17302,8401579
3,1,0.999402,-0.00446558,0.0342948,-0.000136009,-0.668104,-0.0804919,9.78986,0.0509445,-0.50164,0.990556,-0.00668254,-0.000811682,0.0978984,1,3.32054e-05,-7.83236e-06,1.9541e-05,0.00664108,-0.00156647,0.0039082,0.999402,-0.00446558,0.0342948,-0.000136009,0.0865585,0.528836,-0.979033,33.8125,1,17302,8401579
3,2,0.999403,-0.00443882,0.034279,-0.000138247,-0.669693,-0.0928873,9.7996,0.0495108,-0.515183,1.00195,-0.00669806,-0.000936328,0.0979958,1,3.64426e-05,-5.96618e-06,2.33074e-05,0.00728851,-0.00119324,0.00466148,0.999403,-0.00443882,0.034279,-0.000138247,0.0860447,0.529346,-0.98003,33.8125,1,17303,8401679
7,1,0.999403,-0.00443882,0.034279,-0.000138247,-0.669693,-0.0928873,9.7996,0.0495108,-0.515183,1.00195,-0.00669806,-0.000936328,0.0979958,1,3.64426e-05,-5.96618e-06,2.33074e-05,0.00728851,-0.00119324,0.00466148,0.999403,-0.00443882,0.034279,-0.000138247,0.0860447,0.529346,-0.98003,33.8125,1,17303,8401679
7,2,0.999403,-0.00443882,0.034279,-0.000138247,-0.669693,-0.0928873,9.7996,0.0495108,-0.515183,1.00195,-0.00669806,-0.000936328,0.0979958,1,3.64426e-05,-5.96618e-06,2.33074e-05,0.00728851,-0.00119324,0.00466148,0.999403,-0.00443882,0.034279,-0.000138247,0.0860447,0.529346,-0.98003,33.8125,1,17303,8401679
8,1,0.999403,-0.00440698,0.0342752,-0.000118095,-0.669819,-0.0815655,9.78817,0.0512342,-0.507017,0.992275,-0.00669896,-0.000821845,0.0978816,1,3.02178e-05,-4.13131e-06,2.04834e-05,0.00604355,-0.000826261,0.00409669,0.999403,-0.00440698,0.0342752,-0.000118095,0.0849956,0.527972,-0.984601,33.8125,1,17304,8401779
8,2,0.999403,-0.00440698,0.0342752,-0.000118095,-0.669819,-0.0815655,9.78817,0.0512342,-0.507017,0.992275,-0.00669896,-0.000821845,0.0978816,1,3.02178e-05,-4.13131e-06,2.04834e-05,0.00604355,-0.000826261,0.00409669,0.999403,-0.00440698,0.0342752,-0.000118095,0.0849956,0.527972,-0.984601,33.8125,1,17304,8401779
9,1,0.999403,-0.00440698,0.0342752,-0.000118095,-0.669819,-0.0815655,9.78817,0.0512342,-0.507017,0.992275,-0.00669896,-0.000821845,0.0978816,1,3.02178e-05,-4.13131e-06,2.04834e-05,0.00604355,-0.000826261,0.00409669,0.999403,-0.00440698,0.0342752,-0.000118095,0.0849956,0.527972,-0.984601,33.8125,1,17304,8401779
9,2,0.999403,-0.00435461,0.0342779,-9.59435e-05,-0.674197,-0.0931147,9.78911,0.0503132,-0.523228,0.991306,-0.00674149,-0.000941601,0.097891,1,5.18244e-05,2.22388e-06,2.28266e-05,0.0103649,0.000444777,0.00456532,0.999403,-0.00435461,0.0342779,-9.59435e-05,0.0869358,0.525535,-0.985674,33.8125,1,17305,8401879
10,1,0.999403,-0.00435461,0.0342779,-9.59435e-05,-0.674197,-0.0931147,9.78911,0.0503132,-0.523228,0.991306,-0.00674149,-0.000941601,0.097891,1,5.18244e-05,2.22388e-06,2.28266e-05,0.0103649,0.000444777,0.00456532,0.999403,-0.00435461,0.0342779,-9.59435e-05,0.0869358,0.525535,-0.985674,33.8125,1,17305,8401879
10,2,0.999403,-0.00435461,0.0342779,-9.59435e-05,-0.674197,-0.0931147,9.78911,0.0503132,-0.523228,0.991306,-0.00674149,-0.000941601,0.097891,1,5.18244e-05,2.22388e-06,2.28266e-05,0.0103649,0.000444777,0.00456532,0.999403,-0.00435461,0.0342779,-9.59435e-05,0.0869358,0.525535,-0.985674,33.8125,1,17305,8401879
11,1,0.999403,-0.00429794,0.0342766,-8.95003e-05,-0.67513,-0.0971538,9.79383,0.0452679,-0.523075,1.00188,-0.00675148,-0.000982599,0.0979382,1,5.58756e-05,-9.92934e-07,8.65929e-06,0.0111751,-0.000198587,0.00173186,0.999403,-0.00429794,0.0342766,-8.95003e-05,0.087499,0.524989,-0.982659,33.8125,1,17306,8401979
11,2,0.999403,-0.00429794,0.0342766,-8.95003e-05,-0.67513,-0.0971538,9.79383,0.0452679,-0.523075,1.00188,-0.00675148,-0.000982599,0.0979382,1,5.58756e-05,-9.92934e-07,8.65929e-06,0.0111751,-0.000198587,0.00173186,0.999403,-0.00429794,0.0342766,-8.95003e-05,0.087499,0.524989,-0.982659,33.8125,1,17306,8401979
12,1,0.999403,-0.00429794,0.0342766,-8.95003e-05,-0.67513,-0.0971538,9.79383,0.0452679,-0.523075,1.00188,-0.00675148,-0.000982599,0.0979382,1,5.58756e-05,-9.92934e-07,8.65929e-06,0.0111751,-0.000198587,0.00173186,0.999403,-0.00429794,0.0342766,-8.95003e-05,0.087499,0.524989,-0.982659,33.8125,1,17306,8401979
12,2,0.999404,-0.00424424,0.0342605,-8.1555e-05,-0.670367,-0.0854906,9.78611,0.0459863,-0.513394,0.994052,-0.00670678,-0.000865478,0.0978608,1,5.3348e-05,-1.5978e-05,9.7842e-06,0.0106696,-0.00319559,0.00195684,0.999404,-0.00424424,0.0342605,-8.1555e-05,0.0866069,0.52591,-0.979099,33.8125,1,17307,8402079
10,1,0.999404,-0.00424424,0.0342605,-8.1555e-05,-0.670367,-0.0854906,9.78611,0.0459863,-0.513394,0.994052,-0.00670678,-0.000865478,0.0978608,1,5.3348e-05,-1.5978e-05,9.7842e-06,0.0106696,-0.00319559,0.00195684,0.999404,-0.00424424,0.0342605,-8.1555e-05,0.0866069,0.52591,-0.979099,33.8125,1,17307,8402079
10,2,0.999404,-0.00424424,0.0342605,-8.1555e-05,-0.670367,-0.0854906,9.78611,0.0459863,-0.513394,0.994052,-0.00670678,-0.000865478,0.0978608,1,5.3348e-05,-1.5978e-05,9.7842e-06,0.0106696,-0.00319559,0.00195684,0.999404,-0.00424424,0.0342605,-8.1555e-05,0.0866069,0.52591,-0.979099,33.8125,1,17307,8402079
14,1,0.999404,-0.00420918,0.0342612,-8.57714e-05,-0.667736,-0.0893443,9.78638,0.0533896,-0.513583,0.993423,-0.00667723,-0.000900325,0.0978638,1,3.53604e-05,6.94737e-07,-2.90221e-06,0.00707209,0.000138947,-0.000580441,0.999404,-0.00420918,0.0342612,-8.57714e-05,0.0870681,0.527848,-0.978553,33.8125,1,17308,8402179
14,2,0.999404,-0.00420918,0.0342612,-8.57714e-05,-0.667736,-0.0893443,9.78638,0.0533896,-0.513583,0.993423,-0.00667723,-0.000900325,0.0978638,1,3.53604e-05,6.94737e-07,-2.90221e-06,0.00707209,0.000138947,-0.000580441,0.999404,-0.00420918,0.0342612,-8.57714e-05,0.0870681,0.527848,-0.978553,33.8125,1,17308,8402179
