frame_id,point_id,x,y,z,doppler,snr,noise
2632,6,1.4451,9.4897,-0.289,0,263,759
1,6,1.4451,9.4897,-0.289,0,266,753
2,6,1.4451,9.4897,-0.289,0,262,761
3,6,1.4451,9.4897,-0.289,0,265,758
7,6,1.4451,9.4897,-0.289,0,263,759
8,6,1.4451,9.4897,-0.289,0,258,765
9,5,1.4451,9.4897,-0.289,0,261,761
10,5,1.4451,9.4897,-0.289,0,254,769
11,6,1.4451,9.4897,-0.289,0,264,758
12,6,1.4451,9.4897,-0.289,0,266,757
10,6,1.4451,9.4897,-0.289,0,270,753
14,6,1.4451,9.4897,-0.289,0,265,758
15,5,1.4451,9.4897,-0.289,0,262,760
16,6,1.4451,9.4897,-0.289,0,255,768
17,6,1.4451,9.4897,-0.289,0,261,762
18,6,1.4451,9.4897,-0.289,0,258,765
19,6,1.4451,9.4897,-0.289,0,263,759
20,5,1.4451,9.4897,-0.289,0,263,759
21,6,1.4451,9.4897,-0.289,0,262,761
22,6,1.4451,9.4897,-0.289,0,266,756
23,5,1.4451,9.4897,-0.289,0,265,757
24,6,1.4451,9.4897,-0.289,0,265,757
25,6,1.4451,9.4897,-0.289,0,267,756
26,6,1.4451,9.4897,-0.289,0,262,761
27,5,1.4451,9.4897,-0.289,0,270,753
28,6,1.4451,9.4897,-0.289,0,261,762
29,6,1.4451,9.4897,-0.289,0,261,762
30,6,1.4451,9.4897,-0.289,0,263,759
31,6,1.4451,9.4897,-0.289,0,271,752
32,6,1.4451,9.4897,-0.289,0,271,752
33,5,1.4451,9.4897,-0.289,0,260,763
34,6,1.4451,9.4897,-0.289,0,261,762
35,6,1.4451,9.4897,-0.289,0,264,758
36,6,1.4451,9.4897,-0.289,0,265,757
37,5,1.4451,9.4897,-0.289,0,261,761
38,5,1.4451,9.4897,-0.289,0,266,757
39,6,1.4451,9.4897,-0.289,0,262,761
40,6,1.4451,9.4897,-0.289,0,262,760
41,6,1.4451,9.4897,-0.289,0,262,760
42,6,1.4451,9.4897,-0.289,0,266,756
43,5,1.4451,9.4897,-0.289,0,265,757
43,6,5.4287,9.8278,-1.0179,-0.9646,185,559
44,6,1.4451,9.4897,-0.289,0,255,767
45,6,1.4451,9.4897,-0.289,0,272,751
46,6,1.4451,9.4897,-0.289,0,264,759
47,6,1.4451,9.4897,-0.289,0,264,758
47,7,4.0715,10.5072,0.3393,-1.4469,151,595
48,6,1.4451,9.4897,-0.289,0,262,761
48,7,3.723,10.59,0.6769,-0.9646,211,588
48,8,8.123,5.2324,5.7538,-0.9646,211,588
49,5,1.4451,9.4897,-0.289,0,266,756
50,6,1.4451,9.4897,-0.289,0,262,760
51,5,1.4451,9.4897,-0.289,0,266,756
51,6,5.014,9.8595,-1.0028,-1.9293,179,592
52,6,1.4451,9.4897,-0.289,0,266,757
52,7,5.3483,9.711,-0.6685,-0.9646,243,571
53,6,1.4451,9.4897,-0.289,0,266,757
53,7,4.9512,9.7359,-0.9902,-1.9293,177,570
54,6,1.4451,9.4897,-0.289,0,266,756
55,6,1.4451,9.4897,-0.289,0,258,765
55,7,4.3019,10.097,0.6618,-0.9646,198,588
56,6,1.4451,9.4897,-0.289,0,262,761
57,6,1.4451,9.4897,-0.289,0,264,758
57,7,4.6211,9.9401,-0.3301,-0.9646,151,604
58,6,1.4451,9.4897,-0.289,0,264,758
58,7,3.6032,10.1862,1.3103,-1.4469,175,581
58,8,8.5167,3.3405,5.8962,-1.4469,175,581
59,6,1.4451,9.4897,-0.289,0,265,758
59,7,4.9135,9.7061,-0.3276,-0.9646,159,611
60,6,1.4451,9.4897,-0.289,0,261,761
61,6,1.4451,9.4897,-0.289,0,258,765
61,7,4.2039,9.8404,0.9701,-1.4469,161,571
61,8,8.4078,3.2978,5.8208,-1.4469,161,571
62,5,1.4451,9.4897,-0.289,0,264,759
62,6,5.4689,9.1614,0.6434,0,154,754
63,6,1.4451,9.4897,-0.289,0,264,759
64,6,1.4451,9.4897,-0.289,0,265,757
64,7,4.1712,9.7903,-0.6417,-1.4469,166,588
65,6,1.4451,9.4897,-0.289,0,267,756
66,6,1.4451,9.4897,-0.289,0,263,759
66,7,4.7627,9.3921,-0.635,-0.9646,185,570
67,6,1.4451,9.4897,-0.289,0,270,752
68,6,1.4451,9.4897,-0.289,0,263,759
68,7,5.0132,9.0376,-1.2533,-1.9293,164,584
68,8,4.095,9.6268,-0.315,-0.9646,232,576
69,6,1.4451,9.4897,-0.289,0,263,759
69,7,5.3408,8.7684,-1.885,-0.9646,198,594
70,6,1.4451,9.4897,-0.289,0,261,761
71,6,1.4451,9.4897,-0.289,0,263,759
71,7,4.9998,9.0944,-0.3125,-0.9646,207,588
72,6,1.4451,9.4897,-0.289,0,263,759
72,7,4.3748,9.4162,0,-0.9646,183,584
73,6,1.4451,9.4897,-0.289,0,264,758
73,7,4.3631,9.3702,-0.6233,-0.9646,187,607
74,6,1.4451,9.4897,-0.289,0,265,757
74,7,4.8791,8.6454,-0.9148,-1.9293,228,562
75,6,1.4451,9.4897,-0.289,0,266,754
76,5,1.4451,9.4897,-0.289,0,261,761
77,6,1.4451,9.4897,-0.289,0,265,757
78,6,1.4451,9.4897,-0.289,0,267,756
79,6,1.4451,9.4897,-0.289,0,268,754
80,6,1.4451,9.4897,-0.289,0,263,759
81,6,1.4451,9.4897,-0.289,0,263,759
81,7,3.9099,9.1521,0.9023,-1.4469,193,564
82,6,1.4451,9.4897,-0.289,0,263,760
82,7,4.4988,8.6842,-0.5998,-1.4469,222,594
83,5,1.4451,9.4897,-0.289,0,263,759
83,6,4.1637,8.942,-0.5948,-1.4469,250,555
83,7,4.4737,8.7969,-0.8947,-1.4469,248,557
84,6,1.4451,9.4897,-0.289,0,263,759
84,7,4.7317,8.4839,-1.4787,-1.9293,193,561
84,8,4.7719,8.6388,-0.8947,-0.9646,157,600
85,6,1.4451,9.4897,-0.289,0,263,760
85,7,4.9989,8.3119,-1.1762,-1.9293,215,550
86,6,1.4451,9.4897,-0.289,0,259,763
87,6,1.4451,9.4897,-0.289,0,264,759
87,7,5.4689,9.1784,0.3217,0,153,757
87,8,4.6915,8.5185,-0.5864,-1.4469,157,578
88,5,1.4451,9.4897,-0.289,0,262,761
89,5,1.4451,9.4897,-0.289,0,263,759
89,6,5.1472,9.346,0.6434,0,150,751
89,7,5.4689,9.1614,0.6434,0,150,751
89,8,4.0933,8.8054,-0.2924,-0.9646,198,578
90,6,1.4451,9.4897,-0.289,0,263,759
90,7,4.4108,8.7132,0.2941,-1.4469,187,585
91,5,1.4451,9.4897,-0.289,0,264,758
91,6,4.5574,8.1715,-1.4242,-1.4469,184,580
92,6,1.4451,9.4897,-0.289,0,265,758
93,6,1.4451,9.4897,-0.289,0,266,756
94,6,1.4451,9.4897,-0.289,0,266,757
95,6,1.4451,9.4897,-0.289,0,258,764
96,7,1.4451,9.4897,-0.289,0,260,762
96,8,3.9526,8.5027,0.2823,-1.4469,154,613
97,6,1.4451,9.4897,-0.289,0,272,750
98,6,1.4451,9.4897,-0.289,0,268,755
99,6,1.4451,9.4897,-0.289,0,262,761
99,7,4.637,9.16,-0.3091,0.9646,273,552
99,8,3.6267,8.5259,-0.279,-1.4469,193,576
99,9,7.2534,3.9748,4.1846,-1.4469,193,576
100,7,1.4451,9.4897,-0.289,0,259,763
100,8,3.8822,8.3559,0,-1.4469,211,577
101,7,1.4451,9.4897,-0.289,0,266,757
101,8,4.4234,8.0079,-0.8294,-1.9293,281,560
101,9,3.9174,8.427,0.2798,-0.9646,183,610
101,10,7.8348,2.7272,4.1972,-0.9646,183,610
102,7,1.4451,9.4897,-0.289,0,265,757
102,8,5.4832,9.2079,0,0,153,753
102,9,4.6571,7.7436,-1.0958,-1.9293,170,583
103,7,1.4451,9.4897,-0.289,0,263,760
103,8,5.0132,9.1187,-0.3133,0.9646,186,590
103,9,4.6873,9.2646,0,1.4469,219,560
103,10,4.0967,8.0787,-0.5462,-0.9646,253,573
104,7,1.4451,9.4897,-0.289,0,264,759
104,8,5.0132,9.1241,0,0.9646,195,569
104,9,4.6287,7.7681,0.2723,-0.9646,218,551
104,10,4.4234,8.046,0.2765,-0.9646,233,597
105,6,1.4451,9.4897,-0.289,0,260,763
105,7,4.6002,7.72,-0.2706,-0.9646,240,557
106,6,1.4451,9.4897,-0.289,0,261,762
106,7,4.0464,7.9796,-0.5395,-1.9293,152,587
106,8,5.1254,7.2735,-1.079,-0.9646,189,563
107,5,1.4451,9.4897,-0.289,0,259,764
107,6,4.5717,7.6347,-0.8068,-0.9646,241,584
108,7,1.4451,9.4897,-0.289,0,260,763
108,8,4.7627,9.3653,-0.9525,0.9646,151,582
108,9,4.0087,7.9053,0.5345,-0.9646,178,589
109,6,1.4451,9.4897,-0.289,0,259,764
109,7,4.1955,7.5953,-0.7867,-1.9293,234,581
110,7,1.4451,9.4897,-0.289,0,265,757
110,8,4.0338,7.9685,0.2689,-1.4469,170,640
111,7,1.4451,9.4897,-0.289,0,264,758
112,7,1.4451,9.4897,-0.289,0,262,760
112,8,4.813,9.426,-1.2835,0.9646,227,590
112,9,4.1821,7.5936,0.5228,-1.4469,157,582
112,10,4.2491,7.729,0.2656,-1.4469,160,638
113,6,1.4451,9.4897,-0.289,0,262,761
113,7,4.5977,9.8903,-0.3284,0.9646,174,638
113,8,4.1419,7.5206,-0.5177,-1.4469,197,588
113,9,3.9207,7.7097,0.7841,-1.4469,155,614
114,6,0.5714,9.4576,-0.5714,0,155,749
114,7,1.4451,9.4897,-0.289,0,275,747
114,8,4.1955,7.6315,-0.2622,-1.4469,161,638
115,6,1.4451,9.4897,-0.289,0,262,761
115,7,3.8956,7.6954,0.2597,-1.4469,215,577
116,6,1.4451,9.4897,-0.289,0,260,762
116,7,4.2584,9.9302,-1.3103,1.4469,151,581
116,8,4.5843,7.0395,-1.0187,-1.4469,193,589
117,6,1.4451,9.4897,-0.289,0,264,758
117,7,4.2693,10.0365,-0.3284,1.4469,152,585
117,8,8.5385,5.2851,4.2693,1.4469,152,585
117,9,4.735,7.2711,-1.0522,-1.9293,188,569
117,10,4.1151,7.4186,-1.0288,-1.4469,211,607
118,6,1.4451,9.4897,-0.289,0,263,760
