frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.99741,0.0389582,0.0305084,0.0521969,-0.700234,-0.0197794,9.78095,0.0776686,-1.30358,0.86183,-0.00700435,-0.000204654,0.0978094,1,3.41312e-05,-1.02853e-05,1.31242e-05,0.00682623,-0.00205706,0.00262484,0.99741,0.0389582,0.0305084,0.0521969,0.0658197,0.341092,-0.974525,35.375,3,2891,333304
1,2,0.99741,0.0389582,0.0305084,0.0521969,-0.487103,-0.0336726,7.33271,0.0776686,-1.30358,0.86183,-0.00487049,-0.00034229,0.0733271,1,3.6694e-05,3.61566e-06,1.87551e-05,0.00733881,0.000723133,0.00375101,0.99741,0.0389582,0.0305084,0.0521969,0.00289917,0.483098,-1.02916,35.125,1,14300,1475710
1,3,0.99741,0.0389582,0.0305084,0.0521969,-0.487103,-0.0336726,7.33271,0.0776686,-1.30358,0.86183,-0.00487049,-0.00034229,0.0733271,1,3.6694e-05,3.61566e-06,1.87551e-05,0.00733881,0.000723133,0.00375101,0.99741,0.0389582,0.0305084,0.0521969,0.00289917,0.483098,-1.02916,35.125,1,14300,1475710
1,4,0.99741,0.0389582,0.0305084,0.0521969,-0.487103,-0.0336726,7.33271,0.0776686,-1.30358,0.86183,-0.00487049,-0.00034229,0.0733271,1,3.6694e-05,3.61566e-06,1.87551e-05,0.00733881,0.000723133,0.00375101,0.99741,0.0389582,0.0305084,0.0521969,0.00289917,0.483098,-1.02916,35.125,1,14300,1475710
2,1,0.999448,-0.00227642,0.0331539,-6.90627e-05,-0.636461,-0.0445917,9.785,0.14678,-0.473808,1.018,-0.00636498,-0.000455992,0.09785,1,5.08408e-05,-1.92997e-06,9.83874e-06,0.0101682,-0.000385995,0.00196775,0.999448,-0.00227642,0.0331539,-6.90627e-05,0.0015175,0.483065,-1.02663,35.125,1,14301,1475810
2,2,0.999448,-0.00227642,0.0331539,-6.90627e-05,-0.636461,-0.0445917,9.785,0.14678,-0.473808,1.018,-0.00636498,-0.000455992,0.09785,1,5.08408e-05,-1.92997e-06,9.83874e-06,0.0101682,-0.000385995,0.00196775,0.999448,-0.00227642,0.0331539,-6.90627e-05,0.0015175,0.483065,-1.02663,35.125,1,14301,1475810
2,3,0.999448,-0.00227642,0.0331539,-6.90627e-05,-0.636461,-0.0445917,9.785,0.14678,-0.473808,1.018,-0.00636498,-0.000455992,0.09785,1,5.08408e-05,-1.92997e-06,9.83874e-06,0.0101682,-0.000385995,0.00196775,0.999448,-0.00227642,0.0331539,-6.90627e-05,0.0015175,0.483065,-1.02663,35.125,1,14301,1475810
2,4,0.999449,-0.00223262,0.0331328,-7.2411e-05,-0.637222,-0.0484674,9.79483,0.146378,-0.480166,1.02655,-0.006375,-0.000494576,0.097948,1,4.98351e-05,-1.42454e-05,1.09115e-05,0.00996702,-0.00284909,0.00218229,0.999449,-0.00223262,0.0331328,-7.2411e-05,0.000658218,0.48348,-1.02207,35.125,1,14302,1475910
3,1,0.999449,-0.00223262,0.0331328,-7.2411e-05,-0.637222,-0.0484674,9.79483,0.146378,-0.480166,1.02655,-0.006375,-0.000494576,0.097948,1,4.98351e-05,-1.42454e-05,1.09115e-05,0.00996702,-0.00284909,0.00218229,0.999449,-0.00223262,0.0331328,-7.2411e-05,0.000658218,0.48348,-1.02207,35.125,1,14302,1475910
3,2,0.999449,-0.00223262,0.0331328,-7.2411e-05,-0.637222,-0.0484674,9.79483,0.146378,-0.480166,1.02655,-0.006375,-0.000494576,0.097948,1,4.98351e-05,-1.42454e-05,1.09115e-05,0.00996702,-0.00284909,0.00218229,0.999449,-0.00223262,0.0331328,-7.2411e-05,0.000658218,0.48348,-1.02207,35.125,1,14302,1475910
3,3,0.999449,-0.00218185,0.0331297,-4.9527e-05,-0.633982,-0.0524532,9.78459,0.149231,-0.479606,1.01005,-0.00634041,-0.00053461,0.0978458,1,4.99245e-05,-3.13256e-06,2.43207e-05,0.00998489,-0.000626512,0.00486414,0.999449,-0.00218185,0.0331297,-4.9527e-05,0.00449909,0.483935,-1.02208,35.125,1,14303,1476010
3,4,0.999449,-0.00218185,0.0331297,-4.9527e-05,-0.633982,-0.0524532,9.78459,0.149231,-0.479606,1.01005,-0.00634041,-0.00053461,0.0978458,1,4.99245e-05,-3.13256e-06,2.43207e-05,0.00998489,-0.000626512,0.00486414,0.999449,-0.00218185,0.0331297,-4.9527e-05,0.00449909,0.483935,-1.02208,35.125,1,14303,1476010
4,1,0.999449,-0.00218185,0.0331297,-4.9527e-05,-0.633982,-0.0524532,9.78459,0.149231,-0.479606,1.01005,-0.00634041,-0.00053461,0.0978458,1,4.99245e-05,-3.13256e-06,2.43207e-05,0.00998489,-0.000626512,0.00486414,0.999449,-0.00218185,0.0331297,-4.9527e-05,0.00449909,0.483935,-1.02208,35.125,1,14303,1476010
4,2,0.999449,-0.00212341,0.0331164,-5.49589e-05,-0.636117,-0.0552336,9.7968,0.146437,-0.490044,1.02165,-0.00636373,-0.000563921,0.0979677,1,5.93383e-05,-1.30683e-05,-3.27464e-06,0.0118677,-0.00261365,-0.000654929,0.999449,-0.00212341,0.0331164,-5.49589e-05,0.00484543,0.486921,-1.02555,35.125,1,14304,1476110
4,3,0.999449,-0.00212341,0.0331164,-5.49589e-05,-0.636117,-0.0552336,9.7968,0.146437,-0.490044,1.02165,-0.00636373,-0.000563921,0.0979677,1,5.93383e-05,-1.30683e-05,-3.27464e-06,0.0118677,-0.00261365,-0.000654929,0.999449,-0.00212341,0.0331164,-5.49589e-05,0.00484543,0.486921,-1.02555,35.125,1,14304,1476110
4,4,0.999449,-0.00212341,0.0331164,-5.49589e-05,-0.636117,-0.0552336,9.7968,0.146437,-0.490044,1.02165,-0.00636373,-0.000563921,0.0979677,1,5.93383e-05,-1.30683e-05,-3.27464e-06,0.0118677,-0.00261365,-0.000654929,0.999449,-0.00212341,0.0331164,-5.49589e-05,0.00484543,0.486921,-1.02555,35.125,1,14304,1476110
12,1,0.999449,-0.00207554,0.0331138,-2.84123e-05,-0.636918,-0.0577145,9.78694,0.148774,-0.498023,1.01145,-0.00636967,-0.000586747,0.0978693,1,4.72275e-05,-2.68612e-06,2.81015e-05,0.0094455,-0.000537224,0.0056203,0.999449,-0.00207554,0.0331138,-2.84123e-05,0.00338121,0.485985,-1.02708,35.125,1,14305,1476210
12,2,0.999449,-0.00207554,0.0331138,-2.84123e-05,-0.636918,-0.0577145,9.78694,0.148774,-0.498023,1.01145,-0.00636967,-0.000586747,0.0978693,1,4.72275e-05,-2.68612e-06,2.81015e-05,0.0094455,-0.000537224,0.0056203,0.999449,-0.00207554,0.0331138,-2.84123e-05,0.00338121,0.485985,-1.02708,35.125,1,14305,1476210
12,3,0.999449,-0.00207554,0.0331138,-2.84123e-05,-0.636918,-0.0577145,9.78694,0.148774,-0.498023,1.01145,-0.00636967,-0.000586747,0.0978693,1,4.72275e-05,-2.68612e-06,2.81015e-05,0.0094455,-0.000537224,0.0056203,0.999449,-0.00207554,0.0331138,-2.84123e-05,0.00338121,0.485985,-1.02708,35.125,1,14305,1476210
12,4,0.99945,-0.0020328,0.0331049,-1.40092e-05,-0.637203,-0.0513,9.79446,0.143645,-0.492599,1.02172,-0.00637377,-0.000521378,0.0979445,1,4.18146e-05,-8.96865e-06,1.47148e-05,0.00836291,-0.00179373,0.00294296,0.99945,-0.0020328,0.0331049,-1.40092e-05,0.00293618,0.483071,-1.02765,35.125,1,14306,1476310
10,1,0.99945,-0.0020328,0.0331049,-1.40092e-05,-0.637203,-0.0513,9.79446,0.143645,-0.492599,1.02172,-0.00637377,-0.000521378,0.0979445,1,4.18146e-05,-8.96865e-06,1.47148e-05,0.00836291,-0.00179373,0.00294296,0.99945,-0.0020328,0.0331049,-1.40092e-05,0.00293618,0.483071,-1.02765,35.125,1,14306,1476310
10,2,0.99945,-0.0020328,0.0331049,-1.40092e-05,-0.637203,-0.0513,9.79446,0.143645,-0.492599,1.02172,-0.00637377,-0.000521378,0.0979445,1,4.18146e-05,-8.96865e-06,1.47148e-05,0.00836291,-0.00179373,0.00294296,0.99945,-0.0020328,0.0331049,-1.40092e-05,0.00293618,0.483071,-1.02765,35.125,1,14306,1476310
10,3,0.999451,-0.00199069,0.0330875,-7.96008e-06,-0.638797,-0.0640311,9.79403,0.144313,-0.498881,1.02433,-0.0063914,-0.000648651,0.09794,1,4.2094e-05,-1.7585e-05,7.37799e-06,0.0084188,-0.003517,0.0014756,0.999451,-0.00199069,0.0330875,-7.96008e-06,0.00296892,0.482565,-1.02665,35.125,1,14307,1476410
10,4,0.999451,-0.00199069,0.0330875,-7.96008e-06,-0.638797,-0.0640311,9.79403,0.144313,-0.498881,1.02433,-0.0063914,-0.000648651,0.09794,1,4.2094e-05,-1.7585e-05,7.37799e-06,0.0084188,-0.003517,0.0014756,0.999451,-0.00199069,0.0330875,-7.96008e-06,0.00296892,0.482565,-1.02665,35.125,1,14307,1476410
14,1,0.999451,-0.00199069,0.0330875,-7.96008e-06,-0.638797,-0.0640311,9.79403,0.144313,-0.498881,1.02433,-0.0063914,-0.000648651,0.09794,1,4.2094e-05,-1.7585e-05,7.37799e-06,0.0084188,-0.003517,0.0014756,0.999451,-0.00199069,0.0330875,-7.96008e-06,0.00296892,0.482565,-1.02665,35.125,1,14307,1476410
14,2,0.999451,-0.0019322,0.033088,-2.9591e-07,-0.637336,-0.046394,9.79754,0.143354,-0.481491,1.0298,-0.00637323,-0.000475429,0.0979754,1,5.80009e-05,6.24201e-07,9.66705e-06,0.0116002,0.00012484,0.00193341,0.999451,-0.0019322,0.033088,-2.9591e-07,0.00300213,0.483505,-1.02461,35.125,1,14308,1476510
