frame_id,point_id,x,y,z,doppler,snr,noise
1959,1,0.1005,0.4904,-0.4423,0,164,895
1959,2,3.6744,6.1667,-0.2161,0,164,822
1959,3,0,9.9931,0,0,203,809
1,1,0.1433,0.3176,-0.3979,0,153,964
1,2,0.1005,0.4904,-0.4423,0,185,874
1,4,3.6744,6.1667,-0.2161,0,161,827
1,5,0,9.9931,0,0,200,812
2,1,0.1433,0.3176,-0.3979,0,154,964
2,2,0.1005,0.4904,-0.4423,0,184,875
2,4,3.6744,6.1667,-0.2161,0,162,825
2,5,0,9.9931,0,0,206,807
2,6,0.2488,0.428,0.5655,-6.2701,217,611
2,7,0.2815,0.4597,0.563,-6.2701,211,618
3,1,0.1433,0.3176,-0.3979,0,156,963
3,2,0.1206,0.4859,-0.4423,0,185,874
3,3,3.6744,6.1667,-0.2161,0,161,826
3,4,0,9.9931,0,0,202,811
3,5,5.6398,9.4477,-0.6635,0,150,751
12,1,0.1433,0.3176,-0.3979,0,151,969
12,2,3.6744,6.1667,-0.2161,0,157,831
12,3,0,9.9931,0,0,203,809
10,1,0.1433,0.3176,-0.3979,0,154,968
10,2,3.6744,6.1667,-0.2161,0,155,832
10,3,0,9.9931,0,0,204,809
14,1,0.1433,0.3176,-0.3979,0,152,970
14,2,3.6744,6.1667,-0.2161,0,162,826
14,3,0,9.9931,0,0,202,811
15,1,0.1433,0.3176,-0.3979,0,152,970
15,2,3.6744,6.1667,-0.2161,0,160,826
15,3,0,9.9931,0,0,200,814
16,1,3.6744,6.1667,-0.2161,0,158,829
16,2,0,9.9931,0,0,199,814
17,2,3.6744,6.1667,-0.2161,0,159,830
17,3,0,9.9931,0,0,205,808
18,2,3.6744,6.1667,-0.2161,0,157,831
18,3,0,9.9931,0,0,207,806
19,2,3.6744,6.1667,-0.2161,0,157,832
19,3,0,9.9931,0,0,209,803
19,4,5.6398,9.4477,-0.6635,0,154,745
20,1,3.6744,6.1667,-0.2161,0,157,830
20,2,0,9.9931,0,0,208,805
21,3,3.6744,6.1667,-0.2161,0,160,828
21,4,0,9.9931,0,0,207,806
22,2,3.6744,6.1667,-0.2161,0,160,827
22,3,0,9.9931,0,0,204,808
22,4,5.6398,9.4477,-0.6635,0,153,747
23,1,3.6744,6.1667,-0.2161,0,163,824
23,2,0,9.9931,0,0,202,811
24,1,3.6744,6.1667,-0.2161,0,165,821
24,2,0,9.9931,0,0,206,808
25,2,3.6744,6.1667,-0.2161,0,160,826
25,3,0,9.9931,0,0,206,807
26,1,0.1273,0.3429,-0.382,0,150,972
26,3,3.6744,6.1667,-0.2161,0,161,826
26,4,0,9.9931,0,0,206,807
26,5,5.6398,9.4477,-0.6635,0,151,749
27,2,3.6744,6.1667,-0.2161,0,158,828
27,3,0,9.9931,0,0,206,807
28,1,0.1273,0.3429,-0.382,0,151,974
28,4,3.6744,6.1667,-0.2161,0,160,826
28,5,0,9.9931,0,0,209,804
29,1,3.6744,6.1667,-0.2161,0,159,828
29,2,0,9.9931,0,0,207,807
29,3,5.6398,9.4477,-0.6635,0,150,749
30,2,3.6744,6.1667,-0.2161,0,164,823
30,3,0,9.9931,0,0,208,806
31,1,3.6744,6.1667,-0.2161,0,162,825
31,2,0,9.9931,0,0,206,808
32,1,3.6744,6.1667,-0.2161,0,162,824
32,2,0,9.9931,0,0,210,803
33,1,0.1273,0.3429,-0.382,0,152,974
33,3,3.6744,6.1667,-0.2161,0,162,824
33,4,0,9.9931,0,0,201,811
33,5,5.6398,9.4477,-0.6635,0,150,752
34,1,0.1433,0.3176,-0.3979,0,151,975
34,3,3.6744,6.1667,-0.2161,0,159,828
34,4,0,9.9931,0,0,201,811
35,1,0.1273,0.3429,-0.382,0,151,975
35,2,3.6744,6.1667,-0.2161,0,161,826
35,3,0,9.9931,0,0,211,802
36,1,0.1273,0.3429,-0.382,0,151,975
36,3,3.6744,6.1667,-0.2161,0,160,826
36,4,0,9.9931,0,0,202,810
37,1,0.1273,0.3429,-0.382,0,151,976
37,3,3.6744,6.1667,-0.2161,0,162,825
37,4,0,9.9931,0,0,207,806
37,5,5.6398,9.4477,-0.6635,0,152,749
38,1,0.1273,0.3429,-0.382,0,151,976
38,3,3.6744,6.1667,-0.2161,0,163,824
38,4,0,9.9931,0,0,211,802
38,5,5.6398,9.4477,-0.6635,0,157,745
39,1,0.1273,0.3429,-0.382,0,152,976
39,3,3.6744,6.1667,-0.2161,0,161,825
39,4,0,9.9931,0,0,204,809
39,5,5.6398,9.4477,-0.6635,0,152,749
40,1,0.1273,0.3429,-0.382,0,151,977
40,4,3.6744,6.1667,-0.2161,0,161,826
40,5,0,9.9931,0,0,207,806
41,1,0.1273,0.3429,-0.382,0,151,977
41,2,3.6744,6.1667,-0.2161,0,162,824
41,3,0,9.9931,0,0,203,810
42,1,0.1273,0.3429,-0.382,0,151,977
42,3,3.6744,6.1667,-0.2161,0,164,823
42,4,0,9.9931,0,0,207,806
43,1,0.1273,0.3429,-0.382,0,151,978
43,3,3.6744,6.1667,-0.2161,0,164,823
43,4,0,9.9931,0,0,207,806
44,1,0.1273,0.3429,-0.382,0,151,977
44,3,3.6744,6.1667,-0.2161,0,162,825
44,4,0,9.9931,0,0,213,800
44,5,-1.5884,8.615,0.7942,-1.4469,162,563
45,1,3.6744,6.1667,-0.2161,0,162,824
45,2,0,9.9931,0,0,200,811
46,1,3.6744,6.1667,-0.2161,0,163,823
46,2,0,9.9931,0,0,203,809
47,1,0.1273,0.3429,-0.382,0,150,975
47,3,3.6744,6.1667,-0.2161,0,164,822
47,4,0,9.9931,0,0,210,802
48,1,0.1273,0.3429,-0.382,0,152,976
48,4,3.6744,6.1667,-0.2161,0,164,821
48,5,0,9.9931,0,0,203,809
49,2,3.6744,6.1667,-0.2161,0,165,820
49,3,0.3008,9.9886,0,0,208,804
50,1,3.6744,6.1667,-0.2161,0,158,827
50,2,0,9.9931,0,0,206,806
51,2,3.6744,6.1667,-0.2161,0,154,830
51,3,0,9.9931,0,0,203,810
52,1,0.1056,0.3458,-0.3468,0,156,987
52,2,0.1407,0.4611,-0.4624,0,190,878
52,3,3.6744,6.1667,-0.2161,0,159,825
52,4,0,9.9931,0,0,203,810
52,5,5.6398,9.4477,-0.6635,0,151,750
53,1,0.1056,0.33,-0.3619,0,154,987
53,2,0.1407,0.4805,-0.4423,0,177,879
53,3,3.6887,6.1906,-0.217,0,169,817
53,4,0.3008,9.9886,0,0,211,802
53,6,5.3081,9.6551,-0.3318,0,150,757
54,1,0.1407,0.4611,-0.4624,0,193,873
54,2,3.6744,6.1667,-0.2161,0,162,822
54,3,0.3008,9.9886,0,0,203,810
55,1,0.1407,0.44,-0.4826,0,190,883
55,3,3.6887,6.1906,-0.217,0,153,833
55,4,0.3008,9.9886,0,0,197,817
55,5,5.9716,9.1699,-1.327,0,150,759
56,1,0.1609,0.4331,-0.4826,0,202,879
56,4,3.9057,6.0561,-0.217,0,153,831
56,5,0.3008,9.9886,0,0,206,808
57,1,0.0804,0.455,-0.4826,0,164,892
57,5,0.3008,9.9886,0,0,206,807
57,6,5.6398,9.4186,-0.9953,0,152,764
57,7,10.2844,1.556,3.6493,0,152,764
58,1,0.1206,0.3702,-0.5429,0,163,888
58,2,0.4222,0.4056,-0.3217,0,163,888
58,7,3.9057,6.0561,-0.217,0,150,833
58,8,0.3008,9.9886,0,0,207,808
59,1,0.1005,0.3453,-0.563,0,172,888
59,2,0.4021,0.4256,-0.3217,0,172,888
59,7,0.3008,9.9886,0,0,214,801
60,1,0.0804,0.4081,-0.5228,0,171,880
60,2,0.4021,0.4096,-0.3418,0,171,880
60,5,3.9057,6.0561,-0.217,0,150,835
60,6,0.3008,9.9886,0,0,207,806
60,7,5.9716,9.2118,-0.9953,0,151,758
60,8,10.2844,1.556,3.6493,0,151,758
61,1,0.0963,0.4321,-0.4624,0,189,894
61,3,0.3008,9.9886,0,0,204,810
62,1,0.0963,0.4321,-0.4624,0,196,890
62,3,3.8906,6.0327,-0.2161,0,151,832
62,4,0.3008,9.9886,0,0,202,810
63,1,0.1005,0.4284,-0.5027,0,197,880
63,3,3.8906,6.0327,-0.2161,0,151,831
63,4,0.3008,9.9886,0,0,213,799
63,6,5.6398,9.4186,-0.9953,0,156,751
64,1,0.1005,0.4284,-0.5027,0,193,883
64,3,3.6744,6.1667,-0.2161,0,162,821
64,4,0.3008,9.9886,0,0,199,812
64,6,5.6398,9.4477,-0.6635,0,160,748
65,1,0.1005,0.4284,-0.5027,0,196,880
65,2,3.8906,6.0211,-0.4323,0,166,817
65,3,0.3008,9.9886,0,0,196,814
65,4,5.6398,9.4477,-0.6635,0,156,750
66,1,0.0804,0.455,-0.4826,0,185,888
66,2,3.6744,6.1667,-0.2161,0,163,820
66,3,0.3008,9.9886,0,0,201,810
66,4,5.6398,9.4477,-0.6635,0,157,746
67,1,0.1005,0.4509,-0.4826,0,217,868
67,2,3.6744,6.1667,-0.2161,0,167,819
67,3,0.3008,9.9886,0,0,206,807
67,4,5.6398,9.4477,-0.6635,0,152,748
68,1,0.0804,0.455,-0.4826,0,210,866
68,2,3.6744,6.1667,-0.2161,0,164,820
68,3,0.3008,9.9886,0,0,206,808
68,4,0,9.9886,0.3008,0,206,808
68,6,5.6398,9.4477,-0.6635,0,153,749
69,1,0.1005,0.4715,-0.4624,0,184,889
69,2,3.6744,6.1667,-0.2161,0,158,826
69,3,0.3008,9.9886,0,0,198,814
70,1,0.1206,0.4232,-0.5027,0,189,882
70,3,3.6744,6.1667,-0.2161,0,156,827
70,4,0.3008,9.9886,0,0,208,805
70,7,5.3081,9.6551,-0.3318,0,151,753
70,8,9.9527,2.5697,3.9811,0,151,753
71,1,0.0804,0.4754,-0.4624,0,174,877
71,2,3.6744,6.1667,-0.2161,0,157,825
71,3,0.3008,9.9886,0,0,188,827
72,1,0.1407,0.44,-0.4826,0,217,850
72,3,3.6887,6.1906,-0.217,0,157,827
72,4,0.3008,9.9886,0,0,204,810
73,1,0.1005,0.4715,-0.4624,0,178,866
73,3,0.3008,9.9886,0,0,203,811
73,4,5.6398,9.4186,-0.9953,0,159,755
73,5,10.2844,1.556,3.6493,0,159,755
74,1,0.1206,0.446,-0.4826,0,181,863
74,4,0.3008,9.9886,0,0,209,806
74,5,5.6398,9.4186,-0.9953,0,150,762
74,6,10.2844,2.1754,3.3176,0,150,762
75,1,0.0193,0.4958,-0.4046,0,159,863
75,2,0.3008,9.9886,0,0,207,806
76,1,0.1843,0.267,-0.4524,0,151,914
76,4,4.1226,5.8985,-0.434,0,153,831
76,5,0.6015,9.9705,-0.3008,0,198,813
76,6,5.3081,9.638,-0.6635,0,159,750
76,7,10.2844,1.556,3.6493,0,159,750
77,1,0.0963,0.4519,-0.4432,0,184,862
77,3,4.1067,5.8758,-0.4323,0,151,835
77,4,0.3008,9.9886,0,0,202,810
77,5,5.6398,9.4477,-0.6635,0,154,751
77,6,10.2844,1.556,3.6493,0,154,751
78,1,0.0771,0.4556,-0.4432,0,199,847
78,2,3.9057,6.0444,-0.434,0,158,828
78,3,0.3008,9.9886,0,0,200,814
79,1,0.0578,0.4763,-0.4239,0,176,862
79,2,3.6744,6.1667,-0.2161,0,155,831
79,3,0.3008,9.9886,0,0,194,822
80,1,0.0578,0.4584,-0.4432,0,170,875
80,2,3.6887,6.1906,-0.217,0,161,825
80,3,0.3008,9.9886,0,0,214,803
81,1,0.0578,0.4584,-0.4432,0,175,876
81,2,3.6887,6.1906,-0.217,0,159,827
81,3,0.3008,9.9886,0,0,203,815
82,1,0.0771,0.4556,-0.4432,0,178,877
82,2,3.4717,6.3149,-0.217,0,159,825
82,3,0.3008,9.9886,0,0,198,819
82,5,5.9716,9.2118,-0.9953,0,151,756
83,1,0.0963,0.4321,-0.4624,0,177,884
83,2,3.6887,6.1906,-0.217,0,160,824
83,3,0.3008,9.9886,0,0,198,819
83,5,5.9716,9.2118,-0.9953,0,158,751
84,1,0.0771,0.4556,-0.4432,0,176,884
84,2,3.6744,6.1667,-0.2161,0,152,830
84,3,0.3008,9.9886,0,0,193,822
85,1,0.0771,0.4556,-0.4432,0,152,908
85,2,3.6744,6.1667,-0.2161,0,155,827
85,3,0.3008,9.9886,0,0,202,810
85,5,5.9716,9.2118,-0.9953,0,156,754
86,1,0.0804,0.455,-0.4826,0,159,896
86,2,3.6744,6.1667,-0.2161,0,157,825
86,3,0.3008,9.9886,0,0,202,811
86,4,5.9716,9.2118,-0.9953,0,160,749
87,1,3.6744,6.1667,-0.2161,0,155,825
87,2,0.3008,9.9886,0,0,201,812
87,4,5.9716,9.2118,-0.9953,0,164,746
88,1,0.0603,0.4581,-0.4826,0,155,900
88,3,3.6744,6.1667,-0.2161,0,157,823
88,4,0.3008,9.9886,0,0,202,810
88,6,5.9716,9.2118,-0.9953,0,163,746
89,1,0.0963,0.4321,-0.4624,0,155,915
