frame_id,point_id,x,y,z,doppler,snr,noise
1565,3,3.6317,6.095,-0.2136,0,201,813
1565,4,-3.2346,7.5919,0.4976,0,163,786
1565,6,-0.2991,9.9284,0.2991,0,217,811
1,1,-0.0226,0.4374,-0.6107,0,150,857
1,4,3.6317,6.095,-0.2136,0,203,810
1,5,-3.2346,7.5919,0.4976,0,156,784
1,6,-0.2991,9.9284,0.2991,0,217,811
2,3,3.6317,6.095,-0.2136,0,203,811
2,4,-3.2346,7.5715,0.7464,0,165,784
2,5,-0.2991,9.9284,0.2991,0,212,816
3,3,3.8453,5.951,-0.4273,0,205,809
3,4,-3.2346,7.5919,0.4976,0,175,778
3,5,0,9.9374,0,0,216,811
12,3,3.8453,5.951,-0.4273,0,201,813
12,4,-0.2991,9.9284,0.2991,0,211,817
10,3,3.6317,6.095,-0.2136,0,202,812
10,4,0,9.9374,0,0,218,809
14,3,3.6317,6.095,-0.2136,0,203,811
14,4,-3.4834,7.481,0.4976,0,166,776
14,6,-0.2991,9.9284,0.2991,0,213,814
15,3,3.8453,5.951,-0.4273,0,202,811
15,4,-3.2346,7.5919,0.4976,0,166,789
15,6,0,9.9374,0,0,209,818
16,3,3.6317,6.095,-0.2136,0,205,809
16,4,-3.2346,7.5715,0.7464,0,163,796
16,5,0,9.9374,0,0,209,819
17,3,3.8453,5.951,-0.4273,0,204,810
17,4,-2.9858,7.6932,0.4976,0,164,805
17,5,0,9.9374,0,0,208,819
18,3,3.8453,5.951,-0.4273,0,204,810
18,4,-2.9858,7.6932,0.4976,0,180,791
18,5,0,9.9374,0,0,213,815
19,3,3.6317,6.095,-0.2136,0,204,810
19,4,-3.2346,7.5919,0.4976,0,163,794
19,5,0,9.9374,0,0,208,819
20,3,3.8453,5.951,-0.4273,0,204,810
20,4,-3.2346,7.5919,0.4976,0,165,780
20,5,0,9.9374,0,0,208,819
21,3,3.8453,5.951,-0.4273,0,202,812
21,4,-3.2346,7.5919,0.4976,0,152,788
21,5,0,9.9374,0,0,209,818
22,3,3.8453,5.951,-0.4273,0,204,809
22,4,-2.9858,7.6932,0.4976,0,198,772
22,5,0,9.9374,0,0,214,814
23,3,3.8453,5.951,-0.4273,0,203,810
23,4,-3.2346,7.5919,0.4976,0,158,778
23,5,-6.718,3.7817,-2.9858,0,158,778
23,6,0,9.9374,0,0,220,807
24,3,3.8453,5.951,-0.4273,0,202,812
24,4,-0.2991,9.9284,0.2991,0,214,812
25,3,3.6317,6.095,-0.2136,0,201,812
25,4,-3.2346,7.5919,0.4976,0,176,785
25,5,0,9.9374,0,0,219,809
26,3,3.6317,6.095,-0.2136,0,199,815
26,5,-0.2991,9.9284,0.2991,0,216,812
27,3,3.8453,5.951,-0.4273,0,201,813
27,4,-3.2346,7.5919,0.4976,0,157,792
27,6,0,9.9374,0,0,220,808
28,3,3.6317,6.095,-0.2136,0,201,813
28,4,-3.2346,7.5919,0.4976,0,161,795
28,6,0,9.9374,0,0,216,811
29,3,3.8453,5.951,-0.4273,0,202,812
29,5,0,9.9374,0,0,215,811
30,3,3.8453,5.951,-0.4273,0,203,811
30,4,-3.4834,7.4603,0.7464,0,173,767
30,5,0,9.9374,0,0,214,813
31,3,3.6317,6.095,-0.2136,0,202,812
31,4,-3.2346,7.5919,0.4976,0,155,787
31,5,-0.2991,9.9284,0.2991,0,210,817
32,3,3.8453,5.951,-0.4273,0,202,811
32,5,0,9.9374,0,0,210,816
33,3,3.8453,5.951,-0.4273,0,201,813
33,4,-3.4834,7.481,0.4976,0,152,790
33,5,0,9.9374,0,0,213,814
34,3,3.6317,6.095,-0.2136,0,203,811
34,4,-3.2346,7.5919,0.4976,0,169,783
34,6,0,9.9374,0,0,209,818
35,3,3.6317,6.095,-0.2136,0,203,810
35,4,-3.2346,7.5919,0.4976,0,175,773
35,5,0,9.9374,0,0,209,818
36,3,3.8453,5.951,-0.4273,0,202,812
36,4,-3.2346,7.5919,0.4976,0,167,784
36,5,0,9.9374,0,0,213,814
37,3,3.6317,6.095,-0.2136,0,205,808
37,4,-3.2346,7.5919,0.4976,0,163,788
37,5,0,9.9374,0,0,211,816
38,3,3.6317,6.095,-0.2136,0,203,810
38,4,-3.2346,7.5919,0.4976,0,168,782
38,5,-0.2991,9.9284,0.2991,0,216,812
39,3,3.8453,5.951,-0.4273,0,203,810
39,4,-3.4834,7.481,0.4976,0,153,785
39,6,-0.2991,9.9284,0.2991,0,209,818
40,3,3.8453,5.951,-0.4273,0,202,812
