frame_id,point_id,x,y,z,doppler,snr,noise
1,2,-0.744,1.4339,0.5314,0,155,688
1,3,0,4.0475,1.4816,0,130,650
1,4,1.0555,4.7597,2.8148,0,133,571
2,2,-0.7312,1.4274,0.47,0,143,704
2,3,-0.2639,2.6608,0.8796,0,117,620
2,4,-0.3592,2.4078,1.5265,0,120,630
2,5,0,4.0199,1.4715,0,130,631
2,6,1.05,4.8341,2.6251,0,157,569
2,7,1.127,6.3873,3.1556,0,117,468
3,2,-0.7312,1.4274,0.47,0,144,697
3,3,-0.5333,2.6485,0.8888,0,118,626
3,4,0.875,4.9592,2.4501,0,176,562
4,3,-0.7697,1.3749,0.4618,0,159,684
4,4,0,3.9924,1.4614,0,127,621
5,2,-0.7055,1.318,0.6047,0,117,687
5,3,-0.2657,3.9835,1.4614,0,121,633
6,2,-0.8567,1.2251,0.6047,-0.4511,128,689
6,3,-0.7752,2.5007,0.8613,-0.4511,132,629
6,4,-0.2639,3.9561,1.4514,-0.4511,142,634
7,2,-0.8411,1.2468,0.4948,-0.4511,165,683
7,3,-0.5965,2.4902,0.9373,-0.4511,148,647
7,4,-0.131,3.9352,1.4413,-0.4511,172,630
8,3,-0.8256,1.2237,0.4856,-0.4511,154,691
8,4,0,3.955,1.3011,-0.4511,177,620
8,6,-0.7257,5.4668,1.8142,-0.4511,112,542
9,1,-0.81,1.2342,0.3812,-0.4511,176,687
9,2,-0.1283,3.8526,1.4111,-0.4511,172,621
10,2,-0.7944,1.2105,0.3738,-0.4511,160,698
10,3,-0.1264,3.8415,1.2644,-0.4511,153,635
11,2,-0.853,1.0653,0.449,-0.4511,143,692
11,3,-0.0797,2.4218,0.7972,-0.4511,119,668
11,5,1.3341,5.4107,2.4776,-0.4511,112,538
12,2,-0.7917,1.1092,0.3518,-0.4511,158,694
12,3,0.7092,2.2879,0.788,-0.4511,122,653
12,4,0,3.6895,1.3506,-0.4511,134,623
12,6,1.1325,5.3119,2.6425,-0.4511,129,533
10,1,-0.8182,1.0389,0.3876,-0.4511,138,685
10,3,1.1215,5.4303,2.243,-0.4511,140,523
14,2,-0.7834,0.9783,0.4123,-0.4511,132,686
14,3,0.1191,3.6188,1.1911,-0.4511,118,631
15,1,0.5864,0.6939,0.2346,-0.4511,155,571
15,2,-0.8063,0.954,0.3225,-0.4511,115,696
15,3,0.2364,3.5851,1.182,-0.4511,133,619
16,2,-0.7697,0.9332,0.2309,-0.4511,137,687
17,2,-0.8265,0.8599,0.1503,-0.4511,147,677
17,3,0.2309,3.5696,0.9236,-0.4511,161,621
18,3,-0.5424,2.0102,0.6102,-0.4511,146,662
19,2,0.5278,2.0173,0.3299,-0.4511,136,663
19,3,0.9071,4.5531,1.3607,-0.4511,224,570
19,4,1.2315,5.2601,1.5833,-0.4511,126,555
20,2,0.1924,2.0181,0.3207,-0.4511,127,692
20,3,-0.109,3.4255,0.6542,-0.4511,148,618
20,4,0.7468,4.5251,1.3441,-0.4511,191,591
20,5,5.4921,3.4699,0.4068,-0.4511,136,500
21,2,-0.7477,1.8314,0.2492,-0.4511,113,689
21,3,0.4719,2.9589,0.3775,-0.4511,116,601
21,4,0.7257,3.794,0.2419,-0.4511,143,621
21,5,0.733,4.5186,1.0262,-0.4511,215,592
21,6,0.8613,5.3456,1.0335,-0.4511,121,559
22,2,0.5846,0.5797,0.2126,-0.4511,115,618
22,3,0.4838,1.8491,0.3024,-0.4511,114,694
22,4,-0.3134,3.313,0.3134,-0.4511,116,610
22,5,0.4728,3.7359,0.3546,-0.4511,123,655
22,6,0.4765,3.7649,0.3573,-0.4511,125,653
22,7,0.7239,4.4621,1.0134,-0.4511,223,588
23,2,0.5937,0.5142,-0.099,-0.4511,115,590
23,3,0.2932,1.7583,0.5864,-0.4511,123,689
23,4,-0.2071,3.2263,0.7248,-0.4511,166,600
23,5,0.4691,3.7069,0.3518,-0.4511,153,647
23,6,0.7147,4.3308,1.2864,-0.4511,223,585
24,2,0.3051,3.1083,0.9154,-0.4511,127,612
24,3,0.5772,3.5584,0.8081,-0.4511,149,667
24,4,0.7055,4.2308,1.4111,-0.4511,198,606
24,5,0.6487,5.53,-4.1085,-0.4511,128,475
25,1,-0.098,3.0597,0.6863,-0.9022,131,603
25,2,0.6762,3.4974,0.5635,-0.9022,147,672
25,5,0.5241,0.4997,-0.2382,-0.4511,146,546
25,6,-0.5241,0.5406,-0.1191,-0.4511,146,546
25,7,0.6432,5.3171,-4.2881,-0.4511,131,471
26,1,-0.0962,3.0026,0.6735,-0.9022,192,611
26,2,0.6597,3.3925,0.6597,-0.9022,115,713
26,4,0.8191,3.9662,1.6383,-0.9022,183,586
26,5,0.4508,4.2236,-2.254,-0.9022,131,580
26,7,0.8503,5.0618,-4.4641,-0.4511,135,468
27,1,-0.0925,2.8658,0.7403,-0.9022,184,615
27,2,0.7568,3.2633,0.865,-0.9022,179,683
27,3,0.9428,3.8239,1.751,-0.9022,133,610
27,4,0.7422,3.8565,-2.6718,-0.9022,129,592
28,1,0,2.8324,0.635,-0.9022,157,616
28,2,0.6322,3.1734,0.9483,-0.9022,163,700
28,3,0.6551,3.7748,1.7033,-0.9022,137,588
28,4,-0.6872,7.064,1.8325,-0.9022,116,482
28,5,0.5772,0.2063,-0.0577,-0.4511,155,511
