frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.055,0.8566,0.1924,0,250,584
2,1,0.4526,0.6017,-0.1191,0,253,498
2,2,0.0852,0.8887,0.1704,0,196,625
3,1,0.0275,0.8636,0.1649,0,255,589
4,1,0.4288,0.6231,-0.0953,0,265,486
4,2,0.055,0.8623,0.1649,0,195,581
5,1,0.4288,0.6231,-0.0953,0,247,505
5,2,0.3427,0.8828,0.3115,0,114,711
5,3,1.1545,3.9308,0.2566,0,124,676
6,1,0.4288,0.6231,-0.0953,0,249,500
6,2,0.0293,0.9212,0.1759,0,195,652
6,3,1.1545,3.9308,0.2566,0,126,677
7,1,0.4288,0.6262,-0.0715,0,256,495
7,2,0.4453,0.6503,-0.0742,0,244,507
7,3,1.1545,3.9308,0.2566,0,135,671
8,1,0.4453,0.6527,-0.0495,0,232,520
8,2,1.1545,3.9308,0.2566,0,134,673
9,1,0.4453,0.6541,-0.0247,0,246,508
9,2,0.3711,0.5178,-0.47,0,246,508
9,3,1.1545,3.9308,0.2566,0,126,679
10,1,0.4453,0.6541,-0.0247,0,242,510
10,2,0.0302,0.9437,0.2117,0,168,687
10,3,1.2828,3.8908,0.2566,0,115,675
11,1,0.4453,0.6545,0,0,242,511
11,2,0.3711,0.4942,-0.4948,0,242,511
11,3,0.0302,0.9652,0.0605,0,138,691
12,1,0.4453,0.6545,0,0,232,520
12,2,0.3463,0.5118,-0.4948,0,232,520
12,3,0.0302,0.9552,0.1512,0,143,693
12,4,1.2828,3.8908,0.2566,0,119,675
10,1,0.4453,0.6545,0,0,232,520
10,2,0.3711,0.4942,-0.4948,0,232,520
14,1,0.4453,0.6545,0,0,233,518
14,2,0.3711,0.4942,-0.4948,0,233,518
14,3,0.0605,0.9614,0.0907,0,141,690
15,1,0.4453,0.6545,0,0,233,518
15,2,0.3711,0.4942,-0.4948,0,233,518
15,3,0.0302,0.9437,0.2117,0,160,692
16,1,0.4453,0.6545,0,0,235,517
16,2,0.3711,0.4942,-0.4948,0,235,517
16,3,0.0302,0.9364,0.2419,0,155,692
17,1,0.4288,0.6298,-0.0238,0,256,495
17,2,0.0605,0.9422,0.2117,0,152,692
18,1,0.4288,0.6303,0,0,237,515
18,2,0.0605,0.9422,0.2117,0,131,697
19,1,0.4288,0.6303,0,0,239,512
19,2,0.0357,1.1227,-0.2144,0,115,700
20,1,0.4288,0.6303,0,0,254,498
20,2,0.0605,0.9422,0.2117,0,139,692
20,3,0.0357,1.1227,-0.2144,0,113,699
21,1,0.4288,0.6303,0,0,257,494
22,1,0.4288,0.6303,0,0,254,498
23,1,0.4288,0.6303,0,0,244,508
23,2,0.0605,0.9657,0,0,130,692
24,1,0.4288,0.6303,0,0,256,495
24,2,0.0312,0.9959,0.0312,0,122,714
25,1,0.4288,0.6298,-0.0238,0,242,509
26,1,0.4288,0.6303,0,0,250,501
26,2,0.0357,1.1379,-0.1072,0,115,696
27,1,0.4288,0.6303,0,0,245,506
28,1,0.4288,0.6303,0,0,254,497
29,1,0.4288,0.6303,0,0,255,495
29,2,0.0935,0.9747,0.1869,0,113,714
29,3,0.0357,1.134,-0.1429,0,115,698
30,1,0.4288,0.6303,0,0,252,499
30,2,0.0302,0.9552,0.1512,0,158,692
31,1,0.4288,0.6298,-0.0238,0,253,498
31,2,0.0605,0.9538,0.1512,0,174,693
32,1,0.4288,0.6298,-0.0238,0,249,502
32,2,0.0302,0.9595,0.1209,0,167,691
33,1,0.4288,0.6298,-0.0238,0,249,503
33,2,0.0605,0.9581,0.1209,0,173,691
33,3,0,1.1158,-0.2501,0,113,701
34,1,0.4288,0.6298,-0.0238,0,245,506
34,2,0.0605,0.9538,0.1512,0,175,691
34,3,0,1.1345,-0.1429,0,116,707
34,4,-0.4444,2.8035,0.1778,-0.9022,155,535
35,1,0.4288,0.6298,-0.0238,0,250,501
35,2,0.0623,0.9827,0.1558,0,153,713
35,3,-0.0357,1.134,-0.1429,0,114,708
35,4,-0.4261,2.6879,0.1704,-0.9022,141,545
36,1,0.4288,0.6298,-0.0238,0,238,513
36,2,0.0605,0.9581,0.1209,0,167,693
36,3,0.0605,0.9538,0.1512,0,167,693
36,4,-0.5113,2.6785,0,-0.9022,140,554
37,1,0.4288,0.6298,-0.0238,0,249,501
37,2,0.0605,0.9581,0.1209,0,162,691
37,3,-0.4032,2.5472,0.0806,-0.9022,134,553
38,1,0.4288,0.6298,-0.0238,0,253,498
38,2,0.0605,0.9581,0.1209,0,152,691
38,3,-0.4673,2.448,0,-0.9022,141,566
39,1,0.4288,0.6298,-0.0238,0,261,490
39,2,0.0605,0.9581,0.1209,0,150,690
40,1,0.4288,0.6298,-0.0238,0,257,494
40,2,0.0907,0.9557,0.1209,0,150,691
41,1,0.4288,0.6298,-0.0238,0,245,506
41,2,0.0907,0.9557,0.1209,0,147,691
41,3,-0.1924,2.0394,-0.1283,-0.9022,168,560
42,1,0.4288,0.6298,-0.0238,0,251,500
42,2,0.0302,0.9552,0.1512,0,173,691
43,1,0.4288,0.6303,0,0,250,500
43,2,0.0605,0.9485,0.1814,0,159,693
43,3,-0.3299,1.9988,0.5937,-0.9022,172,588
43,4,-0.2419,1.919,0.0605,-0.4511,165,652
44,1,0.4288,0.6303,0,0,237,513
44,2,0.0605,0.9614,0.0907,0,150,696
44,3,0.3372,1.295,0.1686,0,121,680
45,1,0.4288,0.6303,0,0,250,501
45,2,0.0302,0.9499,0.1814,0,182,692
46,1,0.4288,0.6303,0,0,256,495
46,2,0.0302,0.9499,0.1814,0,183,692
46,3,-0.2932,1.8451,0.1759,-0.4511,114,650
47,1,0.4288,0.6303,0,0,243,508
47,2,0.0312,0.9723,0.2181,0,152,715
47,3,-0.284,1.7371,0.4545,-0.4511,141,659
48,1,0.4288,0.6303,0,0,247,506
48,2,0.0302,0.9437,0.2117,0,180,692
48,3,-0.2052,1.6291,0,-0.9022,155,580
49,1,0.4453,0.6541,0.0247,0,236,516
49,2,0.3711,0.4681,-0.5195,0,236,516
49,3,0.0302,0.9437,0.2117,0,179,695
50,1,0.4288,0.6303,0,0,250,501
50,2,0.0605,0.9422,0.2117,0,185,693
51,1,0.4453,0.6545,0,0,235,518
51,2,0.3711,0.4942,-0.4948,0,235,518
51,3,0.0605,0.9422,0.2117,0,186,694
52,1,0.4288,0.6303,0,0,246,506
52,2,0.0302,0.9499,0.1814,0,193,693
53,1,0.4288,0.6303,0,0,248,502
53,2,0.0605,0.9538,0.1512,0,199,693
53,3,-0.2914,1.5257,0.0486,-0.9022,155,573
54,1,0.4288,0.6303,0,0,234,516
54,2,0.3573,0.4759,-0.4765,0,234,516
54,3,0.0605,0.9538,0.1512,0,202,692
55,1,0.4288,0.6303,0,0,244,508
55,2,0.0302,0.9552,0.1512,0,184,692
56,1,0.4288,0.6298,-0.0238,0,259,492
56,2,0.0302,0.9499,0.1814,0,160,692
57,1,0.4288,0.6303,0,0,247,504
57,2,0.0586,0.9291,0.1173,0,140,667
57,3,0.0605,0.9538,0.1512,0,113,694
57,4,-0.3079,1.1917,-0.0385,-0.9022,139,634
58,1,0.4288,0.6303,0,0,245,506
59,1,0.4288,0.6303,0,0,257,494
60,1,0.4288,0.6303,0,0,249,501
61,1,0.4288,0.6303,0,0,253,498
62,1,0.4288,0.6298,-0.0238,0,241,510
63,1,0.4288,0.6303,0,0,257,494
63,2,-0.4618,0.9015,0.2969,0.9022,197,593
64,1,0.4288,0.6303,0,0,245,505
64,2,0.0312,0.9842,0.1558,0,112,714
64,3,0.2153,1.355,0.1292,0,132,681
64,4,-0.4178,1.0181,0.1741,0.4511,134,730
65,1,0.4288,0.6303,0,0,229,523
65,2,0.0935,0.9747,0.1869,0,138,713
66,1,0.4288,0.6303,0,0,249,502
66,2,0.0935,0.9683,0.2181,0,134,714
66,3,-0.3628,1.1216,-0.5241,0.4511,128,697
66,4,-0.2529,1.2062,-0.5479,0.4511,120,687
66,5,-0.5901,0.7817,0.9273,0.4511,120,687
67,1,0.4288,0.6303,0,0,244,506
67,2,-0.4737,1.1864,0.5168,0.4511,125,687
68,1,0.4288,0.6303,0,0,251,500
