frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
7278,1,0.406064,0.0693016,0.00898443,-0.911169,-0.695942,-0.106103,9.7847,-0.894327,0.182385,0.940921,-0.00696109,-0.00107007,0.0978468,1,4.44686e-05,-8.82539e-06,2.36559e-05,0.00889373,-0.00176508,0.00473118,0.406064,0.0693016,0.00898443,-0.911169,-0.248521,0.00847752,-0.998144,35.5625,3,64496,32749285
7278,2,0.406064,0.0693016,0.00898443,-0.911169,-0.535291,-0.0767039,7.34297,-0.894327,0.182385,0.940921,-0.00535478,-0.000771822,0.0734295,1,3.21549e-05,-1.27515e-05,5.68877e-06,0.00643097,-0.0025503,0.00113775,0.406064,0.0693016,0.00898443,-0.911169,0.0208283,0.509841,-1.00491,35.375,1,32147,36069444
1,1,0.406064,0.0693016,0.00898443,-0.911169,-0.535291,-0.0767039,7.34297,-0.894327,0.182385,0.940921,-0.00535478,-0.000771822,0.0734295,1,3.21549e-05,-1.27515e-05,5.68877e-06,0.00643097,-0.0025503,0.00113775,0.406064,0.0693016,0.00898443,-0.911169,0.0208283,0.509841,-1.00491,35.375,1,32147,36069444
1,2,0.406064,0.0693016,0.00898443,-0.911169,-0.535291,-0.0767039,7.34297,-0.894327,0.182385,0.940921,-0.00535478,-0.000771822,0.0734295,1,3.21549e-05,-1.27515e-05,5.68877e-06,0.00643097,-0.0025503,0.00113775,0.406064,0.0693016,0.00898443,-0.911169,0.0208283,0.509841,-1.00491,35.375,1,32147,36069444
2,1,0.999325,-0.00518655,0.0363751,-0.000190136,-0.706335,-0.0985239,9.79355,0.13302,-0.485695,1.0145,-0.00706609,-0.000995325,0.0979352,1,5.13233e-05,-1.39941e-05,2.39192e-06,0.0102647,-0.00279881,0.000478383,0.999325,-0.00518655,0.0363751,-0.000190136,0.0174562,0.509391,-1.00541,35.375,1,32148,36069544
2,2,0.999325,-0.00518655,0.0363751,-0.000190136,-0.706335,-0.0985239,9.79355,0.13302,-0.485695,1.0145,-0.00706609,-0.000995325,0.0979352,1,5.13233e-05,-1.39941e-05,2.39192e-06,0.0102647,-0.00279881,0.000478383,0.999325,-0.00518655,0.0363751,-0.000190136,0.0174562,0.509391,-1.00541,35.375,1,32148,36069544
3,1,0.999325,-0.00518655,0.0363751,-0.000190136,-0.706335,-0.0985239,9.79355,0.13302,-0.485695,1.0145,-0.00706609,-0.000995325,0.0979352,1,5.13233e-05,-1.39941e-05,2.39192e-06,0.0102647,-0.00279881,0.000478383,0.999325,-0.00518655,0.0363751,-0.000190136,0.0174562,0.509391,-1.00541,35.375,1,32148,36069544
3,2,0.999326,-0.0051248,0.0363549,-0.000219629,-0.691779,-0.102363,9.7907,0.150585,-0.4871,1.00678,-0.0069185,-0.0010355,0.0979068,1,6.02752e-05,-3.66737e-06,5.54896e-06,0.012055,-0.000733474,0.00110979,0.999326,-0.0051248,0.0363549,-0.000219629,0.0155925,0.506471,-1.00496,35.375,1,32149,36069644
4,1,0.999326,-0.0051248,0.0363549,-0.000219629,-0.691779,-0.102363,9.7907,0.150585,-0.4871,1.00678,-0.0069185,-0.0010355,0.0979068,1,6.02752e-05,-3.66737e-06,5.54896e-06,0.012055,-0.000733474,0.00110979,0.999326,-0.0051248,0.0363549,-0.000219629,0.0155925,0.506471,-1.00496,35.375,1,32149,36069644
4,2,0.999326,-0.0051248,0.0363549,-0.000219629,-0.691779,-0.102363,9.7907,0.150585,-0.4871,1.00678,-0.0069185,-0.0010355,0.0979068,1,6.02752e-05,-3.66737e-06,5.54896e-06,0.012055,-0.000733474,0.00110979,0.999326,-0.0051248,0.0363549,-0.000219629,0.0155925,0.506471,-1.00496,35.375,1,32149,36069644
4,3,0.999326,-0.00506975,0.0363481,-0.000201441,-0.686901,-0.0978637,9.78936,0.156387,-0.489221,1.00863,-0.00687023,-0.000989551,0.0978934,1,5.43187e-05,-6.44462e-06,2.02707e-05,0.0108637,-0.00128892,0.00405413,0.999326,-0.00506975,0.0363481,-0.000201441,0.0170278,0.506947,-1.00496,35.375,1,32150,36069744
4,4,0.999326,-0.00506975,0.0363481,-0.000201441,-0.686901,-0.0978637,9.78936,0.156387,-0.489221,1.00863,-0.00687023,-0.000989551,0.0978934,1,5.43187e-05,-6.44462e-06,2.02707e-05,0.0108637,-0.00128892,0.00405413,0.999326,-0.00506975,0.0363481,-0.000201441,0.0170278,0.506947,-1.00496,35.375,1,32150,36069744
