frame_id,point_id,x,y,z,doppler,snr,noise
154,3,-0.8076,3.116,-0.8076,-0.3479,160,578
159,2,-3.8465,1.9842,-0.5306,0,120,615
159,3,-0.7794,2.9803,-0.8768,-0.6958,115,582
160,4,-0.8768,2.9531,-0.8768,-0.6958,120,575
162,3,-0.939,2.8664,-0.6573,-0.6958,200,554
163,2,-0.939,2.8664,-0.6573,-0.6958,168,567
164,3,-0.9156,2.8142,-0.5493,-0.6958,151,592
165,2,-3.8442,2.9004,1.5377,0,116,575
165,3,-0.8134,2.7649,-0.7231,-0.6958,164,572
165,4,-0.8451,2.8955,-0.6573,-0.6958,139,569
166,2,-4.12,2.1996,1.8311,0,129,589
166,3,0.5141,8.2412,-1.7994,-1.0436,142,556
166,4,-0.9038,2.759,-0.6327,-0.6958,187,586
167,2,-3.8442,2.7152,1.8452,0,116,570
167,3,0.7641,8.1977,-1.5283,-1.0436,119,558
167,4,0.5141,8.1809,-2.0565,-1.0436,116,564
167,5,-0.9942,2.7051,-0.7231,-0.6958,144,592
168,2,-4.1118,1.3513,-0.5306,0,114,596
168,3,-3.6904,3.0124,1.6914,0,129,573
168,5,-0.8804,2.6127,-0.8804,-0.6958,135,588
170,2,0,1.3731,3.0636,0,124,545
170,3,-3.9792,1.6556,-0.6632,0.3479,124,543
171,2,0.2019,1.3422,3.0284,0,120,551
171,3,-3.8806,2.0018,-0.5353,0,167,565
171,4,-3.708,2.4827,-0.6867,0,116,588
171,6,-1.0423,2.5661,-0.6949,-0.6958,122,551
172,2,-3.8454,2.3013,-0.5493,0,127,570
172,3,-4.0144,1.7178,-0.5353,0.3479,124,529
172,4,0,7.83,-2.5002,-1.0436,124,556
173,2,0.1009,1.1002,3.1294,0,131,562
173,3,-3.8454,2.3013,-0.5493,0,143,576
175,2,-3.9487,2.0369,-0.5446,0,129,557
175,6,-1.6903,3.0044,-0.4226,-0.6958,147,571
176,3,-1.5846,3.0614,-0.4226,-0.6958,125,584
177,4,-1.6715,2.9544,-0.5223,-0.6958,181,579
178,4,-1.9403,2.6704,-0.6127,-0.6958,141,576
179,1,-3.9827,2.0127,-0.6867,0.3479,158,522
179,4,-1.7361,2.8278,-0.5106,-0.6958,170,573
180,2,-4.1553,1.7781,-0.5423,0.3479,138,549
180,3,-1.918,2.6608,-0.5047,-0.6958,151,580
181,2,-4.1553,1.7781,-0.5423,0.3479,149,522
181,3,-2.0189,2.5851,-0.5047,-0.6958,179,572
182,2,-1.817,2.7475,-0.4038,-0.6958,141,604
184,3,-0.7101,4.3425,-1.5623,-1.0436,120,619
184,5,-1.972,2.525,-0.493,-0.3479,143,576
185,1,0,0.5838,-2.4791,0,161,531
185,2,-0.7043,4.2533,-1.6903,-1.0436,135,608
185,4,-2.1692,2.3577,-0.493,-0.3479,123,600
186,3,-0.9696,4.1801,-1.5236,-1.0436,116,597
186,4,-2.3382,2.1693,-0.2923,-0.3479,140,575
187,4,-4.5485,1.5789,0.2935,0.3479,124,517
187,5,-0.9613,4.1447,-1.5107,-1.0436,120,588
188,3,-1.3499,4.0872,-1.0799,-1.0436,124,599
189,2,0.4637,2.1283,2.1328,-1.0436,115,531
190,2,0,1.1049,3.1294,0,123,590
190,4,-1.3733,4.2213,-0.824,-1.0436,112,590
190,5,-2.1363,6.4685,-1.7091,-1.0436,131,566
190,6,-2.6727,2.6392,-0.6972,-0.3479,121,547
192,2,-2.7279,1.6528,-0.2923,0.3479,138,531
192,4,-2.4474,4.6344,-1.1421,-0.6958,119,600
194,3,-2.8946,4.3174,-0.9649,-0.6958,142,589
195,1,-1.7137,5.1407,-1.5424,-1.0436,114,577
195,2,-2.465,6.1652,-1.2325,-1.0436,165,559
197,2,0.1009,1.3536,3.0284,0,128,557
198,2,0.1009,1.1002,3.1294,0,118,548
