frame_id,point_id,x,y,z,doppler,snr,noise
52,3,-0.7982,3.1039,-0.6984,0,113,587
54,2,-0.6984,3.1039,-0.7982,-0.3479,133,578
59,2,-3.8735,1.6116,-0.6456,0,120,610
61,3,-0.6738,3.0174,-0.6738,-0.3479,160,586
62,3,-3.9088,1.6263,-0.6515,0,117,632
63,2,-0.77,2.9943,-0.6738,-0.3479,168,567
64,4,-0.7606,2.9776,-0.5705,-0.3479,148,584
65,2,-0.939,2.9031,-0.4695,-0.3479,129,597
66,3,-0.7512,2.9213,-0.6573,-0.3479,115,606
74,2,-0.8029,2.729,-0.7137,-0.3479,133,648
85,2,-3.9088,1.6726,-0.5212,0,117,638
94,4,-1.3428,3.0076,-0.8264,-0.3479,112,602
95,2,0.2089,6.7081,-1.4626,-0.6958,135,568
95,6,-1.2536,3.1354,-0.6268,-0.3479,115,630
97,4,-1.3276,3.0221,-0.6127,-0.3479,141,605
98,1,-0.1714,5.5022,-1.1996,-0.6958,112,626
98,3,-1.3968,2.9256,-0.4989,-0.3479,123,602
99,2,-3.7139,2.2226,-0.5306,0,119,618
99,3,0.1538,4.8596,-1.3839,-0.6958,128,615
99,4,-0.1702,5.4645,-1.1914,-0.6958,126,615
99,5,-1.2254,3.065,-0.6127,-0.3479,134,600
100,3,-1.1233,3.0819,-0.7148,-0.3479,119,614
101,2,0.3052,4.8153,-1.3733,-0.6958,114,630
101,5,-1.3968,2.9408,-0.3991,-0.3479,130,607
102,1,0.1514,4.7854,-1.3628,-0.6958,124,627
103,1,0.1502,4.7483,-1.3522,-0.6958,126,627
103,3,-1.3804,2.8726,-0.5916,-0.3479,141,624
104,2,-1.4614,2.7414,-0.7794,-0.3479,134,600
105,5,-1.4614,2.7414,-0.7794,-0.3479,144,603
106,1,-3.8465,1.9842,-0.5306,0,115,615
106,3,-1.54,2.7033,-0.5775,-0.3479,183,613
107,4,-1.6163,2.6138,-0.5705,-0.3479,126,617
108,3,-1.54,2.7221,-0.4813,-0.3479,149,600
109,4,-1.5212,2.6889,-0.4754,-0.3479,142,619
110,5,-0.1972,6.4318,-0.7888,-0.3479,121,566
111,3,-1.6903,2.5211,-0.5634,-0.3479,145,609
112,4,-1.5964,2.6003,-0.4695,-0.3479,141,633
113,3,-1.5025,2.6373,-0.5634,-0.3479,146,614
113,4,0,6.2603,-1.1621,-0.3479,116,584
114,3,-1.6903,2.5403,-0.4695,-0.3479,160,616
115,3,-1.6691,2.5239,-0.3709,-0.3479,112,633
116,4,-1.5764,2.5678,-0.4637,-0.3479,113,630
117,5,-1.5764,2.5678,-0.4637,-0.3479,139,619
118,5,-0.6056,4.7494,-1.3628,-0.3479,117,640
126,1,0.2125,6.9001,-1.0623,-0.6958,169,569
126,3,-1.4766,2.438,-0.1737,-0.3479,121,612
127,3,-1.6727,2.3471,-0.2641,-0.3479,123,619
128,1,0.0786,0.8572,2.438,0,131,584
128,2,0.2113,6.862,-1.0564,-0.6958,165,574
128,4,-1.6504,2.3043,-0.3474,-0.3479,118,628
129,2,-0.716,4.5099,-1.1456,-0.6958,129,656
130,1,0.0775,0.8444,2.4016,0,135,570
130,2,-0.716,4.5099,-1.1456,-0.6958,157,626
131,2,0.1573,1.0457,2.3593,0,142,554
133,1,0,0.8479,2.4016,0,137,570
133,3,0.4132,6.7286,-0.8264,-0.6958,121,585
133,5,-1.7372,2.2514,-0.2606,-0.3479,117,608
134,1,0,0.8479,2.4016,0,146,555
134,5,-1.7748,2.1226,-0.2535,-0.3479,157,576
135,1,-0.8311,4.3378,-1.1081,-0.6958,161,641
135,4,-1.7501,2.0664,-0.4167,-0.3479,173,556
136,1,0.0775,0.8444,2.4016,0,150,547
136,2,-0.824,4.2636,-1.236,-0.6958,158,626
136,4,-1.5553,1.3267,0.0622,-0.3479,144,524
136,5,-1.8077,1.9802,-0.3287,-0.3479,145,552
137,2,0.0775,0.8444,2.4016,0,198,526
137,4,-0.817,4.2642,-1.0893,-0.6958,150,640
138,1,-1.7419,1.07,-0.0622,0,139,512
138,2,0.0775,0.8444,2.4016,0,211,530
138,5,0.2007,6.4848,-1.2043,-0.6958,120,587
138,6,-1.8077,1.9802,-0.3287,-0.3479,166,549
139,2,-0.9367,4.1628,-1.0705,-0.6958,121,648
139,5,-1.7959,2.6787,-0.5986,-0.3479,118,616
140,4,-0.9285,4.1263,-1.0611,-0.6958,143,641
141,1,-1.668,0.8429,-0.2876,0,156,507
141,4,-0.2324,3.5012,-1.5107,-0.6958,129,593
141,6,-2.0448,1.5326,-0.3932,-0.3479,147,503
141,7,-1.8511,2.5846,-0.3897,-0.3479,123,594
142,3,-0.2301,3.5133,-1.3804,-0.6958,127,599
142,4,-1.0423,4.0533,-0.912,-0.6958,129,645
143,1,0,1.0574,2.3593,0,212,517
143,2,0.1761,0.2611,-0.223,-1.0436,128,444
143,4,-0.3416,3.5494,-1.1386,-0.6958,120,616
143,5,-0.9038,4.0168,-1.0329,-0.6958,146,641
144,1,0.1479,0.2225,-0.2218,-1.0436,118,446
144,3,-0.3381,3.547,-1.0142,-0.6958,118,633
144,4,-1.1515,3.9452,-0.8956,-0.6958,133,651
144,5,-0.1925,6.2194,-1.155,-0.6958,116,590
145,4,-0.8874,3.9437,-1.0142,-0.6958,142,645
146,1,-1.7607,0.7692,-0.1761,0,112,497
146,2,-2.0142,1.5098,-0.3874,0,215,493
146,3,0.0775,1.1971,2.2467,0,215,493
146,4,-0.1902,6.1435,-1.1409,-1.0436,154,580
146,6,-0.8792,3.9072,-1.0048,-0.6958,144,641
147,1,0.0775,1.0388,2.3241,0,153,513
147,2,-0.189,6.1056,-1.1339,-1.0436,170,577
147,4,-1.2912,3.9414,-0.9038,-0.6958,134,639
148,1,-0.1878,6.0298,-1.3147,-1.0436,153,600
149,2,-0.1866,5.9921,-1.3064,-1.0436,178,585
149,4,-0.8545,3.7642,-1.0987,-0.6958,120,660
150,3,-4.0144,1.7539,-0.4014,0,126,595
150,4,-0.3709,5.9457,-1.2982,-1.0436,195,584
150,6,-0.9672,3.7319,-0.9672,-0.6958,116,664
151,2,-4.0144,1.7178,-0.5353,0,124,578
151,5,-0.8463,3.7902,-0.8463,-0.6958,123,646
152,1,0.0141,0.141,-0.1831,0,145,429
152,3,-0.3662,5.8275,-1.4649,-1.0436,184,592
153,3,-0.3639,5.7413,-1.6375,-0.6958,192,591
158,4,-0.9109,3.5857,-0.5693,-0.6958,122,616
159,2,0.1643,0.2584,-0.2348,-1.0436,127,428
159,4,-0.5212,5.4682,-1.5635,-0.6958,225,594
160,2,-4.1846,1.3752,-0.5399,0,115,561
160,5,0.1033,0.184,-0.2254,-0.6958,128,437
160,6,-0.5176,5.4313,-1.5529,-0.6958,229,588
161,3,-0.5141,5.3943,-1.5424,-0.6958,225,597
162,4,-0.6808,5.3844,-1.3616,-0.6958,227,593
163,2,3.0061,6.5884,-2.3124,-1.0436,120,584
163,4,-0.6714,5.3101,-1.3428,-0.6958,231,595
164,2,2.7608,6.7303,-2.0706,-1.0436,143,579
164,4,-0.6667,5.273,-1.3334,-0.6958,218,609
165,5,-0.662,5.1912,-1.4896,-0.6958,221,611
166,5,-0.8217,5.1753,-1.3147,-0.6958,229,609
167,2,3.1552,6.3895,-2.0283,-1.0436,165,588
167,3,-0.8158,5.1383,-1.3053,-0.6958,223,603
168,2,-0.2535,4.0004,-1.1409,-1.0436,119,626
168,3,-0.4648,4.9866,-0.9297,-1.0436,118,591
168,7,-0.8099,5.1013,-1.2959,-0.6958,205,619
169,3,2.884,6.3944,-1.9966,-1.0436,175,568
169,6,-0.8041,5.0208,-1.4473,-0.6958,185,624
170,2,-0.4543,4.8426,-1.0599,-1.0436,129,593
170,6,-0.7982,5.0274,-1.2771,-0.6958,170,614
171,1,0,1.0574,2.3593,0,148,570
171,2,-4.221,1.4332,-0.4085,0,129,566
171,6,-0.9437,4.9259,-1.2583,-0.6958,145,629
172,2,-4.221,1.4332,-0.4085,0,160,567
173,1,-4.0848,1.7847,-0.4085,0,124,552
174,1,0.0775,0.8444,2.4016,0,175,552
174,2,-0.5928,3.7336,-0.9484,-1.0436,137,624
174,4,-0.9332,1.8103,-0.1866,-0.6958,184,472
174,5,-1.0987,2.7646,-0.4578,-0.6958,117,651
175,1,0.0775,0.8444,2.4016,0,179,555
175,3,-0.9156,4.8153,-1.0682,-0.6958,132,625
175,4,-1.4649,1.3031,-0.4273,-0.3479,183,486
176,1,-0.7043,3.7041,-0.8217,-1.0436,113,625
176,3,-0.6585,1.8507,-0.1197,-0.6958,135,509
176,4,-1.0599,4.7782,-0.9085,-0.6958,122,614
176,5,-1.7091,0.9313,-0.4883,-0.3479,142,501
177,2,-0.939,1.6845,-0.0587,-0.6958,112,522
178,1,2.8922,5.7874,-2.0659,-1.0436,204,572
178,3,-1.0423,2.5661,-0.6949,-0.6958,122,632
179,1,-2.5354,1.1364,0,0.3479,138,534
179,4,-0.8874,4.6318,-1.1832,-0.6958,116,611
180,2,-0.6984,4.399,-1.1175,-1.0436,118,588
180,3,2.6551,5.8869,-1.8382,-1.0436,226,561
181,2,-0.6925,4.362,-1.1081,-1.0436,120,584
181,3,2.6246,5.8193,-1.817,-1.0436,231,556
182,1,2.6094,5.7854,-1.8065,-1.0436,217,571
182,2,-0.8827,1.5834,-0.0552,-0.6958,116,564
182,5,-1.1503,2.3938,-0.493,-0.6958,113,624
182,6,-0.7148,3.2803,0,-0.6958,122,624
182,7,-1.155,4.4915,-1.0106,-0.6958,137,619
183,1,-2.4849,1.3269,0,0,131,591
183,2,2.5788,5.7178,-1.7854,-1.0436,212,570
183,3,-1.405,1.9785,-0.1479,-0.6958,144,583
183,4,-0.8451,3.1987,-1.0564,-0.6958,124,630
183,5,-0.8451,3.2317,-0.9508,-0.6958,124,630
183,6,-1.1362,4.4185,-0.9942,-0.6958,135,607
183,7,-1.0036,1.4132,-0.1056,-0.3479,126,560
183,8,-1.405,1.9785,-0.1479,-0.3479,151,576
184,1,-2.3992,1.4737,-0.0857,0,148,590
184,2,-3.9029,2.7566,1.8734,0,125,562
184,3,2.5636,5.6839,-1.7748,-1.0436,206,576
184,4,-1.0834,2.4663,-0.5,-0.6958,124,627
185,1,2.5483,5.6501,-1.7642,-1.0436,197,587
186,1,2.5178,5.5824,-1.7431,-1.0436,204,582
186,2,-0.9191,3.1239,-0.817,-0.6958,137,643
187,1,-2.5706,1.149,0.0857,0.3479,117,552
187,2,2.5025,5.5486,-1.7325,-1.0436,209,579
187,3,-1.0987,4.2392,-1.0987,-0.6958,146,607
188,1,2.472,5.4809,-1.7114,-1.0436,201,590
188,2,-1.2254,4.1653,-1.0893,-0.6958,153,609
188,3,-1.1362,1.2617,0,-0.3479,119,542
189,1,2.6457,5.3579,-1.7008,-1.0436,215,583
189,3,-1.2149,4.1294,-1.0799,-0.6958,161,608
189,4,-1.0599,1.2606,-0.2019,-0.3479,120,504
190,1,-4.0895,2.5401,1.8875,0,115,555
190,2,2.6293,5.3246,-1.6903,-1.0436,214,588
190,4,-1.2043,4.0934,-1.0705,-0.6958,163,603
191,1,2.411,5.3456,-1.6691,-1.0436,219,579
191,3,-0.8134,2.8564,-0.0904,-0.6958,153,654
191,4,-0.9743,2.9499,-0.7794,-0.6958,112,648
191,5,-1.1938,4.0575,-1.0611,-0.6958,159,602
191,6,-1.0353,1.247,0,-0.3479,186,487
192,3,-1.1832,4.0216,-1.0517,-0.6958,138,591
193,1,0.0141,0.141,-0.1831,0,137,427
193,2,2.3652,5.2441,-1.6375,-1.0436,217,577
193,3,-1.31,1.9808,-0.2911,-0.6958,177,599
193,4,-1.1832,1.1032,0.0986,-0.3479,165,461
194,1,0.0141,0.1497,-0.1761,0,141,431
194,3,-1.1362,1.2575,-0.1033,-0.3479,112,546
195,1,0.0141,0.141,-0.1831,0,146,426
195,3,-1.2912,3.9095,-1.0329,-0.6958,117,588
195,4,-1.432,1.8669,0.0716,-0.3479,114,625
196,1,-4.12,1.8,-0.412,0,136,558
196,2,2.3042,5.1088,-1.5952,-1.0436,214,582
196,3,-1.1104,1.2237,-0.1514,-0.3479,131,518
196,4,-1.479,1.7688,-0.2113,-0.3479,138,611
197,1,-4.221,1.4332,-0.4085,0,150,583
197,2,2.4157,4.892,-1.5529,-1.0436,146,595
197,3,2.465,4.9325,-1.7607,-1.0436,214,584
198,1,2.2584,5.0073,-1.5635,-1.0436,212,585
198,2,-0.9297,1.4208,0,-0.6958,113,507
199,2,2.3664,4.7921,-1.5212,-1.0436,155,587
199,3,2.2431,4.9735,-1.5529,-1.0436,211,591
200,1,-4.0848,1.7847,-0.4085,0,130,583
200,2,2.3499,4.7589,-1.5107,-1.0436,152,591
200,3,2.2279,4.9396,-1.5424,-1.0436,208,590
200,4,-1.1104,1.232,-0.0505,-0.3479,163,509
200,5,-2.0894,2.6753,-0.5223,-0.3479,118,606
201,1,-4.12,1.8,-0.412,0,168,564
201,2,2.3171,4.6923,-1.4896,-1.0436,149,592
201,3,2.1974,4.872,-1.5212,-1.0436,210,590
202,1,-1.8041,0.9553,0.1244,0,126,579
202,3,2.3006,4.659,-1.479,-1.0436,115,628
202,4,2.1821,4.8381,-1.5107,-1.0436,182,620
202,5,-1.1832,2.4622,-0.5071,-0.6958,124,617
203,1,-4.12,1.826,-0.2747,0,172,550
203,2,2.4474,4.4855,-1.6316,-1.0436,154,584
203,3,2.1668,4.8043,-1.5001,-1.0436,196,603
203,4,-1.0224,2.3101,0.5505,-0.6958,114,630
203,5,-1.6762,3.4882,-0.7184,-0.6958,122,571
204,1,-4.12,1.8,-0.412,0,164,570
204,2,2.2513,4.5592,-1.4473,-1.0436,153,595
204,3,2.1363,4.7366,-1.479,-1.0436,209,592
204,4,-1.0682,2.2489,0.3052,-0.6958,189,615
204,5,-1.5412,3.5085,-0.7113,-0.6958,141,578
205,1,-1.7748,1.2311,0.0657,0,123,577
205,3,2.1211,4.7028,-1.4684,-1.0436,191,605
205,4,-1.1445,2.2268,0.1526,-0.6958,154,637
206,1,0.0786,0.8572,2.438,0,114,626
206,4,-1.1268,2.1653,0.3756,-0.6958,137,648
206,5,-1.6269,3.4252,-0.4648,-0.6958,115,604
206,6,-1.0846,1.2972,-0.1549,-0.3479,120,545
207,1,0.0786,0.8572,2.438,0,129,602
207,4,-1.1092,2.1519,0.2218,-0.6958,213,631
207,5,-1.4954,3.4256,-0.5752,-0.6958,119,605
207,6,-1.0599,1.2727,-0.1009,-0.3479,127,521
208,1,0.0775,0.8444,2.4016,0,130,623
208,2,-4.0167,2.1042,-0.4155,0,150,561
208,5,-1.1092,2.1173,0.4437,-0.6958,184,589
208,6,-1.4156,2.1275,-0.3932,-0.6958,130,621
208,7,-1.594,3.356,-0.4554,-0.6958,131,602
208,8,-1.1609,1.1813,-0.1009,-0.3479,117,537
209,1,0.0634,0.0704,-0.2113,0,130,432
209,2,-1.3804,0.8479,-0.0493,0,112,511
209,3,-1.9649,0.6821,-0.1268,0,162,583
209,4,0.1549,0.8336,2.4016,0,157,601
209,7,-1.2172,1.9943,0.2864,-0.6958,159,606
209,8,-1.803,3.2047,-0.4507,-0.6958,135,617
210,1,-1.9649,0.6908,-0.0634,0,179,574
210,4,3.0108,4.058,-1.2677,-1.0436,166,570
210,6,-1.2172,1.9943,0.2864,-0.6958,178,605
210,7,-1.7842,3.1947,-0.223,-0.6958,135,587
211,1,-3.9827,2.0545,-0.5493,0,150,571
211,5,-1.1973,1.9767,0.1409,-0.6958,166,571
211,6,-1.7842,3.1536,-0.5576,-0.6958,163,577
212,1,0.0786,0.8572,2.438,0,131,614
212,2,2.1716,4.066,-1.479,-1.0436,133,626
212,3,1.9685,4.3645,-1.3628,-1.0436,196,615
212,4,-1.8757,3.0554,-0.54,-0.6958,167,601
212,6,-1.4543,1.7462,0.1356,-0.3479,120,608
213,2,2.1833,4.0014,-1.4555,-1.0436,159,593
213,3,1.9532,4.3306,-1.3522,-1.0436,216,591
213,5,-1.2254,1.8617,0.2042,-0.6958,262,558
213,6,-1.479,2.8006,-0.6902,-0.6958,116,611
213,7,-1.7466,3.0659,-0.655,-0.6958,172,600
214,1,-1.8077,1.1103,-0.0646,0,162,560
214,2,0.1549,0.8336,2.4016,0,121,604
214,3,2.1657,3.9692,-1.4438,-1.0436,152,609
214,4,1.9227,4.263,-1.3311,-1.0436,205,605
214,5,-1.9438,2.9531,-0.324,-0.6958,172,589
214,7,-1.1339,1.157,0.0493,-0.3479,143,490
214,8,-1.3381,1.7406,0.1338,-0.3479,198,572
215,1,0.1573,0.8463,2.438,0,126,613
215,5,-1.9227,2.8677,-0.6409,-0.6958,153,611
215,7,-1.4297,1.7004,0.2723,-0.3479,142,586
216,1,0.1549,0.8336,2.4016,0,118,600
216,2,1.972,3.946,-1.4086,-1.0436,157,604
216,3,1.8769,4.1615,-1.2994,-1.0436,195,606
216,4,-1.9016,2.8753,-0.4226,-0.6958,141,613
216,6,-1.2266,1.7272,0.1291,-0.3479,160,572
217,1,0.1573,0.8463,2.438,0,132,599
217,3,2.0952,3.8401,-1.3968,-1.0436,160,602
217,4,1.8616,4.0802,-1.432,-1.0436,195,603
217,5,3.1059,3.5489,-1.1832,-1.0436,132,570
217,6,-2.0072,2.8165,-0.3169,-0.6958,157,598
217,8,-1.3147,1.7101,0.1315,-0.3479,223,552
218,1,0.1549,0.8336,2.4016,0,129,600
218,2,-4.12,1.8,-0.412,0,161,557
218,3,2.06,3.7756,-1.3733,-1.0436,170,586
218,6,-1.9849,2.7852,-0.3134,-0.6958,160,616
218,8,-1.5119,1.5314,0.1972,-0.3479,189,547
219,1,-1.7419,1.0425,-0.2488,0,129,558
219,2,0.1549,0.8336,2.4016,0,132,613
219,3,-4.12,1.763,-0.5493,0,161,560
219,4,2.0424,3.7433,-1.3616,-1.0436,171,594
219,5,1.8159,4.0261,-1.2571,-1.0436,219,588
219,6,-1.9849,2.7537,-0.5223,-0.6958,148,610
219,8,-1.4203,1.5718,0.1291,-0.3479,132,536
219,9,-1.5659,1.5861,0.2042,-0.3479,121,576
220,1,-3.9827,2.0545,-0.5493,0,182,570
220,3,2.0248,3.711,-1.3499,-1.0436,160,599
220,4,1.8006,3.9923,-1.2466,-1.0436,206,596
220,5,2.6986,3.6785,-0.9942,-1.0436,153,580
220,7,-1.5494,1.4141,0.3228,-0.3479,176,524
220,8,-1.9403,2.7398,0,-0.3479,118,619
221,2,-4.12,1.8,-0.412,0,182,561
221,3,1.9896,3.6465,-1.3264,-1.0436,170,594
221,4,1.7701,3.9246,-1.2254,-1.0436,197,607
221,5,2.958,3.3799,-1.1268,-1.0436,141,575
221,6,-1.4508,7.8159,0,-0.6958,186,615
221,7,-1.9403,2.7226,-0.3064,-0.3479,133,608
222,3,1.972,3.6142,-1.3147,-1.0436,164,600
222,8,-1.9403,2.7092,-0.4085,-0.3479,162,606
223,1,-1.5553,1.2746,-0.3733,0,152,516
223,2,-4.12,1.7142,-0.6867,0,130,579
223,3,1.9368,3.5497,-1.2912,-1.0436,152,608
223,4,1.857,3.7605,-1.1938,-1.0436,190,617
223,5,-1.4297,7.702,0,-0.6958,162,630
223,6,-1.5389,1.5588,-0.2007,-0.3479,179,521
223,7,-1.918,2.5851,-0.8076,-0.3479,173,619
224,1,-1.6797,1.1518,-0.1866,0,176,520
224,2,0.0775,0.8444,2.4016,0,121,604
224,3,-4.12,1.7142,-0.6867,0,141,589
224,4,1.7912,3.5842,-1.2794,-1.0436,178,591
224,5,1.8405,3.7272,-1.1832,-1.0436,205,605
224,6,2.8594,3.2673,-1.0893,-1.0436,128,587
224,8,-1.6058,1.4792,-0.2676,-0.3479,154,534
224,9,-2.0189,2.507,-0.8076,-0.3479,181,623
225,1,-1.9908,0.4301,0.1866,0,170,502
225,3,-3.9827,2.0545,-0.5493,0,174,575
225,4,1.9016,3.4851,-1.2677,-1.0436,165,597
