frame_id,point_id,x,y,z,doppler,snr,noise
104,2,-0.8768,3.0041,-0.682,0,124,597
105,2,-0.7794,3.0073,-0.7794,0,155,593
105,3,-0.8768,3.0041,-0.682,-0.3479,165,583
106,2,-0.8768,3.0041,-0.682,-0.3479,168,572
107,2,-0.9625,2.9585,-0.5775,-0.3479,136,577
109,2,-0.8768,3.0041,-0.682,-0.3479,134,598
110,3,-0.8663,2.9679,-0.6738,-0.3479,126,603
111,2,-0.8557,2.9517,-0.5705,-0.3479,142,572
113,2,-0.8557,2.9317,-0.6655,-0.3479,112,597
114,3,-0.8557,2.9317,-0.6655,-0.3479,135,594
115,3,-0.8557,2.9685,-0.4754,-0.3479,119,591
122,3,-1.1503,3.5358,-0.6902,-0.3479,125,610
123,3,-0.9038,2.759,-0.6327,-0.3479,140,633
124,3,4.4863,3.1049,-1.5529,0.6958,127,469
135,3,-1.1151,3.3764,-0.8921,-0.3479,112,629
138,2,-3.7785,1.9095,-0.6515,0,123,635
148,2,0.4754,5.0305,-1.2677,-0.6958,127,607
150,1,0.0634,0.0704,-0.2113,0,112,445
150,3,0.4719,4.9933,-1.2583,-0.6958,135,597
152,3,-1.2254,3.0428,-0.7148,-0.3479,137,604
154,2,-3.681,2.203,-0.5259,0,128,627
154,3,0.3075,4.8523,-1.3839,-0.6958,118,624
154,4,0.4108,6.6619,-1.0271,-0.6958,112,578
154,7,-1.3804,2.8911,-0.493,-0.3479,135,586
155,1,0.2066,6.7095,-1.0329,-0.6958,117,564
155,6,-1.4614,2.8081,-0.4871,-0.3479,119,601
156,3,-1.2113,3.0482,-0.5047,-0.3479,137,610
157,2,0.3028,4.7782,-1.3628,-0.6958,124,625
157,3,-0.1772,5.649,-1.418,-0.6958,113,589
157,5,-1.297,2.9307,-0.6984,-0.3479,133,617
158,3,0.1502,4.7483,-1.3522,-0.6958,132,622
159,1,0.3005,4.6958,-1.5025,-0.6958,118,625
159,6,-1.4614,2.7895,-0.5846,-0.3479,113,613
161,4,-1.4438,2.7339,-0.6738,-0.3479,136,604
162,1,0.2958,4.6671,-1.3311,-0.6958,128,613
162,2,0.1995,6.4469,-1.1973,-0.6958,118,586
162,5,-1.5212,2.6703,-0.5705,-0.3479,169,627
163,5,-1.5964,2.6003,-0.4695,-0.3479,130,608
165,2,-0.1972,6.468,-0.3944,-0.6958,123,567
166,1,0,4.5651,-1.2994,-0.6958,115,611
166,2,0,6.4348,-0.7888,-0.6958,132,566
166,6,-1.7842,2.4752,-0.4695,-0.3479,132,612
167,1,0,4.528,-1.2888,-0.6958,152,572
169,5,-1.6903,2.5403,-0.4695,-0.3479,130,612
170,2,-0.1409,4.409,-1.4086,-0.6958,124,593
170,3,-0.1925,6.252,-0.9625,-0.6958,119,571
170,8,-1.5764,2.5828,-0.3709,-0.3479,117,622
171,3,-0.2794,4.4453,-1.1175,-0.6958,118,600
171,7,-1.5964,2.6155,-0.3756,-0.3479,122,614
177,3,-0.4296,6.9962,-0.8592,-0.6958,139,579
178,3,-0.2148,6.9764,-1.074,-0.6958,120,577
179,3,-0.4273,7.007,-0.2136,-0.6958,137,548
182,2,0.0775,0.8444,2.4016,0,135,575
182,3,-0.6303,6.8271,-0.8404,-0.6958,120,554
183,3,-1.5882,4.3572,-1.0106,-0.3479,120,637
191,6,-1.4297,6.4451,-1.2254,-0.3479,149,588
192,4,-1.6339,6.3538,-1.4297,-0.3479,150,585
193,3,-1.6245,6.3173,-1.4215,-0.3479,165,584
194,6,-1.6245,6.3173,-1.4215,-0.3479,162,586
195,6,-1.8616,4.2379,-0.8592,-0.3479,126,641
196,4,-2.0189,6.1131,-1.6151,-0.3479,151,574
197,3,-2.1974,3.8571,-0.824,-0.3479,120,632
197,4,-2.0072,6.0775,-1.6058,-0.3479,145,577
198,3,-2.06,3.9585,-0.6867,-0.3479,126,628
198,4,-2.0072,6.0775,-1.6058,-0.3479,161,582
200,4,-2.3147,3.7433,-0.817,-0.3479,127,618
200,5,-2.195,5.9724,-1.5964,-0.3479,171,581
201,2,0.8393,5.0685,2.0142,-0.6958,114,592
201,5,-2.1821,5.9867,-1.3886,-0.3479,205,563
202,2,4.3912,2.1616,-0.9085,-0.6958,121,612
202,5,-2.1821,5.9867,-1.3886,-0.3479,193,572
203,2,4.2069,2.4263,-0.9015,-0.6958,136,600
204,5,-2.3664,5.9186,-1.1832,-0.3479,171,582
205,5,-2.5483,5.8374,-0.9801,-0.3479,172,591
206,2,4.1083,2.3097,-1.0271,-0.6958,130,608
206,3,5.7188,3.2983,-1.2254,-0.6958,125,577
207,3,4.0754,2.2912,-1.0189,-0.6958,127,625
207,4,5.4828,3.6709,-1.0153,-0.6958,128,581
207,7,-2.7279,5.7135,-0.9743,-0.3479,149,611
208,2,4.0426,2.3316,-0.8663,-0.6958,124,629
208,3,5.4511,3.6497,-1.0095,-0.6958,129,583
208,6,-2.9228,5.6163,-0.9743,-0.3479,152,607
209,2,3.8665,2.5448,-0.8592,-0.6958,154,600
209,3,5.4194,3.6285,-1.0036,-0.6958,146,570
209,6,-2.0753,4.6481,-1.2771,-0.3479,119,606
209,7,-2.9052,5.5454,-1.1621,-0.3479,146,611
210,3,5.3877,3.6073,-0.9977,-0.6958,137,573
210,6,-2.4262,5.5232,-1.1198,-0.3479,122,580
210,7,-3.0988,5.4395,-1.1621,-0.3479,154,608
211,3,5.1577,3.8659,-0.9919,-0.6958,144,569
211,7,-3.0988,5.4395,-1.1621,-0.3479,198,572
212,4,3.7714,2.3696,-1.1175,-0.6958,141,609
212,5,5.1025,4.9745,-1.5529,-0.6958,116,582
212,8,-3.1669,4.4219,-0.6667,-0.3479,116,581
213,2,3.7397,2.4102,-0.9696,-0.6958,129,608
