frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.982,1.1638,2.2914,0,135,456
1,2,1.8859,3.1225,-0.7765,0,176,603
2,1,-0.3055,0.9456,-2.3678,0,234,416
2,2,-0.982,1.3126,2.1627,0,140,450
2,3,1.8859,3.1225,-0.7765,0,177,603
3,1,-0.982,1.1638,2.2914,0,146,444
3,2,1.8859,3.1225,-0.7765,0,176,603
4,1,-0.3055,0.9456,-2.3678,0,237,411
4,2,-0.982,1.1638,2.2914,0,144,446
4,3,1.8859,3.1225,-0.7765,0,177,602
5,1,-0.3819,1.0943,-2.2914,0,232,415
5,2,-0.982,1.1638,2.2914,0,135,454
5,3,1.8859,3.1225,-0.7765,0,176,604
9,1,-0.982,1.1638,2.2914,0,138,451
9,2,1.8859,3.1225,-0.7765,0,176,603
10,1,-0.982,1.1638,2.2914,0,150,440
10,2,1.8859,3.1225,-0.7765,0,176,603
11,1,-0.982,1.1638,2.2914,0,142,448
11,2,1.8859,3.1225,-0.7765,0,176,604
12,1,-0.982,1.3126,2.1627,0,129,461
12,2,1.8859,3.1225,-0.7765,0,175,604
10,1,-0.2291,0.9669,-2.3678,0,237,423
10,2,-0.982,1.3126,2.1627,0,134,456
10,3,1.8859,3.1225,-0.7765,0,179,601
14,1,-0.4583,1.0646,-2.2914,0,233,414
14,2,-0.982,1.3126,2.1627,0,140,451
14,3,1.8859,3.1225,-0.7765,0,176,603
15,1,-0.3819,1.0943,-2.2914,0,245,403
15,2,-0.982,1.3126,2.1627,0,149,440
15,3,1.8859,3.1225,-0.7765,0,177,602
16,1,-0.3055,0.9456,-2.3678,0,228,423
16,2,-0.982,1.3126,2.1627,0,145,447
16,3,1.8859,3.1225,-0.7765,0,177,602
17,1,-0.982,1.3126,2.1627,0,144,445
17,2,1.8859,3.1225,-0.7765,0,176,604
18,1,-0.982,1.3126,2.1627,0,152,437
18,2,1.8859,3.1225,-0.7765,0,176,603
19,1,-0.9002,1.37,2.1627,0,127,461
19,2,1.8859,3.1225,-0.7765,0,176,604
20,1,-0.982,1.3126,2.1627,0,146,445
20,2,1.8859,3.1225,-0.7765,0,176,603
21,1,-0.982,1.3126,2.1627,0,127,462
21,2,1.8859,3.1225,-0.7765,0,176,603
22,1,-0.982,1.1638,2.2914,0,147,443
22,2,1.8859,3.1225,-0.7765,0,175,604
23,1,-0.982,1.3126,2.1627,0,141,450
23,2,1.8859,3.1225,-0.7765,0,175,604
24,1,-0.982,1.3126,2.1627,0,143,449
24,2,1.8859,3.1225,-0.7765,0,177,603
25,1,-0.3055,1.118,-2.2914,0,240,412
25,2,-0.9002,1.37,2.1627,0,127,461
25,3,1.8859,3.1225,-0.7765,0,176,603
26,1,-0.3819,0.9174,-2.3678,0,225,421
26,2,-0.982,1.3126,2.1627,0,133,457
26,3,1.8859,3.1225,-0.7765,0,176,603
27,1,-0.982,1.3126,2.1627,0,156,434
27,2,1.8859,3.1225,-0.7765,0,177,602
28,1,-0.3819,0.9174,-2.3678,0,225,422
28,2,-0.982,1.3126,2.1627,0,146,445
28,3,1.8859,3.1225,-0.7765,0,175,604
29,1,-0.2291,0.9669,-2.3678,0,236,419
29,2,-0.982,1.3126,2.1627,0,129,460
29,3,1.8859,3.1225,-0.7765,0,175,604
30,1,-0.982,1.3126,2.1627,0,143,446
30,2,1.8859,3.1225,-0.7765,0,175,605
31,1,-0.982,1.3126,2.1627,0,143,449
31,2,1.8859,3.1225,-0.7765,0,177,603
32,1,-0.2291,0.9669,2.3678,0,230,421
32,2,-0.982,1.1638,2.2914,0,142,448
32,3,1.8859,3.1225,-0.7765,0,175,605
33,1,-0.982,1.3126,2.1627,0,138,453
33,2,1.8859,3.1225,-0.7765,0,175,604
34,1,-0.982,1.3126,2.1627,0,151,437
34,2,1.8859,3.1225,-0.7765,0,170,609
35,1,-0.982,1.1638,2.2914,0,140,452
35,2,1.8859,3.1225,-0.7765,0,167,612
36,1,-0.3055,0.9456,-2.3678,0,239,414
36,2,-0.982,1.1638,2.2914,0,137,453
36,3,1.8859,3.1225,-0.7765,0,167,612
37,1,-0.982,1.1638,2.2914,0,129,461
37,2,1.8859,3.1225,-0.7765,0,166,613
38,1,-0.2291,0.9669,-2.3678,0,231,419
38,2,-0.982,1.1638,2.2914,0,135,454
38,3,1.8859,3.1225,-0.7765,0,170,609
39,1,-0.982,1.1638,2.2914,0,141,451
39,2,1.8859,3.1225,-0.7765,0,170,609
40,1,-0.982,1.3126,2.1627,0,137,454
40,2,1.8859,3.1225,-0.7765,0,170,609
41,1,-0.982,1.1638,2.2914,0,142,448
41,2,1.8859,3.1225,-0.7765,0,169,610
42,1,-0.3819,1.0943,-2.2914,0,233,412
42,2,-0.982,1.1638,2.2914,0,137,453
42,3,1.8859,3.1225,-0.7765,0,167,612
43,1,-0.982,1.1638,2.2914,0,156,436
43,2,1.8859,3.1225,-0.7765,0,165,614
44,1,-0.3819,1.0943,-2.2914,0,234,414
44,2,-0.982,1.1638,2.2914,0,128,461
44,3,1.8859,3.1225,-0.7765,0,167,612
45,1,-0.9002,1.37,2.1627,0,139,450
45,2,1.8859,3.1225,-0.7765,0,168,611
46,1,-0.982,1.1638,2.2914,0,146,446
46,2,1.8859,3.1225,-0.7765,0,171,608
47,1,-0.982,1.1638,2.2914,0,137,452
47,2,1.8859,3.1225,-0.7765,0,173,606
48,1,-0.3055,1.118,-2.2914,0,228,408
48,2,-0.982,1.1638,2.2914,0,147,445
48,3,1.8859,3.1225,-0.7765,0,172,607
49,1,-0.3055,0.9456,-2.3678,0,238,409
49,2,-0.982,1.3126,2.1627,0,153,437
49,3,1.8859,3.1225,-0.7765,0,169,610
50,1,-0.982,1.1638,2.2914,0,148,441
50,2,1.8859,3.1225,-0.7765,0,167,612
51,1,-0.982,1.1638,2.2914,0,147,443
51,2,1.8859,3.1225,-0.7765,0,169,610
52,1,-0.982,1.1638,2.2914,0,146,444
52,2,1.8859,3.1225,-0.7765,0,172,607
53,1,-0.982,1.1638,2.2914,0,138,453
53,2,1.8859,3.1225,-0.7765,0,176,603
54,1,-0.3055,0.9456,-2.3678,0,231,420
54,2,-0.982,1.1638,2.2914,0,137,453
54,3,1.8859,3.1225,-0.7765,0,177,602
55,1,-0.2291,0.9669,-2.3678,0,238,416
55,2,-0.982,1.1638,2.2914,0,125,465
55,3,1.8859,3.1225,-0.7765,0,179,600
56,1,-0.3055,1.118,-2.2914,0,237,415
56,2,-0.982,1.1638,2.2914,0,134,455
56,3,1.8859,3.1225,-0.7765,0,179,600
57,1,-0.982,1.3126,2.1627,0,148,441
57,2,1.8859,3.1225,-0.7765,0,177,602
58,1,-0.9002,1.37,2.1627,0,128,460
58,2,1.8859,3.1225,-0.7765,0,173,606
59,1,-0.3055,0.9456,-2.3678,0,234,420
59,2,-0.982,1.1638,2.2914,0,127,462
59,3,1.8859,3.1225,-0.7765,0,173,606
60,1,-0.9002,1.37,2.1627,0,135,452
60,2,1.8859,3.1225,-0.7765,0,174,605
61,1,-0.982,1.1638,2.2914,0,126,461
61,2,1.8859,3.1225,-0.7765,0,179,600
62,1,-0.982,1.3126,2.1627,0,137,451
62,2,1.8859,3.1225,-0.7765,0,180,599
63,1,-0.982,1.1638,2.2914,0,132,458
63,2,1.8859,3.1225,-0.7765,0,179,600
64,1,-0.982,1.3126,2.1627,0,144,445
64,2,1.8859,3.1225,-0.7765,0,179,600
65,1,-0.3055,0.9456,-2.3678,0,241,412
65,2,-0.982,1.3126,2.1627,0,134,455
65,3,1.8859,3.1225,-0.7765,0,179,600
66,1,-0.2291,0.9669,-2.3678,0,240,416
66,2,-0.982,1.3126,2.1627,0,141,448
66,3,1.8859,3.1225,-0.7765,0,180,598
67,1,-0.2291,0.9669,-2.3678,0,221,429
67,2,-0.982,1.1638,2.2914,0,132,457
67,3,1.8859,3.1225,-0.7765,0,178,600
68,1,-0.982,1.3126,2.1627,0,132,456
68,2,1.8859,3.1225,-0.7765,0,179,600
69,1,-0.982,1.1638,2.2914,0,152,438
69,2,1.8859,3.1225,-0.7765,0,179,600
70,1,-0.3055,1.118,-2.2914,0,239,409
70,2,-0.982,1.3126,2.1627,0,138,451
70,3,1.8859,3.1225,-0.7765,0,181,597
71,1,-0.3055,0.9456,-2.3678,0,233,418
71,2,-0.982,1.1638,2.2914,0,130,460
71,3,1.8859,3.1225,-0.7765,0,179,600
72,1,-0.3055,0.9456,-2.3678,0,221,429
72,2,-0.982,1.3126,2.1627,0,138,449
72,3,1.8859,3.1225,-0.7765,0,178,601
73,1,-0.982,1.3126,2.1627,0,135,452
73,2,1.8859,3.1225,-0.7765,0,177,602
74,1,-0.3055,0.9456,-2.3678,0,248,400
74,2,-0.9002,1.37,2.1627,0,154,431
74,3,1.8859,3.1225,-0.7765,0,170,609
75,1,-0.3055,0.9456,-2.3678,0,236,410
75,2,-0.9002,1.37,2.1627,0,151,432
75,3,1.8859,3.1225,-0.7765,0,164,615
76,1,-0.8184,1.5403,2.1278,0,122,459
76,2,1.8859,3.1225,-0.7765,0,163,617
77,1,-0.8184,1.5403,2.1278,0,128,449
77,2,1.8859,3.1225,-0.7765,0,162,617
78,1,-0.3055,0.9456,-2.3678,0,236,408
78,2,-0.8184,1.5403,2.1278,0,135,446
78,3,1.8859,3.1225,-0.7765,0,162,617
79,1,-0.9002,1.4939,2.1278,0,124,457
79,2,1.8859,3.1225,-0.7765,0,166,613
80,1,-0.4583,1.0646,-2.2914,0,231,422
80,2,-0.9002,1.4939,2.1278,0,116,468
80,3,1.8859,3.1225,-0.7765,0,171,608
81,1,-0.982,1.3126,2.1627,0,136,450
81,2,1.8859,3.1225,-0.7765,0,173,607
82,1,-0.982,1.3126,2.1627,0,133,455
82,2,1.8859,3.1225,-0.7765,0,175,604
83,1,-0.3819,1.0943,-2.2914,0,235,413
83,2,-0.982,1.3126,2.1627,0,149,440
83,3,1.8859,3.1225,-0.7765,0,176,603
84,1,-0.982,1.3126,2.1627,0,142,444
84,2,1.8859,3.1225,-0.7765,0,175,604
85,1,-0.982,1.3126,2.1627,0,137,449
85,2,1.8859,3.1225,-0.7765,0,177,602
86,1,-0.3055,1.118,-2.2914,0,224,425
86,2,-0.982,1.3126,2.1627,0,128,462
86,3,1.8859,3.1225,-0.7765,0,177,601
87,1,-0.3819,1.2416,-2.1682,0,258,395
87,2,-0.982,1.3126,2.1627,0,154,435
87,3,1.8859,3.1225,-0.7765,0,177,601
88,1,-0.2291,0.9669,-2.3678,0,225,427
88,2,-0.982,1.1638,2.2914,0,134,456
88,3,1.8859,3.1225,-0.7765,0,177,601
89,1,-0.2291,0.9669,-2.3678,0,247,410
89,2,-0.982,1.3126,2.1627,0,132,457
89,3,1.8859,3.1225,-0.7765,0,178,600
90,1,-0.2291,1.1361,-2.2914,0,229,416
90,2,-0.982,1.3126,2.1627,0,140,447
90,3,1.8859,3.1225,-0.7765,0,176,603
91,1,-0.3055,1.2626,-2.1682,0,225,423
91,2,-0.982,1.3126,2.1627,0,122,464
91,3,1.8859,3.1225,-0.7765,0,172,607
92,1,-0.982,1.3126,2.1627,0,139,447
92,2,1.8859,3.1225,-0.7765,0,171,608
93,1,-0.9002,1.37,2.1627,0,143,444
93,2,1.8859,3.1225,-0.7765,0,169,610
94,1,-0.9002,1.37,2.1627,0,125,462
94,2,1.8859,3.1225,-0.7765,0,171,608
95,1,-0.982,1.3126,2.1627,0,142,445
95,2,1.8859,3.1225,-0.7765,0,170,609
96,1,-0.982,1.3126,2.1627,0,142,444
96,2,1.8859,3.1225,-0.7765,0,172,607
97,1,-0.3819,1.0943,-2.2914,0,231,418
97,2,-0.982,1.3126,2.1627,0,129,458
97,3,1.8859,3.1225,-0.7765,0,172,607
98,1,-0.982,1.3126,2.1627,0,134,453
98,2,1.8859,3.1225,-0.7765,0,172,607
99,1,-0.982,1.3126,2.1627,0,145,440
99,2,1.8859,3.1225,-0.7765,0,173,606
100,1,-0.3055,1.118,-2.2914,0,234,412
100,2,-0.9002,1.4939,2.1278,0,130,456
100,3,1.8859,3.1225,-0.7765,0,173,607
101,1,-0.982,1.3126,2.1627,0,142,443
101,2,1.8859,3.1225,-0.7765,0,172,607
102,1,-0.2291,0.9669,-2.3678,0,239,412
102,2,-0.982,1.3126,2.1627,0,146,442
102,3,1.8859,3.1225,-0.7765,0,171,608
103,1,-0.982,1.3126,2.1627,0,134,454
103,2,1.8859,3.1225,-0.7765,0,171,608
104,1,-0.2291,1.1361,-2.2914,0,232,417
104,2,-0.982,1.3126,2.1627,0,138,451
104,3,1.8859,3.1225,-0.7765,0,180,600
105,1,-0.982,1.1638,2.2914,0,148,442
105,2,1.8859,3.1225,-0.7765,0,180,599
106,1,-0.2291,0.9669,-2.3678,0,233,420
106,2,-0.982,1.1638,2.2914,0,135,454
106,3,1.8859,3.1225,-0.7765,0,180,599
107,1,-0.3819,1.0943,-2.2914,0,223,426
107,2,-0.982,1.1638,2.2914,0,140,451
107,3,1.8859,3.1225,-0.7765,0,179,600
108,1,-0.2291,0.9669,-2.3678,0,237,416
108,2,-0.982,1.1638,2.2914,0,132,457
108,3,1.8859,3.1225,-0.7765,0,181,598
109,1,-0.2291,0.9669,-2.3678,0,222,431
109,2,-0.982,1.3126,2.1627,0,133,457
109,3,1.8859,3.1225,-0.7765,0,178,601
110,1,-0.982,1.1638,2.2914,0,135,457
110,2,1.8859,3.1225,-0.7765,0,180,598
111,1,-0.982,1.1638,2.2914,0,144,448
111,2,1.8859,3.1225,-0.7765,0,181,598
112,1,-0.982,1.1638,2.2914,0,129,463
112,2,1.8859,3.1225,-0.7765,0,178,601
113,1,-0.982,1.1638,2.2914,0,139,452
113,2,1.8859,3.1225,-0.7765,0,171,607
114,1,-0.982,1.1638,2.2914,0,155,441
114,2,1.8859,3.1225,-0.7765,0,162,615
115,1,-0.9002,1.2282,2.2914,0,157,441
115,2,1.8859,3.1225,-0.7765,0,159,619
116,1,-0.9002,1.37,2.1627,0,150,446
116,2,1.8859,3.1225,-0.7765,0,158,620
117,1,-0.9002,1.2282,2.2914,0,156,441
117,2,1.8859,3.1225,-0.7765,0,159,618
118,1,-0.9002,1.37,2.1627,0,159,438
118,2,1.8859,3.1225,-0.7765,0,159,619
119,1,-0.9002,1.37,2.1627,0,137,457
119,2,1.8859,3.1225,-0.7765,0,162,617
120,1,-0.3055,0.9456,-2.3678,0,235,418
120,2,-0.982,1.3126,2.1627,0,127,456
120,3,1.8859,3.1225,-0.7765,0,179,601
121,1,-0.3055,0.9456,-2.3678,0,238,417
121,2,-0.982,1.3126,2.1627,0,126,461
121,3,1.8859,3.1225,-0.7765,0,173,607
122,1,-0.2291,0.9669,-2.3678,0,238,419
122,2,1.9968,3.0527,-0.7765,0,175,605
123,1,-0.982,1.1638,2.2914,0,152,437
123,2,0.8184,0.934,2.4551,0,152,437
123,3,1.9968,3.0527,-0.7765,0,173,607
124,1,-0.2291,0.9669,-2.3678,0,237,417
124,2,-0.982,1.1638,2.2914,0,135,453
124,3,0.8184,0.934,2.4551,0,135,453
124,4,1.9968,3.0527,-0.7765,0,172,608
125,1,-0.982,1.3126,2.1627,0,135,450
125,2,1.8859,3.1225,-0.7765,0,176,604
126,1,-0.2291,0.9669,-2.3678,0,227,422
126,2,-0.982,1.3126,2.1627,0,135,449
126,3,1.8859,3.1225,-0.7765,0,178,602
127,1,-0.982,1.3126,2.1627,0,123,461
127,2,1.8859,3.1225,-0.7765,0,179,601
128,1,-1.0639,1.0895,2.2914,0,124,460
128,2,1.8859,3.1225,-0.7765,0,179,601
129,1,-1.0639,1.0895,2.2914,0,136,447
129,2,1.8859,3.1225,-0.7765,0,178,602
130,1,-0.2291,1.1361,-2.2914,0,219,434
130,2,-1.0639,1.0895,2.2914,0,121,462
130,3,1.8859,3.1225,-0.7765,0,178,602
131,1,-0.982,1.3126,2.1627,0,126,452
131,2,1.8859,3.1225,-0.7765,0,172,607
132,1,-0.2455,1.6208,2.1627,0,139,452
132,2,1.8859,3.0928,-0.8875,0,171,610
133,1,-0.1673,1.4129,2.426,0,123,464
133,2,1.8859,3.1225,-0.7765,0,171,610
134,1,1.9968,3.0223,-0.8875,0,145,625
135,1,1.8859,3.0928,-0.8875,0,161,616
136,1,-0.2291,0.9669,-2.3678,0,232,423
136,2,1.9968,3.0223,-0.8875,0,157,616
137,1,1.9968,3.0527,-0.7765,0,153,623
137,2,-0.2,3.2043,-1.0002,-0.3402,113,564
138,1,0,0.7873,-2.4442,0,241,422
138,2,1.9968,3.0527,-0.7765,0,144,622
138,3,3.6881,2.9389,-0.7093,0,148,624
139,1,-0.3055,0.9456,-2.3678,0,249,417
139,2,1.9968,3.0527,-0.7765,0,160,604
140,1,0,0.8061,-2.5024,0,198,426
140,2,1.8859,3.0928,-0.8875,0,191,586
140,3,3.83,2.7515,-0.7093,0,122,642
141,1,-0.3055,0.9456,-2.3678,0,250,429
141,2,1.9968,3.0527,-0.7765,0,162,620
142,1,1.855,3.0421,-0.8729,0,154,601
142,2,3.5006,3.0334,-0.8402,0,132,633
143,1,-0.3819,0.9174,-2.3678,0,250,426
143,2,3.5006,3.0688,-0.7002,0,124,618
143,3,1.855,3.0086,-0.982,-0.3402,134,596
144,1,2.0732,2.9547,-0.6547,0,147,599
144,2,0.5856,0.9174,2.5933,-0.3402,114,465
144,3,0.1673,2.7761,-0.4183,-0.3402,114,465
144,4,-1.1712,1.0254,2.3424,-0.3402,114,465
145,1,2.0732,2.9284,-0.7638,0,139,592
147,1,0.2455,1.5029,2.2914,0,178,452
147,2,2.1823,2.848,-0.7638,0,167,578
147,3,-0.782,5.0054,-1.4076,-0.6804,163,592
148,1,0,1.0174,2.4242,0,242,414
148,3,2.0732,2.9284,-0.7638,-0.3402,140,593
149,1,-0.3055,1.2626,-2.1682,0,258,406
149,2,0.4092,1.3303,2.3733,0,191,449
149,3,2.1823,2.848,-0.7638,0,147,590
150,1,0.4801,0.9237,2.4806,0,206,431
150,2,2.0732,2.9547,-0.6547,-0.3402,141,613
151,1,0.2455,1.37,2.3733,0,196,456
151,3,2.0387,2.8796,-0.7511,-0.3402,132,622
152,1,0.331,5.3504,-1.4894,-0.6804,114,622
152,2,2.0387,2.9055,-0.6438,-0.3402,168,618
152,3,2.1682,4.7075,-1.1075,-0.3402,119,640
153,1,3.83,2.7842,-0.5674,0,113,613
153,3,2.0387,2.9055,-0.6438,-0.3402,176,609
154,1,0.4092,1.1724,2.4551,0,191,462
154,2,-0.1491,4.8282,-1.3421,-1.0205,123,606
154,3,0.3419,2.77,-0.6837,-0.6804,178,482
154,4,1.9423,4.9551,-1.133,-0.6804,130,626
154,5,2.0387,2.8796,-0.7511,-0.3402,177,611
155,1,0.4001,0.9611,2.4806,0,190,431
155,2,-0.1455,4.6675,-1.4549,-1.0205,114,591
155,3,0.3564,2.838,-0.8911,-0.6804,166,521
155,4,2.0041,2.8308,-0.7384,-0.3402,157,604
156,1,-0.3055,1.118,-2.2914,0,239,427
156,3,0.5238,2.7525,-0.8729,-0.6804,173,523
156,4,1.0439,4.6713,-1.4913,-0.6804,126,607
156,5,2.0041,2.8308,-0.7384,-0.3402,114,610
157,1,3.6881,2.9694,-0.5674,0,140,590
157,2,0.4183,2.6773,-0.7529,-1.0205,280,448
157,3,0.4419,4.7511,-1.3258,-1.0205,152,597
158,1,0.4183,2.6773,-0.7529,-1.0205,228,462
158,2,0,4.4947,-1.4003,-1.0205,125,582
159,1,0.4801,2.5471,-0.7202,-1.0205,248,445
159,2,0.7365,4.7875,-1.0311,-1.0205,119,605
160,1,0.4692,2.4892,-0.7038,-1.0205,263,464
160,2,0.2837,4.5442,-1.4185,-1.0205,130,606
161,1,-0.1528,0.9819,-2.3678,0,274,419
161,2,-0.491,1.1795,-3.0443,0,144,531
161,4,0.5601,2.5066,-0.8002,-1.0205,196,488
161,5,0.531,4.2674,-1.1948,-1.0205,121,588
161,6,0.8747,1.9747,-0.6729,-0.6804,140,419
163,1,3.83,2.7842,-0.5674,0,181,562
163,2,0.7038,2.4333,-0.7038,-1.0205,154,480
164,1,0.8911,1.8777,-0.5092,-0.6804,118,405
165,1,0.9275,1.7752,-0.5565,-0.6804,116,423
165,2,3.5006,3.1195,-0.4201,-0.3402,163,564
166,1,3.5006,3.1351,-0.2801,-0.3402,122,565
168,1,0.7002,1.9193,-0.6365,-1.0205,187,430
168,3,3.5006,3.1351,-0.2801,-0.3402,121,596
169,1,-0.1528,0.9819,-2.3678,0,235,439
169,2,0.7202,1.9512,-0.7202,-1.0205,226,448
169,3,0.9893,1.6046,-0.5238,-0.6804,150,419
170,1,0,0.9937,-2.3678,0,256,433
170,2,0.7638,1.8949,-0.6365,-1.0205,220,442
171,1,0.7202,1.7417,-0.7202,-1.0205,152,432
172,1,0,1.0174,-2.4242,0,205,426
