frame_id,point_id,x,y,z,doppler,snr,noise
7278,1,0.6547,1.3749,2.2914,0,163,429
1,1,0.5729,1.4109,2.2914,0,159,432
2,1,0.5729,1.4109,2.2914,0,126,465
3,1,0.6547,1.3749,2.2914,0,163,428
4,1,-0.1528,1.4131,-2.1387,0,183,419
4,2,0.6547,1.5029,2.1627,0,136,455
9,1,0.6547,1.3749,2.2914,0,158,433
10,1,0.6547,1.3749,2.2914,0,150,440
11,1,0.5729,1.4109,2.2914,0,148,440
12,1,0.5729,1.4109,2.2914,0,160,430
10,1,0.6547,1.3749,2.2914,0,149,444
14,1,0.6547,1.5029,2.1627,0,157,435
15,1,0.6547,1.3749,2.2914,0,146,444
16,1,0.5729,1.4109,2.2914,0,147,443
17,1,0.6547,1.3749,2.2914,0,170,421
18,1,0.6547,1.3749,2.2914,0,175,416
19,1,0.6547,1.3749,2.2914,0,139,451
20,1,0.6547,1.3749,2.2914,0,151,438
21,1,0.6547,1.5029,2.1627,0,156,433
22,1,0.6547,1.3749,2.2914,0,150,440
23,1,0.5729,1.4109,2.2914,0,152,436
24,1,0.6547,1.3749,2.2914,0,154,435
25,1,0.5729,1.4109,2.2914,0,164,427
26,1,0.5729,1.4109,2.2914,0,155,435
27,1,0.6547,1.5029,2.1627,0,150,438
28,1,0.6547,1.3749,2.2914,0,142,449
29,1,0.2291,1.1361,-2.2914,0,158,433
29,2,0.5729,1.4109,2.2914,0,136,453
30,1,0.6547,1.3749,2.2914,0,137,453
31,1,0.6547,1.3749,2.2914,0,165,425
32,1,0.6547,1.3749,2.2914,0,156,435
33,1,0.6547,1.5029,2.1627,0,160,429
34,1,-0.0764,1.2968,-2.1682,0,181,414
34,2,0.5729,1.4109,2.2914,0,157,430
35,1,0.5729,1.4109,2.2914,0,168,417
36,1,0.5729,1.4109,2.2914,0,149,439
37,1,0.491,1.3023,2.3733,0,187,419
37,2,2.8188,2.4084,-0.7892,0,113,612
38,1,0.3201,0.9906,2.4806,0,207,423
38,2,2.5933,2.6497,-0.7892,0,120,614
39,1,0.0782,1.184,-2.346,0,213,423
40,1,0,0.9937,-2.3678,0,255,432
41,1,0,0.9937,-2.3678,0,279,431
41,2,4.0228,2.5306,-0.862,0,115,623
42,2,2.5933,2.6497,-0.7892,0,134,603
43,2,2.4806,2.6807,-1.0148,0,144,593
44,2,0.3346,1.642,2.2587,0,127,473
44,3,2.5933,2.5718,-1.0148,0,143,585
46,2,0.2455,1.2173,2.4551,0,156,442
46,3,2.3296,2.7739,-0.8875,0,119,573
46,4,0.6401,5.1443,-1.4403,-0.3402,148,622
47,2,2.6624,2.4133,-0.9984,0,116,587
48,1,0.0764,0.9908,-2.3678,0,241,418
49,1,0.4092,1.6955,2.1278,0,147,442
49,2,2.6624,2.4563,-0.8875,0,134,596
50,1,0.9202,1.0851,2.426,0,153,442
50,2,2.5515,2.5303,-0.9984,0,122,597
51,2,2.4406,2.7111,-0.7765,0,119,595
52,2,2.6624,2.4936,-0.7765,0,127,604
53,1,0,1.159,-2.2914,0,225,423
53,2,0.4092,1.3303,2.3733,0,181,473
53,3,2.6624,2.4133,-0.9984,0,134,609
54,1,-0.0764,0.9908,-2.3678,0,249,410
54,2,2.5515,2.5303,-0.9984,0,135,608
55,1,0.1564,1.0053,-2.4242,0,250,419
55,2,0.9202,1.2555,2.3424,0,136,478
55,3,2.4406,2.6768,-0.8875,0,143,599
56,1,-0.0764,1.1565,-2.2914,0,253,420
56,2,1.0039,1.1897,2.3424,0,140,486
56,3,2.5515,2.5303,-0.9984,0,131,614
57,1,0,0.9937,-2.3678,0,262,414
57,2,2.5515,2.5713,-0.8875,0,166,597
58,1,0,0.9937,-2.3678,0,255,412
58,2,1.0039,1.1897,2.3424,0,124,480
58,3,2.5515,2.5713,-0.8875,0,169,598
59,1,-0.1528,0.9819,-2.3678,0,257,418
59,2,0.6692,1.0786,2.5097,0,150,480
59,3,2.4006,2.633,-0.8729,0,161,607
59,4,0.4528,4.908,-1.2076,-0.3402,123,605
60,1,-0.0764,0.9908,-2.3678,0,251,423
60,2,2.5097,2.5292,-0.8729,0,151,600
60,3,0.7856,2.7163,-0.7856,-0.3402,118,528
61,1,0.0764,0.9908,-2.3678,0,253,416
61,2,0.6692,1.2555,2.426,0,170,470
61,3,2.5097,2.4888,-0.982,0,162,593
