frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.3055,1.118,-2.2914,0,243,455
1,2,2.1423,3.026,-0.7892,0,137,615
2,1,-0.3819,1.0943,-2.2914,0,259,435
2,2,2.1423,3.026,-0.7892,0,138,615
3,1,-0.3819,1.0943,-2.2914,0,251,442
3,2,2.1423,3.026,-0.7892,0,136,616
4,1,-0.3819,1.0943,-2.2914,0,251,443
4,2,2.1423,3.026,-0.7892,0,137,615
8,1,-0.3819,1.0943,-2.2914,0,256,437
8,2,0.5019,1.3313,2.426,0,116,485
8,3,2.1423,2.9943,-0.902,0,143,608
9,1,-0.3819,1.0943,-2.2914,0,271,422
9,2,0.5019,1.3313,2.426,0,119,481
9,3,2.1423,2.9943,-0.902,0,142,609
10,1,-0.3819,1.0943,-2.2914,0,265,433
10,2,2.1423,2.9943,-0.902,0,140,611
11,1,-0.3819,1.0943,-2.2914,0,263,430
11,2,0.5019,1.3313,2.426,0,114,485
11,3,2.1423,3.026,-0.7892,0,139,611
12,1,-0.3819,1.0943,-2.2914,0,256,438
12,2,2.1423,3.026,-0.7892,0,137,614
10,1,-0.3819,1.0943,-2.2914,0,249,442
10,2,2.1423,3.026,-0.7892,0,136,615
14,1,-0.3819,1.0943,-2.2914,0,255,437
14,2,2.1423,3.026,-0.7892,0,137,615
15,1,-0.3055,0.9456,-2.3678,0,254,438
15,2,2.1423,3.026,-0.7892,0,135,617
16,1,-0.3819,1.0943,-2.2914,0,259,437
16,2,2.1423,3.026,-0.7892,0,136,615
17,1,-0.3819,1.0943,-2.2914,0,262,432
17,2,2.1423,3.026,-0.7892,0,136,615
18,1,-0.3055,1.118,-2.2914,0,259,437
18,2,2.1423,3.026,-0.7892,0,138,612
19,1,-0.3819,1.0943,-2.2914,0,246,449
19,2,2.1423,3.026,-0.7892,0,138,613
20,1,-0.3819,1.0943,-2.2914,0,257,436
20,2,2.1423,3.026,-0.7892,0,138,613
21,1,-0.3819,1.0943,-2.2914,0,253,441
21,2,2.1423,3.026,-0.7892,0,137,614
22,1,-0.3819,1.0943,-2.2914,0,249,444
22,2,2.1423,3.026,-0.7892,0,137,614
23,1,-0.3819,1.0943,-2.2914,0,264,431
23,2,2.1423,3.026,-0.7892,0,136,614
24,1,-0.3819,0.9174,-2.3678,0,255,436
24,2,2.1423,3.026,-0.7892,0,137,613
25,1,-0.3055,0.9456,-2.3678,0,263,429
25,2,2.1423,3.026,-0.7892,0,137,613
26,1,-0.3055,0.9456,-2.3678,0,261,432
26,2,2.1423,3.026,-0.7892,0,137,613
27,1,-0.3055,0.9456,-2.3678,0,261,431
27,2,2.1423,3.026,-0.7892,0,138,612
28,1,-0.3819,1.0943,-2.2914,0,273,421
28,2,0.5019,1.3313,2.426,0,117,480
28,3,2.1423,3.026,-0.7892,0,137,614
29,1,-0.3055,0.9456,-2.3678,0,257,437
29,2,2.1423,3.026,-0.7892,0,138,613
30,1,-0.3055,0.9456,-2.3678,0,250,442
30,2,2.1423,3.026,-0.7892,0,138,612
31,1,-0.3819,1.0943,-2.2914,0,254,439
31,2,2.1423,3.026,-0.7892,0,137,614
32,1,-0.3819,0.9174,-2.3678,0,268,424
32,2,0.5019,1.3313,2.426,0,119,478
32,3,2.1423,3.026,-0.7892,0,138,613
33,1,-0.3819,1.0943,-2.2914,0,260,434
33,2,2.1423,3.026,-0.7892,0,138,613
34,1,-0.3055,0.9456,-2.3678,0,254,441
34,2,2.1423,3.026,-0.7892,0,137,614
35,1,-0.3055,0.9456,-2.3678,0,243,448
35,2,2.1423,3.026,-0.7892,0,137,613
36,1,-0.3055,0.9456,-2.3678,0,263,431
36,2,0.5019,1.3313,2.426,0,113,485
36,3,2.1423,3.026,-0.7892,0,137,614
37,1,-0.3055,0.9456,-2.3678,0,261,431
37,2,2.1423,3.026,-0.7892,0,138,612
38,1,-0.3819,1.0943,-2.2914,0,252,440
38,2,2.1423,3.026,-0.7892,0,137,613
39,1,-0.3819,1.0943,-2.2914,0,259,436
39,2,2.1423,3.026,-0.7892,0,135,615
40,1,-0.3819,1.0943,-2.2914,0,253,440
40,2,0.5019,1.3313,2.426,0,114,483
40,3,2.1423,3.026,-0.7892,0,136,615
