source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,11,1,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.726267,-0.0831308,9.7848,0.259702,-0.70397,0.803596,-0.00726482,-0.000840864,0.0978478,1,4.76408e-05,-1.11086e-05,1.60395e-05,0.00952816,-0.00222173,0.0032079,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.246188,0.103842,-0.87381,33.8125,3,2846,330280
right,11,2,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.550501,-0.0698842,7.34612,0.259702,-0.70397,0.803596,-0.00550629,-0.000702277,0.0734611,1,2.4084e-05,-8.6241e-06,-9.343e-06,0.0048168,-0.00172482,-0.0018686,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.249497,0.106236,-0.869701,35.0625,1,44155,4462632
right,11,3,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.550501,-0.0698842,7.34612,0.259702,-0.70397,0.803596,-0.00550629,-0.000702277,0.0734611,1,2.4084e-05,-8.6241e-06,-9.343e-06,0.0048168,-0.00172482,-0.0018686,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.249497,0.106236,-0.869701,35.0625,1,44155,4462632
right,11,4,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.550501,-0.0698842,7.34612,0.259702,-0.70397,0.803596,-0.00550629,-0.000702277,0.0734611,1,2.4084e-05,-8.6241e-06,-9.343e-06,0.0048168,-0.00172482,-0.0018686,0.999222,0.0225498,0.0323657,-3.67086e-05,-0.249497,0.106236,-0.869701,35.0625,1,44155,4462632
right,11,5,0.999289,-0.00471296,0.0373987,-0.000171209,-0.724406,-0.0663216,9.77293,0.384539,-0.0644883,0.811896,-0.00724402,-0.000673079,0.0977293,1,4.97996e-05,1.55954e-07,8.91844e-06,0.00995993,3.11909e-05,0.00178369,0.999289,-0.00471296,0.0373987,-0.000171209,-0.246586,0.106194,-0.868706,35.0625,1,44156,4462732
left,29,1,0.999289,-0.00471296,0.0373987,-0.000171209,-0.724406,-0.0663216,9.77293,0.384539,-0.0644883,0.811896,-0.00724402,-0.000673079,0.0977293,1,4.97996e-05,1.55954e-07,8.91844e-06,0.00995993,3.11909e-05,0.00178369,0.999289,-0.00471296,0.0373987,-0.000171209,-0.246586,0.106194,-0.868706,35.0625,1,44156,4462732
left,29,2,0.999289,-0.00471296,0.0373987,-0.000171209,-0.724406,-0.0663216,9.77293,0.384539,-0.0644883,0.811896,-0.00724402,-0.000673079,0.0977293,1,4.97996e-05,1.55954e-07,8.91844e-06,0.00995993,3.11909e-05,0.00178369,0.999289,-0.00471296,0.0373987,-0.000171209,-0.246586,0.106194,-0.868706,35.0625,1,44156,4462732
left,29,3,0.999289,-0.00466305,0.0373999,-0.000163926,-0.737459,-0.0692382,9.78251,0.37345,-0.0683733,0.824079,-0.00737654,-0.000702261,0.0978248,1,5.02746e-05,-1.00099e-05,2.86111e-06,0.0100549,-0.00200199,0.000572222,0.999289,-0.00466305,0.0373999,-0.000163926,-0.24321,0.105679,-0.868733,35.0625,1,44157,4462832
left,29,4,0.999289,-0.00466305,0.0373999,-0.000163926,-0.737459,-0.0692382,9.78251,0.37345,-0.0683733,0.824079,-0.00737654,-0.000702261,0.0978248,1,5.02746e-05,-1.00099e-05,2.86111e-06,0.0100549,-0.00200199,0.000572222,0.999289,-0.00466305,0.0373999,-0.000163926,-0.24321,0.105679,-0.868733,35.0625,1,44157,4462832
left,29,5,0.999289,-0.00466305,0.0373999,-0.000163926,-0.737459,-0.0692382,9.78251,0.37345,-0.0683733,0.824079,-0.00737654,-0.000702261,0.0978248,1,5.02746e-05,-1.00099e-05,2.86111e-06,0.0100549,-0.00200199,0.000572222,0.999289,-0.00466305,0.0373999,-0.000163926,-0.24321,0.105679,-0.868733,35.0625,1,44157,4462832
