source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,11,1,0.938635,0.0444401,0.0252372,-0.341106,-0.739468,-0.107181,9.80356,-0.863498,-0.599004,0.756126,-0.00739615,-0.0010823,0.0980353,1,5.26849e-05,-7.61456e-06,1.03394e-05,0.010537,-0.00152291,0.00206789,0.938635,0.0444401,0.0252372,-0.341106,0.197528,0.327103,-0.769884,34.5,3,8763,7479956
right,11,2,0.938635,0.0444401,0.0252372,-0.341106,-0.577204,-0.00340085,7.30536,-0.863498,-0.599004,0.756126,-0.00577329,-4.06871e-05,0.0730535,1,4.54392e-05,-8.59815e-06,3.43095e-06,0.00908784,-0.00171963,0.000686191,0.938635,0.0444401,0.0252372,-0.341106,0.129152,-0.757447,-0.822463,34.0625,1,16189,8224114
right,11,3,0.938635,0.0444401,0.0252372,-0.341106,-0.577204,-0.00340085,7.30536,-0.863498,-0.599004,0.756126,-0.00577329,-4.06871e-05,0.0730535,1,4.54392e-05,-8.59815e-06,3.43095e-06,0.00908784,-0.00171963,0.000686191,0.938635,0.0444401,0.0252372,-0.341106,0.129152,-0.757447,-0.822463,34.0625,1,16189,8224114
right,11,4,0.938635,0.0444401,0.0252372,-0.341106,-0.577204,-0.00340085,7.30536,-0.863498,-0.599004,0.756126,-0.00577329,-4.06871e-05,0.0730535,1,4.54392e-05,-8.59815e-06,3.43095e-06,0.00908784,-0.00171963,0.000686191,0.938635,0.0444401,0.0252372,-0.341106,0.129152,-0.757447,-0.822463,34.0625,1,16189,8224114
left,20,1,0.999224,-0.000248747,0.0393952,3.73899e-06,-0.734317,-0.113816,9.75005,0.0370022,0.649229,0.796706,-0.00734837,-0.00114387,0.0975001,1,2.80459e-05,-2.68518e-05,1.57934e-05,0.00560918,-0.00537037,0.00315867,0.999224,-0.000248747,0.0393952,3.73899e-06,0.125711,-0.755919,-0.824434,34.0625,1,16190,8224214
left,20,2,0.999224,-0.000248747,0.0393952,3.73899e-06,-0.734317,-0.113816,9.75005,0.0370022,0.649229,0.796706,-0.00734837,-0.00114387,0.0975001,1,2.80459e-05,-2.68518e-05,1.57934e-05,0.00560918,-0.00537037,0.00315867,0.999224,-0.000248747,0.0393952,3.73899e-06,0.125711,-0.755919,-0.824434,34.0625,1,16190,8224214
left,20,3,0.999224,-0.000248747,0.0393952,3.73899e-06,-0.734317,-0.113816,9.75005,0.0370022,0.649229,0.796706,-0.00734837,-0.00114387,0.0975001,1,2.80459e-05,-2.68518e-05,1.57934e-05,0.00560918,-0.00537037,0.00315867,0.999224,-0.000248747,0.0393952,3.73899e-06,0.125711,-0.755919,-0.824434,34.0625,1,16190,8224214
left,20,4,0.999225,-0.000214645,0.0393634,6.05043e-05,-0.704141,-0.177804,9.83783,0.0766967,0.579909,0.876104,-0.00704475,-0.0017872,0.0983779,1,4.56477e-05,-1.72016e-05,1.29513e-05,0.00912954,-0.00344033,0.00259026,0.999225,-0.000214645,0.0393634,6.05043e-05,0.124736,-0.755902,-0.824934,34.0625,1,16191,8224314
right,12,1,0.999225,-0.000214645,0.0393634,6.05043e-05,-0.704141,-0.177804,9.83783,0.0766967,0.579909,0.876104,-0.00704475,-0.0017872,0.0983779,1,4.56477e-05,-1.72016e-05,1.29513e-05,0.00912954,-0.00344033,0.00259026,0.999225,-0.000214645,0.0393634,6.05043e-05,0.124736,-0.755902,-0.824934,34.0625,1,16191,8224314
right,12,2,0.999225,-0.000214645,0.0393634,6.05043e-05,-0.704141,-0.177804,9.83783,0.0766967,0.579909,0.876104,-0.00704475,-0.0017872,0.0983779,1,4.56477e-05,-1.72016e-05,1.29513e-05,0.00912954,-0.00344033,0.00259026,0.999225,-0.000214645,0.0393634,6.05043e-05,0.124736,-0.755902,-0.824934,34.0625,1,16191,8224314
right,12,3,0.999225,-0.000168048,0.0393513,5.25232e-05,-0.74175,-0.179757,9.79973,0.0504139,0.576777,0.857913,-0.00741988,-0.0018067,0.097997,1,4.70206e-05,-1.20754e-05,-5.16694e-06,0.00940413,-0.00241509,-0.00103339,0.999225,-0.000168048,0.0393513,5.25232e-05,0.126619,-0.757815,-0.828016,34.0625,1,16192,8224414
right,12,4,0.999225,-0.000168048,0.0393513,5.25232e-05,-0.74175,-0.179757,9.79973,0.0504139,0.576777,0.857913,-0.00741988,-0.0018067,0.097997,1,4.70206e-05,-1.20754e-05,-5.16694e-06,0.00940413,-0.00241509,-0.00103339,0.999225,-0.000168048,0.0393513,5.25232e-05,0.126619,-0.757815,-0.828016,34.0625,1,16192,8224414
right,12,5,0.999225,-0.000168048,0.0393513,5.25232e-05,-0.74175,-0.179757,9.79973,0.0504139,0.576777,0.857913,-0.00741988,-0.0018067,0.097997,1,4.70206e-05,-1.20754e-05,-5.16694e-06,0.00940413,-0.00241509,-0.00103339,0.999225,-0.000168048,0.0393513,5.25232e-05,0.126619,-0.757815,-0.828016,34.0625,1,16192,8224414
right,12,6,0.999226,-0.000101044,0.0393465,6.22186e-05,-0.792028,-0.0518629,9.76148,-0.0150369,0.712094,0.81718,-0.0079212,-0.000531913,0.0976146,1,6.70404e-05,-4.80911e-06,1.23898e-05,0.0134081,-0.000961822,0.00247796,0.999226,-0.000101044,0.0393465,6.22186e-05,0.128522,-0.75878,-0.829561,34.0625,1,16193,8224514
left,30,1,0.999226,-0.000101044,0.0393465,6.22186e-05,-0.792028,-0.0518629,9.76148,-0.0150369,0.712094,0.81718,-0.0079212,-0.000531913,0.0976146,1,6.70404e-05,-4.80911e-06,1.23898e-05,0.0134081,-0.000961822,0.00247796,0.999226,-0.000101044,0.0393465,6.22186e-05,0.128522,-0.75878,-0.829561,34.0625,1,16193,8224514
left,30,2,0.999226,-0.000101044,0.0393465,6.22186e-05,-0.792028,-0.0518629,9.76148,-0.0150369,0.712094,0.81718,-0.0079212,-0.000531913,0.0976146,1,6.70404e-05,-4.80911e-06,1.23898e-05,0.0134081,-0.000961822,0.00247796,0.999226,-0.000101044,0.0393465,6.22186e-05,0.128522,-0.75878,-0.829561,34.0625,1,16193,8224514
left,30,3,0.999226,-5.24748e-05,0.0393369,7.76243e-05,-0.708824,-0.0397069,9.76916,0.0582565,0.719298,0.815936,-0.00709008,-0.000406785,0.0976914,1,4.84771e-05,-9.51467e-06,1.72929e-05,0.00969543,-0.00190293,0.00345858,0.999226,-5.24748e-05,0.0393369,7.76243e-05,0.128539,-0.756865,-0.827498,34.0625,1,16194,8224614
right,10,1,0.999226,-5.24748e-05,0.0393369,7.76243e-05,-0.708824,-0.0397069,9.76916,0.0582565,0.719298,0.815936,-0.00709008,-0.000406785,0.0976914,1,4.84771e-05,-9.51467e-06,1.72929e-05,0.00969543,-0.00190293,0.00345858,0.999226,-5.24748e-05,0.0393369,7.76243e-05,0.128539,-0.756865,-0.827498,34.0625,1,16194,8224614
right,10,2,0.999226,-5.24748e-05,0.0393369,7.76243e-05,-0.708824,-0.0397069,9.76916,0.0582565,0.719298,0.815936,-0.00709008,-0.000406785,0.0976914,1,4.84771e-05,-9.51467e-06,1.72929e-05,0.00969543,-0.00190293,0.00345858,0.999226,-5.24748e-05,0.0393369,7.76243e-05,0.128539,-0.756865,-0.827498,34.0625,1,16194,8224614
right,10,3,0.999226,-2.10685e-05,0.0393272,8.28814e-05,-0.638358,-0.108327,9.81015,0.125714,0.659765,0.852379,-0.00638544,-0.0010894,0.0981013,1,3.08416e-05,-9.52368e-06,6.53084e-06,0.00616831,-0.00190474,0.00130617,0.999226,-2.10685e-05,0.0393272,8.28814e-05,0.128096,-0.755443,-0.824939,34.0625,1,16195,8224714
right,10,4,0.999226,-2.10685e-05,0.0393272,8.28814e-05,-0.638358,-0.108327,9.81015,0.125714,0.659765,0.852379,-0.00638544,-0.0010894,0.0981013,1,3.08416e-05,-9.52368e-06,6.53084e-06,0.00616831,-0.00190474,0.00130617,0.999226,-2.10685e-05,0.0393272,8.28814e-05,0.128096,-0.755443,-0.824939,34.0625,1,16195,8224714
right,10,5,0.999226,-2.10685e-05,0.0393272,8.28814e-05,-0.638358,-0.108327,9.81015,0.125714,0.659765,0.852379,-0.00638544,-0.0010894,0.0981013,1,3.08416e-05,-9.52368e-06,6.53084e-06,0.00616831,-0.00190474,0.00130617,0.999226,-2.10685e-05,0.0393272,8.28814e-05,0.128096,-0.755443,-0.824939,34.0625,1,16195,8224714
right,10,6,0.999227,3.08136e-05,0.0393114,9.71082e-05,-0.644004,-0.143775,9.81397,0.139826,0.610333,0.862324,-0.00644305,-0.00144798,0.0981394,1,5.10774e-05,-1.557e-05,1.62629e-05,0.0102155,-0.00311401,0.00325258,0.999227,3.08136e-05,0.0393114,9.71082e-05,0.126196,-0.755445,-0.82392,34.0625,1,16196,8224814
left,31,1,0.999227,3.08136e-05,0.0393114,9.71082e-05,-0.644004,-0.143775,9.81397,0.139826,0.610333,0.862324,-0.00644305,-0.00144798,0.0981394,1,5.10774e-05,-1.557e-05,1.62629e-05,0.0102155,-0.00311401,0.00325258,0.999227,3.08136e-05,0.0393114,9.71082e-05,0.126196,-0.755445,-0.82392,34.0625,1,16196,8224814
left,31,2,0.999227,3.08136e-05,0.0393114,9.71082e-05,-0.644004,-0.143775,9.81397,0.139826,0.610333,0.862324,-0.00644305,-0.00144798,0.0981394,1,5.10774e-05,-1.557e-05,1.62629e-05,0.0102155,-0.00311401,0.00325258,0.999227,3.08136e-05,0.0393114,9.71082e-05,0.126196,-0.755445,-0.82392,34.0625,1,16196,8224814
