source,frame_id,point_id,x,y,z,doppler,snr,noise
right,1,1,-0.5856,1.1365,-0.5856,0,267,450
right,1,2,-1.2676,2.0559,-0.6711,0,118,681
right,2,1,-0.4601,1.2125,-0.5438,0,276,440
right,2,2,-1.2676,2.0559,-0.6711,0,116,682
right,3,1,-0.4601,1.2466,-0.4601,0,279,437
right,3,2,-1.2676,2.0559,-0.6711,0,113,685
right,4,1,-0.5438,1.2275,-0.4183,0,277,437
right,6,1,-0.5856,1.1365,-0.5856,0,280,437
right,7,1,-0.4601,1.1928,-0.5856,0,266,446
right,8,1,-0.4601,1.2304,-0.5019,0,283,433
right,9,1,-0.5019,1.2452,-0.4183,0,277,438
right,10,1,-0.5856,1.2081,-0.4183,0,267,446
right,11,1,-0.5856,1.1365,-0.5856,0,272,446
right,12,1,-0.5019,1.1758,-0.5856,0,276,440
right,10,1,-0.4183,1.2452,-0.5019,0,275,442
right,14,1,-0.4601,1.2466,-0.4601,0,278,437
right,14,2,0.3564,1.5779,-0.5601,0,116,541
right,15,1,-0.5438,1.2275,-0.4183,0,277,437
right,16,1,-0.5019,1.2452,-0.4183,0,274,440
right,16,2,0.3564,1.5779,-0.5601,0,118,540
right,17,1,-0.5438,1.2275,-0.4183,0,272,442
right,18,1,-0.5019,1.2452,-0.4183,0,270,444
right,18,2,-1.2676,2.0559,-0.6711,0,113,686
right,19,1,-0.5438,1.2275,-0.4183,0,274,440
right,19,2,-1.2676,2.0559,-0.6711,0,116,683
right,20,1,-0.5438,1.2275,-0.4183,0,282,432
right,20,2,-1.2676,2.0559,-0.6711,0,119,680
right,21,1,-0.5438,1.2275,-0.4183,0,288,426
right,21,2,-1.2676,2.0559,-0.6711,0,120,678
right,22,1,-0.5856,1.2081,-0.4183,0,270,441
right,22,2,0.3564,1.5779,-0.5601,0,113,544
right,22,3,-1.1439,1.933,-0.2692,0,113,641
right,22,4,-1.193,2.1,-0.6711,0,123,675
right,23,1,-0.5856,1.2081,-0.4183,0,266,443
right,23,2,-1.1439,1.933,-0.2692,0,113,641
right,23,3,-1.2676,2.0559,-0.6711,0,123,675
right,24,1,-0.5856,1.1758,-0.5019,0,278,432
right,24,2,-1.2112,1.8916,-0.2692,0,112,643
right,24,3,-1.2676,2.0559,-0.6711,0,121,677
right,25,1,-0.5856,1.1928,-0.4601,0,262,450
right,25,2,-1.2676,2.0559,-0.6711,0,118,681
right,26,1,-0.6274,1.135,-0.5438,0,274,441
right,26,2,-1.2676,2.03,-0.7456,0,116,683
right,27,1,-0.6274,1.135,-0.5438,0,282,433
right,27,2,-1.2676,2.0559,-0.6711,0,115,684
right,28,1,-0.5856,1.1365,-0.5856,0,274,443
right,28,2,-1.2676,2.0559,-0.6711,0,114,685
right,29,1,-0.5438,1.1571,-0.5856,0,281,436
right,29,2,0.3564,1.5779,-0.5601,0,115,544
right,30,1,-0.4601,1.2125,-0.5438,0,281,435
right,30,2,0.3564,1.5779,-0.5601,0,118,540
right,31,1,-0.4601,1.2125,-0.5438,0,278,437
right,31,2,0.3564,1.5779,-0.5601,0,114,545
right,32,1,-0.4601,1.2466,-0.4601,0,279,437
right,32,2,0.3564,1.5779,-0.5601,0,117,541
right,33,1,-0.4601,1.2466,-0.4601,0,286,430
right,34,1,-0.5019,1.2452,-0.4183,0,268,447
right,35,1,-0.5019,1.2452,-0.4183,0,282,432
right,35,2,0.3564,1.5779,-0.5601,0,120,537
right,36,1,-0.5856,1.2081,-0.4183,0,270,442
right,37,1,-0.5856,1.2081,-0.4183,0,276,436
right,38,1,-0.5856,1.1758,-0.5019,0,268,444
right,39,1,-0.5856,1.1758,-0.5019,0,265,446
right,40,1,-0.5856,1.1571,-0.5438,0,271,442
right,40,2,0.3564,1.5779,-0.5601,0,119,540
right,41,1,-0.6274,1.135,-0.5438,0,277,437
right,41,2,0.3564,1.5779,-0.5601,0,116,542
right,42,1,-0.5856,1.1365,-0.5856,0,266,448
right,43,1,-0.6274,1.114,-0.5856,0,279,439
right,44,1,-0.5856,1.1365,-0.5856,0,278,439
right,45,1,-0.5438,1.1571,-0.5856,0,275,440
right,46,1,-0.5019,1.1758,-0.5856,0,273,442
right,46,2,0.3564,1.5779,-0.5601,0,115,543
right,47,1,-0.4601,1.2125,-0.5438,0,271,444
right,48,1,-0.5019,1.1958,-0.5438,0,273,441
right,49,1,-0.4183,1.2452,-0.5019,0,274,442
right,49,2,-1.193,2.1,-0.6711,0,112,686
