source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,4,1,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.726999,-0.0733916,9.77706,0.390238,-0.0962172,0.863101,-0.00727161,-0.000740495,0.0977705,1,3.27733e-05,-8.35406e-06,1.17736e-05,0.00655465,-0.00167081,0.00235473,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.244722,0.0958352,-0.91844,36.125,1,51891,44581839
right,8,1,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.556839,-0.0527832,7.33891,0.390238,-0.0962172,0.863101,-0.0055678,-0.00053341,0.0733891,1,3.75062e-05,3.98983e-06,6.53952e-06,0.00750125,0.000797966,0.0013079,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.249431,0.0962818,-0.913863,36.125,1,55350,44929186
right,8,2,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.556839,-0.0527832,7.33891,0.390238,-0.0962172,0.863101,-0.0055678,-0.00053341,0.0733891,1,3.75062e-05,3.98983e-06,6.53952e-06,0.00750125,0.000797966,0.0013079,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.249431,0.0962818,-0.913863,36.125,1,55350,44929186
right,8,3,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.556839,-0.0527832,7.33891,0.390238,-0.0962172,0.863101,-0.0055678,-0.00053341,0.0733891,1,3.75062e-05,3.98983e-06,6.53952e-06,0.00750125,0.000797966,0.0013079,0.99929,-0.0033471,0.037529,-6.70954e-05,-0.249431,0.0962818,-0.913863,36.125,1,55350,44929186
right,8,4,0.999277,-0.00356764,0.0378428,-0.000129735,-0.723269,-0.078621,9.78004,0.402923,-0.0924688,0.861426,-0.0072344,-0.000796729,0.0978002,1,5.30817e-05,-8.80813e-06,9.41035e-06,0.0106163,-0.00176163,0.00188207,0.999277,-0.00356764,0.0378428,-0.000129735,-0.247053,0.0986917,-0.913315,36.125,1,55351,44929286
right,8,5,0.999277,-0.00356764,0.0378428,-0.000129735,-0.723269,-0.078621,9.78004,0.402923,-0.0924688,0.861426,-0.0072344,-0.000796729,0.0978002,1,5.30817e-05,-8.80813e-06,9.41035e-06,0.0106163,-0.00176163,0.00188207,0.999277,-0.00356764,0.0378428,-0.000129735,-0.247053,0.0986917,-0.913315,36.125,1,55351,44929286
right,8,6,0.999277,-0.00356764,0.0378428,-0.000129735,-0.723269,-0.078621,9.78004,0.402923,-0.0924688,0.861426,-0.0072344,-0.000796729,0.0978002,1,5.30817e-05,-8.80813e-06,9.41035e-06,0.0106163,-0.00176163,0.00188207,0.999277,-0.00356764,0.0378428,-0.000129735,-0.247053,0.0986917,-0.913315,36.125,1,55351,44929286
right,8,7,0.999277,-0.00353389,0.0378528,-0.000106373,-0.739935,-0.0769013,9.78492,0.387993,-0.0941592,0.866486,-0.00739937,-0.000777805,0.0978491,1,4.43179e-05,-1.95289e-07,8.02983e-06,0.00886358,-3.90578e-05,0.00160597,0.999277,-0.00353389,0.0378528,-0.000106373,-0.246515,0.0967186,-0.912352,36.125,1,55352,44929386
right,8,8,0.999277,-0.00353389,0.0378528,-0.000106373,-0.739935,-0.0769013,9.78492,0.387993,-0.0941592,0.866486,-0.00739937,-0.000777805,0.0978491,1,4.43179e-05,-1.95289e-07,8.02983e-06,0.00886358,-3.90578e-05,0.00160597,0.999277,-0.00353389,0.0378528,-0.000106373,-0.246515,0.0967186,-0.912352,36.125,1,55352,44929386
right,8,9,0.999277,-0.00353389,0.0378528,-0.000106373,-0.739935,-0.0769013,9.78492,0.387993,-0.0941592,0.866486,-0.00739937,-0.000777805,0.0978491,1,4.43179e-05,-1.95289e-07,8.02983e-06,0.00886358,-3.90578e-05,0.00160597,0.999277,-0.00353389,0.0378528,-0.000106373,-0.246515,0.0967186,-0.912352,36.125,1,55352,44929386
