source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
left,17,1,0.93463,0.0423493,0.0337753,-0.351472,-0.716569,-0.0960364,9.78541,-0.394658,-0.32205,1.09106,-0.00716381,-0.000966566,0.0978542,1,3.15775e-05,9.55709e-06,1.58144e-06,0.0063155,0.00191142,0.000316287,0.93463,0.0423493,0.0337753,-0.351472,0.511356,0.0544894,-1.03649,34,3,18037,8408914
right,11,1,0.93463,0.0423493,0.0337753,-0.351472,-0.506274,-0.0943716,7.26593,-0.394658,-0.32205,1.09106,-0.0050638,-0.000943686,0.0726592,1,-2.42157e-07,-7.30342e-06,5.83055e-07,-4.84315e-05,-0.00146068,0.000116611,0.93463,0.0423493,0.0337753,-0.351472,0.0247851,0.553257,-1.08932,33.875,1,21399,8746582
right,11,2,0.93463,0.0423493,0.0337753,-0.351472,-0.506274,-0.0943716,7.26593,-0.394658,-0.32205,1.09106,-0.0050638,-0.000943686,0.0726592,1,-2.42157e-07,-7.30342e-06,5.83055e-07,-4.84315e-05,-0.00146068,0.000116611,0.93463,0.0423493,0.0337753,-0.351472,0.0247851,0.553257,-1.08932,33.875,1,21399,8746582
right,11,3,0.93463,0.0423493,0.0337753,-0.351472,-0.506274,-0.0943716,7.26593,-0.394658,-0.32205,1.09106,-0.0050638,-0.000943686,0.0726592,1,-2.42157e-07,-7.30342e-06,5.83055e-07,-4.84315e-05,-0.00146068,0.000116611,0.93463,0.0423493,0.0337753,-0.351472,0.0247851,0.553257,-1.08932,33.875,1,21399,8746582
right,11,4,0.999376,-0.00641347,0.034748,-0.00021244,-0.581781,-0.0508326,9.77998,0.225723,-0.45046,1.08006,-0.00582451,-0.000520222,0.0977993,1,5.99418e-05,-3.43621e-05,1.47483e-05,0.0119884,-0.00687242,0.00294965,0.999376,-0.00641347,0.034748,-0.00021244,0.0258579,0.551723,-1.08582,33.875,1,21400,8746682
left,29,1,0.999376,-0.00641347,0.034748,-0.00021244,-0.581781,-0.0508326,9.77998,0.225723,-0.45046,1.08006,-0.00582451,-0.000520222,0.0977993,1,5.99418e-05,-3.43621e-05,1.47483e-05,0.0119884,-0.00687242,0.00294965,0.999376,-0.00641347,0.034748,-0.00021244,0.0258579,0.551723,-1.08582,33.875,1,21400,8746682
left,29,2,0.999376,-0.00641347,0.034748,-0.00021244,-0.581781,-0.0508326,9.77998,0.225723,-0.45046,1.08006,-0.00582451,-0.000520222,0.0977993,1,5.99418e-05,-3.43621e-05,1.47483e-05,0.0119884,-0.00687242,0.00294965,0.999376,-0.00641347,0.034748,-0.00021244,0.0258579,0.551723,-1.08582,33.875,1,21400,8746682
left,29,3,0.999377,-0.00637342,0.0347213,-0.000196145,-0.470678,0.0239857,9.86908,0.308777,-0.365029,1.16977,-0.00471335,0.000231716,0.0986905,1,4.10286e-05,-3.32667e-05,4.59703e-06,0.00820572,-0.00665334,0.000919406,0.999377,-0.00637342,0.0347213,-0.000196145,0.0272277,0.55321,-1.08782,33.875,1,21401,8746782
left,29,4,0.999377,-0.00637342,0.0347213,-0.000196145,-0.470678,0.0239857,9.86908,0.308777,-0.365029,1.16977,-0.00471335,0.000231716,0.0986905,1,4.10286e-05,-3.32667e-05,4.59703e-06,0.00820572,-0.00665334,0.000919406,0.999377,-0.00637342,0.0347213,-0.000196145,0.0272277,0.55321,-1.08782,33.875,1,21401,8746782
left,29,5,0.999377,-0.00637342,0.0347213,-0.000196145,-0.470678,0.0239857,9.86908,0.308777,-0.365029,1.16977,-0.00471335,0.000231716,0.0986905,1,4.10286e-05,-3.32667e-05,4.59703e-06,0.00820572,-0.00665334,0.000919406,0.999377,-0.00637342,0.0347213,-0.000196145,0.0272277,0.55321,-1.08782,33.875,1,21401,8746782
left,29,6,0.999377,-0.00632477,0.0347116,-0.000177334,-0.359295,-0.0084818,9.79171,0.439911,-0.422789,1.06895,-0.00359484,-9.43131e-05,0.0979171,1,4.77357e-05,-9.6992e-06,2.04258e-05,0.00954714,-0.00193984,0.00408516,0.999377,-0.00632477,0.0347116,-0.000177334,0.0276471,0.553251,-1.09034,33.875,1,21402,8746882
right,12,1,0.999377,-0.00632477,0.0347116,-0.000177334,-0.359295,-0.0084818,9.79171,0.439911,-0.422789,1.06895,-0.00359484,-9.43131e-05,0.0979171,1,4.77357e-05,-9.6992e-06,2.04258e-05,0.00954714,-0.00193984,0.00408516,0.999377,-0.00632477,0.0347116,-0.000177334,0.0276471,0.553251,-1.09034,33.875,1,21402,8746882
right,12,2,0.999377,-0.00632477,0.0347116,-0.000177334,-0.359295,-0.0084818,9.79171,0.439911,-0.422789,1.06895,-0.00359484,-9.43131e-05,0.0979171,1,4.77357e-05,-9.6992e-06,2.04258e-05,0.00954714,-0.00193984,0.00408516,0.999377,-0.00632477,0.0347116,-0.000177334,0.0276471,0.553251,-1.09034,33.875,1,21402,8746882
right,12,3,0.999377,-0.00628991,0.0347177,-0.000164328,-0.58883,-0.0214044,9.73412,0.235898,-0.404755,1.02418,-0.00588707,-0.000220666,0.0973413,1,3.31589e-05,6.30127e-06,1.41317e-05,0.00663178,0.00126025,0.00282635,0.999377,-0.00628991,0.0347177,-0.000164328,0.0261705,0.552324,-1.09238,33.875,1,21403,8746982
right,12,4,0.999377,-0.00628991,0.0347177,-0.000164328,-0.58883,-0.0214044,9.73412,0.235898,-0.404755,1.02418,-0.00588707,-0.000220666,0.0973413,1,3.31589e-05,6.30127e-06,1.41317e-05,0.00663178,0.00126025,0.00282635,0.999377,-0.00628991,0.0347177,-0.000164328,0.0261705,0.552324,-1.09238,33.875,1,21403,8746982
right,12,5,0.999377,-0.00628991,0.0347177,-0.000164328,-0.58883,-0.0214044,9.73412,0.235898,-0.404755,1.02418,-0.00588707,-0.000220666,0.0973413,1,3.31589e-05,6.30127e-06,1.41317e-05,0.00663178,0.00126025,0.00282635,0.999377,-0.00628991,0.0347177,-0.000164328,0.0261705,0.552324,-1.09238,33.875,1,21403,8746982
