source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,11,1,0.999349,0.00836653,0.0350999,0.000112574,-0.73339,-0.0717957,9.78713,0.319206,-0.366297,0.819826,-0.00733492,-0.000727803,0.0978711,1,5.05131e-05,-5.1594e-06,-2.84235e-06,0.0101026,-0.00103188,-0.000568469,0.999349,0.00836653,0.0350999,0.000112574,-0.244667,0.102809,-0.871315,35.125,3,44647,4511832
right,11,2,0.999349,0.00836653,0.0350999,0.000112574,-0.517536,-0.045365,7.34294,0.319206,-0.366297,0.819826,-0.0051763,-0.000461081,0.0734293,1,5.03566e-05,-6.40367e-06,3.47056e-06,0.0100713,-0.00128073,0.000694112,0.999349,0.00836653,0.0350999,0.000112574,0.58733,0.134795,-0.702219,35.1875,1,63034,6351986
right,11,3,0.999349,0.00836653,0.0350999,0.000112574,-0.517536,-0.045365,7.34294,0.319206,-0.366297,0.819826,-0.0051763,-0.000461081,0.0734293,1,5.03566e-05,-6.40367e-06,3.47056e-06,0.0100713,-0.00128073,0.000694112,0.999349,0.00836653,0.0350999,0.000112574,0.58733,0.134795,-0.702219,35.1875,1,63034,6351986
right,11,4,0.999349,0.00836653,0.0350999,0.000112574,-0.517536,-0.045365,7.34294,0.319206,-0.366297,0.819826,-0.0051763,-0.000461081,0.0734293,1,5.03566e-05,-6.40367e-06,3.47056e-06,0.0100713,-0.00128073,0.000694112,0.999349,0.00836653,0.0350999,0.000112574,0.58733,0.134795,-0.702219,35.1875,1,63034,6351986
right,11,5,0.999376,-0.00307734,0.0351798,-0.000108672,-0.685432,-0.0403596,9.78055,-0.478955,-0.105577,0.771206,-0.00685459,-0.0004139,0.0978055,1,5.24428e-05,-1.37081e-06,3.35246e-06,0.0104886,-0.000274162,0.000670493,0.999376,-0.00307734,0.0351798,-0.000108672,0.588814,0.132344,-0.70228,35.1875,1,63035,6352086
left,17,1,0.999376,-0.00307734,0.0351798,-0.000108672,-0.685432,-0.0403596,9.78055,-0.478955,-0.105577,0.771206,-0.00685459,-0.0004139,0.0978055,1,5.24428e-05,-1.37081e-06,3.35246e-06,0.0104886,-0.000274162,0.000670493,0.999376,-0.00307734,0.0351798,-0.000108672,0.588814,0.132344,-0.70228,35.1875,1,63035,6352086
left,17,2,0.999376,-0.00307734,0.0351798,-0.000108672,-0.685432,-0.0403596,9.78055,-0.478955,-0.105577,0.771206,-0.00685459,-0.0004139,0.0978055,1,5.24428e-05,-1.37081e-06,3.35246e-06,0.0104886,-0.000274162,0.000670493,0.999376,-0.00307734,0.0351798,-0.000108672,0.588814,0.132344,-0.70228,35.1875,1,63035,6352086
left,17,3,0.999376,-0.00302471,0.0351803,-7.81746e-05,-0.689536,-0.0452547,9.77104,-0.485538,-0.111109,0.76439,-0.00689627,-0.000461081,0.0977103,1,4.35337e-05,-4.66428e-06,1.88301e-06,0.00870674,-0.000932856,0.000376603,0.999376,-0.00302471,0.0351803,-7.81746e-05,0.590137,0.131456,-0.707862,35.1875,1,63036,6352186
right,12,1,0.999376,-0.00302471,0.0351803,-7.81746e-05,-0.689536,-0.0452547,9.77104,-0.485538,-0.111109,0.76439,-0.00689627,-0.000461081,0.0977103,1,4.35337e-05,-4.66428e-06,1.88301e-06,0.00870674,-0.000932856,0.000376603,0.999376,-0.00302471,0.0351803,-7.81746e-05,0.590137,0.131456,-0.707862,35.1875,1,63036,6352186
right,12,2,0.999376,-0.00302471,0.0351803,-7.81746e-05,-0.689536,-0.0452547,9.77104,-0.485538,-0.111109,0.76439,-0.00689627,-0.000461081,0.0977103,1,4.35337e-05,-4.66428e-06,1.88301e-06,0.00870674,-0.000932856,0.000376603,0.999376,-0.00302471,0.0351803,-7.81746e-05,0.590137,0.131456,-0.707862,35.1875,1,63036,6352186
right,12,3,0.999377,-0.00296644,0.0351725,-6.92904e-05,-0.689101,-0.0381767,9.77959,-0.486058,-0.104484,0.769757,-0.00689258,-0.000393256,0.0977957,1,5.79767e-05,-8.09128e-06,1.08104e-05,0.0115953,-0.00161826,0.00216208,0.999377,-0.00296644,0.0351725,-6.92904e-05,0.591515,0.13101,-0.710908,35.1875,1,63037,6352286
right,12,4,0.999377,-0.00296644,0.0351725,-6.92904e-05,-0.689101,-0.0381767,9.77959,-0.486058,-0.104484,0.769757,-0.00689258,-0.000393256,0.0977957,1,5.79767e-05,-8.09128e-06,1.08104e-05,0.0115953,-0.00161826,0.00216208,0.999377,-0.00296644,0.0351725,-6.92904e-05,0.591515,0.13101,-0.710908,35.1875,1,63037,6352286
right,12,5,0.999377,-0.00296644,0.0351725,-6.92904e-05,-0.689101,-0.0381767,9.77959,-0.486058,-0.104484,0.769757,-0.00689258,-0.000393256,0.0977957,1,5.79767e-05,-8.09128e-06,1.08104e-05,0.0115953,-0.00161826,0.00216208,0.999377,-0.00296644,0.0351725,-6.92904e-05,0.591515,0.13101,-0.710908,35.1875,1,63037,6352286
right,12,6,0.999377,-0.00291674,0.0351703,-6.28565e-05,-0.6715,-0.0346206,9.79204,-0.467181,-0.0971501,0.787678,-0.00671545,-0.000355958,0.0979203,1,4.93023e-05,-2.29669e-06,7.18615e-06,0.00986047,-0.000459338,0.00143723,0.999377,-0.00291674,0.0351703,-6.28565e-05,0.5877,0.133427,-0.707807,35.1875,1,63038,6352386
left,30,1,0.999377,-0.00291674,0.0351703,-6.28565e-05,-0.6715,-0.0346206,9.79204,-0.467181,-0.0971501,0.787678,-0.00671545,-0.000355958,0.0979203,1,4.93023e-05,-2.29669e-06,7.18615e-06,0.00986047,-0.000459338,0.00143723,0.999377,-0.00291674,0.0351703,-6.28565e-05,0.5877,0.133427,-0.707807,35.1875,1,63038,6352386
left,30,2,0.999377,-0.00291674,0.0351703,-6.28565e-05,-0.6715,-0.0346206,9.79204,-0.467181,-0.0971501,0.787678,-0.00671545,-0.000355958,0.0979203,1,4.93023e-05,-2.29669e-06,7.18615e-06,0.00986047,-0.000459338,0.00143723,0.999377,-0.00291674,0.0351703,-6.28565e-05,0.5877,0.133427,-0.707807,35.1875,1,63038,6352386
left,30,3,0.999377,-0.00288128,0.0351633,-4.44101e-05,-0.686387,-0.0399656,9.79515,-0.481432,-0.105785,0.794391,-0.00686513,-0.00040675,0.0979514,1,3.47978e-05,-6.51191e-06,2.02266e-05,0.00695957,-0.00130238,0.00404532,0.999377,-0.00288128,0.0351633,-4.44101e-05,0.588292,0.133342,-0.703266,35.1875,1,63039,6352486
left,30,4,0.999377,-0.00288128,0.0351633,-4.44101e-05,-0.686387,-0.0399656,9.79515,-0.481432,-0.105785,0.794391,-0.00686513,-0.00040675,0.0979514,1,3.47978e-05,-6.51191e-06,2.02266e-05,0.00695957,-0.00130238,0.00404532,0.999377,-0.00288128,0.0351633,-4.44101e-05,0.588292,0.133342,-0.703266,35.1875,1,63039,6352486
left,30,5,0.999377,-0.00288128,0.0351633,-4.44101e-05,-0.686387,-0.0399656,9.79515,-0.481432,-0.105785,0.794391,-0.00686513,-0.00040675,0.0979514,1,3.47978e-05,-6.51191e-06,2.02266e-05,0.00695957,-0.00130238,0.00404532,0.999377,-0.00288128,0.0351633,-4.44101e-05,0.588292,0.133342,-0.703266,35.1875,1,63039,6352486
right,10,1,0.999378,-0.00282331,0.0351557,-3.42764e-05,-0.6905,-0.0400778,9.78398,-0.479563,-0.112061,0.778922,-0.00690651,-0.000412201,0.0978397,1,5.75296e-05,-7.77516e-06,1.19546e-05,0.0115059,-0.00155503,0.00239091,0.999378,-0.00282331,0.0351557,-3.42764e-05,0.589327,0.130389,-0.702326,35.1875,1,63040,6352586
right,10,2,0.999378,-0.00282331,0.0351557,-3.42764e-05,-0.6905,-0.0400778,9.78398,-0.479563,-0.112061,0.778922,-0.00690651,-0.000412201,0.0978397,1,5.75296e-05,-7.77516e-06,1.19546e-05,0.0115059,-0.00155503,0.00239091,0.999378,-0.00282331,0.0351557,-3.42764e-05,0.589327,0.130389,-0.702326,35.1875,1,63040,6352586
right,10,3,0.999378,-0.00282331,0.0351557,-3.42764e-05,-0.6905,-0.0400778,9.78398,-0.479563,-0.112061,0.778922,-0.00690651,-0.000412201,0.0978397,1,5.75296e-05,-7.77516e-06,1.19546e-05,0.0115059,-0.00155503,0.00239091,0.999378,-0.00282331,0.0351557,-3.42764e-05,0.589327,0.130389,-0.702326,35.1875,1,63040,6352586
right,10,4,0.999378,-0.00277454,0.035147,-3.0252e-05,-0.687206,-0.0378877,9.77313,-0.487716,-0.110408,0.760938,-0.00687365,-0.000388429,0.0977311,1,4.84586e-05,-8.13037e-06,5.84332e-06,0.00969172,-0.00162607,0.00116866,0.999378,-0.00277454,0.035147,-3.0252e-05,0.587883,0.128956,-0.703361,35.1875,1,63041,6352686
right,10,5,0.999378,-0.00277454,0.035147,-3.0252e-05,-0.687206,-0.0378877,9.77313,-0.487716,-0.110408,0.760938,-0.00687365,-0.000388429,0.0977311,1,4.84586e-05,-8.13037e-06,5.84332e-06,0.00969172,-0.00162607,0.00116866,0.999378,-0.00277454,0.035147,-3.0252e-05,0.587883,0.128956,-0.703361,35.1875,1,63041,6352686
right,10,6,0.999378,-0.00277454,0.035147,-3.0252e-05,-0.687206,-0.0378877,9.77313,-0.487716,-0.110408,0.760938,-0.00687365,-0.000388429,0.0977311,1,4.84586e-05,-8.13037e-06,5.84332e-06,0.00969172,-0.00162607,0.00116866,0.999378,-0.00277454,0.035147,-3.0252e-05,0.587883,0.128956,-0.703361,35.1875,1,63041,6352686
left,31,1,0.999379,-0.00273136,0.0351231,-2.03364e-05,-0.654048,-0.0238116,9.79101,-0.451248,-0.0904607,0.781871,-0.00654514,-0.000246609,0.0979097,1,4.26358e-05,-2.38234e-05,1.09712e-05,0.00852716,-0.00476469,0.00219424,0.999379,-0.00273136,0.0351231,-2.03364e-05,0.589734,0.130439,-0.705357,35.1875,1,63042,6352786
left,31,2,0.999379,-0.00273136,0.0351231,-2.03364e-05,-0.654048,-0.0238116,9.79101,-0.451248,-0.0904607,0.781871,-0.00654514,-0.000246609,0.0979097,1,4.26358e-05,-2.38234e-05,1.09712e-05,0.00852716,-0.00476469,0.00219424,0.999379,-0.00273136,0.0351231,-2.03364e-05,0.589734,0.130439,-0.705357,35.1875,1,63042,6352786
left,31,3,0.999379,-0.00273136,0.0351231,-2.03364e-05,-0.654048,-0.0238116,9.79101,-0.451248,-0.0904607,0.781871,-0.00654514,-0.000246609,0.0979097,1,4.26358e-05,-2.38234e-05,1.09712e-05,0.00852716,-0.00476469,0.00219424,0.999379,-0.00273136,0.0351231,-2.03364e-05,0.589734,0.130439,-0.705357,35.1875,1,63042,6352786
left,31,4,0.99938,-0.00269976,0.0351098,-1.71503e-05,-0.684038,-0.0333826,9.77756,-0.480443,-0.0982744,0.767928,-0.00684292,-0.000340005,0.0977754,1,3.1298e-05,-1.30052e-05,4.29693e-06,0.0062596,-0.00260103,0.000859385,0.99938,-0.00269976,0.0351098,-1.71503e-05,0.591149,0.131412,-0.705847,35.1875,1,63043,6352886
right,14,1,0.99938,-0.00269976,0.0351098,-1.71503e-05,-0.684038,-0.0333826,9.77756,-0.480443,-0.0982744,0.767928,-0.00684292,-0.000340005,0.0977754,1,3.1298e-05,-1.30052e-05,4.29693e-06,0.0062596,-0.00260103,0.000859385,0.99938,-0.00269976,0.0351098,-1.71503e-05,0.591149,0.131412,-0.705847,35.1875,1,63043,6352886
right,14,2,0.99938,-0.00269976,0.0351098,-1.71503e-05,-0.684038,-0.0333826,9.77756,-0.480443,-0.0982744,0.767928,-0.00684292,-0.000340005,0.0977754,1,3.1298e-05,-1.30052e-05,4.29693e-06,0.0062596,-0.00260103,0.000859385,0.99938,-0.00269976,0.0351098,-1.71503e-05,0.591149,0.131412,-0.705847,35.1875,1,63043,6352886
right,14,3,0.99938,-0.00264066,0.0351007,-2.06635e-05,-0.68805,-0.0445189,9.79071,-0.485331,-0.117366,0.781725,-0.00688223,-0.000456738,0.0979069,1,5.90832e-05,-8.8342e-06,-1.46199e-06,0.0118166,-0.00176684,-0.000292397,0.99938,-0.00264066,0.0351007,-2.06635e-05,0.589698,0.133357,-0.704787,35.1875,1,63044,6352986
right,14,4,0.99938,-0.00264066,0.0351007,-2.06635e-05,-0.68805,-0.0445189,9.79071,-0.485331,-0.117366,0.781725,-0.00688223,-0.000456738,0.0979069,1,5.90832e-05,-8.8342e-06,-1.46199e-06,0.0118166,-0.00176684,-0.000292397,0.99938,-0.00264066,0.0351007,-2.06635e-05,0.589698,0.133357,-0.704787,35.1875,1,63044,6352986
right,14,5,0.99938,-0.00264066,0.0351007,-2.06635e-05,-0.68805,-0.0445189,9.79071,-0.485331,-0.117366,0.781725,-0.00688223,-0.000456738,0.0979069,1,5.90832e-05,-8.8342e-06,-1.46199e-06,0.0118166,-0.00176684,-0.000292397,0.99938,-0.00264066,0.0351007,-2.06635e-05,0.589698,0.133357,-0.704787,35.1875,1,63044,6352986
right,14,6,0.999381,-0.00259476,0.0350914,-1.89389e-05,-0.670338,-0.0482115,9.78717,-0.466396,-0.12211,0.781909,-0.00670511,-0.000491049,0.0978716,1,4.54504e-05,-8.87749e-06,2.74747e-06,0.00909007,-0.0017755,0.000549495,0.999381,-0.00259476,0.0350914,-1.89389e-05,0.589772,0.133303,-0.701758,35.1875,1,63045,6353086
left,32,1,0.999381,-0.00259476,0.0350914,-1.89389e-05,-0.670338,-0.0482115,9.78717,-0.466396,-0.12211,0.781909,-0.00670511,-0.000491049,0.0978716,1,4.54504e-05,-8.87749e-06,2.74747e-06,0.00909007,-0.0017755,0.000549495,0.999381,-0.00259476,0.0350914,-1.89389e-05,0.589772,0.133303,-0.701758,35.1875,1,63045,6353086
left,32,2,0.999381,-0.00259476,0.0350914,-1.89389e-05,-0.670338,-0.0482115,9.78717,-0.466396,-0.12211,0.781909,-0.00670511,-0.000491049,0.0978716,1,4.54504e-05,-8.87749e-06,2.74747e-06,0.00909007,-0.0017755,0.000549495,0.999381,-0.00259476,0.0350914,-1.89389e-05,0.589772,0.133303,-0.701758,35.1875,1,63045,6353086
left,32,3,0.999381,-0.00254468,0.0350797,-2.71152e-05,-0.658127,-0.0406162,9.78885,-0.456455,-0.116687,0.782979,-0.00658352,-0.000415894,0.0978883,1,5.01332e-05,-1.14774e-05,-6.30314e-06,0.0100266,-0.00229547,-0.00126063,0.999381,-0.00254468,0.0350797,-2.71152e-05,0.588365,0.131843,-0.701279,35.1875,1,63046,6353186
