source,frame_id,point_id,x,y,z,doppler,snr,noise
left,12712,1,-1.6785,1.1936,2.4684,0,123,577
left,12712,2,1.0532,4.0515,-0.9215,0,178,635
left,12712,3,-1.4218,4.779,-1.2638,0,175,595
left,12712,4,1.7509,2.3224,-0.7372,5.3569,130,373
left,1,1,-1.6785,1.1936,2.4684,0,119,581
left,1,2,1.0532,4.0515,-0.9215,0,177,635
left,1,3,-1.4218,4.779,-1.2638,0,173,597
left,1,4,1.7509,2.3224,-0.7372,5.3569,138,369
left,2,1,-1.6785,1.1936,2.4684,0,122,578
left,2,2,1.0532,4.0515,-0.9215,0,177,635
left,2,3,-1.4218,4.779,-1.2638,0,173,597
left,2,4,1.7509,2.3497,-0.6451,5.3569,119,386
left,3,1,-1.6785,1.1936,2.4684,0,123,577
left,3,2,1.0532,4.0515,-0.9215,0,179,634
left,3,3,-1.4218,4.779,-1.2638,0,175,596
left,3,4,1.843,2.25,-0.7372,5.3569,131,368
left,3,5,0.5792,0.3494,-0.5266,-9.2257,157,356
left,3,6,0.3686,0.5416,0.5412,-9.2257,157,356
left,4,1,-1.6785,1.1936,2.4684,0,120,580
left,4,2,1.0532,4.0515,-0.9215,0,180,632
left,4,3,-1.4218,4.779,-1.2638,0,175,595
left,4,4,1.843,2.2781,-0.6451,5.3569,139,365
left,5,1,-1.6785,1.1936,2.4684,0,120,580
left,5,2,1.0532,4.0515,-0.9215,0,180,633
left,5,3,-1.4218,4.779,-1.2638,0,175,595
left,5,4,1.7509,2.3497,-0.6451,5.3569,140,367
left,6,1,-1.6785,1.1936,2.4684,0,120,581
left,6,2,1.0532,4.0515,-0.9215,0,179,634
left,6,3,-1.4218,4.779,-1.2638,0,175,596
left,6,4,1.843,2.2781,-0.6451,5.3569,121,379
left,6,5,1.7509,2.3224,-0.7372,8.0353,133,360
left,7,1,-1.6785,1.1936,2.4684,0,121,579
left,7,2,1.0532,4.0515,-0.9215,0,178,634
left,7,3,-1.4218,4.779,-1.2638,0,174,596
left,7,4,1.7509,2.3224,-0.7372,5.3569,130,375
left,8,1,-1.6785,1.1936,2.4684,0,122,578
left,8,2,1.0532,4.0515,-0.9215,0,178,634
left,8,3,-1.4218,4.779,-1.2638,0,174,596
left,8,4,1.7509,2.3497,-0.6451,5.3569,122,386
left,8,5,1.843,2.2781,-0.6451,8.0353,128,368
left,9,1,-1.6785,1.1936,2.4684,0,120,580
left,9,2,1.0532,4.0515,-0.9215,0,177,635
left,9,3,-1.4218,4.779,-1.2638,0,173,597
left,9,4,1.7509,2.3224,-0.7372,5.3569,127,377
left,10,1,-1.6785,1.1936,2.4684,0,117,583
left,10,2,1.0532,4.0515,-0.9215,0,177,635
left,10,3,-1.4218,4.779,-1.2638,0,174,597
left,10,4,1.7509,2.3224,-0.7372,5.3569,144,360
left,11,1,-1.6785,1.1936,2.4684,0,121,579
left,11,2,1.0532,4.0515,-0.9215,0,177,635
left,11,3,-1.4218,4.779,-1.2638,0,173,597
left,11,4,1.843,2.25,-0.7372,5.3569,128,379
left,12,1,-1.6785,1.1936,2.4684,0,121,579
left,12,2,1.0532,4.0515,-0.9215,0,177,635
left,12,3,-1.4218,4.779,-1.2638,0,174,597
left,12,4,1.7509,2.3224,-0.7372,5.3569,133,370
left,10,1,-1.6785,1.1936,2.4684,0,121,579
left,10,2,1.0532,4.0515,-0.9215,0,178,634
