source,frame_id,point_id,x,y,z,doppler,snr,noise
left,1,2,0.8651,2.3314,-0.7078,0,180,673
left,1,3,-2.5425,3.4991,-0.8029,0,120,678
left,1,4,-1.7302,4.6628,1.4156,0,125,618
left,2,2,0,1.691,-0.5399,0,115,563
left,2,3,0.8651,2.3314,-0.7078,0,180,673
left,2,4,-2.6763,3.4268,-0.6691,0,120,679
left,2,5,-1.7302,4.6628,1.4156,0,125,618
left,3,1,0.8651,2.3314,-0.7078,0,180,672
left,3,2,-2.5425,3.4991,-0.8029,0,120,679
left,3,3,-1.7302,4.6628,1.4156,0,125,618
left,4,1,0.8651,2.3314,-0.7078,0,180,672
left,4,2,-2.6763,3.4268,-0.6691,0,120,678
left,4,3,-1.7302,4.6628,1.4156,0,125,618
left,20,2,0.8651,2.3314,-0.7078,0,180,672
left,20,3,-2.5425,3.4991,-0.8029,0,120,678
left,20,4,-1.7302,4.6628,1.4156,0,124,618
left,21,2,0.8651,2.3314,-0.7078,0,180,672
left,21,3,-2.5425,3.4991,-0.8029,0,120,678
left,21,4,-1.7302,4.6628,1.4156,0,125,618
left,22,1,0.8651,2.3314,-0.7078,0,179,673
left,22,2,-2.6763,3.4268,-0.6691,0,120,678
left,22,3,-1.7302,4.6628,1.4156,0,125,617
left,23,2,0.8651,2.3314,-0.7078,0,180,673
left,23,3,-2.6763,3.4268,-0.6691,0,120,678
left,23,4,-1.7302,4.6628,1.4156,0,124,618
left,24,2,0.8651,2.3314,-0.7078,0,180,673
left,24,3,-2.6763,3.4268,-0.6691,0,120,678
left,24,4,-1.7302,4.6628,1.4156,0,124,618
left,25,1,-0.0481,1.5451,-0.3369,0,126,579
left,25,2,0.8651,2.3314,-0.7078,0,180,672
left,25,3,-2.6763,3.4268,-0.6691,0,120,678
left,25,4,-1.7302,4.6628,1.4156,0,124,618
left,26,2,0.8651,2.3314,-0.7078,0,180,672
left,26,3,-2.6763,3.4268,-0.6691,0,120,678
left,26,4,-1.7302,4.6628,1.4156,0,124,619
left,27,1,0.8651,2.3314,-0.7078,0,180,672
left,27,2,-2.6763,3.4268,-0.6691,0,120,678
left,27,3,-1.7302,4.6628,1.4156,0,125,618
left,28,2,0.8651,2.3314,-0.7078,0,180,673
left,28,3,-2.6763,3.4268,-0.6691,0,120,678
left,28,4,-1.7302,4.6628,1.4156,0,124,618
left,29,1,0.8651,2.3314,-0.7078,0,180,673
left,29,2,-2.5425,3.4991,-0.8029,0,119,679
left,29,3,-1.7302,4.6628,1.4156,0,124,618
left,30,2,0.8651,2.3314,-0.7078,0,180,673
left,30,3,-2.5425,3.4991,-0.8029,0,120,678
left,30,4,-1.7302,4.6628,1.4156,0,125,617
left,31,2,0.8651,2.3314,-0.7078,0,180,673
left,31,3,-2.6763,3.4268,-0.6691,0,120,678
left,31,4,-1.7302,4.6628,1.4156,0,125,618
left,32,2,0.8651,2.3314,-0.7078,0,180,673
left,32,3,-2.5425,3.4991,-0.8029,0,120,678
left,32,4,-1.7302,4.6628,1.4156,0,125,617
left,33,2,0.8651,2.3314,-0.7078,0,180,673
left,33,3,-2.6763,3.4268,-0.6691,0,120,678
left,33,4,-1.7302,4.6628,1.4156,0,125,617
left,34,2,0.8651,2.3314,-0.7078,0,180,673
left,34,3,-2.6763,3.4268,-0.6691,0,120,678
left,34,4,-1.7302,4.6628,1.4156,0,124,618
left,35,1,0.8651,2.3314,-0.7078,0,180,673
left,35,2,-2.6763,3.4268,-0.6691,0,120,678
left,35,3,-1.7302,4.6628,1.4156,0,125,617
left,36,2,0.8651,2.3314,-0.7078,0,180,673
left,36,3,-2.6763,3.4268,-0.6691,0,120,678
left,36,4,-1.7302,4.6628,1.4156,0,123,619
left,37,2,0.8651,2.3314,-0.7078,0,180,672
left,37,3,-2.6763,3.4268,-0.6691,0,120,678
left,37,4,-1.7302,4.6628,1.4156,0,124,618
left,38,2,0.8651,2.3314,-0.7078,0,180,672
left,38,3,-2.6763,3.4268,-0.6691,0,120,678
left,38,4,-1.7302,4.6628,1.4156,0,123,619
left,39,1,0.8651,2.3314,-0.7078,0,180,673
left,39,2,-2.6763,3.4268,-0.6691,0,120,678
left,39,3,-1.7302,4.6628,1.4156,0,124,618
left,40,2,0.8651,2.3314,-0.7078,0,180,672
left,40,3,-2.6763,3.4268,-0.6691,0,120,679
left,40,4,-1.7302,4.6628,1.4156,0,124,618
left,41,2,0.8651,2.3314,-0.7078,0,180,673
left,41,3,-2.6763,3.4268,-0.6691,0,120,678
left,41,4,-1.7302,4.6628,1.4156,0,124,618
left,42,2,0.8651,2.3314,-0.7078,0,180,673
left,42,3,-2.6763,3.4268,-0.6691,0,120,678
left,42,4,-1.7302,4.6628,1.4156,0,125,617
left,43,2,0.8651,2.3314,-0.7078,0,180,673
left,43,3,-2.6763,3.4268,-0.6691,0,120,678
left,43,4,-1.7302,4.6628,1.4156,0,124,618
left,44,3,-0.054,1.6901,-0.5399,0,114,565
left,44,4,0.8651,2.3314,-0.7078,0,180,673
left,44,5,-2.6763,3.4268,-0.6691,0,120,678
left,44,6,-1.7302,4.6628,1.4156,0,124,618
left,45,1,0,1.5556,-0.2888,0,207,503
left,45,2,0.8651,2.3314,-0.7078,0,180,673
left,45,3,-2.6763,3.4268,-0.6691,0,120,678
left,45,4,-1.7302,4.6628,1.4156,0,125,618
left,46,2,0.8651,2.3314,-0.7078,0,180,673
left,46,3,-2.6763,3.4268,-0.6691,0,120,678
left,46,4,-1.7302,4.6628,1.4156,0,126,617
left,47,1,0.8651,2.3314,-0.7078,0,180,673
left,47,2,-2.6763,3.4268,-0.6691,0,120,678
left,47,3,-1.7302,4.6628,1.4156,0,124,618
left,48,2,0.8651,2.3314,-0.7078,0,180,673
left,48,3,-2.6763,3.4268,-0.6691,0,120,679
left,48,4,-1.7302,4.6628,1.4156,0,124,618
left,49,2,0.8651,2.3314,-0.7078,0,180,673
left,49,3,-2.6763,3.4268,-0.6691,0,120,678
left,49,4,-1.7302,4.6628,1.4156,0,123,618
left,50,2,0.8651,2.3314,-0.7078,0,181,672
left,50,3,-2.6763,3.4268,-0.6691,0,120,678
left,50,4,-1.7302,4.6628,1.4156,0,124,618
left,51,1,0.8651,2.3314,-0.7078,0,180,673
left,51,2,-2.6763,3.4268,-0.6691,0,120,678
left,51,3,-1.7302,4.6628,1.4156,0,124,618
left,52,2,0.8651,2.3314,-0.7078,0,180,672
left,52,3,-2.6763,3.4268,-0.6691,0,120,678
left,52,4,-1.7302,4.6628,1.4156,0,126,616
left,53,1,0.8651,2.3314,-0.7078,0,180,672
