source,frame_id,point_id,x,y,z,doppler,snr,noise
left,2,1,0.0395,1.2231,-0.3949,0,113,660
left,6,1,0.0395,1.2231,-0.3949,0,113,660
left,7,1,0.0395,1.2231,-0.3949,0,113,659
left,8,1,0.0395,1.2231,-0.3949,0,113,659
left,10,1,0.0395,1.2352,-0.3554,0,114,658
left,11,1,0.0395,1.2352,-0.3554,0,114,659
left,15,1,0.237,1.5299,2.0537,0,115,621
left,16,1,0.0395,1.2552,-0.2765,0,115,665
left,16,2,0.3159,1.6171,1.9747,0,123,614
left,17,1,0.0395,1.2552,-0.2765,0,116,665
left,17,2,0.3159,1.6171,1.9747,0,123,611
left,18,1,0,1.2639,-0.237,0,120,663
left,19,1,-0.0987,1.0251,-0.2962,0,119,662
left,20,1,-0.1316,1.0214,-0.2962,0,126,653
left,20,2,0.1843,1.4425,-0.3686,0,135,634
left,30,1,-0.1316,0.8322,-0.158,0,141,644
left,30,2,0.0922,1.4622,-0.3225,0,138,634
left,31,1,-0.1316,0.8322,-0.158,0,142,643
left,31,2,0.0922,1.4622,-0.3225,0,139,632
left,32,1,-0.1316,0.8322,-0.158,0,140,645
left,32,2,0.0922,1.4622,-0.3225,0,135,635
left,33,1,-0.158,0.8277,-0.158,0,140,645
left,33,2,0.0461,1.4644,-0.3225,0,135,634
left,34,1,-0.158,0.8277,-0.158,0,140,645
left,34,2,0.0461,1.4644,-0.3225,0,136,634
left,35,1,-0.1316,0.8322,-0.158,0,140,644
left,35,2,0.0461,1.4644,-0.3225,0,136,634
left,36,1,-0.1316,0.8322,-0.158,0,141,644
left,36,2,0.0461,1.4644,-0.3225,0,137,633
left,37,1,-0.1316,0.8322,-0.158,0,141,644
left,37,2,0.0461,1.4644,-0.3225,0,136,634
left,38,1,-0.1316,0.8322,-0.158,0,141,644
left,38,2,0.0461,1.4644,-0.3225,0,137,633
left,39,1,-0.1316,0.8322,-0.158,0,141,644
left,39,2,0.0461,1.4644,-0.3225,0,138,633
left,40,1,-0.1316,0.8322,-0.158,0,143,643
left,40,2,0.0922,1.4622,-0.3225,0,139,633
left,41,1,-0.1316,0.8268,-0.1843,0,143,643
left,41,2,0.0922,1.4622,-0.3225,0,136,636
left,42,1,-0.1316,0.8268,-0.1843,0,146,640
left,42,2,0.1353,1.4477,-0.3686,0,132,638
left,43,1,-0.1316,0.8268,-0.1843,0,140,645
left,43,2,0.0922,1.4513,-0.3686,0,123,643
left,44,1,-0.1843,0.8222,-0.158,0,139,647
left,44,2,0.0922,1.4622,-0.3225,0,135,642
left,45,1,-0.237,0.8133,-0.1316,0,129,656
left,45,2,0.0461,1.4644,-0.3225,0,125,654
left,46,1,-0.2896,0.8,-0.1053,0,122,654
left,46,2,0.0922,1.4513,-0.3686,0,116,655
left,47,1,-0.3159,0.5596,-0.0197,0,126,653
left,47,2,-0.1975,1.0346,-0.1975,0,126,641
left,47,3,-0.8886,0.4771,-0.362,0,126,641
left,47,4,0.0922,1.4513,-0.3686,0,130,642
left,48,1,-0.3554,0.5358,0,0,117,658
left,48,2,0,1.4651,-0.3225,0,141,645
left,49,1,0.0922,1.4513,-0.3686,0,123,652
left,50,1,0.0395,1.2552,-0.2765,0,135,657
left,51,1,-0.0395,1.2552,-0.2765,0,139,647
left,52,1,-0.0395,1.2633,-0.237,0,164,633
left,53,1,-0.3159,0.7811,-0.158,0,127,656
left,53,2,0.0395,1.2459,-0.3159,0,144,654
left,54,1,-0.3686,0.7722,-0.0527,0,130,655
left,54,2,0.0395,1.2352,-0.3554,0,153,648
left,55,1,0,1.2238,-0.3949,0,143,651
left,56,1,-0.0395,1.2352,-0.3554,0,140,669
left,57,1,0,1.2238,-0.3949,0,127,673
left,58,1,0.0461,1.4535,-0.3686,0,117,673
left,59,1,-0.2765,0.5775,-0.0592,0,114,658
left,59,2,0.0461,1.4535,-0.3686,0,142,652
left,60,1,0,1.4651,-0.3225,0,158,639
left,61,1,0,1.2639,-0.237,0,124,673
left,62,1,0.0461,1.4535,-0.3686,0,140,649
left,63,1,0,1.2558,-0.2765,0,147,647
left,64,1,-0.0395,1.2459,-0.3159,0,136,656
left,65,1,0,1.2358,-0.3554,0,123,660
left,65,2,0.158,1.1586,2.2906,0,122,621
left,66,1,-0.0395,1.2552,-0.2765,0,148,653
left,67,1,-0.0395,1.2459,-0.3159,-0.2976,145,626
left,68,1,0.0395,1.2633,-0.237,0,124,645
left,68,2,0.2172,1.5783,1.7377,0,114,607
left,69,1,0,1.2558,-0.2765,0,120,644
left,69,2,-1.1453,0.5345,-0.237,0,120,644
left,70,1,-0.0395,1.2459,-0.3159,0,135,650
left,71,1,-0.0395,1.2459,-0.3159,0,139,660
left,72,1,-0.0395,1.2459,-0.3159,0,131,644
left,74,1,0,1.2465,-0.3159,0,126,652
left,75,1,-0.0395,1.2097,-0.4344,0,133,655
left,76,1,-0.079,1.244,-0.3159,0,126,666
left,79,1,-0.0395,1.2459,-0.3159,0,119,657
left,81,1,-0.0395,1.27,-0.1975,-0.2976,130,623
left,82,1,0.0395,1.2459,-0.3159,0,118,652
left,83,1,-0.079,1.2333,-0.3554,-0.2976,157,621
left,84,1,-0.079,1.2212,-0.3949,0,128,649
left,84,2,-0.079,1.2333,-0.3554,-0.2976,157,619
left,85,1,-0.0395,1.2459,-0.3159,-0.2976,145,622
left,86,1,-0.079,1.2534,-0.2765,0,135,641
left,87,1,-0.1185,1.2502,-0.2765,0,155,633
left,88,1,-0.1185,1.2583,-0.237,0,135,649
left,89,1,-0.079,1.244,-0.3159,-0.2976,161,613
left,90,1,-0.0395,1.2352,-0.3554,-0.2976,161,620
left,91,1,-0.079,1.244,-0.3159,0,136,645
left,92,1,-0.079,1.2534,-0.2765,-0.2976,138,625
left,93,1,-0.3159,0.786,-0.1316,0,155,637
left,96,1,-0.0922,1.4247,-0.4608,-0.2976,115,605
left,98,1,-0.3423,0.7572,-0.2106,0,133,659
left,98,2,-0.1843,1.43,-0.4147,-0.2976,115,632
left,99,1,-0.2633,0.9956,-0.2962,-0.2976,140,637
