source,frame_id,point_id,x,y,z,doppler,snr,noise
right,12712,1,0.2167,3.5964,-0.5417,0,121,488
right,12712,2,-2.8107,3.388,-0.9369,0,161,563
right,12712,3,4.385,7.989,-1.3703,0,146,472
right,12712,4,-1.3384,2.6117,-0.6246,5.1869,222,345
right,1,1,0.4334,3.5587,-0.6501,0,120,492
right,1,2,-0.9751,3.2608,1.3002,0,120,492
right,1,3,-1.8419,2.9088,-1.1918,0,120,492
right,1,4,-2.8107,3.388,-0.9369,0,159,569
right,1,5,4.385,7.989,-1.3703,0,145,478
right,1,6,-1.3384,2.6117,-0.6246,5.1869,231,337
right,2,1,-2.8107,3.388,-0.9369,0,162,566
right,2,2,4.385,7.989,-1.3703,0,142,480
right,2,3,-1.3384,2.6117,-0.6246,5.1869,221,348
right,3,1,-0.8668,3.3689,1.0835,0,122,492
right,3,2,0.5417,3.562,-0.5417,0,122,492
right,3,3,1.5169,2.7533,1.8419,0,122,492
right,3,4,-2.8107,3.388,-0.9369,0,163,565
right,3,5,4.385,7.989,-1.3703,0,142,480
right,3,6,-1.3384,2.6117,-0.6246,5.1869,218,350
right,4,1,-0.8668,3.3321,1.1918,0,126,489
right,4,2,1.6252,2.7618,1.7336,0,126,489
right,4,3,-2.8107,3.388,-0.9369,0,162,566
right,4,4,4.385,7.989,-1.3703,0,143,478
right,4,5,-1.3384,2.6117,-0.6246,5.1869,228,341
right,5,1,-0.8668,3.2913,1.3002,0,122,489
right,5,2,-1.3002,3.188,-1.1918,0,122,489
right,5,3,1.6252,2.6908,1.8419,0,122,489
right,5,4,-2.8107,3.388,-0.9369,0,162,565
right,5,5,4.385,7.989,-1.3703,0,138,483
right,5,6,-1.4277,2.5641,-0.6246,5.1869,221,348
right,6,1,-0.9751,3.1659,1.5169,0,120,488
right,6,2,-0.325,3.4276,-1.1918,0,120,488
right,6,3,-0.4334,3.4515,-1.0835,0,120,488
right,6,4,-2.8107,3.388,-0.9369,0,161,566
right,6,5,4.385,7.989,-1.3703,0,142,480
right,6,6,-1.4277,2.5641,-0.6246,5.1869,218,349
right,7,1,0.1147,3.7941,-0.6883,0,117,500
right,7,2,-2.8107,3.388,-0.9369,0,162,565
right,7,3,4.385,7.989,-1.3703,0,144,478
right,7,4,-1.3384,2.6117,-0.6246,5.1869,225,345
right,8,1,0.1147,3.8131,-0.5736,0,122,501
right,8,2,-2.8107,3.388,-0.9369,0,163,565
right,8,3,4.385,7.989,-1.3703,0,146,475
right,8,4,-1.3384,2.6117,-0.6246,5.1869,228,342
right,9,1,0.1147,3.8131,-0.5736,0,125,498
right,9,2,-2.8107,3.388,-0.9369,0,162,566
right,9,3,4.659,7.8323,-1.3703,0,145,477
right,9,4,-1.3384,2.6117,-0.6246,5.1869,226,340
right,10,1,0.1147,3.7941,-0.6883,0,124,501
right,10,2,-2.8107,3.388,-0.9369,0,162,566
right,10,3,4.659,7.8323,-1.3703,0,146,475
right,10,4,-1.3384,2.6117,-0.6246,5.1869,218,351
right,11,1,0.1147,3.7941,-0.6883,0,125,501
right,11,2,-2.8107,3.388,-0.9369,0,163,565
right,11,3,4.659,7.8323,-1.3703,0,145,475
right,11,4,-1.3384,2.6117,-0.6246,5.1869,222,348
right,12,1,0.1147,3.7941,-0.6883,0,127,498
right,12,2,-2.8107,3.388,-0.9369,0,164,565
right,12,3,4.659,7.8323,-1.3703,0,144,477
right,12,4,-1.3384,2.6117,-0.6246,5.1869,213,354
right,10,1,-0.1083,3.5833,-0.6501,0,135,489
right,10,2,-2.8107,3.388,-0.9369,0,162,566
right,10,3,4.659,7.8323,-1.3703,0,145,476
right,10,4,-1.4277,2.5641,-0.6246,5.1869,227,343
right,14,1,0.1147,3.8286,-0.4589,0,129,500
right,14,2,-2.8107,3.388,-0.9369,0,160,567
right,14,3,4.659,7.8323,-1.3703,0,146,476
right,14,4,-1.3384,2.6117,-0.6246,5.1869,219,351
right,15,1,-0.1083,3.5833,-0.6501,0,142,490
right,15,2,-2.8107,3.388,-0.9369,0,162,566
right,15,3,4.659,7.8323,-1.3703,0,145,476
right,15,4,-1.4277,2.5641,-0.6246,5.1869,214,353
right,16,1,-0.2167,3.557,-0.7584,0,134,488
right,16,2,-2.8107,3.388,-0.9369,0,160,567
right,16,3,4.659,7.8323,-1.3703,0,147,474
right,16,4,-1.3384,2.6117,-0.6246,5.1869,221,349
right,17,1,-0.6501,3.4786,-0.8668,0,117,489
right,17,2,-0.8668,3.1435,1.6252,0,117,489
right,17,3,-2.8107,3.388,-0.9369,0,163,564
right,17,4,4.659,7.8323,-1.3703,0,145,476
right,17,5,-1.4277,2.5641,-0.6246,5.1869,217,352
right,18,1,-0.8668,3.1972,1.5169,0,120,489
right,18,2,-0.9751,3.3391,-1.0835,0,120,489
right,18,3,1.7336,2.5427,1.9503,0,120,489
right,18,4,-2.8107,3.388,-0.9369,0,163,564
right,18,5,4.659,7.8323,-1.3703,0,143,478
right,18,6,-1.3384,2.6117,-0.6246,5.1869,219,348
right,19,1,-0.8668,3.1972,1.5169,0,122,488
right,19,2,-0.9751,3.3391,-1.0835,0,122,488
