source,frame_id,point_id,x,y,z,doppler,snr,noise
right,1,1,0.0055,0.0599,-0.0109,0,235,430
right,1,2,-0.982,1.5453,0.1091,0,223,452
right,1,3,-1.193,2.1,-0.6711,0,123,671
right,2,1,0.0055,0.0602,-0.0091,0,240,423
right,2,2,-0.982,1.5453,0.1091,0,236,440
right,2,3,-1.193,2.1,-0.6711,0,123,671
right,2,4,0,2.6723,-0.6547,0,114,659
right,3,1,0.0055,0.0602,-0.0091,0,228,436
right,3,2,-0.982,1.5453,0.1091,0,243,432
right,3,3,-1.193,2.1,-0.6711,0,124,670
right,3,4,0,2.6723,-0.6547,0,115,658
right,4,1,0.0055,0.0599,-0.0109,0,235,430
right,4,2,-0.982,1.5453,0.1091,0,223,453
right,4,3,-1.193,2.1,-0.6711,0,123,671
right,4,4,0,2.6723,-0.6547,0,113,659
right,8,1,0.0055,0.0602,-0.0091,0,238,427
right,8,2,-0.982,1.5453,0.1091,0,224,451
right,8,3,0.7002,1.9969,-0.3183,0,126,588
right,8,4,-1.193,2.1,-0.6711,0,121,672
right,9,1,-0.982,1.5453,0.1091,0,231,444
right,9,2,-1.1184,2.1407,-0.6711,0,122,671
right,10,1,0.0055,0.0602,-0.0091,0,223,440
right,10,2,-0.982,1.5453,0.1091,0,229,447
right,10,3,-1.1184,2.1407,-0.6711,0,119,673
right,11,1,0.0055,0.0602,-0.0091,0,233,429
right,11,2,-0.982,1.5453,0.1091,0,231,444
right,11,3,-1.193,2.1,-0.6711,0,113,679
right,12,1,-0.982,1.5453,0.1091,0,231,445
right,10,1,-0.982,1.5453,0.1091,0,230,445
right,10,2,0.8657,1.8645,-0.3092,0,142,560
right,14,1,-0.982,1.5453,0.1091,0,225,450
right,15,1,-0.982,1.5453,0.1091,0,216,459
right,15,2,0.7002,1.9969,0.3183,0,120,595
right,16,1,0.0055,0.0602,-0.0091,0,232,430
right,16,2,-0.982,1.5453,0.1091,0,231,444
right,16,3,0.7002,1.9857,0.3819,0,120,592
right,16,4,0.7638,1.8949,-0.6365,0,120,592
right,17,1,-0.982,1.5453,0.1091,0,230,445
right,17,2,0.7002,1.9857,0.3819,0,120,591
right,17,3,0.7002,1.8723,-0.7638,0,120,591
right,18,1,-0.982,1.5453,0.1091,0,216,459
right,18,2,0.7002,1.9857,0.3819,0,116,593
right,18,3,0.7002,1.8723,-0.7638,0,116,593
right,19,1,-0.982,1.5453,0.1091,0,226,449
right,19,2,0.7002,1.9857,0.3819,0,119,591
right,19,3,0.7002,1.897,-0.7002,0,119,591
right,20,1,0.0055,0.0602,-0.0091,0,226,438
right,20,2,-0.982,1.5453,0.1091,0,230,446
right,20,3,0.7002,1.9969,0.3183,0,119,590
right,20,4,0.7638,1.9151,-0.5729,0,119,590
right,21,1,0.0055,0.0602,-0.0091,0,225,438
right,21,2,-0.982,1.5453,0.1091,0,229,446
right,21,3,0.7638,1.933,-0.5092,0,117,590
right,21,4,0.7638,1.9949,0.1273,0,117,590
right,22,1,0.0055,0.0602,-0.0091,0,238,425
right,22,2,-0.982,1.5453,0.1091,0,240,435
