source,frame_id,point_id,x,y,z,doppler,snr,noise
right,3072,1,-0.1147,1.855,-0.5163,0,168,612
right,1,1,-0.0574,1.8576,-0.5163,0,170,613
right,2,1,-0.0574,1.8576,-0.5163,0,173,610
right,3,1,-0.0574,1.8576,-0.5163,0,170,613
right,4,1,-0.1147,1.855,-0.5163,0,172,611
right,5,1,-0.1147,1.855,-0.5163,0,167,616
right,6,1,-0.1147,1.855,-0.5163,0,169,615
right,6,2,0.153,0.2978,0.2677,-9.2212,153,356
right,7,1,-0.1147,1.855,-0.5163,0,169,615
right,8,1,-0.1147,1.855,-0.5163,0,170,615
right,9,1,-0.1147,1.855,-0.5163,0,170,615
right,10,1,-0.1147,1.855,-0.5163,0,171,614
right,11,1,-0.1147,1.855,-0.5163,0,171,615
right,12,1,-0.1147,1.855,-0.5163,0,171,614
right,10,1,-0.1147,1.855,-0.5163,0,171,615
right,14,1,-0.1147,1.855,-0.5163,0,170,615
right,15,1,-0.1147,1.855,-0.5163,0,170,615
right,16,1,-0.1147,1.855,-0.5163,0,170,615
right,17,1,-0.1147,1.855,-0.5163,0,170,615
right,18,1,-0.1147,1.855,-0.5163,0,171,614
right,19,1,-0.1147,1.855,-0.5163,0,170,615
right,20,1,-0.1147,1.855,-0.5163,0,170,615
right,21,1,-0.1147,1.855,-0.5163,0,170,615
right,22,1,-0.1147,1.855,-0.5163,0,171,614
right,23,1,-0.1147,1.855,-0.5163,0,172,613
right,24,1,-0.1147,1.855,-0.5163,0,176,610
right,25,1,-0.1147,1.855,-0.5163,0,174,612
right,26,1,-0.1147,1.855,-0.5163,0,172,614
right,27,1,-0.1147,1.855,-0.5163,0,173,615
right,28,1,-0.1147,1.855,-0.5163,0,170,618
right,29,1,0.3059,1.2006,-0.3442,0,113,628
right,29,2,-0.1147,1.855,-0.5163,0,172,617
right,30,1,0.3059,1.2006,-0.3442,0,116,627
right,30,2,-0.1147,1.855,-0.5163,0,171,618
right,31,1,0.2677,1.22,-0.3059,0,117,627
right,31,2,-0.1147,1.855,-0.5163,0,174,617
right,32,1,0.2677,1.22,-0.3059,0,117,624
right,32,2,-0.1147,1.855,-0.5163,0,178,614
right,33,1,-0.1147,1.855,-0.5163,0,173,619
right,34,1,-0.1147,1.855,-0.5163,0,183,610
right,35,1,-0.0574,1.8576,-0.5163,0,180,613
right,36,1,-0.0574,1.8576,-0.5163,0,184,612
right,37,1,-0.1147,1.87,-0.4589,0,189,606
right,38,1,-0.1147,1.855,-0.5163,0,194,603
right,39,1,-0.0574,1.8576,-0.5163,0,189,607
right,40,1,-0.1147,1.855,-0.5163,0,196,603
right,41,1,-0.1147,1.855,-0.5163,0,195,604
right,42,1,-0.0574,1.8407,-0.5736,0,187,613
right,43,1,-0.1147,1.855,-0.5163,0,191,608
right,44,1,0.2677,1.1982,-0.3824,0,113,610
right,44,2,-0.1147,1.855,-0.5163,0,193,607
right,45,1,0.3059,1.2109,-0.3059,0,115,622
right,45,2,-0.1147,1.855,-0.5163,0,188,614
right,46,1,-0.1147,1.855,-0.5163,0,185,616
right,47,1,-0.1147,1.855,-0.5163,0,183,620
right,48,1,-0.051,1.6512,-0.4589,0,195,611
right,49,1,-0.051,1.6512,-0.4589,0,198,609
right,50,1,-0.102,1.6622,-0.4079,0,201,607
right,51,1,-0.102,1.6622,-0.4079,0,203,604
right,52,1,-0.102,1.6622,-0.4079,-0.2882,233,577
right,53,1,-0.102,1.6622,-0.4079,-0.2882,221,591
right,54,1,-0.102,1.6622,-0.4079,-0.2882,232,582
right,55,1,-0.102,1.6622,-0.4079,-0.2882,239,578
right,56,1,-0.102,1.6622,-0.4079,-0.2882,228,592
right,57,1,-0.102,1.6622,-0.4079,-0.2882,233,588
right,58,1,-0.102,1.6622,-0.4079,-0.2882,235,588
right,59,1,-0.102,1.6622,-0.4079,-0.2882,230,595
right,60,1,-0.051,1.6645,-0.4079,-0.2882,239,588
right,61,1,-0.102,1.6622,-0.4079,-0.2882,236,592
right,62,1,-0.102,1.6622,-0.4079,-0.2882,235,594
right,63,1,-0.102,1.6622,-0.4079,-0.2882,248,581
right,64,1,-0.102,1.6622,-0.4079,-0.2882,249,581
right,65,1,-0.051,1.6645,-0.4079,-0.2882,241,589
right,66,1,-0.102,1.6622,-0.4079,-0.2882,240,589
right,67,1,-0.102,1.6622,-0.4079,-0.2882,229,597
right,68,1,-0.102,1.6622,-0.4079,-0.2882,247,577
right,69,1,-0.102,1.6622,-0.4079,-0.2882,233,588
right,70,1,-0.102,1.6622,-0.4079,-0.2882,254,564
right,71,1,-0.153,1.7949,1.8356,0,114,590
right,71,2,-0.102,1.6622,-0.4079,-0.2882,242,573
right,72,1,-0.102,1.6622,-0.4079,-0.2882,238,572
right,73,1,-0.102,1.6622,-0.4079,-0.2882,238,568
right,74,1,-0.102,1.6739,-0.3569,-0.2882,209,588
right,75,1,-0.102,1.6622,-0.4079,-0.2882,201,587
right,76,1,-0.102,1.6739,-0.3569,-0.2882,195,585
right,77,1,-0.102,1.6839,-0.3059,-0.2882,189,586
right,78,1,-0.102,1.6839,-0.3059,-0.2882,179,592
right,79,1,-0.102,1.6924,-0.2549,-0.2882,181,590
right,80,1,-0.102,1.6924,-0.2549,-0.2882,179,596
right,81,1,-0.102,1.6924,-0.2549,-0.2882,191,585
right,82,1,0.4143,0.9628,-0.2231,-0.2882,115,606
right,82,2,-0.051,1.6863,-0.3059,-0.2882,190,586
right,83,1,-0.0446,1.4755,-0.2677,-0.2882,178,596
right,84,1,-0.0446,1.4667,-0.3123,-0.2882,176,604
right,85,1,-0.0446,1.4755,-0.2677,-0.2882,191,595
right,86,1,0,1.4674,-0.3123,-0.2882,205,588
right,87,1,-0.0446,1.4667,-0.3123,-0.2882,209,585
right,88,1,0,1.4674,-0.3123,-0.2882,195,602
right,89,1,0,1.4762,-0.2677,-0.2882,191,604
right,90,1,-0.0446,1.4667,-0.3123,-0.2882,165,620
right,91,1,0,1.4674,-0.3123,-0.2882,152,625
right,92,1,-0.0446,1.4755,-0.2677,-0.2882,133,625
right,93,1,-0.0892,1.4809,-0.2231,-0.2882,125,622
right,94,1,-0.0446,1.4829,-0.2231,-0.2882,148,605
right,95,1,-0.0446,1.4755,-0.2677,-0.2882,164,595
right,96,1,-0.0446,1.4755,-0.2677,-0.2882,194,582
right,97,1,-0.0446,1.4667,-0.3123,-0.2882,194,596
right,98,1,0,1.4572,-0.3569,-0.2882,211,587
right,99,1,0,1.4674,-0.3123,-0.2882,206,601
right,100,1,0,1.4674,-0.3123,-0.2882,195,614
right,101,1,-0.0446,1.4667,-0.3123,-0.2882,200,605
right,102,1,0,1.4572,-0.3569,-0.2882,185,612
right,103,1,-0.0446,1.4667,-0.3123,-0.2882,148,637
right,104,1,-0.0446,1.4565,-0.3569,-0.2882,155,623
right,105,1,0,1.4572,-0.3569,-0.2882,174,617
right,106,1,0,1.4572,-0.3569,-0.2882,183,614
right,107,1,0.0382,1.2384,-0.3442,-0.2882,182,625
right,108,1,0.0765,1.2253,-0.3824,-0.2882,193,611
right,109,1,0,1.4324,-0.4461,-0.2882,146,626
right,110,1,0.6119,0.5548,-0.2294,0,137,613
right,110,2,0,1.4572,-0.3569,-0.2882,123,623
