source,frame_id,point_id,x,y,z,doppler,snr,noise
right,1,1,-1.6953,1.3845,2.0523,0,139,579
right,1,2,-0.7138,2.8255,-0.7138,0,139,579
right,1,3,-3.2122,3.8264,-1.2237,0,124,580
right,2,1,-1.16,2.5872,-0.9815,0,132,587
right,2,2,-1.7846,1.8754,1.5169,0,132,587
right,2,3,-3.0593,3.8991,-1.3767,0,113,588
right,3,1,-1.2492,2.6072,-0.8031,0,138,580
right,3,2,-1.6953,1.9564,1.5169,0,138,580
right,4,1,-1.3384,2.5888,-0.7138,0,121,585
right,4,2,-1.3384,2.2745,1.4277,0,121,585
right,5,1,-1.4277,2.6011,-0.4461,0,118,584
right,5,2,-1.2492,2.3247,1.4277,0,118,584
right,6,1,-1.3384,2.6616,-0.3569,0,123,581
right,6,2,-1.2492,2.2674,1.5169,0,123,581
right,6,3,-3.0593,4.0318,-0.9178,0,119,577
right,7,1,-1.6061,1.3554,2.1415,0,131,578
right,7,2,-0.7138,2.7744,-0.8923,0,131,578
right,7,3,-2.7533,4.1688,-1.2237,0,116,580
right,8,1,-0.9815,2.6601,-0.9815,0,149,565
right,8,2,-0.7648,4.1221,-0.8923,0,114,602
right,8,3,3.9579,2.8035,-0.8795,0,125,568
right,9,1,-1.2492,2.633,-0.7138,0,135,565
right,9,2,-1.6061,2.0303,1.5169,0,135,565
right,9,3,0.6246,2.9006,-0.4461,0,135,565
right,9,4,-0.7648,4.1477,-0.7648,0,120,594
right,10,1,-1.6061,2.0303,1.5169,0,133,566
right,10,2,-1.4277,2.6011,-0.4461,0,133,566
right,10,3,-0.7648,4.1221,-0.8923,0,120,597
right,10,4,-1.3767,4.8389,-1.0707,0,138,571
right,11,1,-1.7846,1.6228,1.7846,0,148,564
right,11,2,-0.7138,2.7441,-0.9815,0,148,564
right,11,3,-0.7648,4.1221,-0.8923,0,129,592
right,11,4,3.9579,2.8035,-0.8795,0,115,570
right,11,5,-0.4398,4.6373,-1.6125,0,115,570
right,12,1,-1.6953,1.9564,1.5169,0,148,563
right,12,2,-1.16,2.6481,-0.8031,0,148,563
right,12,3,-0.6373,4.1142,-1.0198,0,123,598
right,12,4,-4.8948,1.2866,-0.9178,0,129,580
right,10,1,-1.8738,1.7065,1.6061,0,151,558
right,10,2,-1.4277,2.6011,-0.4461,0,151,558
right,10,3,-0.8795,4.7404,-1.0261,0,137,580
right,10,4,-3.0784,3.7106,-1.0261,0,137,580
right,14,1,-1.1472,2.8772,-0.8604,0,136,559
right,14,2,3.225,3.584,-1.0261,0,120,586
right,14,3,-3.6648,3.1771,-0.8795,0,120,586
right,15,1,-1.16,2.6958,-0.6246,0,146,549
right,15,2,-1.3384,2.2745,1.4277,0,146,549
right,15,3,-0.7648,4.1221,-0.8923,0,117,598
right,15,4,-3.0593,3.9497,-1.2237,0,125,585
right,16,1,-1.16,2.6194,-0.8923,0,139,549
right,17,1,-1.0516,2.9135,-0.8604,0,144,549
right,17,2,-2.4474,4.3955,-1.0707,0,122,581
right,18,1,-1.2428,2.8883,-0.6692,0,130,556
right,18,2,3.5182,3.3387,-0.8795,0,124,571
right,19,1,-1.2492,2.6556,-0.6246,0,141,555
right,19,2,-2.2945,4.4773,-1.0707,0,128,573
right,19,3,-5.7361,5.0777,-0.9178,0,114,489
right,20,1,-2.7533,4.2107,-1.0707,0,120,581
right,20,2,-1.0707,2.6569,-0.8923,-0.2882,145,542
right,21,1,-0.7011,4.4886,1.262,0,126,579
right,21,2,-1.0707,2.7324,-0.6246,-0.2882,122,562
right,22,1,-1.16,2.6735,-0.7138,-0.2882,131,565
right,22,2,-0.8031,4.3282,0.9369,-0.2882,119,577
right,22,3,-2.7533,4.2107,-1.0707,-0.2882,140,565
right,23,1,-0.9815,2.7441,-0.7138,-0.2882,142,555
right,23,2,-2.7533,4.2466,-0.9178,-0.2882,132,569
right,24,1,-0.9815,2.7193,-0.8031,-0.2882,135,564
right,24,2,-2.7533,4.2466,-0.9178,-0.2882,116,583
right,25,1,-1.0707,2.7105,-0.7138,-0.2882,141,563
right,25,2,-1.6061,1.9605,1.6061,-0.2882,141,563
right,26,1,-1.2492,2.675,-0.5354,-0.2882,149,555
right,26,2,-5.5067,5.2258,-1.3767,-0.2882,115,491
right,27,1,-1.2492,2.6556,-0.6246,-0.2882,144,560
right,27,2,-2.9063,4.219,-0.4589,-0.2882,114,578
right,27,3,-5.7361,4.9036,-1.6061,-0.2882,118,487
right,28,1,-1.16,2.6958,-0.6246,-0.2882,161,554
right,29,1,-1.2492,2.6556,-0.6246,-0.2882,127,580
right,29,2,0.4207,6.8566,1.6826,-0.2882,115,502
right,30,1,-1.2492,2.6556,-0.6246,-0.2882,134,577
right,30,2,-1.2492,2.2674,1.5169,-0.2882,134,577
right,30,3,-0.8031,4.3282,0.9369,-0.2882,118,589
right,30,4,-1.9057,4.4287,-1.0261,-0.2882,130,580
right,31,1,-1.2492,2.675,-0.5354,-0.2882,127,583
right,31,2,-1.0707,2.4121,1.4277,-0.2882,127,583
right,31,3,-0.8031,4.2615,1.2046,-0.2882,113,585
right,31,4,3.8113,3.0389,-0.733,-0.2882,127,575
right,31,5,-1.7591,4.3652,-1.4659,-0.2882,127,575
