frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999342,0.000787904,0.0362051,-0.00223809,-0.744542,-0.0944345,9.78034,0.304954,-0.31313,0.893009,-0.00744752,-0.000955642,0.0978031,1,5.74327e-05,-1.07401e-05,4.24338e-06,0.0114865,-0.00214802,0.000848677,0.999342,0.000787904,0.0362051,-0.00223809,-0.206109,0.201729,-0.937982,35.3125,1,8182,20533537
1,2,0.999342,0.000787904,0.0362051,-0.00223809,-0.626437,-0.706495,7.18669,0.304954,-0.31313,0.893009,-0.00626873,-0.00704741,0.0718683,1,-0.000121859,-3.01469e-05,-1.84637e-06,-0.0243719,-0.00602939,-0.000369273,0.999342,0.000787904,0.0362051,-0.00223809,0.572761,0.135417,-0.647591,35.25,1,12889,21005693
2,1,0.999342,0.000787904,0.0362051,-0.00223809,-0.626437,-0.706495,7.18669,0.304954,-0.31313,0.893009,-0.00626873,-0.00704741,0.0718683,1,-0.000121859,-3.01469e-05,-1.84637e-06,-0.0243719,-0.00602939,-0.000369273,0.999342,0.000787904,0.0362051,-0.00223809,0.572761,0.135417,-0.647591,35.25,1,12889,21005693
2,2,0.999342,0.000787904,0.0362051,-0.00223809,-0.626437,-0.706495,7.18669,0.304954,-0.31313,0.893009,-0.00626873,-0.00704741,0.0718683,1,-0.000121859,-3.01469e-05,-1.84637e-06,-0.0243719,-0.00602939,-0.000369273,0.999342,0.000787904,0.0362051,-0.00223809,0.572761,0.135417,-0.647591,35.25,1,12889,21005693
2,3,0.997875,-0.0485268,0.0434322,-0.00214272,-0.0415173,-0.21514,9.82248,0.360912,0.740787,0.700784,-0.000416002,-0.00217088,0.0982244,1,9.92176e-05,-3.73576e-06,-2.20035e-05,0.0198435,-0.000747153,-0.00440071,0.997875,-0.0485268,0.0434322,-0.00214272,0.574657,0.13494,-0.649126,35.25,1,12890,21005793
2,4,0.997875,-0.0485268,0.0434322,-0.00214272,-0.0415173,-0.21514,9.82248,0.360912,0.740787,0.700784,-0.000416002,-0.00217088,0.0982244,1,9.92176e-05,-3.73576e-06,-2.20035e-05,0.0198435,-0.000747153,-0.00440071,0.997875,-0.0485268,0.0434322,-0.00214272,0.574657,0.13494,-0.649126,35.25,1,12890,21005793
3,1,0.997875,-0.0485268,0.0434322,-0.00214272,-0.0415173,-0.21514,9.82248,0.360912,0.740787,0.700784,-0.000416002,-0.00217088,0.0982244,1,9.92176e-05,-3.73576e-06,-2.20035e-05,0.0198435,-0.000747153,-0.00440071,0.997875,-0.0485268,0.0434322,-0.00214272,0.574657,0.13494,-0.649126,35.25,1,12890,21005793
3,2,0.997877,-0.0484517,0.0434647,-0.00215854,-0.261636,-0.0541244,9.87894,0.121304,1.00854,0.769301,-0.00261022,-0.000555622,0.0987895,1,7.33195e-05,3.11904e-05,-2.06512e-05,0.0146639,0.00623808,-0.00413025,0.997877,-0.0484517,0.0434647,-0.00215854,0.576482,0.133551,-0.654216,35.25,1,12891,21005893
3,3,0.997877,-0.0484517,0.0434647,-0.00215854,-0.261636,-0.0541244,9.87894,0.121304,1.00854,0.769301,-0.00261022,-0.000555622,0.0987895,1,7.33195e-05,3.11904e-05,-2.06512e-05,0.0146639,0.00623808,-0.00413025,0.997877,-0.0484517,0.0434647,-0.00215854,0.576482,0.133551,-0.654216,35.25,1,12891,21005893
3,4,0.997877,-0.0484517,0.0434647,-0.00215854,-0.261636,-0.0541244,9.87894,0.121304,1.00854,0.769301,-0.00261022,-0.000555622,0.0987895,1,7.33195e-05,3.11904e-05,-2.06512e-05,0.0146639,0.00623808,-0.00413025,0.997877,-0.0484517,0.0434647,-0.00215854,0.576482,0.133551,-0.654216,35.25,1,12891,21005893
4,1,0.997878,-0.0483804,0.043525,-0.00216694,-0.546766,-0.0697823,9.72602,-0.180838,0.861375,0.62502,-0.00545569,-0.000711582,0.0972608,1,7.08551e-05,6.151e-05,-2.1439e-06,0.014171,0.012302,-0.00042878,0.997878,-0.0483804,0.043525,-0.00216694,0.578825,0.132131,-0.657794,35.25,1,12892,21005993
4,2,0.997878,-0.0483804,0.043525,-0.00216694,-0.546766,-0.0697823,9.72602,-0.180838,0.861375,0.62502,-0.00545569,-0.000711582,0.0972608,1,7.08551e-05,6.151e-05,-2.1439e-06,0.014171,0.012302,-0.00042878,0.997878,-0.0483804,0.043525,-0.00216694,0.578825,0.132131,-0.657794,35.25,1,12892,21005993
4,3,0.997878,-0.0483804,0.043525,-0.00216694,-0.546766,-0.0697823,9.72602,-0.180838,0.861375,0.62502,-0.00545569,-0.000711582,0.0972608,1,7.08551e-05,6.151e-05,-2.1439e-06,0.014171,0.012302,-0.00042878,0.997878,-0.0483804,0.043525,-0.00216694,0.578825,0.132131,-0.657794,35.25,1,12892,21005993
4,4,0.997882,-0.0483062,0.0435227,-0.0021832,-0.65129,0.0533662,9.80413,-0.315318,1.0291,0.680445,-0.00651298,0.000519327,0.0980414,1,7.39655e-05,-4.98889e-07,-1.29316e-05,0.0147931,-9.97779e-05,-0.00258632,0.997882,-0.0483062,0.0435227,-0.0021832,0.578324,0.132632,-0.658285,35.25,1,12893,21006093
5,1,0.997882,-0.0483062,0.0435227,-0.0021832,-0.65129,0.0533662,9.80413,-0.315318,1.0291,0.680445,-0.00651298,0.000519327,0.0980414,1,7.39655e-05,-4.98889e-07,-1.29316e-05,0.0147931,-9.97779e-05,-0.00258632,0.997882,-0.0483062,0.0435227,-0.0021832,0.578324,0.132632,-0.658285,35.25,1,12893,21006093
5,2,0.997882,-0.0483062,0.0435227,-0.0021832,-0.65129,0.0533662,9.80413,-0.315318,1.0291,0.680445,-0.00651298,0.000519327,0.0980414,1,7.39655e-05,-4.98889e-07,-1.29316e-05,0.0147931,-9.97779e-05,-0.00258632,0.997882,-0.0483062,0.0435227,-0.0021832,0.578324,0.132632,-0.658285,35.25,1,12893,21006093
5,3,0.997885,-0.0482288,0.0435351,-0.00220366,-0.450228,0.141625,9.91579,-0.0332943,1.15993,0.81092,-0.0044993,0.00140123,0.0991582,1,7.64392e-05,1.47972e-05,-1.622e-05,0.0152878,0.00295943,-0.00324399,0.997885,-0.0482288,0.0435351,-0.00220366,0.576946,0.131632,-0.656281,35.25,1,12894,21006193
5,4,0.997885,-0.0482288,0.0435351,-0.00220366,-0.450228,0.141625,9.91579,-0.0332943,1.15993,0.81092,-0.0044993,0.00140123,0.0991582,1,7.64392e-05,1.47972e-05,-1.622e-05,0.0152878,0.00295943,-0.00324399,0.997885,-0.0482288,0.0435351,-0.00220366,0.576946,0.131632,-0.656281,35.25,1,12894,21006193
5,5,0.997885,-0.0482288,0.0435351,-0.00220366,-0.450228,0.141625,9.91579,-0.0332943,1.15993,0.81092,-0.0044993,0.00140123,0.0991582,1,7.64392e-05,1.47972e-05,-1.622e-05,0.0152878,0.00295943,-0.00324399,0.997885,-0.0482288,0.0435351,-0.00220366,0.576946,0.131632,-0.656281,35.25,1,12894,21006193
5,6,0.997888,-0.0481734,0.0435087,-0.00223559,-0.522843,0.26687,9.78678,-0.121516,1.26096,0.683511,-0.00523287,0.00265842,0.0978678,1,5.41864e-05,-2.35526e-05,-3.11567e-05,0.0108373,-0.00471052,-0.00623135,0.997888,-0.0481734,0.0435087,-0.00223559,0.574566,0.133079,-0.654217,35.25,1,12895,21006293
6,1,0.997888,-0.0481734,0.0435087,-0.00223559,-0.522843,0.26687,9.78678,-0.121516,1.26096,0.683511,-0.00523287,0.00265842,0.0978678,1,5.41864e-05,-2.35526e-05,-3.11567e-05,0.0108373,-0.00471052,-0.00623135,0.997888,-0.0481734,0.0435087,-0.00223559,0.574566,0.133079,-0.654217,35.25,1,12895,21006293
6,2,0.997888,-0.0481734,0.0435087,-0.00223559,-0.522843,0.26687,9.78678,-0.121516,1.26096,0.683511,-0.00523287,0.00265842,0.0978678,1,5.41864e-05,-2.35526e-05,-3.11567e-05,0.0108373,-0.00471052,-0.00623135,0.997888,-0.0481734,0.0435087,-0.00223559,0.574566,0.133079,-0.654217,35.25,1,12895,21006293
6,3,0.997891,-0.0481524,0.0434633,-0.00227628,-0.334374,-0.0504969,9.75024,0.0649786,0.981528,0.635554,-0.00335183,-0.00050841,0.0975021,1,1.91022e-05,-4.12633e-05,-4.23527e-05,0.00382043,-0.00825266,-0.00847054,0.997891,-0.0481524,0.0434633,-0.00227628,0.575565,0.133044,-0.652708,35.25,1,12896,21006393
6,4,0.997891,-0.0481524,0.0434633,-0.00227628,-0.334374,-0.0504969,9.75024,0.0649786,0.981528,0.635554,-0.00335183,-0.00050841,0.0975021,1,1.91022e-05,-4.12633e-05,-4.23527e-05,0.00382043,-0.00825266,-0.00847054,0.997891,-0.0481524,0.0434633,-0.00227628,0.575565,0.133044,-0.652708,35.25,1,12896,21006393
