frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999481,-0.00320092,0.0320441,9.60479e-05,-0.6435,-0.0778841,9.78866,0.0598484,-0.51027,0.998595,-0.00643587,-0.000787673,0.0978865,1,4.39231e-05,-4.60065e-06,1.81402e-05,0.00878462,-0.00092013,0.00362803,0.999481,-0.00320092,0.0320441,9.60479e-05,0.0594642,0.517606,-0.9933,26.3125,1,7809,826579
1,2,0.999481,-0.00320092,0.0320441,9.60479e-05,-0.486166,-0.0538671,7.34472,0.0598484,-0.51027,0.998595,-0.00486498,-0.00054432,0.073447,1,3.77762e-05,-2.26349e-05,1.03064e-05,0.00755524,-0.00452698,0.00206127,0.999481,-0.00320092,0.0320441,9.60479e-05,0.0579408,0.511412,-1.00101,26.8125,1,9612,1008351
1,3,0.999481,-0.00320092,0.0320441,9.60479e-05,-0.486166,-0.0538671,7.34472,0.0598484,-0.51027,0.998595,-0.00486498,-0.00054432,0.073447,1,3.77762e-05,-2.26349e-05,1.03064e-05,0.00755524,-0.00452698,0.00206127,0.999481,-0.00320092,0.0320441,9.60479e-05,0.0579408,0.511412,-1.00101,26.8125,1,9612,1008351
1,4,0.999481,-0.00320092,0.0320441,9.60479e-05,-0.486166,-0.0538671,7.34472,0.0598484,-0.51027,0.998595,-0.00486498,-0.00054432,0.073447,1,3.77762e-05,-2.26349e-05,1.03064e-05,0.00755524,-0.00452698,0.00206127,0.999481,-0.00320092,0.0320441,9.60479e-05,0.0579408,0.511412,-1.00101,26.8125,1,9612,1008351
1,5,0.999447,-0.00365319,0.0330568,-0.00010699,-0.639237,-0.0841708,9.79312,0.0840769,-0.509263,1.00894,-0.00639384,-0.000850073,0.0979311,1,4.16227e-05,-7.63499e-06,1.66185e-05,0.00832453,-0.001527,0.0033237,0.999447,-0.00365319,0.0330568,-0.00010699,0.0555484,0.514314,-0.998405,26.8125,1,9613,1008451
1,6,0.999447,-0.00365319,0.0330568,-0.00010699,-0.639237,-0.0841708,9.79312,0.0840769,-0.509263,1.00894,-0.00639384,-0.000850073,0.0979311,1,4.16227e-05,-7.63499e-06,1.66185e-05,0.00832453,-0.001527,0.0033237,0.999447,-0.00365319,0.0330568,-0.00010699,0.0555484,0.514314,-0.998405,26.8125,1,9613,1008451
1,7,0.999447,-0.00365319,0.0330568,-0.00010699,-0.639237,-0.0841708,9.79312,0.0840769,-0.509263,1.00894,-0.00639384,-0.000850073,0.0979311,1,4.16227e-05,-7.63499e-06,1.66185e-05,0.00832453,-0.001527,0.0033237,0.999447,-0.00365319,0.0330568,-0.00010699,0.0555484,0.514314,-0.998405,26.8125,1,9613,1008451
1,8,0.999447,-0.00361233,0.0330527,-0.000118386,-0.630636,-0.076694,9.78769,0.0955746,-0.502151,1.00168,-0.00630501,-0.000779276,0.0978769,1,6.19237e-05,6.80022e-06,1.69836e-05,0.0123847,0.00136004,0.00339672,0.999447,-0.00361233,0.0330527,-0.000118386,0.0570131,0.516696,-0.995834,26.8125,1,9614,1008551
1,9,0.999447,-0.00361233,0.0330527,-0.000118386,-0.630636,-0.076694,9.78769,0.0955746,-0.502151,1.00168,-0.00630501,-0.000779276,0.0978769,1,6.19237e-05,6.80022e-06,1.69836e-05,0.0123847,0.00136004,0.00339672,0.999447,-0.00361233,0.0330527,-0.000118386,0.0570131,0.516696,-0.995834,26.8125,1,9614,1008551
1,10,0.999447,-0.00361233,0.0330527,-0.000118386,-0.630636,-0.076694,9.78769,0.0955746,-0.502151,1.00168,-0.00630501,-0.000779276,0.0978769,1,6.19237e-05,6.80022e-06,1.69836e-05,0.0123847,0.00136004,0.00339672,0.999447,-0.00361233,0.0330527,-0.000118386,0.0570131,0.516696,-0.995834,26.8125,1,9614,1008551
2,1,0.999447,-0.00355452,0.0330477,-0.000105624,-0.639989,-0.0789607,9.79352,0.0814759,-0.511392,1.00515,-0.00640106,-0.000801001,0.097935,1,5.74495e-05,-6.05372e-06,1.10418e-05,0.0114899,-0.00121074,0.00220836,0.999447,-0.00355452,0.0330477,-0.000105624,0.0584237,0.517189,-0.99684,26.8125,1,9615,1008651
2,2,0.999447,-0.00355452,0.0330477,-0.000105624,-0.639989,-0.0789607,9.79352,0.0814759,-0.511392,1.00515,-0.00640106,-0.000801001,0.097935,1,5.74495e-05,-6.05372e-06,1.10418e-05,0.0114899,-0.00121074,0.00220836,0.999447,-0.00355452,0.0330477,-0.000105624,0.0584237,0.517189,-0.99684,26.8125,1,9615,1008651
2,3,0.999447,-0.00355452,0.0330477,-0.000105624,-0.639989,-0.0789607,9.79352,0.0814759,-0.511392,1.00515,-0.00640106,-0.000801001,0.097935,1,5.74495e-05,-6.05372e-06,1.10418e-05,0.0114899,-0.00121074,0.00220836,0.999447,-0.00355452,0.0330477,-0.000105624,0.0584237,0.517189,-0.99684,26.8125,1,9615,1008651
2,4,0.999448,-0.00352106,0.0330382,-9.58615e-05,-0.633578,-0.0729487,9.78674,0.0882998,-0.507211,0.996875,-0.00633739,-0.000736216,0.0978673,1,3.35072e-05,-8.31306e-06,1.34463e-05,0.00670143,-0.00166261,0.00268926,0.999448,-0.00352106,0.0330382,-9.58615e-05,0.0588555,0.517222,-0.998861,26.8125,1,9616,1008751
2,5,0.999448,-0.00352106,0.0330382,-9.58615e-05,-0.633578,-0.0729487,9.78674,0.0882998,-0.507211,0.996875,-0.00633739,-0.000736216,0.0978673,1,3.35072e-05,-8.31306e-06,1.34463e-05,0.00670143,-0.00166261,0.00268926,0.999448,-0.00352106,0.0330382,-9.58615e-05,0.0588555,0.517222,-0.998861,26.8125,1,9616,1008751
2,6,0.999448,-0.00352106,0.0330382,-9.58615e-05,-0.633578,-0.0729487,9.78674,0.0882998,-0.507211,0.996875,-0.00633739,-0.000736216,0.0978673,1,3.35072e-05,-8.31306e-06,1.34463e-05,0.00670143,-0.00166261,0.00268926,0.999448,-0.00352106,0.0330382,-9.58615e-05,0.0588555,0.517222,-0.998861,26.8125,1,9616,1008751
2,7,0.999448,-0.00348646,0.0330385,-7.26213e-05,-0.641257,-0.0857128,9.80128,0.0797568,-0.52014,1.01362,-0.00641256,-0.000864073,0.0980127,1,3.38872e-05,-1.61899e-07,2.35474e-05,0.00677744,-3.23797e-05,0.00470949,0.999448,-0.00348646,0.0330385,-7.26213e-05,0.0573215,0.516818,-1.0029,26.8125,1,9617,1008851
2,8,0.999448,-0.00348646,0.0330385,-7.26213e-05,-0.641257,-0.0857128,9.80128,0.0797568,-0.52014,1.01362,-0.00641256,-0.000864073,0.0980127,1,3.38872e-05,-1.61899e-07,2.35474e-05,0.00677744,-3.23797e-05,0.00470949,0.999448,-0.00348646,0.0330385,-7.26213e-05,0.0573215,0.516818,-1.0029,26.8125,1,9617,1008851
2,9,0.999448,-0.00348646,0.0330385,-7.26213e-05,-0.641257,-0.0857128,9.80128,0.0797568,-0.52014,1.01362,-0.00641256,-0.000864073,0.0980127,1,3.38872e-05,-1.61899e-07,2.35474e-05,0.00677744,-3.23797e-05,0.00470949,0.999448,-0.00348646,0.0330385,-7.26213e-05,0.0573215,0.516818,-1.0029,26.8125,1,9617,1008851
2,10,0.999449,-0.00343921,0.0330205,-7.23807e-05,-0.647714,-0.0803626,9.78474,0.0708371,-0.517392,1.00468,-0.00648064,-0.000812633,0.0978471,1,4.59198e-05,-1.79055e-05,1.61485e-06,0.00918397,-0.00358109,0.000322969,0.999449,-0.00343921,0.0330205,-7.23807e-05,0.0559266,0.513903,-1.00296,26.8125,1,9618,1008951
3,1,0.999449,-0.00343921,0.0330205,-7.23807e-05,-0.647714,-0.0803626,9.78474,0.0708371,-0.517392,1.00468,-0.00648064,-0.000812633,0.0978471,1,4.59198e-05,-1.79055e-05,1.61485e-06,0.00918397,-0.00358109,0.000322969,0.999449,-0.00343921,0.0330205,-7.23807e-05,0.0559266,0.513903,-1.00296,26.8125,1,9618,1008951
3,2,0.999449,-0.00343921,0.0330205,-7.23807e-05,-0.647714,-0.0803626,9.78474,0.0708371,-0.517392,1.00468,-0.00648064,-0.000812633,0.0978471,1,4.59198e-05,-1.79055e-05,1.61485e-06,0.00918397,-0.00358109,0.000322969,0.999449,-0.00343921,0.0330205,-7.23807e-05,0.0559266,0.513903,-1.00296,26.8125,1,9618,1008951
3,3,0.999449,-0.00339026,0.0330036,-4.80679e-05,-0.636443,-0.0762344,9.79352,0.0834828,-0.515025,1.01324,-0.00636772,-0.000771893,0.097935,1,4.70859e-05,-1.69687e-05,2.55833e-05,0.00941718,-0.00339374,0.00511666,0.999449,-0.00339026,0.0330036,-4.80679e-05,0.056021,0.513352,-0.999439,26.8125,1,9619,1009051
3,4,0.999449,-0.00339026,0.0330036,-4.80679e-05,-0.636443,-0.0762344,9.79352,0.0834828,-0.515025,1.01324,-0.00636772,-0.000771893,0.097935,1,4.70859e-05,-1.69687e-05,2.55833e-05,0.00941718,-0.00339374,0.00511666,0.999449,-0.00339026,0.0330036,-4.80679e-05,0.056021,0.513352,-0.999439,26.8125,1,9619,1009051
3,5,0.999449,-0.00339026,0.0330036,-4.80679e-05,-0.636443,-0.0762344,9.79352,0.0834828,-0.515025,1.01324,-0.00636772,-0.000771893,0.097935,1,4.70859e-05,-1.69687e-05,2.55833e-05,0.00941718,-0.00339374,0.00511666,0.999449,-0.00339026,0.0330036,-4.80679e-05,0.056021,0.513352,-0.999439,26.8125,1,9619,1009051
3,6,0.999449,-0.00334673,0.0330064,-3.80974e-05,-0.632773,-0.0642822,9.79121,0.0926169,-0.499142,1.00758,-0.00632716,-0.000651499,0.0979121,1,4.35672e-05,2.85516e-06,1.14704e-05,0.00871344,0.000571032,0.00229407,0.999449,-0.00334673,0.0330064,-3.80974e-05,0.0579749,0.515242,-0.996881,26.8125,1,9620,1009151
3,7,0.999449,-0.00334673,0.0330064,-3.80974e-05,-0.632773,-0.0642822,9.79121,0.0926169,-0.499142,1.00758,-0.00632716,-0.000651499,0.0979121,1,4.35672e-05,2.85516e-06,1.14704e-05,0.00871344,0.000571032,0.00229407,0.999449,-0.00334673,0.0330064,-3.80974e-05,0.0579749,0.515242,-0.996881,26.8125,1,9620,1009151
