frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.2448,1.5485,2.122,0,294,736
1,2,1.4691,0.9827,-1.9588,0,294,736
1,3,-0.5441,3.4686,-0.2176,0,184,821
1,4,0.9794,3.0157,1.5235,0,184,821
1,5,2.4893,8.2975,-2.1658,0,198,829
2,1,0.2448,1.5485,2.122,0,295,736
2,2,1.4691,0.9827,-1.9588,0,295,736
2,3,-0.5441,3.4686,-0.2176,0,184,821
2,4,1.0882,3.0314,1.4147,0,184,821
2,5,2.4893,8.2975,-2.1658,0,199,829
3,1,0.2448,1.5485,2.122,0,299,731
3,2,1.4691,0.9827,-1.9588,0,299,731
3,3,-0.5441,3.4686,-0.2176,0,187,818
3,4,1.0882,3.0314,1.4147,0,187,818
3,5,2.1658,8.3755,-2.1658,0,200,827
3,6,2.4893,8.2975,-2.1658,0,200,827
4,1,0.2448,1.5485,2.122,0,304,726
4,2,1.4691,0.9827,-1.9588,0,304,726
4,3,-0.5441,3.4686,-0.2176,0,192,813
4,4,1.0882,3.0314,1.4147,0,192,813
4,5,2.4893,8.2975,-2.1658,0,198,830
5,1,0.2448,1.5485,2.122,0,298,732
5,2,1.4691,0.9827,-1.9588,0,298,732
5,3,-0.5441,3.4686,-0.2176,0,183,822
5,4,0.9794,3.0157,1.5235,0,183,822
5,5,2.4893,8.2975,-2.1658,0,199,829
6,1,0.2448,1.5485,2.122,0,292,738
6,2,1.4691,0.9827,-1.9588,0,292,738
6,3,-0.5441,3.4686,-0.2176,0,180,825
6,4,0.9794,3.0157,1.5235,0,180,825
6,5,2.4893,8.2975,-2.1658,0,200,827
7,1,0.2448,1.5485,2.122,0,298,732
7,2,1.4691,0.9827,-1.9588,0,298,732
7,3,-0.5441,3.4686,-0.2176,0,184,821
7,4,1.0882,3.0314,1.4147,0,184,821
7,5,2.4893,8.2975,-2.1658,0,200,828
30,1,0.2448,1.5485,2.122,0,295,735
30,2,1.4691,0.9827,-1.9588,0,295,735
30,3,-0.5441,3.4686,-0.2176,0,183,821
30,4,-0.6529,3.4549,-0.1088,0,183,821
30,5,1.0882,3.0314,1.4147,0,183,821
30,6,2.4893,8.2975,-2.1658,0,197,831
31,1,0.2448,1.5485,2.122,0,293,737
31,2,1.4691,0.9827,-1.9588,0,293,737
31,3,-0.5441,3.4686,-0.2176,0,182,822
31,4,1.0882,3.0314,1.4147,0,182,822
31,5,2.4893,8.2975,-2.1658,0,196,832
32,1,0.2448,1.5485,2.122,0,296,734
32,2,1.4691,0.9827,-1.9588,0,296,734
32,3,-0.5441,3.4686,-0.2176,0,190,814
32,4,1.0882,3.0314,1.4147,0,190,814
32,5,2.4893,8.2975,-2.1658,0,198,828
33,1,0.2448,1.5485,2.122,0,281,750
33,2,1.4691,0.9827,-1.9588,0,281,750
33,3,-0.5441,3.4686,-0.2176,0,178,826
33,4,1.0882,3.0314,1.4147,0,178,826
33,5,1.0882,2.9782,1.5235,0,178,826
33,6,2.4893,8.2975,-2.1658,0,201,828
34,1,0.2448,1.5485,2.122,0,290,739
34,2,1.4691,0.9827,-1.9588,0,290,739
34,3,-0.5441,3.4686,-0.2176,0,176,829
34,4,0.9794,3.0157,1.5235,0,176,829
34,5,2.4893,8.2975,-2.1658,0,196,832
35,1,0.2448,1.5485,2.122,0,286,743
35,2,1.4691,0.9827,-1.9588,0,286,743
35,3,-0.5441,3.4686,-0.2176,0,164,841
35,4,1.0882,3.0314,1.4147,0,164,841
35,5,2.4893,8.2975,-2.1658,0,198,830
36,1,0.2448,1.5485,2.122,0,299,731
36,2,1.4691,0.9827,-1.9588,0,299,731
36,3,-0.5441,3.4686,-0.2176,0,177,828
36,4,1.0882,3.0314,1.4147,0,177,828
36,5,2.4893,8.2975,-2.1658,0,200,828
37,1,0.2448,1.5485,2.122,0,289,741
37,2,1.4691,0.9827,-1.9588,0,289,741
37,3,-0.5441,3.4686,-0.2176,0,171,834
37,4,0.9794,3.0157,1.5235,0,171,834
37,5,2.4893,8.2975,-2.1658,0,196,833
38,1,0.2448,1.5485,2.122,0,287,742
38,2,1.4691,0.9827,-1.9588,0,287,742
38,3,-0.5441,3.4686,-0.2176,0,175,830
38,4,1.0882,3.0314,1.4147,0,175,830
38,5,2.4893,8.2975,-2.1658,0,205,823
39,1,0.2448,1.5485,2.122,0,293,737
39,2,1.4691,0.9827,-1.9588,0,293,737
39,3,-0.5441,3.4686,-0.2176,0,175,830
39,4,1.0882,3.0314,1.4147,0,175,830
