frame_id,point_id,x,y,z,doppler,snr,noise
2579,1,0.3265,1.5334,2.122,0,288,738
2579,2,1.4691,0.9827,-1.9588,0,288,738
2579,3,-0.4171,0.8599,3.2329,0,232,777
2579,4,0.8343,2.7433,-1.7729,0,232,777
2579,5,-3.2646,2.7374,-1.0882,0,153,931
1,1,0.3265,1.5334,2.122,0,295,732
1,2,1.4691,0.9827,-1.9588,0,295,732
1,3,-3.2646,2.7374,-1.0882,0,152,932
2,1,0.3265,1.5334,2.122,0,290,736
2,2,1.4691,0.9827,-1.9588,0,290,736
2,3,-3.2646,2.7374,-1.0882,0,153,930
3,1,0.3265,1.5334,2.122,0,293,734
3,2,1.4691,0.9827,-1.9588,0,293,734
3,3,-3.4007,2.62,-0.9522,0,150,933
4,1,0.3265,1.5334,2.122,0,296,730
4,2,1.4691,0.9827,-1.9588,0,296,730
4,3,-3.2646,2.7374,-1.0882,0,153,930
5,1,0.3265,1.5334,2.122,0,293,733
5,2,1.4691,0.9827,-1.9588,0,293,733
5,3,-3.2646,2.7374,-1.0882,0,152,931
6,1,0.3265,1.5334,2.122,0,294,733
6,2,1.4691,0.9827,-1.9588,0,294,733
6,3,-3.2646,2.7374,-1.0882,0,154,930
7,1,0.3265,1.5334,2.122,0,296,731
7,2,1.4691,0.9827,-1.9588,0,296,731
7,3,-3.2646,2.7374,-1.0882,0,152,931
30,1,0.3265,1.5334,2.122,0,286,740
30,2,1.4691,0.9827,-1.9588,0,286,740
30,3,-0.3129,0.903,3.2329,0,221,787
30,4,0.9386,2.6382,-1.8772,0,221,787
30,5,-3.2646,2.7374,-1.0882,0,154,930
31,1,0.3265,1.5334,2.122,0,286,740
31,2,1.4691,0.9827,-1.9588,0,286,740
31,3,-0.3129,0.903,3.2329,0,232,775
31,4,0.9386,2.6382,-1.8772,0,232,775
31,5,-3.2646,2.7374,-1.0882,0,152,931
32,1,0.3265,1.5334,2.122,0,281,745
32,2,1.4691,0.9827,-1.9588,0,281,745
32,3,-0.3129,0.903,3.2329,0,232,776
32,4,0.9386,2.6382,-1.8772,0,232,776
32,5,-3.2646,2.7374,-1.0882,0,153,930
33,1,0.3265,1.5334,2.122,0,278,748
33,2,1.4691,0.9827,-1.9588,0,278,748
33,3,-0.3129,0.903,3.2329,0,228,778
33,4,0.9386,2.6382,-1.8772,0,228,778
33,5,-3.4007,2.62,-0.9522,0,153,931
34,1,0.3265,1.5334,2.122,0,276,750
34,2,1.4691,0.9827,-1.9588,0,276,750
34,3,-0.3129,0.903,3.2329,0,219,791
34,4,0.9386,2.6382,-1.8772,0,219,791
34,5,-3.4007,2.62,-0.9522,0,153,930
35,1,0.3265,1.5334,2.122,0,277,749
35,2,1.4691,0.9827,-1.9588,0,277,749
35,3,-0.3129,0.903,3.2329,0,240,771
35,4,0.9386,2.6382,-1.8772,0,240,771
35,5,-3.2646,2.7374,-1.0882,0,152,931
36,1,0.3265,1.5334,2.122,0,288,738
36,2,1.4691,0.9827,-1.9588,0,288,738
36,3,-3.2646,2.7374,-1.0882,0,154,930
37,1,0.3265,1.5334,2.122,0,280,746
37,2,1.4691,0.9827,-1.9588,0,280,746
37,3,1.4691,1.1309,-1.8772,0,280,746
37,4,-3.2646,2.7374,-1.0882,0,154,930
38,1,0.3265,1.5334,2.122,0,286,740
38,2,1.4691,0.9827,-1.9588,0,286,740
38,3,-3.2646,2.7374,-1.0882,0,152,931
39,1,0.3265,1.5334,2.122,0,285,742
39,2,1.4691,0.9827,-1.9588,0,285,742
39,3,-3.2646,2.7374,-1.0882,0,154,930
39,4,0.8434,8.2775,-3.6546,0,151,803
39,5,5.9035,6.8572,0.8434,0,151,803
39,6,-1.9678,8.4148,-2.8112,0,151,803
40,1,0.3265,1.5334,2.122,0,289,738
40,2,1.4691,0.9827,-1.9588,0,289,738
40,3,-3.2646,2.7374,-1.0882,0,153,930
41,1,0.3265,1.5334,2.122,0,280,746
41,2,1.4691,0.9827,-1.9588,0,280,746
41,3,-3.2646,2.7374,-1.0882,0,153,930
41,4,3.6999,2.9613,-1.5416,2.4682,180,590
42,1,0.3265,1.5334,2.122,0,290,736
42,2,1.4691,0.9827,-1.9588,0,290,736
42,3,-3.4007,2.62,-0.9522,0,153,930
43,1,0.3265,1.5334,2.122,0,296,731
43,2,1.4691,0.9827,-1.9588,0,296,731
43,3,-3.4007,2.62,-0.9522,0,152,931
44,1,0.3265,1.5334,2.122,0,281,745
44,2,1.4691,0.9827,-1.9588,0,281,745
44,3,-0.3129,0.903,3.2329,0,234,775
44,4,0.9386,2.6382,-1.8772,0,234,775
44,5,-3.2646,2.7374,-1.0882,0,151,932
45,1,0.3265,1.5334,2.122,0,284,742
45,2,1.4691,0.9827,-1.9588,0,284,742
45,3,-0.3129,0.903,3.2329,0,221,785
45,4,0.9386,2.6382,-1.8772,0,221,785
45,5,-3.2646,2.7374,-1.0882,0,153,930
46,1,0.3265,1.5334,2.122,0,278,748
46,2,1.4691,0.9827,-1.9588,0,278,748
46,3,-0.3129,0.903,3.2329,0,218,788
46,4,0.9386,2.6382,-1.8772,0,218,788
