frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.1712,0.194,-0.3555,0,239,662
1,2,1.0096,3.1134,-0.8076,0,243,710
1,3,2.739,2.4875,-0.913,0,280,784
2,1,0.1844,0.1815,-0.3555,0,231,659
2,2,1.0096,3.1134,-0.8076,0,239,714
2,3,2.739,2.4875,-0.913,0,281,783
3,1,0.1844,0.153,-0.3687,0,249,651
3,2,1.0096,3.1134,-0.8076,0,242,712
3,3,2.739,2.4875,-0.913,0,280,784
4,1,0.1844,0.1815,-0.3555,0,247,650
4,2,1.0096,3.1134,-0.8076,0,243,711
4,3,2.739,2.4875,-0.913,0,283,780
5,1,0.1712,0.194,-0.3555,0,232,655
5,2,-0.0746,0.9232,2.3132,0,152,716
5,3,1.0096,3.1134,-0.8076,0,240,714
5,4,2.739,2.4875,-0.913,0,279,785
6,1,0.1975,0.1356,-0.3687,0,243,656
6,2,1.0096,3.1134,-0.8076,0,237,717
6,3,2.739,2.4875,-0.913,0,274,789
7,1,0.1712,0.194,-0.3555,0,252,638
7,2,-0.0746,0.9232,2.3132,0,161,709
7,3,0.8954,1.8982,-1.3431,0,161,709
7,4,0.9701,1.8611,-1.3431,0,161,709
7,5,0.9086,3.1444,-0.8076,0,258,695
7,6,2.739,2.4875,-0.913,0,288,776
12,1,0.1712,0.194,-0.3555,0,232,658
12,2,0.9086,3.1444,-0.8076,0,240,714
12,3,2.8531,2.3082,-1.0271,0,279,784
10,1,0.1712,0.194,-0.3555,0,239,651
10,2,0.9086,3.1444,-0.8076,0,245,708
10,3,2.739,2.4875,-0.913,0,283,780
14,1,0.1844,0.153,-0.3687,0,237,661
14,2,1.0096,3.1134,-0.8076,0,232,721
14,3,2.739,2.4875,-0.913,0,274,790
15,1,0.1712,0.194,-0.3555,0,228,666
15,2,1.0096,3.1134,-0.8076,0,230,723
15,3,2.739,2.4875,-0.913,0,275,789
16,1,0.1975,0.1356,-0.3687,0,242,657
16,2,-0.0746,0.9232,2.3132,0,152,715
16,3,0.9086,3.1444,-0.8076,0,241,714
16,4,2.739,2.4875,-0.913,0,276,787
17,1,0.1844,0.1815,-0.3555,0,236,654
17,2,1.0096,3.1134,-0.8076,0,246,708
17,3,2.8531,2.3082,-1.0271,0,279,784
18,1,0.1712,0.194,-0.3555,0,240,652
18,2,-0.0746,0.9232,2.3132,0,159,708
18,3,1.0096,3.1134,-0.8076,0,240,713
18,4,2.739,2.4875,-0.913,0,275,788
19,1,0.1712,0.194,-0.3555,0,232,662
19,2,0.9086,3.1444,-0.8076,0,234,720
19,3,1.0096,3.1134,-0.8076,0,234,720
19,4,2.739,2.4875,-0.913,0,273,790
20,1,0.1712,0.194,-0.3555,0,224,670
20,2,0.9086,3.1444,-0.8076,0,229,723
20,3,2.739,2.4875,-0.913,0,274,789
21,1,0.1844,0.1815,-0.3555,0,226,659
21,2,-0.0746,0.9232,2.3132,0,153,714
21,3,0.9086,3.1444,-0.8076,0,243,710
21,4,2.739,2.4875,-0.913,0,281,783
22,1,0.1712,0.194,-0.3555,0,241,651
22,2,1.0096,3.1134,-0.8076,0,241,712
22,3,2.739,2.4875,-0.913,0,281,782
23,1,0.1844,0.153,-0.3687,0,238,652
23,2,0.9086,3.1444,-0.8076,0,243,711
23,3,2.739,2.4875,-0.913,0,280,784
24,1,0.1844,0.1815,-0.3555,0,256,640
24,2,0.9086,3.1444,-0.8076,0,253,700
