frame_id,point_id,x,y,z,doppler,snr,noise
1,1,2.7434,2.2195,-0.9876,0,259,789
1,2,-1.7206,3.5939,-0.9832,2.3893,163,578
2,1,2.7434,2.2195,-0.9876,0,270,778
3,1,2.7434,2.2195,-0.9876,0,268,779
4,1,2.7434,2.2195,-0.9876,0,255,792
4,2,-1.4002,3.8464,-1.1456,2.3893,221,590
5,1,2.7434,2.2195,-0.9876,0,265,782
6,1,2.7434,2.2195,-0.9876,0,263,784
6,2,-1.1851,3.9286,-1.5802,1.5929,276,573
7,1,2.7434,2.2195,-0.9876,0,262,785
7,2,-1.5275,3.9585,-0.2546,1.5929,323,590
12,1,2.7434,2.2195,-0.9876,0,266,778
10,1,2.7434,2.2195,-0.9876,0,263,784
14,1,2.7434,2.2195,-0.9876,0,270,777
15,1,2.7434,2.2195,-0.9876,0,267,780
16,1,2.7434,2.2195,-0.9876,0,270,776
17,1,2.7434,2.2195,-0.9876,0,265,782
17,2,-1.3607,4.1162,-1.3607,2.3893,228,568
18,1,2.7434,2.2195,-0.9876,0,262,785
19,1,2.7434,2.2195,-0.9876,0,270,777
20,1,2.7434,2.2195,-0.9876,0,263,784
21,1,2.7434,2.2195,-0.9876,0,262,785
21,2,-1.2641,4.3363,-1.2641,2.3893,231,591
22,1,2.7434,2.2195,-0.9876,0,268,779
23,1,2.7434,2.2195,-0.9876,0,262,786
24,1,2.7434,2.2195,-0.9876,0,266,778
24,2,-1.0447,4.5879,-1.6416,2.3893,183,567
25,1,2.7434,2.2195,-0.9876,0,266,778
26,1,2.7434,2.2195,-0.9876,0,263,784
27,1,2.7434,2.2195,-0.9876,0,271,776
28,1,2.7434,2.2195,-0.9876,0,268,779
29,1,2.8531,2.0765,-0.9876,0,266,782
30,1,2.7434,2.2195,-0.9876,0,264,783
31,1,2.7434,2.2195,-0.9876,0,272,775
32,1,2.8531,2.0765,-0.9876,0,266,782
33,1,2.7434,2.2195,-0.9876,0,266,778
34,1,2.7434,2.2195,-0.9876,0,267,780
35,1,2.7434,2.2195,-0.9876,0,265,782
36,1,2.7434,2.2195,-0.9876,0,263,784
37,1,2.7434,2.2195,-0.9876,0,265,783
38,1,2.7434,2.2195,-0.9876,0,266,778
39,1,2.7434,2.2195,-0.9876,0,265,783
39,2,-1.0447,4.684,-1.3431,2.3893,202,572
40,1,2.7434,2.2195,-0.9876,0,263,784
41,1,2.7434,2.2195,-0.9876,0,258,789
42,1,2.7434,2.2195,-0.9876,0,268,779
43,1,2.7434,2.2195,-0.9876,0,270,777
43,2,-0.6321,4.9947,-1.5802,2.3893,236,579
44,1,2.7434,2.2195,-0.9876,0,250,797
45,1,2.7434,2.2195,-0.9876,0,273,774
46,1,2.7434,2.2195,-0.9876,0,266,778
47,1,2.7434,2.2195,-0.9876,0,262,785
